symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
A0,DCE,d,2005-01-04 00:00:00,2890.0,2890.0,2850.0,2868.0,7968,82760,0.0
A0,DCE,d,2005-01-05 00:00:00,2856.0,2900.0,2853.0,2885.0,3940,82298,0.0
A0,DCE,d,2005-01-06 00:00:00,2875.0,2890.0,2873.0,2889.0,2072,82438,0.0
A0,DCE,d,2005-01-07 00:00:00,2898.0,2898.0,2885.0,2893.0,2318,82140,0.0
A0,DCE,d,2005-01-10 00:00:00,2899.0,2900.0,2885.0,2885.0,2922,82386,0.0
A0,DCE,d,2005-01-11 00:00:00,2895.0,2904.0,2889.0,2901.0,8866,78506,0.0
A0,DCE,d,2005-01-12 00:00:00,2895.0,3007.0,2895.0,3003.0,3456,77968,0.0
A0,DCE,d,2005-01-13 00:00:00,2990.0,3039.0,2980.0,2998.0,8864,72376,0.0
A0,DCE,d,2005-01-14 00:00:00,3007.0,3012.0,2960.0,3000.0,9088,66510,0.0
A0,DCE,d,2005-01-17 00:00:00,2980.0,3038.0,2945.0,2945.0,8402,61470,0.0
A0,DCE,d,2005-01-18 00:00:00,2503.0,2524.0,2503.0,2523.0,16,1282,0.0
A0,DCE,d,2005-01-19 00:00:00,2505.0,2519.0,2505.0,2517.0,76,1282,0.0
A0,DCE,d,2005-01-20 00:00:00,2512.0,2512.0,2501.0,2501.0,28,1282,0.0
A0,DCE,d,2005-01-21 00:00:00,2507.0,2507.0,2499.0,2499.0,18,1292,0.0
A0,DCE,d,2005-01-24 00:00:00,2530.0,2585.0,2530.0,2548.0,260,116,0.0
A0,DCE,d,2005-01-25 00:00:00,2412.0,2561.0,2412.0,2539.0,68,0,0.0
A0,DCE,d,2005-01-26 00:00:00,2528.0,2528.0,2482.0,2509.0,50,80,0.0
A0,DCE,d,2005-01-27 00:00:00,2526.0,2531.0,2525.0,2531.0,18,90,0.0
A0,DCE,d,2005-01-28 00:00:00,2537.0,2537.0,2510.0,2510.0,68,110,0.0
A0,DCE,d,2005-01-31 00:00:00,2482.0,2482.0,2467.0,2471.0,56,1288,0.0
A0,DCE,d,2005-02-01 00:00:00,2462.0,2475.0,2462.0,2475.0,12,1288,0.0
A0,DCE,d,2005-02-02 00:00:00,2447.0,2466.0,2447.0,2456.0,92,1324,0.0
A0,DCE,d,2005-02-03 00:00:00,2455.0,2465.0,2455.0,2465.0,44,1352,0.0
A0,DCE,d,2005-02-04 00:00:00,2456.0,2470.0,2456.0,2463.0,8,1354,0.0
A0,DCE,d,2005-02-16 00:00:00,2479.0,2540.0,2479.0,2495.0,166,70,0.0
A0,DCE,d,2005-02-17 00:00:00,2497.0,2515.0,2497.0,2511.0,38,1362,0.0
A0,DCE,d,2005-02-18 00:00:00,2508.0,2539.0,2507.0,2518.0,166,70,0.0
A0,DCE,d,2005-02-21 00:00:00,2538.0,2540.0,2529.0,2538.0,54,1354,0.0
A0,DCE,d,2005-02-22 00:00:00,2548.0,2593.0,2542.0,2589.0,166,1356,0.0
A0,DCE,d,2005-02-23 00:00:00,2620.0,2630.0,2615.0,2622.0,66,154,0.0
A0,DCE,d,2005-02-24 00:00:00,2625.0,2648.0,2625.0,2648.0,1552,928,0.0
A0,DCE,d,2005-02-25 00:00:00,2626.0,2633.0,2612.0,2625.0,138,814,0.0
A0,DCE,d,2005-02-28 00:00:00,2701.0,2733.0,2701.0,2733.0,760,888,0.0
A0,DCE,d,2005-03-01 00:00:00,2739.0,2739.0,2690.0,2706.0,328,680,0.0
A0,DCE,d,2005-03-02 00:00:00,2706.0,2774.0,2704.0,2743.0,328,618,0.0
A0,DCE,d,2005-03-03 00:00:00,2765.0,2766.0,2738.0,2745.0,664,524,0.0
A0,DCE,d,2005-03-04 00:00:00,2760.0,2760.0,2706.0,2726.0,56,522,0.0
A0,DCE,d,2005-03-07 00:00:00,2746.0,2790.0,2746.0,2787.0,494,798,0.0
A0,DCE,d,2005-03-08 00:00:00,2703.0,2739.0,2701.0,2703.0,496,12,0.0
A0,DCE,d,2005-03-09 00:00:00,2757.0,2770.0,2755.0,2758.0,80,752,0.0
A0,DCE,d,2005-03-10 00:00:00,2763.0,2801.0,2763.0,2801.0,822,1088,0.0
A0,DCE,d,2005-03-11 00:00:00,2866.0,2879.0,2840.0,2868.0,458,1260,0.0
A0,DCE,d,2005-03-14 00:00:00,2940.0,2940.0,2888.0,2903.0,880,1506,0.0
A0,DCE,d,2005-03-15 00:00:00,2895.0,2987.0,2890.0,2963.0,1308,1712,0.0
A0,DCE,d,2005-03-16 00:00:00,2984.0,3040.0,2984.0,3024.0,1220,1974,0.0
A0,DCE,d,2005-03-17 00:00:00,3001.0,3036.0,2982.0,2998.0,486,1980,0.0
A0,DCE,d,2005-03-18 00:00:00,3000.0,3008.0,2886.0,2913.0,736,1744,0.0
A0,DCE,d,2005-03-21 00:00:00,2886.0,2917.0,2860.0,2915.0,372,1648,0.0
A0,DCE,d,2005-03-22 00:00:00,2847.0,2896.0,2832.0,2884.0,360,1564,0.0
A0,DCE,d,2005-03-23 00:00:00,3010.0,3010.0,2691.0,2900.0,1614,0,0.0
A0,DCE,d,2005-03-24 00:00:00,2920.0,2920.0,2886.0,2905.0,442,1614,0.0
A0,DCE,d,2005-03-25 00:00:00,2850.0,2980.0,2850.0,2980.0,592,92,0.0
A0,DCE,d,2005-03-28 00:00:00,2929.0,2929.0,2903.0,2927.0,674,1406,0.0
A0,DCE,d,2005-03-29 00:00:00,2930.0,2930.0,2925.0,2925.0,236,1790,0.0
A0,DCE,d,2005-03-30 00:00:00,2912.0,2919.0,2894.0,2897.0,194,1424,0.0
A0,DCE,d,2005-03-31 00:00:00,2939.0,2968.0,2935.0,2959.0,216,1436,0.0
A0,DCE,d,2005-04-01 00:00:00,2875.0,2914.0,2853.0,2912.0,602,1492,0.0
A0,DCE,d,2005-04-04 00:00:00,2874.0,2905.0,2861.0,2903.0,788,1822,0.0
A0,DCE,d,2005-04-05 00:00:00,2909.0,2920.0,2892.0,2896.0,250,1914,0.0
A0,DCE,d,2005-04-06 00:00:00,2909.0,2924.0,2902.0,2922.0,210,1872,0.0
A0,DCE,d,2005-04-07 00:00:00,2915.0,2945.0,2915.0,2940.0,234,1866,0.0
A0,DCE,d,2005-04-08 00:00:00,2955.0,2955.0,2917.0,2917.0,154,1872,0.0
A0,DCE,d,2005-04-11 00:00:00,2917.0,2917.0,2869.0,2880.0,552,1994,0.0
A0,DCE,d,2005-04-12 00:00:00,2950.0,2950.0,2901.0,2901.0,574,2026,0.0
A0,DCE,d,2005-04-13 00:00:00,2872.0,2889.0,2863.0,2871.0,506,2074,0.0
