symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
AG0,SHFE,d,2012-05-10 00:00:00,6190.0,6196.0,6082.0,6142.0,259996,33726,0.0
AG0,SHFE,d,2012-05-11 00:00:00,6110.0,6115.0,6000.0,6002.0,206804,55020,0.0
AG0,SHFE,d,2012-05-14 00:00:00,6040.0,6045.0,5960.0,5977.0,207668,57028,0.0
AG0,SHFE,d,2012-05-15 00:00:00,5895.0,5910.0,5711.0,5843.0,445150,82238,0.0
AG0,SHFE,d,2012-05-16 00:00:00,5750.0,5786.0,5643.0,5647.0,599186,108376,0.0
AG0,SHFE,d,2012-05-17 00:00:00,5705.0,5787.0,5691.0,5763.0,558246,89768,0.0
AG0,SHFE,d,2012-05-18 00:00:00,5808.0,5881.0,5768.0,5863.0,695576,92162,0.0
AG0,SHFE,d,2012-05-21 00:00:00,5957.0,5964.0,5903.0,5941.0,405766,97686,0.0
AG0,SHFE,d,2012-05-22 00:00:00,5920.0,5930.0,5882.0,5890.0,371088,90716,0.0
AG0,SHFE,d,2012-05-23 00:00:00,5800.0,5818.0,5759.0,5791.0,300170,90202,0.0
AG0,SHFE,d,2012-05-24 00:00:00,5785.0,5838.0,5766.0,5832.0,301270,85938,0.0
AG0,SHFE,d,2012-05-25 00:00:00,5858.0,5912.0,5804.0,5904.0,420278,92544,0.0
AG0,SHFE,d,2012-05-28 00:00:00,5940.0,5992.0,5916.0,5989.0,381418,94920,0.0
AG0,SHFE,d,2012-05-29 00:00:00,5933.0,5982.0,5922.0,5962.0,349920,93104,0.0
AG0,SHFE,d,2012-05-30 00:00:00,5817.0,5855.0,5798.0,5801.0,349610,94548,0.0
AG0,SHFE,d,2012-05-31 00:00:00,5836.0,5878.0,5826.0,5851.0,365958,85856,0.0
AG0,SHFE,d,2012-06-01 00:00:00,5800.0,5840.0,5771.0,5832.0,296984,86528,0.0
AG0,SHFE,d,2012-06-04 00:00:00,5923.0,5998.0,5901.0,5947.0,393532,87272,0.0
AG0,SHFE,d,2012-06-05 00:00:00,5954.0,5985.0,5921.0,5931.0,323394,87988,0.0
AG0,SHFE,d,2012-06-06 00:00:00,6001.0,6092.0,5991.0,6088.0,343846,89946,0.0
AG0,SHFE,d,2012-06-07 00:00:00,6145.0,6154.0,6110.0,6133.0,272726,91644,0.0
AG0,SHFE,d,2012-06-08 00:00:00,6005.0,6023.0,5905.0,5935.0,316480,79718,0.0
AG0,SHFE,d,2012-06-11 00:00:00,6054.0,6099.0,6031.0,6063.0,207094,77300,0.0
AG0,SHFE,d,2012-06-12 00:00:00,5992.0,6038.0,5978.0,5988.0,243702,87952,0.0
AG0,SHFE,d,2012-06-13 00:00:00,6050.0,6083.0,6040.0,6081.0,184636,80188,0.0
AG0,SHFE,d,2012-06-14 00:00:00,6068.0,6128.0,6061.0,6080.0,189246,82052,0.0
AG0,SHFE,d,2012-06-15 00:00:00,6050.0,6085.0,6032.0,6070.0,208546,80836,0.0
AG0,SHFE,d,2012-06-18 00:00:00,6087.0,6095.0,6003.0,6010.0,309918,99022,0.0
AG0,SHFE,d,2012-06-19 00:00:00,6058.0,6080.0,6045.0,6063.0,168258,76972,0.0
AG0,SHFE,d,2012-06-20 00:00:00,5996.0,6029.0,5990.0,6010.0,175782,83302,0.0
AG0,SHFE,d,2012-06-21 00:00:00,5900.0,5925.0,5893.0,5911.0,141540,75606,0.0
AG0,SHFE,d,2012-06-25 00:00:00,5700.0,5742.0,5691.0,5716.0,162514,89926,0.0
AG0,SHFE,d,2012-06-26 00:00:00,5830.0,5830.0,5783.0,5791.0,139496,83698,0.0
AG0,SHFE,d,2012-06-27 00:00:00,5767.0,5771.0,5725.0,5745.0,134318,90242,0.0
AG0,SHFE,d,2012-06-28 00:00:00,5778.0,5782.0,5733.0,5737.0,120318,88586,0.0
AG0,SHFE,d,2012-06-29 00:00:00,5651.0,5764.0,5632.0,5751.0,234654,83390,0.0
AG0,SHFE,d,2012-07-02 00:00:00,5831.0,5835.0,5785.0,5796.0,156980,73088,0.0
AG0,SHFE,d,2012-07-03 00:00:00,5820.0,5915.0,5810.0,5909.0,186102,68056,0.0
AG0,SHFE,d,2012-07-04 00:00:00,5952.0,5979.0,5932.0,5948.0,133860,61944,0.0
AG0,SHFE,d,2012-07-05 00:00:00,5960.0,5995.0,5944.0,5993.0,118224,64576,0.0
AG0,SHFE,d,2012-07-06 00:00:00,5929.0,5932.0,5864.0,5872.0,148200,64902,0.0
AG0,SHFE,d,2012-07-09 00:00:00,5790.0,5832.0,5782.0,5806.0,141584,71858,0.0
AG0,SHFE,d,2012-07-10 00:00:00,5813.0,5834.0,5795.0,5798.0,100886,69612,0.0
AG0,SHFE,d,2012-07-11 00:00:00,5755.0,5780.0,5750.0,5774.0,95358,69642,0.0
AG0,SHFE,d,2012-07-12 00:00:00,5774.0,5779.0,5728.0,5743.0,113558,77556,0.0
AG0,SHFE,d,2012-07-13 00:00:00,5770.0,5830.0,5764.0,5828.0,96844,69356,0.0
AG0,SHFE,d,2012-07-16 00:00:00,5810.0,5834.0,5787.0,5828.0,90630,63190,0.0
AG0,SHFE,d,2012-07-17 00:00:00,5845.0,5877.0,5812.0,5830.0,104858,59076,0.0
AG0,SHFE,d,2012-07-18 00:00:00,5835.0,5838.0,5780.0,5811.0,76038,57184,0.0
AG0,SHFE,d,2012-07-19 00:00:00,5815.0,5828.0,5797.0,5822.0,64602,55478,0.0
AG0,SHFE,d,2012-07-20 00:00:00,5809.0,5811.0,5787.0,5799.0,61744,54728,0.0
AG0,SHFE,d,2012-07-23 00:00:00,5845.0,5845.0,5777.0,5790.0,76106,54036,0.0
AG0,SHFE,d,2012-07-24 00:00:00,5796.0,5822.0,5792.0,5794.0,63916,53654,0.0
