symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
AL0,SHFE,d,2005-01-04 00:00:00,16540.0,16540.0,16060.0,16060.0,56286,29998,0.0
AL0,SHFE,d,2005-01-05 00:00:00,15600.0,15870.0,15600.0,15830.0,59554,30882,0.0
AL0,SHFE,d,2005-01-06 00:00:00,15900.0,16020.0,15820.0,15920.0,23136,28758,0.0
AL0,SHFE,d,2005-01-07 00:00:00,15870.0,15980.0,15820.0,15930.0,20856,26698,0.0
AL0,SHFE,d,2005-01-10 00:00:00,15920.0,15960.0,15800.0,15870.0,15518,25308,0.0
AL0,SHFE,d,2005-01-11 00:00:00,15900.0,16050.0,15900.0,16030.0,26650,27518,0.0
AL0,SHFE,d,2005-01-12 00:00:00,16100.0,16100.0,15970.0,16030.0,15946,28188,0.0
AL0,SHFE,d,2005-01-13 00:00:00,16000.0,16060.0,15980.0,16040.0,8044,28722,0.0
AL0,SHFE,d,2005-01-14 00:00:00,15980.0,16070.0,15960.0,16020.0,11156,28638,0.0
AL0,SHFE,d,2005-01-17 00:00:00,16040.0,16180.0,16020.0,16100.0,17084,28400,0.0
AL0,SHFE,d,2005-01-18 00:00:00,16020.0,16090.0,15980.0,16020.0,9436,24564,0.0
AL0,SHFE,d,2005-01-19 00:00:00,16060.0,16070.0,15980.0,16060.0,5736,24262,0.0
AL0,SHFE,d,2005-01-20 00:00:00,16060.0,16080.0,16020.0,16080.0,5406,23124,0.0
AL0,SHFE,d,2005-01-21 00:00:00,16080.0,16150.0,16070.0,16140.0,5006,22482,0.0
AL0,SHFE,d,2005-01-24 00:00:00,16160.0,16370.0,16160.0,16330.0,13392,23022,0.0
AL0,SHFE,d,2005-01-25 00:00:00,16250.0,16330.0,16240.0,16320.0,6252,13124,0.0
AL0,SHFE,d,2005-01-26 00:00:00,16250.0,16270.0,16110.0,16170.0,8690,12430,0.0
AL0,SHFE,d,2005-01-27 00:00:00,16280.0,16340.0,16240.0,16240.0,10332,13336,0.0
AL0,SHFE,d,2005-01-28 00:00:00,16230.0,16340.0,16180.0,16330.0,9352,16524,0.0
AL0,SHFE,d,2005-01-31 00:00:00,16390.0,16400.0,16270.0,16290.0,5182,16628,0.0
AL0,SHFE,d,2005-02-01 00:00:00,16350.0,16370.0,16300.0,16320.0,4234,17152,0.0
AL0,SHFE,d,2005-02-02 00:00:00,16270.0,16330.0,16270.0,16330.0,2652,17066,0.0
AL0,SHFE,d,2005-02-03 00:00:00,16260.0,16280.0,16180.0,16210.0,6452,16980,0.0
AL0,SHFE,d,2005-02-04 00:00:00,16250.0,16290.0,16220.0,16280.0,2700,16566,0.0
AL0,SHFE,d,2005-02-16 00:00:00,16550.0,16570.0,16380.0,16380.0,10220,19232,0.0
AL0,SHFE,d,2005-02-17 00:00:00,16390.0,16410.0,16340.0,16380.0,5508,20306,0.0
AL0,SHFE,d,2005-02-18 00:00:00,16560.0,16560.0,16440.0,16460.0,13564,20204,0.0
AL0,SHFE,d,2005-02-21 00:00:00,16410.0,16570.0,16410.0,16430.0,10564,21326,0.0
AL0,SHFE,d,2005-02-22 00:00:00,16500.0,16580.0,16460.0,16520.0,5426,9318,0.0
AL0,SHFE,d,2005-02-23 00:00:00,16600.0,16660.0,16490.0,16520.0,14452,12376,0.0
AL0,SHFE,d,2005-02-24 00:00:00,16600.0,16660.0,16580.0,16610.0,12200,13850,0.0
AL0,SHFE,d,2005-02-25 00:00:00,16410.0,16510.0,16410.0,16480.0,8206,12796,0.0
AL0,SHFE,d,2005-02-28 00:00:00,16510.0,16640.0,16500.0,16560.0,14696,16092,0.0
AL0,SHFE,d,2005-03-01 00:00:00,16520.0,16550.0,16490.0,16520.0,5814,16258,0.0
AL0,SHFE,d,2005-03-02 00:00:00,16460.0,16520.0,16460.0,16520.0,3170,16180,0.0
AL0,SHFE,d,2005-03-03 00:00:00,16540.0,16570.0,16480.0,16480.0,4342,16524,0.0
AL0,SHFE,d,2005-03-04 00:00:00,16550.0,16570.0,16450.0,16530.0,7128,16674,0.0
AL0,SHFE,d,2005-03-07 00:00:00,16590.0,16650.0,16570.0,16580.0,10388,18824,0.0
AL0,SHFE,d,2005-03-08 00:00:00,16590.0,16600.0,16570.0,16600.0,2960,18454,0.0
AL0,SHFE,d,2005-03-09 00:00:00,16640.0,17000.0,16610.0,16990.0,42068,31556,0.0
AL0,SHFE,d,2005-03-10 00:00:00,17090.0,17170.0,16890.0,17030.0,50950,35808,0.0
AL0,SHFE,d,2005-03-11 00:00:00,17060.0,17120.0,16900.0,16930.0,26700,34118,0.0
AL0,SHFE,d,2005-03-14 00:00:00,16890.0,17000.0,16770.0,16810.0,22888,30542,0.0
AL0,SHFE,d,2005-03-15 00:00:00,16760.0,16900.0,16740.0,16790.0,12112,30100,0.0
AL0,SHFE,d,2005-03-16 00:00:00,16860.0,17030.0,16820.0,17020.0,24576,27882,0.0
AL0,SHFE,d,2005-03-17 00:00:00,17090.0,17240.0,16900.0,17110.0,37124,33062,0.0
AL0,SHFE,d,2005-03-18 00:00:00,16980.0,17090.0,16570.0,16830.0,34532,29416,0.0
AL0,SHFE,d,2005-03-21 00:00:00,16950.0,17030.0,16880.0,16920.0,13208,28514,0.0
AL0,SHFE,d,2005-03-22 00:00:00,16800.0,16930.0,16790.0,16880.0,7672,27656,0.0
AL0,SHFE,d,2005-03-23 00:00:00,16850.0,16900.0,16760.0,16780.0,9900,27484,0.0
AL0,SHFE,d,2005-03-24 00:00:00,16680.0,16780.0,16660.0,16760.0,11996,26876,0.0
AL0,SHFE,d,2005-03-25 00:00:00,16700.0,16780.0,16690.0,16760.0,7630,26350,0.0
AL0,SHFE,d,2005-03-28 00:00:00,16780.0,16840.0,16630.0,16720.0,10760,26720,0.0
AL0,SHFE,d,2005-03-29 00:00:00,16760.0,16800.0,16700.0,16710.0,7834,26052,0.0
AL0,SHFE,d,2005-03-30 00:00:00,16700.0,16780.0,16680.0,16730.0,7002,24268,0.0
AL0,SHFE,d,2005-03-31 00:00:00,16800.0,16810.0,16720.0,16740.0,4300,23976,0.0
AL0,SHFE,d,2005-04-01 00:00:00,16780.0,16800.0,16730.0,16770.0,5786,23734,0.0
AL0,SHFE,d,2005-04-04 00:00:00,16660.0,16710.0,16640.0,16680.0,5100,23164,0.0
AL0,SHFE,d,2005-04-05 00:00:00,16710.0,16720.0,16640.0,16660.0,4094,22106,0.0
AL0,SHFE,d,2005-04-06 00:00:00,16680.0,16730.0,16620.0,16710.0,5006,21794,0.0
AL0,SHFE,d,2005-04-07 00:00:00,16770.0,16920.0,16740.0,16880.0,9950,22848,0.0
AL0,SHFE,d,2005-04-08 00:00:00,16860.0,16860.0,16790.0,16810.0,5450,22026,0.0
AL0,SHFE,d,2005-04-11 00:00:00,16850.0,16950.0,16830.0,16930.0,7540,21262,0.0
AL0,SHFE,d,2005-04-12 00:00:00,16980.0,17020.0,16750.0,16850.0,14332,19086,0.0
AL0,SHFE,d,2005-04-13 00:00:00,16760.0,16840.0,16760.0,16820.0,3974,18526,0.0
