symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
AP0,CZCE,d,2017-12-22 00:00:00,7920.0,8228.0,7915.0,8117.0,735694,21646,0.0
AP0,CZCE,d,2017-12-25 00:00:00,8118.0,8157.0,8060.0,8095.0,358024,25296,0.0
AP0,CZCE,d,2017-12-26 00:00:00,8105.0,8144.0,8079.0,8090.0,146420,21018,0.0
AP0,CZCE,d,2017-12-27 00:00:00,8094.0,8109.0,8067.0,8086.0,67888,17524,0.0
AP0,CZCE,d,2017-12-28 00:00:00,8092.0,8145.0,8088.0,8104.0,71176,15558,0.0
AP0,CZCE,d,2017-12-29 00:00:00,8106.0,8122.0,8078.0,8088.0,25762,13754,0.0
AP0,CZCE,d,2018-01-02 00:00:00,8088.0,8106.0,8086.0,8101.0,16426,12360,0.0
AP0,CZCE,d,2018-01-03 00:00:00,8103.0,8122.0,8088.0,8094.0,20154,11852,0.0
AP0,CZCE,d,2018-01-04 00:00:00,8098.0,8114.0,8076.0,8092.0,16652,11252,0.0
AP0,CZCE,d,2018-01-05 00:00:00,8098.0,8111.0,8082.0,8099.0,9538,10090,0.0
AP0,CZCE,d,2018-01-08 00:00:00,8103.0,8103.0,8080.0,8084.0,6932,9794,0.0
AP0,CZCE,d,2018-01-09 00:00:00,8086.0,8090.0,7933.0,7966.0,71128,15934,0.0
AP0,CZCE,d,2018-01-10 00:00:00,7956.0,7980.0,7933.0,7938.0,30192,16004,0.0
AP0,CZCE,d,2018-01-11 00:00:00,7931.0,7953.0,7854.0,7865.0,43240,20238,0.0
AP0,CZCE,d,2018-01-12 00:00:00,7821.0,7855.0,7784.0,7787.0,38852,24070,0.0
AP0,CZCE,d,2018-01-15 00:00:00,7763.0,7795.0,7758.0,7777.0,26164,25024,0.0
AP0,CZCE,d,2018-01-16 00:00:00,7764.0,7815.0,7711.0,7723.0,44712,28730,0.0
AP0,CZCE,d,2018-01-17 00:00:00,7736.0,7744.0,7658.0,7670.0,88156,31314,0.0
AP0,CZCE,d,2018-01-18 00:00:00,7668.0,7708.0,7666.0,7671.0,48086,32514,0.0
AP0,CZCE,d,2018-01-19 00:00:00,7670.0,7701.0,7641.0,7657.0,57942,31622,0.0
AP0,CZCE,d,2018-01-22 00:00:00,7682.0,7708.0,7667.0,7697.0,41406,30488,0.0
AP0,CZCE,d,2018-01-23 00:00:00,7714.0,7740.0,7681.0,7699.0,54140,28442,0.0
AP0,CZCE,d,2018-01-24 00:00:00,7706.0,7708.0,7664.0,7677.0,27376,28900,0.0
AP0,CZCE,d,2018-01-25 00:00:00,7687.0,7701.0,7657.0,7661.0,27324,29692,0.0
AP0,CZCE,d,2018-01-26 00:00:00,7668.0,7699.0,7660.0,7683.0,30254,27502,0.0
