symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
B0,DCE,d,2007-08-27 00:00:00,3660.0,3690.0,3642.0,3645.0,198,54,0.0
B0,DCE,d,2007-08-28 00:00:00,3700.0,3715.0,3660.0,3690.0,66,56,0.0
B0,DCE,d,2007-08-29 00:00:00,3677.0,3700.0,3670.0,3683.0,276,114,0.0
B0,DCE,d,2007-08-30 00:00:00,3710.0,3740.0,3710.0,3734.0,126,120,0.0
B0,DCE,d,2007-08-31 00:00:00,3768.0,3795.0,3751.0,3788.0,62,116,0.0
B0,DCE,d,2007-09-03 00:00:00,3805.0,3805.0,3770.0,3800.0,80,118,0.0
B0,DCE,d,2007-09-04 00:00:00,3860.0,3940.0,3800.0,3817.0,246,64,0.0
B0,DCE,d,2007-09-05 00:00:00,3938.0,3938.0,3838.0,3881.0,118,60,0.0
B0,DCE,d,2007-09-06 00:00:00,3871.0,3900.0,3856.0,3870.0,168,60,0.0
B0,DCE,d,2007-09-07 00:00:00,3870.0,3919.0,3870.0,3893.0,156,60,0.0
B0,DCE,d,2007-09-10 00:00:00,3930.0,4020.0,3930.0,4020.0,692,84,0.0
B0,DCE,d,2007-09-11 00:00:00,4005.0,4020.0,3984.0,3995.0,142,72,0.0
B0,DCE,d,2007-09-12 00:00:00,4002.0,4040.0,3983.0,4008.0,218,102,0.0
B0,DCE,d,2007-09-13 00:00:00,4074.0,4084.0,4035.0,4055.0,294,122,0.0
B0,DCE,d,2007-09-14 00:00:00,4065.0,4065.0,4016.0,4025.0,328,172,0.0
B0,DCE,d,2007-09-17 00:00:00,4098.0,4149.0,4090.0,4149.0,424,122,0.0
B0,DCE,d,2007-09-18 00:00:00,4168.0,4168.0,4138.0,4155.0,272,132,0.0
B0,DCE,d,2007-09-19 00:00:00,4120.0,4170.0,4080.0,4100.0,274,130,0.0
B0,DCE,d,2007-09-20 00:00:00,4080.0,4160.0,4059.0,4105.0,362,98,0.0
B0,DCE,d,2007-09-21 00:00:00,4100.0,4168.0,4100.0,4116.0,414,46,0.0
B0,DCE,d,2007-09-24 00:00:00,4100.0,4100.0,4059.0,4061.0,292,140,0.0
B0,DCE,d,2007-09-25 00:00:00,4010.0,4088.0,4010.0,4086.0,288,66,0.0
B0,DCE,d,2007-09-26 00:00:00,4092.0,4154.0,4092.0,4154.0,268,48,0.0
B0,DCE,d,2007-09-27 00:00:00,4195.0,4220.0,4160.0,4195.0,42,46,0.0
B0,DCE,d,2007-09-28 00:00:00,4300.0,4300.0,4110.0,4190.0,210,46,0.0
B0,DCE,d,2007-10-08 00:00:00,4160.0,4160.0,4056.0,4070.0,52,48,0.0
B0,DCE,d,2007-10-09 00:00:00,4075.0,4108.0,4020.0,4108.0,136,48,0.0
B0,DCE,d,2007-10-10 00:00:00,4148.0,4200.0,4140.0,4187.0,114,54,0.0
B0,DCE,d,2007-10-11 00:00:00,4150.0,4224.0,4150.0,4160.0,60,56,0.0
B0,DCE,d,2007-10-12 00:00:00,4191.0,4220.0,4140.0,4209.0,142,44,0.0
B0,DCE,d,2007-10-15 00:00:00,4220.0,4270.0,4170.0,4260.0,98,46,0.0
B0,DCE,d,2007-10-16 00:00:00,4260.0,4275.0,4241.0,4260.0,282,64,0.0
B0,DCE,d,2007-10-17 00:00:00,4234.0,4237.0,4170.0,4170.0,156,82,0.0
B0,DCE,d,2007-10-18 00:00:00,4230.0,4260.0,4200.0,4260.0,340,88,0.0
B0,DCE,d,2007-10-19 00:00:00,4213.0,4297.0,4205.0,4275.0,386,108,0.0
B0,DCE,d,2007-10-22 00:00:00,4220.0,4250.0,4220.0,4224.0,162,86,0.0
B0,DCE,d,2007-10-23 00:00:00,4275.0,4335.0,4260.0,4315.0,246,130,0.0
B0,DCE,d,2007-10-24 00:00:00,4260.0,4333.0,4260.0,4318.0,528,136,0.0
B0,DCE,d,2007-10-25 00:00:00,4342.0,4354.0,4305.0,4320.0,132,14,0.0
B0,DCE,d,2007-10-26 00:00:00,4374.0,4382.0,4355.0,4380.0,310,236,0.0
B0,DCE,d,2007-10-29 00:00:00,4450.0,4450.0,4380.0,4448.0,336,204,0.0
B0,DCE,d,2007-10-30 00:00:00,4380.0,4414.0,4370.0,4385.0,156,194,0.0
B0,DCE,d,2007-10-31 00:00:00,4310.0,4420.0,4304.0,4420.0,244,258,0.0
B0,DCE,d,2007-11-01 00:00:00,4450.0,4450.0,4381.0,4409.0,138,144,0.0
B0,DCE,d,2007-11-02 00:00:00,4370.0,4392.0,4330.0,4388.0,226,94,0.0
B0,DCE,d,2007-11-05 00:00:00,4455.0,4460.0,4365.0,4394.0,438,114,0.0
B0,DCE,d,2007-11-06 00:00:00,4439.0,4466.0,4360.0,4360.0,298,4,0.0
B0,DCE,d,2007-11-07 00:00:00,4500.0,4570.0,4500.0,4510.0,286,108,0.0
B0,DCE,d,2007-11-08 00:00:00,4444.0,4448.0,4410.0,4429.0,258,70,0.0
B0,DCE,d,2007-11-09 00:00:00,4391.0,4440.0,4356.0,4433.0,214,102,0.0
B0,DCE,d,2007-11-12 00:00:00,4431.0,4442.0,4412.0,4430.0,110,128,0.0
B0,DCE,d,2007-11-13 00:00:00,4481.0,4525.0,4465.0,4507.0,226,108,0.0
B0,DCE,d,2007-11-14 00:00:00,4541.0,4552.0,4530.0,4543.0,374,94,0.0
B0,DCE,d,2007-11-15 00:00:00,4600.0,4600.0,4560.0,4580.0,92,76,0.0
B0,DCE,d,2007-11-16 00:00:00,4475.0,4580.0,4475.0,4513.0,202,90,0.0
B0,DCE,d,2007-11-19 00:00:00,4500.0,4570.0,4351.0,4506.0,106,96,0.0
B0,DCE,d,2007-11-20 00:00:00,4150.0,4365.0,4150.0,4293.0,460,158,0.0
B0,DCE,d,2007-11-21 00:00:00,4300.0,4420.0,4275.0,4385.0,208,72,0.0
B0,DCE,d,2007-11-22 00:00:00,4310.0,4427.0,4310.0,4410.0,150,80,0.0
B0,DCE,d,2007-11-23 00:00:00,4350.0,4460.0,4350.0,4444.0,150,66,0.0
B0,DCE,d,2007-11-26 00:00:00,4499.0,4520.0,4442.0,4485.0,156,68,0.0
B0,DCE,d,2007-11-27 00:00:00,4440.0,4475.0,4422.0,4449.0,72,40,0.0
B0,DCE,d,2007-11-28 00:00:00,4420.0,4444.0,4325.0,4330.0,350,46,0.0
B0,DCE,d,2007-11-29 00:00:00,4365.0,4379.0,4285.0,4285.0,326,86,0.0
B0,DCE,d,2007-11-30 00:00:00,4255.0,4270.0,4170.0,4213.0,252,130,0.0
B0,DCE,d,2007-12-03 00:00:00,4262.0,4330.0,4222.0,4270.0,334,52,0.0
B0,DCE,d,2007-12-04 00:00:00,4291.0,4325.0,4270.0,4293.0,130,68,0.0
B0,DCE,d,2007-12-05 00:00:00,4380.0,4435.0,4280.0,4390.0,70,28,0.0
B0,DCE,d,2007-12-06 00:00:00,4270.0,4315.0,4260.0,4271.0,162,86,0.0
B0,DCE,d,2007-12-07 00:00:00,4316.0,4380.0,4280.0,4366.0,126,112,0.0
B0,DCE,d,2007-12-10 00:00:00,4400.0,4450.0,4366.0,4448.0,434,126,0.0
B0,DCE,d,2007-12-11 00:00:00,4410.0,4480.0,4410.0,4469.0,310,86,0.0
B0,DCE,d,2007-12-12 00:00:00,4461.0,4461.0,4360.0,4412.0,154,62,0.0
B0,DCE,d,2007-12-13 00:00:00,4500.0,4514.0,4475.0,4476.0,136,64,0.0
B0,DCE,d,2007-12-14 00:00:00,4463.0,4510.0,4450.0,4510.0,336,68,0.0
B0,DCE,d,2007-12-17 00:00:00,4505.0,4550.0,4505.0,4527.0,180,150,0.0
B0,DCE,d,2007-12-18 00:00:00,4470.0,4472.0,4430.0,4436.0,302,72,0.0
B0,DCE,d,2007-12-19 00:00:00,4450.0,4455.0,4414.0,4440.0,100,80,0.0
B0,DCE,d,2007-12-20 00:00:00,4457.0,4465.0,4435.0,4460.0,96,94,0.0
B0,DCE,d,2007-12-21 00:00:00,4422.0,4495.0,4420.0,4470.0,154,80,0.0
B0,DCE,d,2007-12-24 00:00:00,4483.0,4529.0,4483.0,4487.0,86,90,0.0
B0,DCE,d,2007-12-25 00:00:00,4510.0,4515.0,4465.0,4506.0,128,84,0.0
B0,DCE,d,2007-12-26 00:00:00,4555.0,4653.0,4555.0,4653.0,138,94,0.0
B0,DCE,d,2007-12-27 00:00:00,4680.0,4743.0,4660.0,4660.0,106,32,0.0
B0,DCE,d,2007-12-28 00:00:00,4656.0,4728.0,4651.0,4712.0,280,100,0.0
B0,DCE,d,2007-12-31 00:00:00,4656.0,4728.0,4651.0,4712.0,280,100,0.0
B0,DCE,d,2008-01-01 00:00:00,4656.0,4728.0,4651.0,4712.0,280,100,0.0
B0,DCE,d,2008-01-02 00:00:00,4725.0,4725.0,4593.0,4710.0,208,106,0.0
B0,DCE,d,2008-01-03 00:00:00,4739.0,4825.0,4724.0,4785.0,280,158,0.0
B0,DCE,d,2008-01-04 00:00:00,4810.0,4849.0,4761.0,4780.0,794,152,0.0
B0,DCE,d,2008-01-07 00:00:00,4730.0,4765.0,4701.0,4765.0,382,242,0.0
B0,DCE,d,2008-01-08 00:00:00,4746.0,4785.0,4678.0,4682.0,390,156,0.0
B0,DCE,d,2008-01-09 00:00:00,4740.0,4755.0,4705.0,4730.0,304,130,0.0
B0,DCE,d,2008-01-10 00:00:00,4735.0,4735.0,4665.0,4694.0,216,146,0.0
B0,DCE,d,2008-01-11 00:00:00,4712.0,4787.0,4701.0,4787.0,320,168,0.0
B0,DCE,d,2008-01-14 00:00:00,4938.0,4938.0,4801.0,4822.0,1944,526,0.0
B0,DCE,d,2008-01-15 00:00:00,4794.0,4828.0,4755.0,4780.0,382,422,0.0
B0,DCE,d,2008-01-16 00:00:00,4770.0,4790.0,4715.0,4732.0,374,402,0.0
B0,DCE,d,2008-01-17 00:00:00,4710.0,4930.0,4552.0,4762.0,690,360,0.0
B0,DCE,d,2008-01-18 00:00:00,4720.0,4720.0,4575.0,4638.0,342,326,0.0
B0,DCE,d,2008-01-21 00:00:00,4655.0,4745.0,4655.0,4732.0,342,298,0.0
B0,DCE,d,2008-01-22 00:00:00,4515.0,4622.0,4515.0,4549.0,618,354,0.0
B0,DCE,d,2008-01-23 00:00:00,4650.0,4670.0,4560.0,4598.0,662,380,0.0
B0,DCE,d,2008-01-24 00:00:00,4523.0,4560.0,4482.0,4560.0,428,258,0.0
B0,DCE,d,2008-01-25 00:00:00,4585.0,4652.0,4585.0,4633.0,526,210,0.0
B0,DCE,d,2008-01-28 00:00:00,4658.0,4658.0,4571.0,4619.0,254,190,0.0
B0,DCE,d,2008-01-29 00:00:00,4700.0,4700.0,4657.0,4664.0,194,120,0.0
B0,DCE,d,2008-01-31 00:00:00,4661.0,4671.0,4656.0,4671.0,102,140,0.0
B0,DCE,d,2008-02-01 00:00:00,4680.0,4726.0,4680.0,4726.0,98,116,0.0
B0,DCE,d,2008-02-04 00:00:00,4716.0,4780.0,4715.0,4780.0,130,128,0.0
B0,DCE,d,2008-02-05 00:00:00,4820.0,4852.0,4800.0,4826.0,302,104,0.0
B0,DCE,d,2008-02-13 00:00:00,4819.0,4819.0,4775.0,4810.0,88,120,0.0
B0,DCE,d,2008-02-14 00:00:00,4820.0,4892.0,4820.0,4873.0,306,154,0.0
B0,DCE,d,2008-02-15 00:00:00,4899.0,4980.0,4885.0,4912.0,222,140,0.0
B0,DCE,d,2008-02-18 00:00:00,4950.0,5020.0,4950.0,5020.0,320,188,0.0
B0,DCE,d,2008-02-19 00:00:00,5150.0,5150.0,4990.0,5033.0,310,198,0.0
