symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
BU0,SHFE,d,2013-10-09 00:00:00,4678.0,4678.0,4612.0,4620.0,240,48,0.0
BU0,SHFE,d,2013-10-10 00:00:00,4460.0,4522.0,4452.0,4502.0,204880,54008,0.0
BU0,SHFE,d,2013-10-11 00:00:00,4510.0,4524.0,4456.0,4466.0,180100,60936,0.0
BU0,SHFE,d,2013-10-14 00:00:00,4476.0,4490.0,4434.0,4444.0,148998,67386,0.0
BU0,SHFE,d,2013-10-15 00:00:00,4448.0,4494.0,4436.0,4442.0,201544,63700,0.0
BU0,SHFE,d,2013-10-16 00:00:00,4428.0,4484.0,4428.0,4432.0,206374,67078,0.0
BU0,SHFE,d,2013-10-17 00:00:00,4448.0,4460.0,4408.0,4410.0,142864,73002,0.0
BU0,SHFE,d,2013-10-18 00:00:00,4412.0,4430.0,4402.0,4404.0,88740,75164,0.0
BU0,SHFE,d,2013-10-21 00:00:00,4410.0,4466.0,4406.0,4452.0,154962,58838,0.0
BU0,SHFE,d,2013-10-22 00:00:00,4444.0,4454.0,4428.0,4440.0,57890,56140,0.0
BU0,SHFE,d,2013-10-23 00:00:00,4432.0,4444.0,4408.0,4436.0,85280,54076,0.0
BU0,SHFE,d,2013-10-24 00:00:00,4434.0,4482.0,4426.0,4458.0,161110,53534,0.0
BU0,SHFE,d,2013-10-25 00:00:00,4460.0,4464.0,4406.0,4406.0,115570,40222,0.0
BU0,SHFE,d,2013-10-28 00:00:00,4410.0,4412.0,4250.0,4268.0,355282,93932,0.0
BU0,SHFE,d,2013-10-29 00:00:00,4266.0,4288.0,4248.0,4270.0,231734,92778,0.0
BU0,SHFE,d,2013-10-30 00:00:00,4270.0,4328.0,4228.0,4316.0,391474,60394,0.0
BU0,SHFE,d,2013-10-31 00:00:00,4308.0,4324.0,4288.0,4292.0,128838,53198,0.0
BU0,SHFE,d,2013-11-01 00:00:00,4288.0,4340.0,4256.0,4310.0,191472,42912,0.0
BU0,SHFE,d,2013-11-04 00:00:00,4280.0,4336.0,4276.0,4314.0,93718,42202,0.0
BU0,SHFE,d,2013-11-05 00:00:00,4310.0,4332.0,4264.0,4308.0,125920,39746,0.0
BU0,SHFE,d,2013-11-06 00:00:00,4300.0,4316.0,4290.0,4308.0,71154,41692,0.0
BU0,SHFE,d,2013-11-07 00:00:00,4312.0,4324.0,4268.0,4274.0,113300,61360,0.0
BU0,SHFE,d,2013-11-08 00:00:00,4272.0,4284.0,4252.0,4260.0,103258,67934,0.0
