symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
BZ0,DCE,d,2025-07-08 00:00:00,5900.0,5957.0,5870.0,5931.0,24865,4290,0.0
BZ0,DCE,d,2025-07-09 00:00:00,5935.0,6089.0,5930.0,6070.0,31731,9140,0.0
BZ0,DCE,d,2025-07-10 00:00:00,6070.0,6363.0,6056.0,6253.0,77235,14483,0.0
BZ0,DCE,d,2025-07-11 00:00:00,6231.0,6293.0,6141.0,6183.0,64475,16038,0.0
BZ0,DCE,d,2025-07-14 00:00:00,6201.0,6260.0,6143.0,6189.0,37605,14760,0.0
BZ0,DCE,d,2025-07-15 00:00:00,6216.0,6230.0,6111.0,6144.0,24596,13970,0.0
BZ0,DCE,d,2025-07-16 00:00:00,6151.0,6180.0,6126.0,6166.0,14049,13891,0.0
BZ0,DCE,d,2025-07-17 00:00:00,6155.0,6165.0,6102.0,6122.0,12912,13126,0.0
BZ0,DCE,d,2025-07-18 00:00:00,6125.0,6209.0,6125.0,6164.0,12909,12958,0.0
BZ0,DCE,d,2025-07-21 00:00:00,6165.0,6269.0,6165.0,6241.0,21105,12910,0.0
BZ0,DCE,d,2025-07-22 00:00:00,6259.0,6292.0,6200.0,6278.0,20494,13685,0.0
BZ0,DCE,d,2025-07-23 00:00:00,6278.0,6292.0,6152.0,6196.0,14798,12060,0.0
BZ0,DCE,d,2025-07-24 00:00:00,6219.0,6279.0,6176.0,6226.0,10431,11978,0.0
BZ0,DCE,d,2025-07-25 00:00:00,6225.0,6437.0,6225.0,6387.0,23994,13432,0.0
BZ0,DCE,d,2025-07-28 00:00:00,6439.0,6439.0,6223.0,6251.0,20076,12222,0.0
BZ0,DCE,d,2025-07-29 00:00:00,6279.0,6315.0,6236.0,6296.0,10474,13067,0.0
BZ0,DCE,d,2025-07-30 00:00:00,6295.0,6334.0,6276.0,6307.0,10003,12826,0.0
BZ0,DCE,d,2025-07-31 00:00:00,6310.0,6348.0,6280.0,6294.0,9450,13020,0.0
BZ0,DCE,d,2025-08-01 00:00:00,6300.0,6310.0,6252.0,6260.0,6234,13078,0.0
BZ0,DCE,d,2025-08-04 00:00:00,6270.0,6286.0,6182.0,6240.0,7340,12859,0.0
BZ0,DCE,d,2025-08-05 00:00:00,6200.0,6232.0,6190.0,6220.0,5643,12769,0.0
BZ0,DCE,d,2025-08-06 00:00:00,6205.0,6268.0,6200.0,6246.0,5622,12918,0.0
BZ0,DCE,d,2025-08-07 00:00:00,6266.0,6298.0,6245.0,6248.0,6443,13498,0.0
BZ0,DCE,d,2025-08-08 00:00:00,6259.0,6260.0,6202.0,6204.0,5115,14201,0.0
BZ0,DCE,d,2025-08-11 00:00:00,6220.0,6260.0,6205.0,6230.0,5637,13779,0.0
BZ0,DCE,d,2025-08-12 00:00:00,6230.0,6286.0,6217.0,6250.0,6584,14400,0.0
BZ0,DCE,d,2025-08-13 00:00:00,6248.0,6272.0,6232.0,6237.0,3881,14786,0.0
BZ0,DCE,d,2025-08-14 00:00:00,6250.0,6253.0,6172.0,6179.0,6199,14833,0.0
BZ0,DCE,d,2025-08-15 00:00:00,6185.0,6207.0,6162.0,6189.0,4271,14698,0.0
BZ0,DCE,d,2025-08-18 00:00:00,6185.0,6196.0,6151.0,6186.0,5030,14110,0.0
BZ0,DCE,d,2025-08-19 00:00:00,6186.0,6206.0,6171.0,6182.0,3358,13983,0.0
BZ0,DCE,d,2025-08-20 00:00:00,6189.0,6269.0,6104.0,6205.0,11282,13106,0.0
BZ0,DCE,d,2025-08-21 00:00:00,6210.0,6233.0,6161.0,6200.0,6284,12889,0.0
BZ0,DCE,d,2025-08-22 00:00:00,6198.0,6241.0,6182.0,6208.0,5746,12693,0.0
BZ0,DCE,d,2025-08-25 00:00:00,6223.0,6236.0,6196.0,6206.0,5336,13064,0.0
BZ0,DCE,d,2025-08-26 00:00:00,6217.0,6227.0,6156.0,6156.0,4763,13195,0.0
BZ0,DCE,d,2025-08-27 00:00:00,6156.0,6190.0,6110.0,6114.0,5345,13178,0.0
BZ0,DCE,d,2025-08-28 00:00:00,6118.0,6125.0,6077.0,6095.0,4852,13215,0.0
BZ0,DCE,d,2025-08-29 00:00:00,6120.0,6129.0,6045.0,6047.0,5320,13418,0.0
BZ0,DCE,d,2025-09-01 00:00:00,6053.0,6064.0,5931.0,6010.0,7664,13278,0.0
BZ0,DCE,d,2025-09-02 00:00:00,6045.0,6045.0,5925.0,5936.0,5447,13794,0.0
BZ0,DCE,d,2025-09-03 00:00:00,5950.0,6024.0,5931.0,6005.0,6378,13502,0.0
BZ0,DCE,d,2025-09-04 00:00:00,5970.0,5989.0,5946.0,5970.0,3708,13717,0.0
BZ0,DCE,d,2025-09-05 00:00:00,5984.0,6075.0,5971.0,6049.0,5500,13428,0.0
BZ0,DCE,d,2025-09-08 00:00:00,6010.0,6034.0,6001.0,6013.0,2797,13370,0.0
BZ0,DCE,d,2025-09-09 00:00:00,6011.0,6020.0,5981.0,6006.0,2631,13674,0.0
BZ0,DCE,d,2025-09-10 00:00:00,6009.0,6033.0,5983.0,6019.0,2588,13597,0.0
BZ0,DCE,d,2025-09-11 00:00:00,6028.0,6047.0,6012.0,6040.0,2740,13650,0.0
BZ0,DCE,d,2025-09-12 00:00:00,6015.0,6034.0,5965.0,5988.0,4745,13100,0.0
BZ0,DCE,d,2025-09-15 00:00:00,6015.0,6049.0,5998.0,6032.0,4149,12379,0.0
BZ0,DCE,d,2025-09-16 00:00:00,6025.0,6100.0,6025.0,6073.0,4919,12122,0.0
BZ0,DCE,d,2025-09-17 00:00:00,6090.0,6098.0,6046.0,6057.0,2238,12075,0.0
BZ0,DCE,d,2025-09-18 00:00:00,6059.0,6070.0,5982.0,5999.0,4699,12356,0.0
BZ0,DCE,d,2025-09-19 00:00:00,5999.0,6010.0,5952.0,5966.0,3494,12678,0.0
BZ0,DCE,d,2025-09-22 00:00:00,5977.0,5977.0,5894.0,5921.0,5914,13202,0.0
BZ0,DCE,d,2025-09-23 00:00:00,5900.0,5906.0,5835.0,5870.0,6061,13466,0.0
BZ0,DCE,d,2025-09-24 00:00:00,5882.0,5942.0,5873.0,5907.0,5133,12986,0.0
