symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
CS0,DCE,d,2014-12-22 00:00:00,2795.0,2800.0,2727.0,2738.0,26170,8132,0.0
CS0,DCE,d,2014-12-23 00:00:00,2736.0,2760.0,2715.0,2740.0,18726,8664,0.0
CS0,DCE,d,2014-12-24 00:00:00,2747.0,2760.0,2741.0,2752.0,8284,7722,0.0
CS0,DCE,d,2014-12-25 00:00:00,2750.0,2750.0,2665.0,2727.0,20260,8792,0.0
CS0,DCE,d,2014-12-26 00:00:00,2727.0,2738.0,2718.0,2721.0,9158,9116,0.0
CS0,DCE,d,2014-12-29 00:00:00,2722.0,2737.0,2720.0,2731.0,5406,8528,0.0
CS0,DCE,d,2014-12-30 00:00:00,2727.0,2733.0,2710.0,2721.0,9056,8196,0.0
CS0,DCE,d,2014-12-31 00:00:00,2728.0,2728.0,2708.0,2713.0,5280,7520,0.0
CS0,DCE,d,2015-01-05 00:00:00,2718.0,2718.0,2678.0,2684.0,13408,9790,0.0
CS0,DCE,d,2015-01-06 00:00:00,2689.0,2697.0,2624.0,2630.0,28882,14276,0.0
CS0,DCE,d,2015-01-07 00:00:00,2640.0,2651.0,2625.0,2643.0,16506,12144,0.0
CS0,DCE,d,2015-01-08 00:00:00,2640.0,2657.0,2636.0,2652.0,10858,12230,0.0
CS0,DCE,d,2015-01-09 00:00:00,2652.0,2662.0,2637.0,2648.0,12278,12758,0.0
CS0,DCE,d,2015-01-12 00:00:00,2649.0,2660.0,2648.0,2658.0,8452,12546,0.0
CS0,DCE,d,2015-01-13 00:00:00,2658.0,2661.0,2638.0,2658.0,10230,13294,0.0
CS0,DCE,d,2015-01-14 00:00:00,2646.0,2665.0,2646.0,2647.0,8676,12464,0.0
CS0,DCE,d,2015-01-15 00:00:00,2645.0,2663.0,2640.0,2662.0,7404,12536,0.0
CS0,DCE,d,2015-01-16 00:00:00,2660.0,2692.0,2655.0,2684.0,11940,12184,0.0
CS0,DCE,d,2015-01-19 00:00:00,2690.0,2714.0,2680.0,2701.0,9284,10964,0.0
CS0,DCE,d,2015-01-20 00:00:00,2700.0,2708.0,2694.0,2702.0,4142,11160,0.0
CS0,DCE,d,2015-01-21 00:00:00,2704.0,2723.0,2702.0,2711.0,7186,10840,0.0
CS0,DCE,d,2015-01-22 00:00:00,2713.0,2714.0,2672.0,2694.0,10236,11980,0.0
CS0,DCE,d,2015-01-23 00:00:00,2690.0,2703.0,2681.0,2686.0,4912,12616,0.0
CS0,DCE,d,2015-01-26 00:00:00,2695.0,2703.0,2660.0,2694.0,5054,12394,0.0
CS0,DCE,d,2015-01-27 00:00:00,2695.0,2736.0,2693.0,2728.0,12686,11850,0.0
CS0,DCE,d,2015-01-28 00:00:00,2725.0,2763.0,2704.0,2759.0,13162,12770,0.0
CS0,DCE,d,2015-01-29 00:00:00,2760.0,2828.0,2750.0,2780.0,23094,13520,0.0
CS0,DCE,d,2015-01-30 00:00:00,2780.0,2795.0,2766.0,2778.0,14918,13628,0.0
CS0,DCE,d,2015-02-02 00:00:00,2781.0,2812.0,2765.0,2796.0,11744,13480,0.0
