symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
CU0,SHFE,d,2005-01-04 00:00:00,29110.0,29190.0,28270.0,28560.0,134210,115364,0.0
CU0,SHFE,d,2005-01-05 00:00:00,27990.0,27990.0,27990.0,27990.0,4054,112584,0.0
CU0,SHFE,d,2005-01-06 00:00:00,28070.0,28520.0,28020.0,28470.0,118436,116186,0.0
CU0,SHFE,d,2005-01-07 00:00:00,28380.0,28570.0,28310.0,28420.0,76214,119018,0.0
CU0,SHFE,d,2005-01-10 00:00:00,28390.0,28590.0,27930.0,28150.0,115932,128252,0.0
CU0,SHFE,d,2005-01-11 00:00:00,28360.0,28550.0,28330.0,28510.0,88654,125050,0.0
CU0,SHFE,d,2005-01-12 00:00:00,28800.0,28920.0,28730.0,28900.0,72470,124612,0.0
CU0,SHFE,d,2005-01-13 00:00:00,28820.0,28870.0,28650.0,28810.0,76128,126476,0.0
CU0,SHFE,d,2005-01-14 00:00:00,28550.0,28810.0,28520.0,28800.0,79154,127766,0.0
CU0,SHFE,d,2005-01-17 00:00:00,29000.0,29530.0,28950.0,29290.0,103014,122210,0.0
CU0,SHFE,d,2005-01-18 00:00:00,29200.0,29340.0,28980.0,29250.0,87748,122594,0.0
CU0,SHFE,d,2005-01-19 00:00:00,29350.0,29630.0,29310.0,29590.0,86840,121112,0.0
CU0,SHFE,d,2005-01-20 00:00:00,29540.0,29750.0,29470.0,29570.0,64930,120410,0.0
CU0,SHFE,d,2005-01-21 00:00:00,29880.0,30010.0,29740.0,30000.0,67626,113344,0.0
CU0,SHFE,d,2005-01-24 00:00:00,30290.0,30710.0,30270.0,30620.0,71158,108960,0.0
CU0,SHFE,d,2005-01-25 00:00:00,29300.0,29580.0,29250.0,29580.0,74766,87170,0.0
CU0,SHFE,d,2005-01-26 00:00:00,29480.0,29560.0,28790.0,29020.0,172550,100070,0.0
CU0,SHFE,d,2005-01-27 00:00:00,29470.0,29720.0,29460.0,29620.0,86284,99160,0.0
CU0,SHFE,d,2005-01-28 00:00:00,29420.0,29660.0,29360.0,29610.0,92426,100844,0.0
CU0,SHFE,d,2005-01-31 00:00:00,29850.0,29930.0,29370.0,29470.0,99588,109216,0.0
CU0,SHFE,d,2005-02-01 00:00:00,29600.0,29700.0,29490.0,29550.0,61818,110246,0.0
CU0,SHFE,d,2005-02-02 00:00:00,29320.0,29470.0,29250.0,29460.0,59130,110774,0.0
CU0,SHFE,d,2005-02-03 00:00:00,29170.0,29260.0,28820.0,28920.0,104998,115028,0.0
CU0,SHFE,d,2005-02-04 00:00:00,29130.0,29280.0,28970.0,29270.0,71274,112320,0.0
CU0,SHFE,d,2005-02-16 00:00:00,29990.0,29990.0,29960.0,29990.0,24370,105918,0.0
CU0,SHFE,d,2005-02-17 00:00:00,30060.0,30310.0,29960.0,30290.0,59786,105588,0.0
CU0,SHFE,d,2005-02-18 00:00:00,30850.0,31000.0,30720.0,30990.0,64392,95140,0.0
CU0,SHFE,d,2005-02-21 00:00:00,30030.0,30170.0,29910.0,30110.0,56902,62380,0.0
CU0,SHFE,d,2005-02-22 00:00:00,30100.0,30530.0,30030.0,30520.0,64358,68322,0.0
CU0,SHFE,d,2005-02-23 00:00:00,30400.0,30470.0,30150.0,30220.0,77852,79212,0.0
CU0,SHFE,d,2005-02-24 00:00:00,30420.0,30750.0,30400.0,30740.0,82740,77420,0.0
CU0,SHFE,d,2005-02-25 00:00:00,30400.0,30440.0,30080.0,30220.0,95590,78372,0.0
CU0,SHFE,d,2005-02-28 00:00:00,30550.0,31010.0,30550.0,30860.0,87278,79984,0.0
CU0,SHFE,d,2005-03-01 00:00:00,30670.0,30820.0,30590.0,30680.0,68676,83076,0.0
CU0,SHFE,d,2005-03-02 00:00:00,30350.0,30550.0,30200.0,30540.0,87364,82756,0.0
CU0,SHFE,d,2005-03-03 00:00:00,30940.0,30940.0,30580.0,30620.0,59456,82394,0.0
CU0,SHFE,d,2005-03-04 00:00:00,30700.0,30910.0,30110.0,30520.0,127260,90428,0.0
CU0,SHFE,d,2005-03-07 00:00:00,30920.0,30950.0,30720.0,30760.0,59582,89484,0.0
CU0,SHFE,d,2005-03-08 00:00:00,30900.0,30920.0,30750.0,30920.0,51700,92890,0.0
CU0,SHFE,d,2005-03-09 00:00:00,30930.0,31300.0,30870.0,31260.0,75670,95466,0.0
CU0,SHFE,d,2005-03-10 00:00:00,31260.0,31350.0,31080.0,31300.0,61104,96234,0.0
