symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
CY0,CZCE,d,2017-08-23 00:00:00,23080.0,23155.0,23045.0,23070.0,9078,6958,0.0
CY0,CZCE,d,2017-08-24 00:00:00,23070.0,23120.0,23010.0,23050.0,4510,6420,0.0
CY0,CZCE,d,2017-08-25 00:00:00,23040.0,23095.0,23030.0,23050.0,3012,5830,0.0
CY0,CZCE,d,2017-08-28 00:00:00,23055.0,23100.0,23000.0,23075.0,3914,5684,0.0
CY0,CZCE,d,2017-08-29 00:00:00,23100.0,23135.0,23035.0,23050.0,2572,5352,0.0
CY0,CZCE,d,2017-08-30 00:00:00,23025.0,23085.0,23005.0,23020.0,1842,5314,0.0
CY0,CZCE,d,2017-08-31 00:00:00,23030.0,23080.0,23020.0,23025.0,1784,4908,0.0
CY0,CZCE,d,2017-09-01 00:00:00,23020.0,23095.0,23020.0,23030.0,2186,4792,0.0
CY0,CZCE,d,2017-09-04 00:00:00,23055.0,23645.0,23040.0,23400.0,14420,6228,0.0
CY0,CZCE,d,2017-09-05 00:00:00,23425.0,23575.0,23300.0,23495.0,5994,5966,0.0
CY0,CZCE,d,2017-09-06 00:00:00,23535.0,23585.0,23335.0,23345.0,6078,5762,0.0
CY0,CZCE,d,2017-09-07 00:00:00,23365.0,23410.0,23220.0,23295.0,4074,5270,0.0
CY0,CZCE,d,2017-09-08 00:00:00,23325.0,23340.0,23020.0,23080.0,5524,4380,0.0
CY0,CZCE,d,2017-09-11 00:00:00,23105.0,24075.0,22530.0,23210.0,15894,4024,0.0
CY0,CZCE,d,2017-09-12 00:00:00,23165.0,23290.0,23130.0,23225.0,2178,3876,0.0
CY0,CZCE,d,2017-09-13 00:00:00,23190.0,23285.0,23050.0,23155.0,3018,3580,0.0
CY0,CZCE,d,2017-09-14 00:00:00,23125.0,23210.0,23080.0,23085.0,1432,3482,0.0
CY0,CZCE,d,2017-09-15 00:00:00,23075.0,23120.0,23020.0,23050.0,1498,3390,0.0
CY0,CZCE,d,2017-09-18 00:00:00,23030.0,23095.0,22880.0,23080.0,1904,3038,0.0
CY0,CZCE,d,2017-09-19 00:00:00,23160.0,23200.0,23035.0,23095.0,1962,2674,0.0
CY0,CZCE,d,2017-09-20 00:00:00,23085.0,23390.0,23070.0,23385.0,3342,2334,0.0
CY0,CZCE,d,2017-09-21 00:00:00,23390.0,23390.0,23210.0,23210.0,1426,2034,0.0
CY0,CZCE,d,2017-09-22 00:00:00,23235.0,23280.0,23125.0,23155.0,1880,1952,0.0
CY0,CZCE,d,2017-09-25 00:00:00,23145.0,23245.0,23135.0,23235.0,974,1880,0.0
CY0,CZCE,d,2017-09-26 00:00:00,23255.0,23370.0,23205.0,23320.0,1508,1952,0.0
CY0,CZCE,d,2017-09-27 00:00:00,23300.0,23310.0,23085.0,23105.0,1778,1910,0.0
CY0,CZCE,d,2017-09-28 00:00:00,23080.0,23145.0,22860.0,22900.0,1928,2080,0.0
CY0,CZCE,d,2017-09-29 00:00:00,22845.0,23010.0,22845.0,22920.0,1072,1848,0.0
CY0,CZCE,d,2017-10-09 00:00:00,23055.0,23055.0,22860.0,22960.0,582,1820,0.0
CY0,CZCE,d,2017-10-10 00:00:00,22980.0,22995.0,22920.0,22935.0,658,1796,0.0
CY0,CZCE,d,2017-10-11 00:00:00,22995.0,23000.0,22900.0,22910.0,604,1732,0.0
CY0,CZCE,d,2017-10-12 00:00:00,22900.0,22965.0,22860.0,22925.0,1104,1736,0.0
CY0,CZCE,d,2017-10-13 00:00:00,22940.0,23010.0,22910.0,22940.0,826,1650,0.0
CY0,CZCE,d,2017-10-16 00:00:00,23000.0,23110.0,22925.0,23060.0,980,1596,0.0
CY0,CZCE,d,2017-10-17 00:00:00,23005.0,23070.0,22990.0,23000.0,340,1510,0.0
CY0,CZCE,d,2017-10-18 00:00:00,23015.0,23080.0,23015.0,23015.0,332,1518,0.0
CY0,CZCE,d,2017-10-19 00:00:00,23035.0,23035.0,22840.0,22945.0,532,1564,0.0
CY0,CZCE,d,2017-10-20 00:00:00,22905.0,22930.0,22805.0,22865.0,854,1590,0.0
CY0,CZCE,d,2017-10-23 00:00:00,22845.0,22920.0,22775.0,22870.0,654,1596,0.0
CY0,CZCE,d,2017-10-24 00:00:00,22895.0,22975.0,22895.0,22895.0,504,1566,0.0
CY0,CZCE,d,2017-10-25 00:00:00,22920.0,22950.0,22900.0,22950.0,254,1508,0.0
CY0,CZCE,d,2017-10-26 00:00:00,22930.0,22990.0,22900.0,22930.0,200,1474,0.0
CY0,CZCE,d,2017-10-27 00:00:00,22940.0,22940.0,22840.0,22855.0,228,1490,0.0
CY0,CZCE,d,2017-10-30 00:00:00,22885.0,22980.0,22825.0,22885.0,262,1420,0.0
CY0,CZCE,d,2017-10-31 00:00:00,22915.0,22950.0,22860.0,22950.0,274,1400,0.0
CY0,CZCE,d,2017-11-01 00:00:00,22995.0,23045.0,22880.0,22975.0,426,1348,0.0
CY0,CZCE,d,2017-11-02 00:00:00,22900.0,23030.0,22890.0,23015.0,302,1308,0.0
CY0,CZCE,d,2017-11-03 00:00:00,23040.0,23080.0,22970.0,23060.0,450,1194,0.0
CY0,CZCE,d,2017-11-06 00:00:00,23070.0,23100.0,23025.0,23095.0,322,1184,0.0
CY0,CZCE,d,2017-11-07 00:00:00,23060.0,23160.0,23045.0,23120.0,430,1104,0.0
CY0,CZCE,d,2017-11-08 00:00:00,23165.0,23165.0,23040.0,23060.0,262,1066,0.0
CY0,CZCE,d,2017-11-09 00:00:00,23075.0,23080.0,23005.0,23055.0,136,1050,0.0
CY0,CZCE,d,2017-11-10 00:00:00,23080.0,23095.0,23035.0,23055.0,86,1028,0.0
CY0,CZCE,d,2017-11-13 00:00:00,23015.0,23270.0,22905.0,23140.0,290,1018,0.0
CY0,CZCE,d,2017-11-14 00:00:00,23160.0,23160.0,23075.0,23100.0,192,946,0.0
CY0,CZCE,d,2017-11-15 00:00:00,23050.0,23080.0,22970.0,23000.0,194,878,0.0
CY0,CZCE,d,2017-11-16 00:00:00,23040.0,23055.0,22965.0,23040.0,160,842,0.0
CY0,CZCE,d,2017-11-17 00:00:00,23030.0,23050.0,23005.0,23005.0,90,822,0.0
CY0,CZCE,d,2017-11-20 00:00:00,23005.0,23035.0,22925.0,22965.0,154,816,0.0
CY0,CZCE,d,2017-11-21 00:00:00,22905.0,22965.0,22905.0,22905.0,136,762,0.0
CY0,CZCE,d,2017-11-22 00:00:00,22890.0,22980.0,22880.0,22880.0,130,770,0.0
CY0,CZCE,d,2017-11-23 00:00:00,22900.0,23000.0,22880.0,22915.0,216,728,0.0
CY0,CZCE,d,2017-11-24 00:00:00,22915.0,22985.0,22840.0,22930.0,76,706,0.0
CY0,CZCE,d,2017-11-27 00:00:00,22910.0,23015.0,22910.0,22980.0,104,674,0.0
CY0,CZCE,d,2017-11-28 00:00:00,23025.0,23185.0,22920.0,23175.0,520,560,0.0
CY0,CZCE,d,2017-11-29 00:00:00,23210.0,23240.0,23085.0,23100.0,226,474,0.0
CY0,CZCE,d,2017-11-30 00:00:00,23100.0,23255.0,23100.0,23215.0,166,474,0.0
CY0,CZCE,d,2017-12-01 00:00:00,23005.0,24660.0,23005.0,23575.0,682,70,0.0
CY0,CZCE,d,2017-12-04 00:00:00,23130.0,23240.0,23130.0,23220.0,38,390,0.0
CY0,CZCE,d,2017-12-05 00:00:00,23200.0,23210.0,23105.0,23150.0,116,326,0.0
CY0,CZCE,d,2017-12-06 00:00:00,23110.0,23195.0,23110.0,23180.0,74,296,0.0
CY0,CZCE,d,2017-12-07 00:00:00,23130.0,23180.0,23095.0,23095.0,18,284,0.0
CY0,CZCE,d,2017-12-08 00:00:00,23090.0,23200.0,23075.0,23080.0,104,230,0.0
CY0,CZCE,d,2017-12-11 00:00:00,23035.0,23180.0,23035.0,23105.0,98,170,0.0
CY0,CZCE,d,2017-12-12 00:00:00,23090.0,23180.0,23090.0,23160.0,42,162,0.0
CY0,CZCE,d,2017-12-13 00:00:00,23750.0,23750.0,23125.0,23340.0,140,158,0.0
CY0,CZCE,d,2017-12-14 00:00:00,23445.0,23735.0,23345.0,23345.0,86,128,0.0
CY0,CZCE,d,2017-12-15 00:00:00,23045.0,23245.0,23045.0,23105.0,16,160,0.0
CY0,CZCE,d,2017-12-18 00:00:00,23195.0,23220.0,23195.0,23220.0,12,156,0.0
CY0,CZCE,d,2017-12-19 00:00:00,23235.0,23235.0,23135.0,23135.0,10,154,0.0
CY0,CZCE,d,2017-12-20 00:00:00,23105.0,23210.0,23030.0,23180.0,12,154,0.0
CY0,CZCE,d,2017-12-21 00:00:00,23030.0,23175.0,23030.0,23100.0,6,158,0.0
CY0,CZCE,d,2017-12-22 00:00:00,23175.0,23225.0,23015.0,23015.0,34,156,0.0
CY0,CZCE,d,2017-12-25 00:00:00,23165.0,23165.0,23055.0,23090.0,16,156,0.0
CY0,CZCE,d,2017-12-26 00:00:00,23055.0,23110.0,23055.0,23110.0,16,160,0.0
CY0,CZCE,d,2017-12-27 00:00:00,23185.0,23205.0,22900.0,23035.0,20,154,0.0
CY0,CZCE,d,2017-12-28 00:00:00,23150.0,23155.0,23065.0,23155.0,10,156,0.0
CY0,CZCE,d,2017-12-29 00:00:00,23100.0,23100.0,23100.0,23100.0,2,156,0.0
CY0,CZCE,d,2018-01-02 00:00:00,22800.0,23215.0,22800.0,23070.0,18,164,0.0
CY0,CZCE,d,2018-01-03 00:00:00,23180.0,23200.0,23000.0,23000.0,52,150,0.0
CY0,CZCE,d,2018-01-04 00:00:00,23025.0,23055.0,23010.0,23010.0,28,138,0.0
CY0,CZCE,d,2018-01-05 00:00:00,22950.0,23155.0,22950.0,23155.0,30,126,0.0
CY0,CZCE,d,2018-01-08 00:00:00,23205.0,23205.0,23015.0,23150.0,54,130,0.0
CY0,CZCE,d,2018-01-09 00:00:00,23075.0,23190.0,23070.0,23190.0,18,124,0.0
CY0,CZCE,d,2018-01-10 00:00:00,23080.0,23230.0,23075.0,23140.0,18,124,0.0
CY0,CZCE,d,2018-01-12 00:00:00,23220.0,23240.0,23065.0,23100.0,40,118,0.0
CY0,CZCE,d,2018-01-15 00:00:00,23030.0,23145.0,23030.0,23095.0,22,116,0.0
CY0,CZCE,d,2018-01-16 00:00:00,23030.0,23105.0,23030.0,23095.0,18,108,0.0
CY0,CZCE,d,2018-01-17 00:00:00,23070.0,23090.0,23065.0,23090.0,12,106,0.0
CY0,CZCE,d,2018-01-18 00:00:00,23040.0,23350.0,23040.0,23230.0,48,100,0.0
CY0,CZCE,d,2018-01-19 00:00:00,23385.0,23410.0,23220.0,23335.0,42,104,0.0
CY0,CZCE,d,2018-01-22 00:00:00,23220.0,23365.0,23220.0,23300.0,54,88,0.0
CY0,CZCE,d,2018-01-23 00:00:00,23415.0,23555.0,23245.0,23435.0,94,94,0.0
CY0,CZCE,d,2018-01-24 00:00:00,23420.0,23635.0,23400.0,23500.0,92,80,0.0
CY0,CZCE,d,2018-01-25 00:00:00,23550.0,23550.0,23345.0,23440.0,68,54,0.0
CY0,CZCE,d,2018-01-26 00:00:00,23425.0,23430.0,23410.0,23410.0,18,46,0.0
CY0,CZCE,d,2018-01-29 00:00:00,23410.0,23445.0,23320.0,23335.0,14,38,0.0
CY0,CZCE,d,2018-01-30 00:00:00,23260.0,23415.0,23260.0,23385.0,12,38,0.0
CY0,CZCE,d,2018-01-31 00:00:00,23330.0,23330.0,23330.0,23330.0,2,38,0.0
CY0,CZCE,d,2018-02-01 00:00:00,23305.0,23305.0,23305.0,23305.0,6,36,0.0
CY0,CZCE,d,2018-02-02 00:00:00,23230.0,23375.0,23230.0,23375.0,6,32,0.0
CY0,CZCE,d,2018-02-05 00:00:00,23225.0,23250.0,23225.0,23235.0,10,30,0.0
CY0,CZCE,d,2018-02-06 00:00:00,23325.0,23325.0,23325.0,23325.0,2,30,0.0
CY0,CZCE,d,2018-02-07 00:00:00,23260.0,23260.0,23245.0,23250.0,10,28,0.0
CY0,CZCE,d,2018-02-08 00:00:00,23280.0,23280.0,23280.0,23280.0,8,24,0.0
CY0,CZCE,d,2018-02-09 00:00:00,23265.0,23265.0,23060.0,23175.0,8,24,0.0
CY0,CZCE,d,2018-02-12 00:00:00,23345.0,23750.0,22575.0,23350.0,32,36,0.0
CY0,CZCE,d,2018-02-13 00:00:00,22695.0,23325.0,22690.0,23080.0,60,28,0.0
CY0,CZCE,d,2018-02-14 00:00:00,23120.0,23120.0,23045.0,23045.0,4,30,0.0
CY0,CZCE,d,2018-02-26 00:00:00,23215.0,23220.0,23200.0,23200.0,12,20,0.0
CY0,CZCE,d,2018-03-02 00:00:00,23305.0,24145.0,23075.0,23095.0,52,16,0.0
CY0,CZCE,d,2018-03-05 00:00:00,23095.0,23450.0,22520.0,23350.0,26,20,0.0
CY0,CZCE,d,2018-03-08 00:00:00,23100.0,23370.0,23045.0,23350.0,18,18,0.0
CY0,CZCE,d,2018-03-14 00:00:00,23350.0,23525.0,23275.0,23275.0,8,10,0.0
CY0,CZCE,d,2018-03-19 00:00:00,22480.0,23230.0,22480.0,23150.0,8,12,0.0
CY0,CZCE,d,2018-03-22 00:00:00,22980.0,23055.0,22980.0,23055.0,4,16,0.0
CY0,CZCE,d,2018-03-23 00:00:00,23210.0,23245.0,23210.0,23245.0,4,14,0.0
CY0,CZCE,d,2018-03-26 00:00:00,22300.0,23710.0,22300.0,23035.0,10,16,0.0
CY0,CZCE,d,2018-03-27 00:00:00,23550.0,23615.0,22830.0,23120.0,32,14,0.0
CY0,CZCE,d,2018-03-29 00:00:00,23160.0,23160.0,23120.0,23120.0,4,6,0.0
CY0,CZCE,d,2018-04-03 00:00:00,23020.0,23430.0,23020.0,23430.0,4,16,0.0
CY0,CZCE,d,2018-04-04 00:00:00,22485.0,22485.0,22485.0,22485.0,2,14,0.0
CY0,CZCE,d,2018-04-09 00:00:00,24045.0,24045.0,21895.0,23390.0,30,12,0.0
CY0,CZCE,d,2018-04-10 00:00:00,23475.0,23475.0,23475.0,23475.0,4,8,0.0
CY0,CZCE,d,2018-04-11 00:00:00,23400.0,23400.0,23065.0,23065.0,6,16,0.0
CY0,CZCE,d,2018-04-19 00:00:00,23115.0,23115.0,23115.0,23115.0,4,6,0.0
CY0,CZCE,d,2018-04-25 00:00:00,23770.0,23770.0,22980.0,22980.0,14,4,0.0
CY0,CZCE,d,2018-04-27 00:00:00,23180.0,23180.0,23180.0,23180.0,2,2,0.0
CY0,CZCE,d,2018-05-04 00:00:00,22615.0,23700.0,22615.0,23545.0,8,4,0.0
