symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
EC0,INE,d,2023-08-18 00:00:00,770.0,932.9,770.0,916.3,343882,12099,0.0
EC0,INE,d,2023-08-21 00:00:00,918.0,950.0,894.1,903.2,268074,14428,0.0
EC0,INE,d,2023-08-22 00:00:00,895.4,957.0,885.0,895.1,332138,15913,0.0
EC0,INE,d,2023-08-23 00:00:00,895.0,930.7,894.4,901.6,263360,16859,0.0
EC0,INE,d,2023-08-24 00:00:00,905.0,920.7,866.0,874.8,261191,20109,0.0
EC0,INE,d,2023-08-25 00:00:00,880.0,888.0,852.0,861.5,229053,21668,0.0
EC0,INE,d,2023-08-28 00:00:00,872.1,890.0,828.2,846.0,203556,23041,0.0
EC0,INE,d,2023-08-29 00:00:00,848.1,867.8,831.2,855.7,207637,20026,0.0
EC0,INE,d,2023-08-30 00:00:00,861.1,875.0,855.7,864.0,169160,17960,0.0
EC0,INE,d,2023-08-31 00:00:00,865.0,872.0,842.3,857.3,198891,19316,0.0
EC0,INE,d,2023-09-01 00:00:00,866.5,895.8,857.3,883.7,213787,20147,0.0
EC0,INE,d,2023-09-04 00:00:00,895.0,900.0,872.8,877.8,157748,21372,0.0
EC0,INE,d,2023-09-05 00:00:00,878.0,971.1,877.2,969.0,347586,30025,0.0
EC0,INE,d,2023-09-06 00:00:00,972.0,980.4,918.0,928.6,346145,27606,0.0
EC0,INE,d,2023-09-07 00:00:00,930.0,961.0,910.0,920.1,312316,29062,0.0
EC0,INE,d,2023-09-08 00:00:00,915.0,934.7,890.4,891.0,242683,28955,0.0
EC0,INE,d,2023-09-11 00:00:00,892.9,918.6,888.8,905.3,181314,29825,0.0
EC0,INE,d,2023-09-12 00:00:00,909.0,921.8,898.0,905.3,145552,30208,0.0
EC0,INE,d,2023-09-13 00:00:00,910.0,918.8,868.6,876.4,195593,32468,0.0
EC0,INE,d,2023-09-14 00:00:00,878.0,890.6,866.0,870.5,141628,34337,0.0
EC0,INE,d,2023-09-15 00:00:00,878.0,889.8,871.5,884.5,116020,31022,0.0
EC0,INE,d,2023-09-18 00:00:00,884.8,914.5,880.0,897.7,153019,31832,0.0
EC0,INE,d,2023-09-19 00:00:00,900.0,908.1,886.0,894.9,105863,31798,0.0
EC0,INE,d,2023-09-20 00:00:00,898.0,916.0,894.0,908.7,100050,32067,0.0
EC0,INE,d,2023-09-21 00:00:00,906.0,911.3,878.2,882.0,119952,31836,0.0
EC0,INE,d,2023-09-22 00:00:00,890.0,890.0,870.0,877.8,103584,32413,0.0
EC0,INE,d,2023-09-25 00:00:00,876.3,884.4,831.6,834.1,144608,41869,0.0
