symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
EG0,DCE,d,2018-12-10 00:00:00,5600.0,5781.0,5550.0,5674.0,674676,69526,0.0
EG0,DCE,d,2018-12-11 00:00:00,5618.0,5680.0,5497.0,5541.0,481954,83122,0.0
EG0,DCE,d,2018-12-12 00:00:00,5580.0,5598.0,5513.0,5544.0,301986,88512,0.0
EG0,DCE,d,2018-12-13 00:00:00,5519.0,5646.0,5475.0,5591.0,356924,89988,0.0
EG0,DCE,d,2018-12-14 00:00:00,5647.0,5666.0,5583.0,5606.0,187864,93730,0.0
EG0,DCE,d,2018-12-17 00:00:00,5592.0,5637.0,5566.0,5618.0,123774,99192,0.0
EG0,DCE,d,2018-12-18 00:00:00,5588.0,5628.0,5570.0,5627.0,122752,95662,0.0
EG0,DCE,d,2018-12-19 00:00:00,5579.0,5635.0,5551.0,5620.0,147788,88840,0.0
EG0,DCE,d,2018-12-20 00:00:00,5628.0,5635.0,5564.0,5576.0,99196,90096,0.0
EG0,DCE,d,2018-12-21 00:00:00,5561.0,5576.0,5320.0,5418.0,551084,111700,0.0
EG0,DCE,d,2018-12-24 00:00:00,5380.0,5385.0,5306.0,5332.0,252940,122960,0.0
EG0,DCE,d,2018-12-25 00:00:00,5200.0,5231.0,5128.0,5174.0,316626,120146,0.0
EG0,DCE,d,2018-12-26 00:00:00,5200.0,5229.0,5128.0,5152.0,272420,121010,0.0
EG0,DCE,d,2018-12-27 00:00:00,5301.0,5377.0,5135.0,5135.0,315554,142086,0.0
EG0,DCE,d,2018-12-28 00:00:00,5141.0,5166.0,5088.0,5134.0,331090,125940,0.0
EG0,DCE,d,2019-01-02 00:00:00,5105.0,5134.0,5046.0,5051.0,245416,144434,0.0
EG0,DCE,d,2019-01-03 00:00:00,5093.0,5152.0,5068.0,5127.0,266202,146582,0.0
EG0,DCE,d,2019-01-04 00:00:00,5150.0,5181.0,5094.0,5152.0,283824,145528,0.0
EG0,DCE,d,2019-01-07 00:00:00,5167.0,5200.0,5125.0,5133.0,219654,167040,0.0
EG0,DCE,d,2019-01-08 00:00:00,5140.0,5168.0,5066.0,5080.0,328800,188176,0.0
EG0,DCE,d,2019-01-09 00:00:00,5136.0,5187.0,5111.0,5122.0,353632,192814,0.0
EG0,DCE,d,2019-01-10 00:00:00,5162.0,5168.0,5087.0,5092.0,292108,213914,0.0
EG0,DCE,d,2019-01-11 00:00:00,5080.0,5135.0,5067.0,5117.0,307904,225296,0.0
EG0,DCE,d,2019-01-14 00:00:00,5125.0,5177.0,5096.0,5143.0,329396,226756,0.0
EG0,DCE,d,2019-01-15 00:00:00,5141.0,5236.0,5129.0,5221.0,490402,238526,0.0
EG0,DCE,d,2019-01-16 00:00:00,5225.0,5243.0,5193.0,5226.0,276126,240460,0.0
EG0,DCE,d,2019-01-17 00:00:00,5210.0,5225.0,5155.0,5159.0,251498,253024,0.0
EG0,DCE,d,2019-01-18 00:00:00,5139.0,5176.0,5117.0,5156.0,423536,292188,0.0
EG0,DCE,d,2019-01-21 00:00:00,5219.0,5323.0,5188.0,5273.0,712792,309752,0.0
EG0,DCE,d,2019-01-22 00:00:00,5273.0,5457.0,5260.0,5277.0,748844,302068,0.0
EG0,DCE,d,2019-01-23 00:00:00,5240.0,5280.0,5222.0,5254.0,354886,306168,0.0
EG0,DCE,d,2019-01-24 00:00:00,5239.0,5273.0,5206.0,5245.0,328568,307090,0.0
EG0,DCE,d,2019-01-25 00:00:00,5275.0,5323.0,5232.0,5234.0,419960,301096,0.0
EG0,DCE,d,2019-01-28 00:00:00,5254.0,5264.0,5175.0,5180.0,335164,298810,0.0
EG0,DCE,d,2019-01-29 00:00:00,5150.0,5198.0,5136.0,5157.0,250738,289038,0.0
EG0,DCE,d,2019-01-30 00:00:00,5181.0,5239.0,5171.0,5207.0,262654,262456,0.0
EG0,DCE,d,2019-01-31 00:00:00,5230.0,5289.0,5229.0,5279.0,219892,247472,0.0
EG0,DCE,d,2019-02-01 00:00:00,5290.0,5330.0,5265.0,5322.0,176824,237182,0.0
