symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
FB0,DCE,d,2013-12-06 00:00:00,74.8,74.95,71.8,72.05,102076,10462,0.0
FB0,DCE,d,2013-12-09 00:00:00,71.5,76.05,71.4,74.15,381842,27074,0.0
FB0,DCE,d,2013-12-10 00:00:00,73.95,74.85,72.3,72.6,429364,37456,0.0
FB0,DCE,d,2013-12-11 00:00:00,72.6,73.5,72.35,73.4,257088,35208,0.0
FB0,DCE,d,2013-12-12 00:00:00,73.5,75.8,73.3,75.35,407892,40950,0.0
FB0,DCE,d,2013-12-13 00:00:00,75.15,75.85,73.8,74.8,461736,42202,0.0
FB0,DCE,d,2013-12-16 00:00:00,74.9,75.65,73.6,74.7,273528,40610,0.0
FB0,DCE,d,2013-12-17 00:00:00,74.9,75.35,74.2,74.2,200904,37974,0.0
FB0,DCE,d,2013-12-18 00:00:00,74.0,74.4,72.95,73.6,186512,33076,0.0
FB0,DCE,d,2013-12-19 00:00:00,73.6,73.85,72.75,72.95,128378,30656,0.0
FB0,DCE,d,2013-12-20 00:00:00,72.95,73.65,72.6,73.3,100588,32320,0.0
FB0,DCE,d,2013-12-23 00:00:00,73.1,75.7,72.85,74.8,352236,49832,0.0
FB0,DCE,d,2013-12-24 00:00:00,75.0,75.35,74.25,74.55,211864,38586,0.0
FB0,DCE,d,2013-12-25 00:00:00,74.55,75.1,74.05,74.2,143258,33922,0.0
FB0,DCE,d,2013-12-26 00:00:00,74.25,74.3,71.7,71.7,267836,56458,0.0
FB0,DCE,d,2013-12-27 00:00:00,71.5,73.05,71.4,72.5,289764,43006,0.0
FB0,DCE,d,2013-12-30 00:00:00,72.1,72.3,69.35,70.9,366680,45910,0.0
FB0,DCE,d,2013-12-31 00:00:00,70.7,70.85,69.6,69.85,185018,50708,0.0
FB0,DCE,d,2014-01-02 00:00:00,69.8,70.05,69.05,69.4,128012,51560,0.0
FB0,DCE,d,2014-01-03 00:00:00,69.3,69.95,68.8,69.55,145246,57384,0.0
FB0,DCE,d,2014-01-06 00:00:00,69.45,69.55,66.65,66.75,348528,88992,0.0
FB0,DCE,d,2014-01-07 00:00:00,66.75,67.25,66.1,66.85,264794,79876,0.0
FB0,DCE,d,2014-01-08 00:00:00,66.5,66.8,65.2,65.75,208354,79714,0.0
FB0,DCE,d,2014-01-09 00:00:00,65.25,68.4,65.2,66.6,531612,80218,0.0
FB0,DCE,d,2014-01-10 00:00:00,66.35,67.4,66.1,66.95,200074,69642,0.0
FB0,DCE,d,2014-01-13 00:00:00,67.05,67.35,66.1,66.65,134468,63780,0.0
FB0,DCE,d,2014-01-14 00:00:00,66.75,68.1,66.3,67.8,203896,59304,0.0
FB0,DCE,d,2014-01-15 00:00:00,67.7,67.95,67.0,67.25,134192,53928,0.0
FB0,DCE,d,2014-01-17 00:00:00,64.7,65.4,64.5,65.15,196258,69732,0.0
FB0,DCE,d,2014-01-20 00:00:00,65.2,66.7,65.0,65.7,211614,69338,0.0
FB0,DCE,d,2014-01-21 00:00:00,65.65,65.7,64.9,65.1,145718,69192,0.0
FB0,DCE,d,2014-01-22 00:00:00,64.95,66.1,64.8,65.15,193288,65802,0.0
FB0,DCE,d,2014-01-23 00:00:00,64.95,65.95,64.85,65.55,247574,77598,0.0
FB0,DCE,d,2014-01-24 00:00:00,65.65,66.45,65.55,65.75,169772,75708,0.0
FB0,DCE,d,2014-01-27 00:00:00,65.9,65.9,64.85,65.2,154176,74136,0.0
FB0,DCE,d,2014-01-28 00:00:00,65.1,65.5,62.7,63.9,350774,65614,0.0
FB0,DCE,d,2014-01-29 00:00:00,63.85,65.5,63.2,65.4,311328,55228,0.0
FB0,DCE,d,2014-01-30 00:00:00,65.5,65.65,64.35,64.8,148892,53972,0.0
FB0,DCE,d,2014-02-07 00:00:00,64.8,66.0,64.8,65.1,110984,63040,0.0
FB0,DCE,d,2014-02-10 00:00:00,65.05,65.7,64.45,65.65,175582,78826,0.0
FB0,DCE,d,2014-02-11 00:00:00,65.8,66.8,65.45,65.55,412296,116294,0.0
FB0,DCE,d,2014-02-12 00:00:00,65.55,65.7,64.2,65.2,226758,114096,0.0
FB0,DCE,d,2014-02-13 00:00:00,65.15,65.85,64.85,65.3,238134,118358,0.0
FB0,DCE,d,2014-02-14 00:00:00,65.4,65.7,65.1,65.4,160102,117782,0.0
FB0,DCE,d,2014-02-17 00:00:00,65.6,67.25,65.55,66.5,490334,167914,0.0
FB0,DCE,d,2014-02-18 00:00:00,66.45,67.1,65.0,65.4,505878,184002,0.0
FB0,DCE,d,2014-02-19 00:00:00,65.45,65.65,64.0,64.55,585322,185726,0.0
FB0,DCE,d,2014-02-20 00:00:00,64.65,65.05,64.35,64.75,287558,162044,0.0
FB0,DCE,d,2014-02-21 00:00:00,64.7,64.95,64.45,64.8,203328,149138,0.0
FB0,DCE,d,2014-02-24 00:00:00,64.85,64.9,63.1,64.55,364030,126224,0.0
FB0,DCE,d,2014-02-25 00:00:00,64.5,65.1,64.15,64.2,209260,126776,0.0
FB0,DCE,d,2014-02-26 00:00:00,64.2,64.6,63.4,64.15,206914,128092,0.0
FB0,DCE,d,2014-02-27 00:00:00,64.1,64.4,62.4,62.7,452786,154320,0.0
FB0,DCE,d,2014-02-28 00:00:00,62.7,63.1,61.9,62.0,317300,161300,0.0
FB0,DCE,d,2014-03-03 00:00:00,62.0,62.35,61.55,62.0,196958,150534,0.0
FB0,DCE,d,2014-03-04 00:00:00,62.0,63.1,61.35,62.4,286654,143054,0.0
FB0,DCE,d,2014-03-05 00:00:00,62.55,63.35,62.4,62.8,286348,165450,0.0
FB0,DCE,d,2014-03-06 00:00:00,62.75,63.35,62.3,62.5,275706,183724,0.0
FB0,DCE,d,2014-03-10 00:00:00,63.0,63.75,60.45,62.25,513542,127028,0.0
FB0,DCE,d,2014-03-11 00:00:00,62.25,64.2,62.1,63.75,324232,114420,0.0
FB0,DCE,d,2014-03-12 00:00:00,63.2,65.75,63.05,64.75,381628,125222,0.0
FB0,DCE,d,2014-03-14 00:00:00,64.9,65.2,63.3,63.5,255926,133254,0.0
FB0,DCE,d,2014-03-17 00:00:00,63.85,63.85,61.65,62.25,395486,132998,0.0
FB0,DCE,d,2014-03-18 00:00:00,62.5,63.6,62.35,63.05,216466,122910,0.0
FB0,DCE,d,2014-03-19 00:00:00,63.1,63.8,62.75,63.25,227166,132742,0.0
FB0,DCE,d,2014-03-20 00:00:00,63.3,63.55,62.6,63.05,154612,128860,0.0
FB0,DCE,d,2014-03-21 00:00:00,63.0,64.75,62.25,64.25,406630,105968,0.0
FB0,DCE,d,2014-03-24 00:00:00,64.25,64.5,63.8,64.35,146794,106626,0.0
FB0,DCE,d,2014-03-25 00:00:00,64.3,65.35,63.65,63.8,244580,105086,0.0
FB0,DCE,d,2014-03-26 00:00:00,63.6,64.65,63.55,64.45,106176,105450,0.0
FB0,DCE,d,2014-03-27 00:00:00,64.4,66.1,64.35,64.95,248830,116550,0.0
FB0,DCE,d,2014-03-28 00:00:00,64.9,65.95,64.9,65.85,117282,116366,0.0
FB0,DCE,d,2014-03-31 00:00:00,66.0,67.55,66.0,66.95,246918,114664,0.0
FB0,DCE,d,2014-04-01 00:00:00,67.0,68.0,66.5,66.6,202060,106110,0.0
FB0,DCE,d,2014-04-02 00:00:00,66.75,66.95,65.6,66.05,179682,99248,0.0
FB0,DCE,d,2014-04-03 00:00:00,66.0,67.2,65.65,67.2,111710,100592,0.0
FB0,DCE,d,2014-04-04 00:00:00,67.3,68.05,65.7,65.8,241074,110302,0.0
FB0,DCE,d,2014-04-08 00:00:00,65.75,66.35,64.05,66.1,211454,105232,0.0
FB0,DCE,d,2014-04-09 00:00:00,66.15,68.6,66.05,67.45,324386,99732,0.0
FB0,DCE,d,2014-04-10 00:00:00,67.15,68.4,67.15,67.6,287958,103870,0.0
FB0,DCE,d,2014-04-11 00:00:00,67.5,67.95,66.3,66.4,162810,98072,0.0
FB0,DCE,d,2014-04-14 00:00:00,66.4,68.05,65.65,66.25,257302,88608,0.0
FB0,DCE,d,2014-04-15 00:00:00,66.2,66.65,63.65,63.65,160190,78444,0.0
FB0,DCE,d,2014-04-16 00:00:00,62.65,63.3,62.5,62.85,124006,66392,0.0
FB0,DCE,d,2014-04-17 00:00:00,62.75,64.65,62.6,63.75,276516,73406,0.0
FB0,DCE,d,2014-04-18 00:00:00,63.75,64.0,63.0,63.2,145044,68090,0.0
FB0,DCE,d,2014-04-21 00:00:00,63.15,64.75,62.6,63.7,298076,83482,0.0
FB0,DCE,d,2014-04-22 00:00:00,63.6,64.1,63.05,63.55,149488,84488,0.0
FB0,DCE,d,2014-04-23 00:00:00,63.65,63.9,63.0,63.4,133022,82436,0.0
FB0,DCE,d,2014-04-24 00:00:00,63.6,63.85,63.15,63.5,116708,85488,0.0
FB0,DCE,d,2014-04-25 00:00:00,63.6,64.1,63.35,63.55,94282,79624,0.0
FB0,DCE,d,2014-04-28 00:00:00,63.45,63.8,62.3,63.4,119102,79834,0.0
FB0,DCE,d,2014-04-29 00:00:00,63.5,63.8,62.8,62.9,111394,88830,0.0
FB0,DCE,d,2014-04-30 00:00:00,62.7,63.2,62.45,62.8,138162,84380,0.0
FB0,DCE,d,2014-05-01 00:00:00,63.25,63.25,63.25,63.25,62,298,0.0
FB0,DCE,d,2014-05-05 00:00:00,62.7,63.8,62.7,63.65,128622,82876,0.0
FB0,DCE,d,2014-05-06 00:00:00,63.8,64.35,63.35,63.35,136648,86620,0.0
FB0,DCE,d,2014-05-07 00:00:00,63.3,63.65,63.0,63.15,95074,79672,0.0
FB0,DCE,d,2014-05-08 00:00:00,63.15,63.35,62.0,62.85,200836,82318,0.0
FB0,DCE,d,2014-05-09 00:00:00,62.95,63.05,61.8,61.85,131558,104040,0.0
FB0,DCE,d,2014-05-12 00:00:00,61.6,62.5,60.85,62.45,184136,95150,0.0
FB0,DCE,d,2014-05-13 00:00:00,62.55,62.95,61.65,61.7,121624,102460,0.0
FB0,DCE,d,2014-05-14 00:00:00,61.8,62.15,60.95,61.45,170060,120288,0.0
FB0,DCE,d,2014-05-15 00:00:00,61.5,61.85,61.05,61.15,111802,112774,0.0
FB0,DCE,d,2014-05-16 00:00:00,61.05,61.1,59.2,60.1,311496,128952,0.0
FB0,DCE,d,2014-05-19 00:00:00,60.2,60.4,59.6,59.85,121134,125016,0.0
FB0,DCE,d,2014-05-20 00:00:00,59.8,59.95,59.0,59.55,177858,137656,0.0
FB0,DCE,d,2014-05-21 00:00:00,59.5,59.8,58.75,59.15,121114,149500,0.0
FB0,DCE,d,2014-05-22 00:00:00,59.35,59.8,58.95,59.1,107492,148346,0.0
FB0,DCE,d,2014-05-23 00:00:00,59.05,60.1,58.65,59.5,221444,144930,0.0
FB0,DCE,d,2014-05-26 00:00:00,59.55,60.1,59.25,59.95,143490,141518,0.0
FB0,DCE,d,2014-05-27 00:00:00,59.8,60.6,59.55,59.6,229340,139254,0.0
FB0,DCE,d,2014-05-28 00:00:00,59.55,59.75,59.2,59.3,106836,140372,0.0
FB0,DCE,d,2014-05-29 00:00:00,59.1,59.4,58.8,58.9,100268,150152,0.0
FB0,DCE,d,2014-05-30 00:00:00,58.95,59.25,58.5,58.85,166436,158444,0.0
FB0,DCE,d,2014-06-03 00:00:00,58.8,59.25,58.75,59.2,72938,154998,0.0
FB0,DCE,d,2014-06-04 00:00:00,59.2,59.6,58.55,58.6,172602,182860,0.0
FB0,DCE,d,2014-06-05 00:00:00,58.5,59.25,58.4,59.15,122086,163664,0.0
FB0,DCE,d,2014-06-06 00:00:00,59.2,59.55,59.0,59.4,96952,148634,0.0
FB0,DCE,d,2014-06-09 00:00:00,59.5,59.5,58.9,59.1,83564,153376,0.0
FB0,DCE,d,2014-06-10 00:00:00,59.2,59.7,58.95,59.6,106532,144228,0.0
FB0,DCE,d,2014-06-11 00:00:00,59.7,60.4,59.35,59.35,208436,131982,0.0
FB0,DCE,d,2014-06-12 00:00:00,59.35,59.65,59.15,59.5,86662,138740,0.0
FB0,DCE,d,2014-06-13 00:00:00,59.4,59.95,59.2,59.2,111460,142326,0.0
FB0,DCE,d,2014-06-16 00:00:00,59.2,59.45,58.9,58.9,79260,165234,0.0
FB0,DCE,d,2014-06-17 00:00:00,59.0,59.5,58.85,59.5,96802,150806,0.0
FB0,DCE,d,2014-06-18 00:00:00,59.55,59.75,59.15,59.2,72676,148750,0.0
FB0,DCE,d,2014-06-19 00:00:00,59.4,59.5,58.9,59.0,82150,159724,0.0
FB0,DCE,d,2014-06-20 00:00:00,59.05,59.75,59.0,59.7,77868,142564,0.0
FB0,DCE,d,2014-06-23 00:00:00,59.7,60.2,59.45,59.6,103678,138968,0.0
FB0,DCE,d,2014-06-24 00:00:00,59.55,60.2,59.3,59.7,102278,139734,0.0
FB0,DCE,d,2014-06-25 00:00:00,59.75,61.15,59.65,60.05,270162,138120,0.0
FB0,DCE,d,2014-06-26 00:00:00,60.15,60.85,59.95,60.8,127718,130720,0.0
FB0,DCE,d,2014-06-27 00:00:00,60.8,60.95,60.1,60.5,109910,132020,0.0
FB0,DCE,d,2014-06-30 00:00:00,60.4,61.3,59.9,59.9,161178,129414,0.0
FB0,DCE,d,2014-07-01 00:00:00,59.95,59.95,59.5,59.55,73416,132412,0.0
FB0,DCE,d,2014-07-02 00:00:00,59.5,60.1,59.4,59.9,87632,124486,0.0
FB0,DCE,d,2014-07-03 00:00:00,59.75,60.4,59.75,60.0,85718,121538,0.0
FB0,DCE,d,2014-07-04 00:00:00,60.1,60.2,59.5,59.5,71566,128334,0.0
FB0,DCE,d,2014-07-07 00:00:00,59.45,59.65,59.1,59.5,91738,140792,0.0
FB0,DCE,d,2014-07-08 00:00:00,59.5,59.65,59.35,59.45,40606,140660,0.0
FB0,DCE,d,2014-07-09 00:00:00,59.35,59.55,59.1,59.1,48600,149252,0.0
FB0,DCE,d,2014-07-10 00:00:00,59.05,59.8,59.0,59.7,72134,141186,0.0
FB0,DCE,d,2014-07-11 00:00:00,59.75,60.65,59.65,60.5,128684,132948,0.0
FB0,DCE,d,2014-07-14 00:00:00,60.45,60.65,60.05,60.3,45534,134392,0.0
FB0,DCE,d,2014-07-15 00:00:00,60.35,60.6,60.1,60.35,46440,124218,0.0
FB0,DCE,d,2014-07-16 00:00:00,60.45,61.9,60.3,61.25,194042,120806,0.0
FB0,DCE,d,2014-07-17 00:00:00,61.3,61.75,61.15,61.5,59130,119668,0.0
FB0,DCE,d,2014-07-18 00:00:00,61.6,62.6,60.25,60.75,78276,115730,0.0
FB0,DCE,d,2014-07-21 00:00:00,60.85,61.6,60.7,61.55,48076,115858,0.0
FB0,DCE,d,2014-07-22 00:00:00,61.5,62.25,61.1,61.35,45534,117098,0.0
FB0,DCE,d,2014-07-23 00:00:00,61.4,61.6,61.1,61.35,35058,118268,0.0
FB0,DCE,d,2014-07-24 00:00:00,61.35,61.8,61.0,61.7,51780,121120,0.0
FB0,DCE,d,2014-07-25 00:00:00,61.8,62.3,61.5,61.9,105446,119420,0.0
FB0,DCE,d,2014-07-28 00:00:00,62.0,62.55,61.7,62.25,87662,117940,0.0
FB0,DCE,d,2014-07-29 00:00:00,62.3,62.45,61.85,61.9,53660,110476,0.0
FB0,DCE,d,2014-07-30 00:00:00,61.75,62.15,61.6,61.7,42754,105484,0.0
FB0,DCE,d,2014-07-31 00:00:00,61.75,63.5,61.7,63.05,177398,105750,0.0
FB0,DCE,d,2014-08-01 00:00:00,63.1,63.2,62.5,62.85,83296,91344,0.0
FB0,DCE,d,2014-08-04 00:00:00,62.9,63.9,62.9,63.45,76254,80168,0.0
FB0,DCE,d,2014-08-05 00:00:00,63.45,63.7,63.05,63.65,35736,75688,0.0
FB0,DCE,d,2014-08-06 00:00:00,63.6,63.65,63.3,63.45,24580,70610,0.0
FB0,DCE,d,2014-08-07 00:00:00,62.1,63.95,62.1,63.8,117708,79202,0.0
FB0,DCE,d,2014-08-08 00:00:00,64.35,64.5,63.75,64.35,56494,75340,0.0
FB0,DCE,d,2014-08-11 00:00:00,64.3,65.15,64.2,65.0,67686,71670,0.0
FB0,DCE,d,2014-08-12 00:00:00,65.1,65.4,64.6,65.35,53262,63916,0.0
FB0,DCE,d,2014-08-13 00:00:00,65.2,66.0,64.95,65.4,74558,50136,0.0
FB0,DCE,d,2014-08-14 00:00:00,65.45,65.55,63.0,63.8,79676,39146,0.0
FB0,DCE,d,2014-08-15 00:00:00,63.6,64.75,63.5,64.2,40876,34220,0.0
FB0,DCE,d,2014-08-18 00:00:00,64.1,64.45,63.3,64.0,31430,34150,0.0
FB0,DCE,d,2014-08-19 00:00:00,64.0,64.35,63.4,64.1,23850,32140,0.0
FB0,DCE,d,2014-08-20 00:00:00,64.05,64.9,63.6,64.2,21132,31252,0.0
