symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
FG0,CZCE,d,2012-12-03 00:00:00,1373.0,1385.0,1314.0,1319.0,694060,82486,0.0
FG0,CZCE,d,2012-12-04 00:00:00,1309.0,1326.0,1296.0,1312.0,1372500,168904,0.0
FG0,CZCE,d,2012-12-05 00:00:00,1313.0,1345.0,1311.0,1331.0,1526500,148090,0.0
FG0,CZCE,d,2012-12-06 00:00:00,1333.0,1338.0,1320.0,1325.0,1005200,166780,0.0
FG0,CZCE,d,2012-12-07 00:00:00,1322.0,1340.0,1319.0,1331.0,903684,136784,0.0
FG0,CZCE,d,2012-12-10 00:00:00,1331.0,1344.0,1331.0,1336.0,630420,148910,0.0
FG0,CZCE,d,2012-12-11 00:00:00,1335.0,1337.0,1286.0,1293.0,1624300,305548,0.0
FG0,CZCE,d,2012-12-12 00:00:00,1289.0,1306.0,1283.0,1299.0,1755100,223502,0.0
FG0,CZCE,d,2012-12-13 00:00:00,1297.0,1312.0,1282.0,1288.0,1986800,306254,0.0
FG0,CZCE,d,2012-12-14 00:00:00,1287.0,1315.0,1283.0,1304.0,1926300,239266,0.0
FG0,CZCE,d,2012-12-17 00:00:00,1307.0,1335.0,1307.0,1327.0,1997100,230150,0.0
FG0,CZCE,d,2012-12-18 00:00:00,1328.0,1339.0,1316.0,1325.0,1888500,239250,0.0
FG0,CZCE,d,2012-12-19 00:00:00,1324.0,1353.0,1318.0,1351.0,2774300,419230,0.0
FG0,CZCE,d,2012-12-20 00:00:00,1348.0,1356.0,1342.0,1350.0,2593900,391226,0.0
FG0,CZCE,d,2012-12-21 00:00:00,1345.0,1354.0,1330.0,1335.0,1961200,278578,0.0
FG0,CZCE,d,2012-12-24 00:00:00,1336.0,1349.0,1334.0,1343.0,1234000,279038,0.0
FG0,CZCE,d,2012-12-25 00:00:00,1344.0,1363.0,1339.0,1352.0,1561000,278818,0.0
FG0,CZCE,d,2012-12-26 00:00:00,1351.0,1354.0,1344.0,1352.0,995884,252746,0.0
FG0,CZCE,d,2012-12-27 00:00:00,1358.0,1367.0,1349.0,1352.0,963506,224072,0.0
FG0,CZCE,d,2012-12-28 00:00:00,1353.0,1364.0,1343.0,1351.0,1175300,189374,0.0
FG0,CZCE,d,2012-12-31 00:00:00,1352.0,1365.0,1349.0,1363.0,500112,136002,0.0
FG0,CZCE,d,2013-01-04 00:00:00,1371.0,1425.0,1367.0,1425.0,1001700,241454,0.0
FG0,CZCE,d,2013-01-07 00:00:00,1440.0,1468.0,1433.0,1445.0,1558500,217758,0.0
FG0,CZCE,d,2013-01-08 00:00:00,1438.0,1470.0,1427.0,1458.0,2761400,306490,0.0
FG0,CZCE,d,2013-01-09 00:00:00,1459.0,1476.0,1452.0,1474.0,2100300,444362,0.0
FG0,CZCE,d,2013-01-10 00:00:00,1479.0,1484.0,1456.0,1463.0,2311300,376812,0.0
FG0,CZCE,d,2013-01-11 00:00:00,1462.0,1465.0,1428.0,1439.0,1916200,311804,0.0
FG0,CZCE,d,2013-01-14 00:00:00,1438.0,1502.0,1438.0,1502.0,1878700,508076,0.0
FG0,CZCE,d,2013-01-15 00:00:00,1520.0,1527.0,1490.0,1497.0,3006300,387356,0.0
FG0,CZCE,d,2013-01-16 00:00:00,1499.0,1515.0,1455.0,1500.0,4239900,473158,0.0
FG0,CZCE,d,2013-01-17 00:00:00,1503.0,1512.0,1491.0,1506.0,3961700,538978,0.0
FG0,CZCE,d,2013-01-18 00:00:00,1520.0,1521.0,1488.0,1496.0,3867600,431672,0.0
FG0,CZCE,d,2013-01-21 00:00:00,1495.0,1518.0,1484.0,1501.0,3225400,478024,0.0
FG0,CZCE,d,2013-01-22 00:00:00,1505.0,1508.0,1475.0,1490.0,3070300,401292,0.0
FG0,CZCE,d,2013-01-23 00:00:00,1492.0,1496.0,1472.0,1481.0,2053400,401822,0.0
FG0,CZCE,d,2013-01-24 00:00:00,1479.0,1489.0,1458.0,1467.0,2346400,367110,0.0
FG0,CZCE,d,2013-01-25 00:00:00,1470.0,1472.0,1459.0,1469.0,1305100,315844,0.0
FG0,CZCE,d,2013-01-28 00:00:00,1471.0,1496.0,1468.0,1491.0,1274700,341564,0.0
FG0,CZCE,d,2013-01-29 00:00:00,1574.0,1582.0,1568.0,1580.0,1218900,355930,0.0
FG0,CZCE,d,2013-01-30 00:00:00,1585.0,1591.0,1578.0,1580.0,1240500,390976,0.0
FG0,CZCE,d,2013-01-31 00:00:00,1578.0,1601.0,1577.0,1585.0,2457800,457056,0.0
FG0,CZCE,d,2013-02-01 00:00:00,1585.0,1596.0,1580.0,1594.0,1459100,405030,0.0
FG0,CZCE,d,2013-02-04 00:00:00,1599.0,1649.0,1594.0,1632.0,2402600,465844,0.0
FG0,CZCE,d,2013-02-05 00:00:00,1628.0,1646.0,1624.0,1635.0,1865600,476786,0.0
FG0,CZCE,d,2013-02-06 00:00:00,1639.0,1652.0,1624.0,1630.0,1863300,468858,0.0
FG0,CZCE,d,2013-02-07 00:00:00,1631.0,1633.0,1606.0,1623.0,1279500,397408,0.0
FG0,CZCE,d,2013-02-08 00:00:00,1620.0,1635.0,1618.0,1634.0,706434,350360,0.0
FG0,CZCE,d,2013-02-18 00:00:00,1631.0,1643.0,1606.0,1607.0,1376200,450892,0.0
FG0,CZCE,d,2013-02-19 00:00:00,1606.0,1616.0,1597.0,1613.0,1627300,512196,0.0
FG0,CZCE,d,2013-02-20 00:00:00,1619.0,1622.0,1601.0,1610.0,1355600,552484,0.0
FG0,CZCE,d,2013-02-21 00:00:00,1591.0,1595.0,1549.0,1558.0,2360200,502946,0.0
FG0,CZCE,d,2013-02-22 00:00:00,1558.0,1569.0,1539.0,1553.0,2350700,517796,0.0
FG0,CZCE,d,2013-02-25 00:00:00,1550.0,1574.0,1532.0,1558.0,2320500,538436,0.0
FG0,CZCE,d,2013-02-26 00:00:00,1548.0,1564.0,1532.0,1536.0,2365400,586884,0.0
FG0,CZCE,d,2013-02-27 00:00:00,1548.0,1562.0,1543.0,1558.0,2115598,564882,0.0
FG0,CZCE,d,2013-02-28 00:00:00,1566.0,1587.0,1565.0,1582.0,1573926,544704,0.0
FG0,CZCE,d,2013-03-01 00:00:00,1580.0,1581.0,1550.0,1568.0,1843832,519900,0.0
