symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
HC0,SHFE,d,2014-03-21 00:00:00,3252.0,3336.0,3230.0,3324.0,187478,52030,0.0
HC0,SHFE,d,2014-03-24 00:00:00,3314.0,3330.0,3266.0,3330.0,86810,47616,0.0
HC0,SHFE,d,2014-03-25 00:00:00,3326.0,3400.0,3320.0,3378.0,119854,61256,0.0
HC0,SHFE,d,2014-03-26 00:00:00,3370.0,3382.0,3354.0,3376.0,37876,60560,0.0
HC0,SHFE,d,2014-03-27 00:00:00,3368.0,3386.0,3350.0,3362.0,40230,61430,0.0
HC0,SHFE,d,2014-03-28 00:00:00,3376.0,3386.0,3360.0,3382.0,34290,63080,0.0
HC0,SHFE,d,2014-03-31 00:00:00,3396.0,3422.0,3382.0,3410.0,60970,65640,0.0
HC0,SHFE,d,2014-04-01 00:00:00,3412.0,3418.0,3396.0,3414.0,17896,64136,0.0
HC0,SHFE,d,2014-04-02 00:00:00,3410.0,3426.0,3388.0,3390.0,28570,68700,0.0
HC0,SHFE,d,2014-04-03 00:00:00,3384.0,3414.0,3382.0,3410.0,20706,68410,0.0
HC0,SHFE,d,2014-04-04 00:00:00,3412.0,3440.0,3402.0,3440.0,21360,70094,0.0
HC0,SHFE,d,2014-04-08 00:00:00,3450.0,3488.0,3442.0,3480.0,40286,80872,0.0
HC0,SHFE,d,2014-04-09 00:00:00,3488.0,3488.0,3444.0,3452.0,32902,81834,0.0
HC0,SHFE,d,2014-04-10 00:00:00,3450.0,3470.0,3442.0,3446.0,19630,81232,0.0
HC0,SHFE,d,2014-04-11 00:00:00,3430.0,3452.0,3430.0,3434.0,13100,76840,0.0
HC0,SHFE,d,2014-04-14 00:00:00,3432.0,3464.0,3432.0,3438.0,12642,77020,0.0
HC0,SHFE,d,2014-04-15 00:00:00,3442.0,3448.0,3418.0,3448.0,20724,75524,0.0
HC0,SHFE,d,2014-04-16 00:00:00,3446.0,3448.0,3410.0,3418.0,18538,68152,0.0
HC0,SHFE,d,2014-04-17 00:00:00,3428.0,3428.0,3410.0,3412.0,5590,67404,0.0
HC0,SHFE,d,2014-04-18 00:00:00,3410.0,3412.0,3346.0,3354.0,51760,66498,0.0
HC0,SHFE,d,2014-04-21 00:00:00,3340.0,3364.0,3340.0,3340.0,8292,64836,0.0
HC0,SHFE,d,2014-04-22 00:00:00,3340.0,3366.0,3324.0,3354.0,23958,60950,0.0
