symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
I0,DCE,d,2013-10-18 00:00:00,978.0,984.0,962.0,977.0,300818,65042,0.0
I0,DCE,d,2013-10-21 00:00:00,976.0,977.0,960.0,969.0,95432,68130,0.0
I0,DCE,d,2013-10-22 00:00:00,963.0,966.0,948.0,948.0,91296,76004,0.0
I0,DCE,d,2013-10-23 00:00:00,949.0,953.0,936.0,939.0,116490,81162,0.0
I0,DCE,d,2013-10-24 00:00:00,938.0,939.0,916.0,926.0,169028,87872,0.0
I0,DCE,d,2013-10-25 00:00:00,928.0,936.0,917.0,918.0,104060,86472,0.0
I0,DCE,d,2013-10-28 00:00:00,920.0,928.0,917.0,923.0,83790,93480,0.0
I0,DCE,d,2013-10-29 00:00:00,924.0,925.0,913.0,921.0,105876,99058,0.0
I0,DCE,d,2013-10-30 00:00:00,919.0,930.0,916.0,924.0,118272,91262,0.0
I0,DCE,d,2013-10-31 00:00:00,925.0,927.0,920.0,922.0,74672,84820,0.0
I0,DCE,d,2013-11-01 00:00:00,921.0,954.0,921.0,942.0,321242,107582,0.0
I0,DCE,d,2013-11-04 00:00:00,943.0,957.0,942.0,950.0,175080,122298,0.0
I0,DCE,d,2013-11-05 00:00:00,948.0,954.0,943.0,946.0,108384,121942,0.0
I0,DCE,d,2013-11-06 00:00:00,949.0,951.0,942.0,944.0,69362,123650,0.0
I0,DCE,d,2013-11-07 00:00:00,945.0,947.0,939.0,945.0,91676,124958,0.0
I0,DCE,d,2013-11-08 00:00:00,947.0,948.0,936.0,939.0,66340,120532,0.0
I0,DCE,d,2013-11-11 00:00:00,940.0,944.0,934.0,942.0,57564,112342,0.0
I0,DCE,d,2013-11-12 00:00:00,940.0,944.0,936.0,943.0,45594,107938,0.0
I0,DCE,d,2013-11-13 00:00:00,941.0,952.0,940.0,943.0,96484,110812,0.0
I0,DCE,d,2013-11-14 00:00:00,940.0,944.0,937.0,937.0,55752,103446,0.0
I0,DCE,d,2013-11-15 00:00:00,939.0,942.0,930.0,931.0,76014,102752,0.0
I0,DCE,d,2013-11-18 00:00:00,931.0,935.0,925.0,932.0,52704,99378,0.0
