symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
IC0,CFFEX,d,2015-04-16 00:00:00,7681.0,7790.0,7480.2,7707.8,116888.0,6643.0,17928587.988
IC0,CFFEX,d,2015-04-17 00:00:00,7722.0,7918.8,7631.2,7758.2,114214.0,9144.0,17813998.18
IC0,CFFEX,d,2015-04-20 00:00:00,7760.0,7857.0,7582.0,7622.2,98781.0,10706.0,15254160.816
IC0,CFFEX,d,2015-04-21 00:00:00,7650.2,8147.0,7640.2,8140.4,132545.0,16732.0,20937525.848
IC0,CFFEX,d,2015-04-22 00:00:00,8158.0,8237.8,8104.4,8189.8,121034.0,14854.0,19763685.172
IC0,CFFEX,d,2015-04-23 00:00:00,8193.0,8378.8,8160.4,8265.6,132278.0,14805.0,21853638.912
IC0,CFFEX,d,2015-04-24 00:00:00,8247.8,8349.8,8123.8,8327.2,126381.0,14603.0,20778778.6
IC0,CFFEX,d,2015-04-27 00:00:00,8368.0,8548.0,8292.0,8347.2,125335.0,15187.0,21056365.708
IC0,CFFEX,d,2015-04-28 00:00:00,8308.0,8419.0,8011.6,8147.0,164120.0,15900.0,26892373.68
IC0,CFFEX,d,2015-04-29 00:00:00,8138.0,8309.0,8079.0,8302.2,134158.0,17677.0,22060645.088
IC0,CFFEX,d,2015-04-30 00:00:00,8320.0,8408.0,8291.2,8338.8,120118.0,16354.0,20066017.768
IC0,CFFEX,d,2015-05-04 00:00:00,8370.2,8527.4,8202.4,8347.2,101734.0,16271.0,16908235.348
IC0,CFFEX,d,2015-05-05 00:00:00,8334.8,8345.0,8090.0,8145.0,109987.0,15884.0,18081200.268
IC0,CFFEX,d,2015-05-06 00:00:00,8168.0,8280.6,7970.0,8040.8,111973.0,15456.0,18309550.724
IC0,CFFEX,d,2015-05-07 00:00:00,8020.0,8068.0,7901.0,7911.4,109599.0,15127.0,17460415.348
IC0,CFFEX,d,2015-05-08 00:00:00,7933.4,8171.4,7921.0,8171.2,121062.0,16258.0,19436851.36
IC0,CFFEX,d,2015-05-11 00:00:00,8170.0,8508.0,8144.0,8489.8,124722.0,16314.0,20742989.844
IC0,CFFEX,d,2015-05-12 00:00:00,8499.6,8648.0,8415.4,8647.8,152019.0,14671.0,25910436.384
IC0,CFFEX,d,2015-05-13 00:00:00,8595.0,8779.0,8492.0,8695.8,189658.0,14624.0,32836694.876
IC0,CFFEX,d,2015-05-14 00:00:00,8530.0,8680.0,8477.6,8603.0,133372.0,23309.0,22869771.18
IC0,CFFEX,d,2015-05-15 00:00:00,8610.0,8718.0,8482.0,8579.8,182662.0,28064.0,31349133.68
IC0,CFFEX,d,2015-05-18 00:00:00,8640.6,8822.2,8580.0,8798.4,202968.0,32183.0,35519413.94
IC0,CFFEX,d,2015-05-19 00:00:00,8805.6,9154.4,8736.2,9120.8,228488.0,33556.0,40824663.416
IC0,CFFEX,d,2015-05-20 00:00:00,9121.8,9463.6,9111.2,9286.8,239847.0,35302.0,44755466.132
IC0,CFFEX,d,2015-05-21 00:00:00,9311.4,9755.0,9301.0,9734.6,256460.0,38615.0,48754905.812
IC0,CFFEX,d,2015-05-22 00:00:00,9783.0,9867.4,9525.0,9741.2,285617.0,37707.0,55343653.968
IC0,CFFEX,d,2015-05-25 00:00:00,9610.0,10020.8,9455.4,9966.6,262755.0,39837.0,51735788.004
IC0,CFFEX,d,2015-05-26 00:00:00,9988.0,10535.0,9986.2,10532.2,258963.0,40848.0,53256937.736
IC0,CFFEX,d,2015-05-27 00:00:00,10598.4,10718.0,10366.0,10552.0,307346.0,42800.0,64688896.5
IC0,CFFEX,d,2015-05-28 00:00:00,10580.0,10758.8,9818.0,9977.2,360766.0,40149.0,75149489.42
IC0,CFFEX,d,2015-05-29 00:00:00,10126.8,10370.0,9901.0,10121.0,354628.0,40059.0,72048918.048
IC0,CFFEX,d,2015-06-01 00:00:00,10170.2,11089.8,10168.0,11025.6,257035.0,45365.0,54454369.86
IC0,CFFEX,d,2015-06-02 00:00:00,11058.0,11385.0,10830.0,11250.4,280807.0,44075.0,62287339.292
IC0,CFFEX,d,2015-06-03 00:00:00,11281.2,11436.0,10809.0,11103.2,334871.0,44367.0,74854326.56
