symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
IF0,CFFEX,d,2015-01-05 00:00:00,3619.0,3768.8,3585.2,3671.4,1303810.0,138633.0,143262114.204
IF0,CFFEX,d,2015-01-06 00:00:00,3664.0,3707.8,3610.0,3656.8,1522728.0,127237.0,167254364.724
IF0,CFFEX,d,2015-01-07 00:00:00,3655.8,3684.2,3615.4,3663.2,1294935.0,114534.0,141971160.786
IF0,CFFEX,d,2015-01-08 00:00:00,3676.6,3679.6,3553.0,3562.0,1565105.0,105242.0,168917735.838
IF0,CFFEX,d,2015-01-09 00:00:00,3570.0,3718.0,3511.0,3528.0,1713171.0,88364.0,185170805.358
IF0,CFFEX,d,2015-01-12 00:00:00,3567.0,3575.0,3463.6,3537.6,1268691.0,81457.0,134092891.146
IF0,CFFEX,d,2015-01-13 00:00:00,3535.8,3568.8,3501.2,3529.6,1104965.0,77162.0,117187449.99
IF0,CFFEX,d,2015-01-14 00:00:00,3536.0,3563.4,3471.6,3504.2,1026731.0,63228.0,108602078.346
IF0,CFFEX,d,2015-01-15 00:00:00,3548.6,3686.4,3534.2,3683.6,808954.0,101476.0,87356927.034
IF0,CFFEX,d,2015-01-16 00:00:00,3686.8,3714.0,3661.8,3667.2,1188668.0,114442.0,131469595.524
IF0,CFFEX,d,2015-01-19 00:00:00,3519.8,3519.8,3316.2,3316.2,1063324.0,117624.0,109446820.77
IF0,CFFEX,d,2015-01-20 00:00:00,3303.0,3448.8,3300.0,3394.4,1734080.0,105907.0,176403421.806
IF0,CFFEX,d,2015-01-21 00:00:00,3405.0,3581.8,3405.0,3546.0,1459796.0,112574.0,153172583.772
IF0,CFFEX,d,2015-01-22 00:00:00,3555.0,3595.0,3524.2,3561.2,1192074.0,108107.0,127499544.57
IF0,CFFEX,d,2015-01-23 00:00:00,3579.6,3649.0,3551.6,3597.0,1448937.0,103279.0,156493659.222
IF0,CFFEX,d,2015-01-26 00:00:00,3605.0,3635.2,3571.4,3626.8,1064911.0,107650.0,115139718.03
IF0,CFFEX,d,2015-01-27 00:00:00,3639.4,3643.0,3508.2,3574.6,1322288.0,108253.0,142051894.584
IF0,CFFEX,d,2015-01-28 00:00:00,3567.2,3603.6,3511.0,3523.6,1367393.0,108348.0,145780042.002
IF0,CFFEX,d,2015-01-29 00:00:00,3478.0,3516.6,3450.8,3493.6,1232704.0,102412.0,129021166.37
IF0,CFFEX,d,2015-01-30 00:00:00,3506.4,3532.8,3420.0,3429.2,1374952.0,104079.0,143311403.904
IF0,CFFEX,d,2015-02-02 00:00:00,3357.0,3427.0,3353.0,3397.0,1094811.0,110408.0,111164579.28
IF0,CFFEX,d,2015-02-03 00:00:00,3400.0,3467.2,3380.6,3455.4,1224371.0,115571.0,125454943.476
IF0,CFFEX,d,2015-02-04 00:00:00,3472.0,3508.6,3383.0,3392.0,1228877.0,117899.0,127573378.314
IF0,CFFEX,d,2015-02-05 00:00:00,3499.8,3537.0,3345.6,3355.2,1513768.0,112731.0,156837943.2
IF0,CFFEX,d,2015-02-06 00:00:00,3361.4,3390.4,3287.2,3344.6,1318691.0,102940.0,132565731.9
IF0,CFFEX,d,2015-02-09 00:00:00,3329.2,3400.2,3315.6,3376.2,1240607.0,97718.0,124978134.024
IF0,CFFEX,d,2015-02-10 00:00:00,3375.6,3440.4,3354.0,3437.4,1263639.0,95890.0,129007678.536
IF0,CFFEX,d,2015-02-11 00:00:00,3443.6,3469.6,3433.0,3447.0,1011176.0,90564.0,104691823.638
IF0,CFFEX,d,2015-02-12 00:00:00,3493.0,3505.2,3453.0,3490.0,238166.0,107179.0,24883943.712
IF0,CFFEX,d,2015-02-13 00:00:00,3499.6,3569.0,3480.4,3500.0,466943.0,114182.0,49396397.022
IF0,CFFEX,d,2015-02-16 00:00:00,3508.2,3550.0,3501.0,3544.8,523184.0,140352.0,55324967.85
IF0,CFFEX,d,2015-02-17 00:00:00,3546.6,3583.4,3542.2,3558.0,665971.0,156259.0,71236843.656
IF0,CFFEX,d,2015-02-25 00:00:00,3564.0,3568.8,3469.0,3487.8,847148.0,154073.0,89324356.674
IF0,CFFEX,d,2015-02-26 00:00:00,3488.0,3616.8,3473.6,3612.6,1058250.0,169886.0,112439307.45
IF0,CFFEX,d,2015-02-27 00:00:00,3614.8,3624.0,3572.0,3587.2,960924.0,164194.0,103850586.054
IF0,CFFEX,d,2015-03-02 00:00:00,3630.0,3636.0,3578.0,3606.2,1150857.0,160461.0,124496510.064
IF0,CFFEX,d,2015-03-03 00:00:00,3600.6,3601.0,3507.6,3539.6,1131315.0,154446.0,120674886.306
IF0,CFFEX,d,2015-03-04 00:00:00,3532.4,3562.8,3502.8,3533.2,1180790.0,158544.0,125321655.24
IF0,CFFEX,d,2015-03-05 00:00:00,3530.0,3533.6,3473.2,3506.6,1189131.0,154214.0,124973094.6
IF0,CFFEX,d,2015-03-06 00:00:00,3508.6,3529.2,3480.6,3490.2,1017878.0,152092.0,106990598.664
IF0,CFFEX,d,2015-03-09 00:00:00,3471.2,3575.0,3420.4,3564.4,1210246.0,150929.0,126653824.758
IF0,CFFEX,d,2015-03-10 00:00:00,3571.2,3571.8,3521.2,3527.8,1061772.0,147498.0,112823365.302
IF0,CFFEX,d,2015-03-11 00:00:00,3518.0,3598.6,3512.0,3542.2,1232780.0,151667.0,131590072.608
IF0,CFFEX,d,2015-03-12 00:00:00,3558.8,3629.4,3555.0,3592.0,1320085.0,146658.0,142346160.39
IF0,CFFEX,d,2015-03-13 00:00:00,3610.0,3651.8,3597.4,3622.8,1167051.0,130648.0,126942080.328
IF0,CFFEX,d,2015-03-16 00:00:00,3618.0,3718.0,3617.4,3713.8,1066131.0,131638.0,117601248.798
IF0,CFFEX,d,2015-03-17 00:00:00,3725.0,3766.8,3719.4,3765.0,1099739.0,85777.0,123439174.29
IF0,CFFEX,d,2015-03-18 00:00:00,3768.8,3860.8,3760.8,3813.0,976338.0,47251.0,111401676.954
IF0,CFFEX,d,2015-03-19 00:00:00,3868.0,3876.0,3837.6,3854.8,817324.0,132061.0,94608881.796
IF0,CFFEX,d,2015-03-20 00:00:00,3869.8,3933.0,3842.2,3919.0,1504327.0,131123.0,175366086.21
IF0,CFFEX,d,2015-03-23 00:00:00,3950.0,4003.0,3945.2,3994.2,1304328.0,145784.0,155549638.506
IF0,CFFEX,d,2015-03-24 00:00:00,4002.0,4008.2,3921.0,3963.6,1386556.0,143680.0,165059575.338
IF0,CFFEX,d,2015-03-25 00:00:00,3966.8,3987.4,3915.4,3951.8,1284394.0,136976.0,152377865.364
IF0,CFFEX,d,2015-03-26 00:00:00,3941.2,3993.8,3891.2,3934.0,1604325.0,136242.0,189992791.488
IF0,CFFEX,d,2015-03-27 00:00:00,3935.4,3991.8,3924.0,3985.6,1296462.0,133886.0,153866676.342
IF0,CFFEX,d,2015-03-30 00:00:00,3992.6,4146.8,3991.8,4140.6,1275334.0,143232.0,155280013.932
IF0,CFFEX,d,2015-03-31 00:00:00,4175.0,4199.0,4001.0,4035.8,1596233.0,134644.0,197527770.012
IF0,CFFEX,d,2015-04-01 00:00:00,4043.0,4172.0,4042.0,4122.8,1561038.0,144840.0,192786572.046
IF0,CFFEX,d,2015-04-02 00:00:00,4153.8,4175.0,4051.4,4106.2,1532615.0,126503.0,189304423.506
