symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
IH0,CFFEX,d,2015-04-16 00:00:00,3100.0,3288.2,3088.8,3283.8,144423.0,28848.0,13772866.404
IH0,CFFEX,d,2015-04-17 00:00:00,3303.6,3341.6,3238.0,3254.0,271224.0,37853.0,26755207.272
IH0,CFFEX,d,2015-04-20 00:00:00,3258.0,3315.0,3143.6,3146.8,267213.0,37975.0,26052943.35
IH0,CFFEX,d,2015-04-21 00:00:00,3176.8,3242.2,3153.0,3234.0,239311.0,37771.0,22932009.348
IH0,CFFEX,d,2015-04-22 00:00:00,3250.0,3333.2,3229.8,3308.0,239676.0,42623.0,23547571.548
IH0,CFFEX,d,2015-04-23 00:00:00,3318.6,3348.2,3253.4,3267.8,246929.0,39573.0,24434814.828
IH0,CFFEX,d,2015-04-24 00:00:00,3248.8,3267.8,3170.0,3233.0,224297.0,36034.0,21701019.552
IH0,CFFEX,d,2015-04-27 00:00:00,3260.0,3358.0,3257.8,3357.6,259172.0,45698.0,25695510.942
IH0,CFFEX,d,2015-04-28 00:00:00,3339.0,3376.0,3265.0,3286.8,329692.0,36374.0,32777472.114
IH0,CFFEX,d,2015-04-29 00:00:00,3282.0,3325.6,3261.0,3295.2,242567.0,39968.0,23978665.446
IH0,CFFEX,d,2015-04-30 00:00:00,3315.2,3331.2,3247.2,3269.4,202408.0,41181.0,20002330.458
IH0,CFFEX,d,2015-05-04 00:00:00,3295.8,3301.8,3225.8,3273.2,189061.0,40335.0,18514600.842
IH0,CFFEX,d,2015-05-05 00:00:00,3279.6,3281.6,3141.2,3163.0,217674.0,38274.0,21002333.316
IH0,CFFEX,d,2015-05-06 00:00:00,3171.2,3257.4,3116.0,3153.0,261933.0,36206.0,25111305.462
IH0,CFFEX,d,2015-05-07 00:00:00,3159.6,3170.0,3103.0,3111.2,234619.0,40498.0,22096186.728
IH0,CFFEX,d,2015-05-08 00:00:00,3131.0,3149.0,3051.2,3099.8,215483.0,37887.0,20065850.07
IH0,CFFEX,d,2015-05-11 00:00:00,3112.0,3170.4,3078.0,3160.0,201465.0,30050.0,18893483.13
IH0,CFFEX,d,2015-05-12 00:00:00,3151.0,3194.6,3138.0,3175.0,189729.0,23176.0,18033006.588
IH0,CFFEX,d,2015-05-13 00:00:00,3200.0,3204.8,3112.4,3125.4,165986.0,17535.0,15722948.448
IH0,CFFEX,d,2015-05-14 00:00:00,3148.0,3165.0,3095.6,3113.4,130846.0,24276.0,12267916.758
IH0,CFFEX,d,2015-05-15 00:00:00,3115.2,3129.8,3021.0,3041.4,202862.0,29113.0,18713921.364
IH0,CFFEX,d,2015-05-18 00:00:00,3033.6,3049.0,2962.0,2969.4,177652.0,30409.0,16067591.502
IH0,CFFEX,d,2015-05-19 00:00:00,2973.4,3145.6,2971.2,3143.0,295536.0,32724.0,27327880.902
