symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
IM0,CFFEX,d,2022-07-22 00:00:00,7050.0,7085.2,6857.0,6956.6,22153.0,17517.0,3091913.32
IM0,CFFEX,d,2022-07-25 00:00:00,6974.2,7015.8,6850.0,6878.6,22883.0,18747.0,3169970.476
IM0,CFFEX,d,2022-07-26 00:00:00,6898.0,6994.0,6844.8,6991.0,19269.0,20386.0,2671200.584
IM0,CFFEX,d,2022-07-27 00:00:00,6982.0,7074.4,6965.2,7066.2,19290.0,21390.0,2711399.276
IM0,CFFEX,d,2022-07-28 00:00:00,7110.0,7171.4,7072.4,7119.0,22464.0,24584.0,3199380.992
IM0,CFFEX,d,2022-07-29 00:00:00,7130.0,7152.0,7068.0,7087.0,25025.0,25557.0,3556014.512
IM0,CFFEX,d,2022-08-01 00:00:00,7070.2,7141.0,7004.4,7136.6,22084.0,24149.0,3130993.02
IM0,CFFEX,d,2022-08-02 00:00:00,7070.0,7075.0,6820.4,6948.2,37753.0,31769.0,5245061.592
IM0,CFFEX,d,2022-08-03 00:00:00,6990.0,7062.0,6860.8,6882.8,32325.0,29243.0,4520482.06
IM0,CFFEX,d,2022-08-04 00:00:00,6933.0,6942.8,6778.2,6890.8,35394.0,30899.0,4861552.848
IM0,CFFEX,d,2022-08-05 00:00:00,6903.4,7080.8,6903.4,7080.0,31492.0,28786.0,4399359.616
IM0,CFFEX,d,2022-08-08 00:00:00,7060.0,7145.0,7039.6,7132.2,20853.0,26514.0,2959627.7
IM0,CFFEX,d,2022-08-09 00:00:00,7120.0,7164.8,7084.4,7160.6,18871.0,25359.0,2690369.828
IM0,CFFEX,d,2022-08-10 00:00:00,7138.0,7202.0,7130.0,7168.4,21848.0,26391.0,3132424.456
IM0,CFFEX,d,2022-08-11 00:00:00,7201.4,7287.6,7179.6,7284.8,22671.0,24871.0,3283346.204
IM0,CFFEX,d,2022-08-12 00:00:00,7275.0,7306.0,7205.4,7222.4,19678.0,23573.0,2857735.04
