symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
J0,DCE,d,2011-04-15 00:00:00,2300.0,2300.0,2226.0,2247.0,57134,6404,0.0
J0,DCE,d,2011-04-18 00:00:00,2233.0,2388.0,2233.0,2381.0,132702,19488,0.0
J0,DCE,d,2011-04-19 00:00:00,2375.0,2384.0,2320.0,2336.0,204462,23270,0.0
J0,DCE,d,2011-04-20 00:00:00,2350.0,2395.0,2328.0,2343.0,175506,23484,0.0
J0,DCE,d,2011-04-21 00:00:00,2353.0,2363.0,2323.0,2335.0,97576,22246,0.0
J0,DCE,d,2011-04-22 00:00:00,2336.0,2351.0,2297.0,2330.0,128218,18880,0.0
J0,DCE,d,2011-04-25 00:00:00,2340.0,2359.0,2317.0,2329.0,64954,18038,0.0
J0,DCE,d,2011-04-26 00:00:00,2315.0,2329.0,2303.0,2322.0,44336,17852,0.0
J0,DCE,d,2011-04-27 00:00:00,2332.0,2339.0,2315.0,2320.0,32038,16356,0.0
J0,DCE,d,2011-04-28 00:00:00,2330.0,2347.0,2326.0,2337.0,26286,14190,0.0
J0,DCE,d,2011-04-29 00:00:00,2337.0,2343.0,2323.0,2329.0,17654,11762,0.0
J0,DCE,d,2011-05-03 00:00:00,2330.0,2354.0,2326.0,2344.0,26594,12876,0.0
J0,DCE,d,2011-05-04 00:00:00,2341.0,2346.0,2320.0,2329.0,14518,10782,0.0
J0,DCE,d,2011-05-05 00:00:00,2309.0,2319.0,2293.0,2308.0,13896,10736,0.0
J0,DCE,d,2011-05-06 00:00:00,2255.0,2289.0,2255.0,2271.0,14736,10206,0.0
J0,DCE,d,2011-05-09 00:00:00,2280.0,2284.0,2273.0,2280.0,7240,9292,0.0
J0,DCE,d,2011-05-10 00:00:00,2285.0,2288.0,2275.0,2287.0,7890,8290,0.0
J0,DCE,d,2011-05-11 00:00:00,2293.0,2338.0,2286.0,2314.0,30078,9430,0.0
J0,DCE,d,2011-05-12 00:00:00,2290.0,2352.0,2288.0,2344.0,61826,17712,0.0
J0,DCE,d,2011-05-13 00:00:00,2360.0,2444.0,2353.0,2419.0,134808,26414,0.0
J0,DCE,d,2011-05-16 00:00:00,2415.0,2423.0,2396.0,2407.0,57056,25800,0.0
J0,DCE,d,2011-05-17 00:00:00,2414.0,2417.0,2371.0,2391.0,57660,21764,0.0
J0,DCE,d,2011-05-18 00:00:00,2400.0,2423.0,2370.0,2372.0,70386,21830,0.0
J0,DCE,d,2011-05-19 00:00:00,2394.0,2394.0,2363.0,2367.0,47602,18316,0.0
J0,DCE,d,2011-05-20 00:00:00,2364.0,2392.0,2362.0,2376.0,37048,18196,0.0
J0,DCE,d,2011-05-23 00:00:00,2388.0,2389.0,2350.0,2357.0,18982,17736,0.0
J0,DCE,d,2011-05-24 00:00:00,2356.0,2380.0,2345.0,2380.0,30504,20964,0.0
J0,DCE,d,2011-05-25 00:00:00,2382.0,2385.0,2366.0,2375.0,18206,18796,0.0
