symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
L0,DCE,d,2007-07-31 00:00:00,12780.0,12625.0,12450.0,12580.0,21556,2428,0.0
L0,DCE,d,2007-08-01 00:00:00,12650.0,12650.0,12390.0,12450.0,4728,2294,0.0
L0,DCE,d,2007-08-02 00:00:00,12410.0,12490.0,12300.0,12460.0,5116,2740,0.0
L0,DCE,d,2007-08-03 00:00:00,12440.0,12560.0,12410.0,12495.0,4810,3026,0.0
L0,DCE,d,2007-08-06 00:00:00,12420.0,12670.0,12420.0,12550.0,6480,3696,0.0
L0,DCE,d,2007-08-07 00:00:00,12455.0,12570.0,12440.0,12540.0,2600,3106,0.0
L0,DCE,d,2007-08-08 00:00:00,12540.0,12640.0,12540.0,12580.0,2124,3024,0.0
L0,DCE,d,2007-08-09 00:00:00,12575.0,12795.0,12560.0,12770.0,4630,4452,0.0
L0,DCE,d,2007-08-10 00:00:00,12710.0,12850.0,12620.0,12700.0,8224,4708,0.0
L0,DCE,d,2007-08-13 00:00:00,12745.0,12780.0,12660.0,12685.0,2740,4122,0.0
L0,DCE,d,2007-08-14 00:00:00,12665.0,12680.0,12525.0,12530.0,3116,3854,0.0
L0,DCE,d,2007-08-15 00:00:00,12530.0,12600.0,12520.0,12565.0,2166,3908,0.0
L0,DCE,d,2007-08-16 00:00:00,12595.0,12620.0,12510.0,12515.0,2528,3598,0.0
L0,DCE,d,2007-08-17 00:00:00,12480.0,12555.0,12320.0,12495.0,3214,3608,0.0
L0,DCE,d,2007-08-20 00:00:00,12480.0,12555.0,12320.0,12540.0,1294,3578,0.0
L0,DCE,d,2007-08-21 00:00:00,12480.0,12520.0,12455.0,12485.0,1562,234,0.0
L0,DCE,d,2007-08-22 00:00:00,12500.0,12510.0,12465.0,12510.0,1660,234,0.0
L0,DCE,d,2007-08-23 00:00:00,12520.0,12595.0,12520.0,12585.0,1528,304,0.0
L0,DCE,d,2007-08-24 00:00:00,12550.0,12565.0,12450.0,12555.0,1154,254,0.0
L0,DCE,d,2007-08-27 00:00:00,12525.0,12525.0,12450.0,12455.0,1808,3500,0.0
L0,DCE,d,2007-08-28 00:00:00,12510.0,12510.0,12400.0,12440.0,1688,380,0.0
L0,DCE,d,2007-08-29 00:00:00,12430.0,12430.0,12385.0,12400.0,1706,388,0.0
L0,DCE,d,2007-08-30 00:00:00,12480.0,12480.0,12345.0,12360.0,2076,3840,0.0
L0,DCE,d,2007-08-31 00:00:00,12360.0,12410.0,12335.0,12405.0,2494,674,0.0
L0,DCE,d,2007-09-03 00:00:00,12420.0,12480.0,12395.0,12455.0,1988,780,0.0
L0,DCE,d,2007-09-04 00:00:00,12425.0,12495.0,12390.0,12420.0,2728,932,0.0
L0,DCE,d,2007-09-05 00:00:00,12450.0,12450.0,12390.0,12405.0,2294,1050,0.0
L0,DCE,d,2007-09-06 00:00:00,12430.0,12500.0,12420.0,12475.0,2938,1110,0.0
L0,DCE,d,2007-09-07 00:00:00,12490.0,12670.0,12465.0,12550.0,4562,2094,0.0
L0,DCE,d,2007-09-10 00:00:00,12545.0,12605.0,12400.0,12475.0,4354,1668,0.0
L0,DCE,d,2007-09-11 00:00:00,12510.0,12545.0,12450.0,12470.0,3738,1646,0.0
L0,DCE,d,2007-09-12 00:00:00,12515.0,12515.0,12455.0,12495.0,4610,1820,0.0
L0,DCE,d,2007-09-13 00:00:00,12510.0,12590.0,12480.0,12500.0,4352,2362,0.0
L0,DCE,d,2007-09-14 00:00:00,12485.0,12505.0,12455.0,12485.0,4748,2034,0.0
L0,DCE,d,2007-09-17 00:00:00,12440.0,12495.0,12440.0,12495.0,3856,2132,0.0
L0,DCE,d,2007-09-18 00:00:00,12550.0,12590.0,12505.0,12550.0,6654,2826,0.0
L0,DCE,d,2007-09-19 00:00:00,12590.0,12620.0,12570.0,12600.0,5834,3398,0.0
L0,DCE,d,2007-09-20 00:00:00,12595.0,12600.0,12510.0,12590.0,9494,3836,0.0
L0,DCE,d,2007-09-21 00:00:00,12610.0,12615.0,12560.0,12580.0,5954,3876,0.0
L0,DCE,d,2007-09-24 00:00:00,12595.0,12600.0,12515.0,12530.0,5190,3734,0.0
L0,DCE,d,2007-09-25 00:00:00,12500.0,12525.0,12465.0,12500.0,4356,3582,0.0
L0,DCE,d,2007-09-26 00:00:00,12495.0,12515.0,12460.0,12490.0,4924,3536,0.0
L0,DCE,d,2007-09-27 00:00:00,12520.0,12520.0,12470.0,12480.0,5062,3652,0.0
L0,DCE,d,2007-09-28 00:00:00,12500.0,12520.0,12485.0,12520.0,3720,3740,0.0
L0,DCE,d,2007-10-08 00:00:00,12520.0,12600.0,12500.0,12550.0,5346,3846,0.0
L0,DCE,d,2007-10-09 00:00:00,12500.0,12545.0,12485.0,12515.0,4252,3828,0.0
L0,DCE,d,2007-10-10 00:00:00,12530.0,12580.0,12505.0,12555.0,4242,4316,0.0
L0,DCE,d,2007-10-11 00:00:00,12595.0,12595.0,12555.0,12585.0,6432,4600,0.0
L0,DCE,d,2007-10-12 00:00:00,12600.0,12740.0,12595.0,12625.0,12472,6716,0.0
L0,DCE,d,2007-10-15 00:00:00,12650.0,12685.0,12620.0,12670.0,8636,6928,0.0
L0,DCE,d,2007-10-16 00:00:00,12700.0,12760.0,12680.0,12720.0,10532,7788,0.0
L0,DCE,d,2007-10-17 00:00:00,12725.0,12780.0,12670.0,12675.0,8736,7078,0.0
L0,DCE,d,2007-10-18 00:00:00,12635.0,12675.0,12630.0,12660.0,6272,6922,0.0
L0,DCE,d,2007-10-19 00:00:00,12700.0,12700.0,12665.0,12680.0,6664,7064,0.0
L0,DCE,d,2007-10-22 00:00:00,12625.0,12740.0,12625.0,12735.0,7644,7724,0.0
L0,DCE,d,2007-10-23 00:00:00,12730.0,12850.0,12730.0,12800.0,9818,7998,0.0
L0,DCE,d,2007-10-24 00:00:00,12780.0,12815.0,12755.0,12800.0,6554,8086,0.0
L0,DCE,d,2007-10-25 00:00:00,12830.0,12835.0,12750.0,12820.0,6496,7648,0.0
