symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
LG0,DCE,d,2024-11-18 00:00:00,750.0,780.0,750.0,764.0,89550,10593,0.0
LG0,DCE,d,2024-11-19 00:00:00,765.0,778.0,761.5,772.0,66189,11420,0.0
LG0,DCE,d,2024-11-20 00:00:00,770.0,775.0,764.5,770.0,25015,10048,0.0
LG0,DCE,d,2024-11-21 00:00:00,771.5,814.5,768.0,814.5,201745,34955,0.0
LG0,DCE,d,2024-11-22 00:00:00,815.5,827.0,802.0,809.5,282985,27376,0.0
LG0,DCE,d,2024-11-25 00:00:00,809.5,815.5,790.5,797.5,192107,26222,0.0
LG0,DCE,d,2024-11-26 00:00:00,794.0,806.0,793.0,797.0,91770,27029,0.0
LG0,DCE,d,2024-11-27 00:00:00,798.0,801.0,792.0,796.5,58989,24904,0.0
LG0,DCE,d,2024-11-28 00:00:00,795.0,815.0,794.0,797.5,124809,23903,0.0
LG0,DCE,d,2024-11-29 00:00:00,797.0,805.0,796.0,801.5,38599,20915,0.0
LG0,DCE,d,2024-12-02 00:00:00,802.0,806.5,797.0,801.0,23717,20372,0.0
LG0,DCE,d,2024-12-03 00:00:00,800.5,802.0,796.0,800.5,19275,17436,0.0
LG0,DCE,d,2024-12-04 00:00:00,800.0,810.0,798.5,800.0,29412,17101,0.0
LG0,DCE,d,2024-12-05 00:00:00,800.0,803.0,783.5,795.0,18780,15065,0.0
LG0,DCE,d,2024-12-06 00:00:00,795.0,796.0,789.0,793.0,13243,13715,0.0
LG0,DCE,d,2024-12-09 00:00:00,795.0,800.0,794.0,795.5,10050,13541,0.0
LG0,DCE,d,2024-12-10 00:00:00,808.0,812.0,799.0,804.0,19829,13150,0.0
LG0,DCE,d,2024-12-11 00:00:00,806.0,806.0,801.0,803.5,7793,11193,0.0
LG0,DCE,d,2024-12-12 00:00:00,803.5,807.0,802.0,804.5,6282,11209,0.0
LG0,DCE,d,2024-12-13 00:00:00,800.0,802.5,798.0,801.0,7307,10903,0.0
