symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
LH0,DCE,d,2021-01-08 00:00:00,29500.0,30680.0,26385.0,26805.0,91045,14988,0.0
LH0,DCE,d,2021-01-11 00:00:00,26225.0,26720.0,26030.0,26030.0,23026,17600,0.0
LH0,DCE,d,2021-01-12 00:00:00,25760.0,26210.0,25205.0,25560.0,39402,17194,0.0
LH0,DCE,d,2021-01-13 00:00:00,25830.0,26350.0,25715.0,25855.0,16468,17052,0.0
LH0,DCE,d,2021-01-14 00:00:00,25805.0,26155.0,24860.0,24890.0,24216,18719,0.0
LH0,DCE,d,2021-01-15 00:00:00,25155.0,25155.0,24460.0,24725.0,20257,18594,0.0
LH0,DCE,d,2021-01-18 00:00:00,24825.0,25780.0,24805.0,25140.0,19853,18536,0.0
LH0,DCE,d,2021-01-19 00:00:00,25185.0,25390.0,24880.0,25025.0,8816,17800,0.0
LH0,DCE,d,2021-01-20 00:00:00,25005.0,25090.0,24500.0,24910.0,7832,17573,0.0
LH0,DCE,d,2021-01-21 00:00:00,24910.0,25185.0,24800.0,24870.0,6694,17278,0.0
LH0,DCE,d,2021-01-22 00:00:00,24860.0,25045.0,24530.0,24570.0,8145,17413,0.0
LH0,DCE,d,2021-01-25 00:00:00,24510.0,25300.0,24510.0,24930.0,10872,16900,0.0
LH0,DCE,d,2021-01-26 00:00:00,25100.0,25770.0,24925.0,25555.0,17784,17980,0.0
LH0,DCE,d,2021-01-27 00:00:00,25610.0,25645.0,25200.0,25275.0,8352,17942,0.0
LH0,DCE,d,2021-01-28 00:00:00,25150.0,25535.0,25020.0,25190.0,8710,17581,0.0
LH0,DCE,d,2021-01-29 00:00:00,25295.0,25620.0,25280.0,25570.0,8596,17760,0.0
LH0,DCE,d,2021-02-01 00:00:00,25600.0,25970.0,25420.0,25685.0,6161,18539,0.0
LH0,DCE,d,2021-02-02 00:00:00,25700.0,26040.0,25300.0,25380.0,11849,18831,0.0
LH0,DCE,d,2021-02-03 00:00:00,25300.0,25555.0,25210.0,25315.0,7046,18399,0.0
LH0,DCE,d,2021-02-04 00:00:00,25325.0,25485.0,25250.0,25445.0,4078,18364,0.0
LH0,DCE,d,2021-02-05 00:00:00,25500.0,26175.0,25500.0,26170.0,8802,19213,0.0
LH0,DCE,d,2021-02-08 00:00:00,26225.0,27400.0,26225.0,26900.0,13460,19705,0.0
LH0,DCE,d,2021-02-09 00:00:00,26900.0,27110.0,26400.0,26845.0,6343,19375,0.0
LH0,DCE,d,2021-02-10 00:00:00,26845.0,26870.0,26500.0,26705.0,4436,19412,0.0
LH0,DCE,d,2021-02-18 00:00:00,27000.0,27100.0,26525.0,27000.0,5803,20245,0.0
LH0,DCE,d,2021-02-19 00:00:00,27100.0,28390.0,27055.0,28330.0,16334,21176,0.0
LH0,DCE,d,2021-02-22 00:00:00,28350.0,29430.0,28115.0,29380.0,15830,18856,0.0
LH0,DCE,d,2021-02-23 00:00:00,29350.0,29380.0,28050.0,28980.0,16187,16552,0.0
LH0,DCE,d,2021-02-24 00:00:00,29600.0,29805.0,28600.0,28900.0,10008,15697,0.0
LH0,DCE,d,2021-02-25 00:00:00,29000.0,29140.0,28630.0,28915.0,7317,14880,0.0
LH0,DCE,d,2021-02-26 00:00:00,28800.0,29325.0,28440.0,28970.0,8485,14493,0.0
LH0,DCE,d,2021-03-01 00:00:00,29430.0,29435.0,28800.0,29185.0,5271,14013,0.0
LH0,DCE,d,2021-03-02 00:00:00,29150.0,29250.0,28500.0,28750.0,6560,13518,0.0
LH0,DCE,d,2021-03-03 00:00:00,28945.0,29000.0,28510.0,28785.0,3709,13105,0.0
LH0,DCE,d,2021-03-04 00:00:00,28745.0,29115.0,28550.0,28845.0,3695,12813,0.0
LH0,DCE,d,2021-03-05 00:00:00,28865.0,28880.0,27000.0,28400.0,8233,12650,0.0
LH0,DCE,d,2021-03-08 00:00:00,28550.0,28900.0,28400.0,28545.0,3651,12516,0.0
LH0,DCE,d,2021-03-09 00:00:00,28465.0,28615.0,27820.0,27900.0,4897,12848,0.0
LH0,DCE,d,2021-03-10 00:00:00,27880.0,28300.0,27200.0,28050.0,9535,12582,0.0
LH0,DCE,d,2021-03-11 00:00:00,28000.0,28755.0,27805.0,28595.0,5980,12362,0.0
LH0,DCE,d,2021-03-12 00:00:00,28880.0,28885.0,28485.0,28750.0,3588,12073,0.0
LH0,DCE,d,2021-03-15 00:00:00,28785.0,28995.0,28280.0,28405.0,4380,11681,0.0
LH0,DCE,d,2021-03-16 00:00:00,28370.0,28695.0,28120.0,28450.0,2592,11223,0.0
LH0,DCE,d,2021-03-17 00:00:00,28390.0,28760.0,28310.0,28610.0,2806,11672,0.0
LH0,DCE,d,2021-03-18 00:00:00,28470.0,28630.0,28365.0,28470.0,2409,11048,0.0
LH0,DCE,d,2021-03-19 00:00:00,28205.0,28600.0,28135.0,28505.0,2824,11081,0.0
LH0,DCE,d,2021-03-22 00:00:00,28455.0,28470.0,27935.0,28250.0,3574,10894,0.0
LH0,DCE,d,2021-03-23 00:00:00,28280.0,28325.0,27960.0,28135.0,1704,10459,0.0
LH0,DCE,d,2021-03-24 00:00:00,28000.0,28190.0,27850.0,28000.0,1963,10373,0.0
LH0,DCE,d,2021-03-25 00:00:00,27850.0,27980.0,27520.0,27520.0,3065,10666,0.0
LH0,DCE,d,2021-03-26 00:00:00,27500.0,27570.0,27215.0,27215.0,3136,10898,0.0
LH0,DCE,d,2021-03-29 00:00:00,27000.0,27030.0,26520.0,26555.0,5143,11456,0.0
LH0,DCE,d,2021-03-30 00:00:00,26480.0,27230.0,26310.0,27030.0,4615,11358,0.0
LH0,DCE,d,2021-03-31 00:00:00,26870.0,27130.0,26655.0,26985.0,3481,10842,0.0
