symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
LR0,CZCE,d,2014-07-08 00:00:00,2760.0,2816.0,2760.0,2813.0,25016,9500,0.0
LR0,CZCE,d,2014-07-09 00:00:00,2820.0,2824.0,2799.0,2804.0,9050,10854,0.0
LR0,CZCE,d,2014-07-10 00:00:00,2805.0,2810.0,2795.0,2804.0,2190,10614,0.0
LR0,CZCE,d,2014-07-11 00:00:00,2805.0,2845.0,2804.0,2828.0,4068,10322,0.0
LR0,CZCE,d,2014-07-14 00:00:00,2828.0,2839.0,2818.0,2830.0,1684,10136,0.0
LR0,CZCE,d,2014-07-15 00:00:00,2833.0,2837.0,2826.0,2831.0,1362,9826,0.0
LR0,CZCE,d,2014-07-16 00:00:00,2833.0,2833.0,2816.0,2828.0,982,9674,0.0
LR0,CZCE,d,2014-07-17 00:00:00,2823.0,2833.0,2806.0,2815.0,1066,9780,0.0
LR0,CZCE,d,2014-07-18 00:00:00,2811.0,2824.0,2806.0,2816.0,1312,9340,0.0
LR0,CZCE,d,2014-07-21 00:00:00,2808.0,2822.0,2808.0,2819.0,468,9296,0.0
LR0,CZCE,d,2014-07-22 00:00:00,2817.0,2829.0,2815.0,2823.0,736,9470,0.0
LR0,CZCE,d,2014-07-23 00:00:00,2823.0,2829.0,2815.0,2820.0,522,9608,0.0
LR0,CZCE,d,2014-07-24 00:00:00,2822.0,2845.0,2815.0,2839.0,2248,10356,0.0
LR0,CZCE,d,2014-07-25 00:00:00,2836.0,2874.0,2835.0,2872.0,3078,11874,0.0
LR0,CZCE,d,2014-07-28 00:00:00,2865.0,2878.0,2857.0,2878.0,2592,12422,0.0
LR0,CZCE,d,2014-07-29 00:00:00,2880.0,2904.0,2875.0,2887.0,5172,12850,0.0
LR0,CZCE,d,2014-07-30 00:00:00,2886.0,2890.0,2876.0,2881.0,2152,12774,0.0
LR0,CZCE,d,2014-07-31 00:00:00,2880.0,2885.0,2867.0,2872.0,2264,12478,0.0
LR0,CZCE,d,2014-08-01 00:00:00,2875.0,2875.0,2861.0,2864.0,1212,12660,0.0
LR0,CZCE,d,2014-08-04 00:00:00,2868.0,2878.0,2851.0,2855.0,1524,12884,0.0
LR0,CZCE,d,2014-08-05 00:00:00,2857.0,2859.0,2845.0,2846.0,1030,12978,0.0
LR0,CZCE,d,2014-08-06 00:00:00,2848.0,2859.0,2843.0,2850.0,1364,12772,0.0
LR0,CZCE,d,2014-08-07 00:00:00,2852.0,2858.0,2835.0,2840.0,1410,12464,0.0
LR0,CZCE,d,2014-08-08 00:00:00,2841.0,2851.0,2836.0,2846.0,1196,11816,0.0
