symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
MA0,CZCE,d,2014-12-24 00:00:00,1763.0,1874.0,1763.0,1816.0,67948,7744,0.0
MA0,CZCE,d,2014-12-25 00:00:00,2073.0,2093.0,2061.0,2073.0,2001700,390908,0.0
MA0,CZCE,d,2014-12-26 00:00:00,2080.0,2112.0,2077.0,2086.0,1603100,408548,0.0
MA0,CZCE,d,2014-12-29 00:00:00,2089.0,2095.0,2035.0,2050.0,1756700,392466,0.0
MA0,CZCE,d,2014-12-30 00:00:00,2049.0,2088.0,2025.0,2041.0,2042600,390976,0.0
MA0,CZCE,d,2014-12-31 00:00:00,2038.0,2074.0,2036.0,2051.0,1344100,305514,0.0
MA0,CZCE,d,2015-01-05 00:00:00,2030.0,2057.0,2001.0,2007.0,816934,326002,0.0
MA0,CZCE,d,2015-01-06 00:00:00,1990.0,2041.0,1986.0,2022.0,1459904,355152,0.0
MA0,CZCE,d,2015-01-07 00:00:00,2014.0,2053.0,2000.0,2022.0,1956456,365132,0.0
MA0,CZCE,d,2015-01-08 00:00:00,2039.0,2048.0,2023.0,2031.0,1254914,358318,0.0
MA0,CZCE,d,2015-01-09 00:00:00,2036.0,2038.0,2006.0,2017.0,1134404,353614,0.0
MA0,CZCE,d,2015-01-12 00:00:00,2009.0,2022.0,1944.0,1945.0,1922098,496114,0.0
MA0,CZCE,d,2015-01-13 00:00:00,1940.0,1948.0,1897.0,1909.0,1754696,527402,0.0
MA0,CZCE,d,2015-01-14 00:00:00,1902.0,1956.0,1902.0,1922.0,2146990,487640,0.0
MA0,CZCE,d,2015-01-15 00:00:00,1929.0,1967.0,1915.0,1964.0,1804932,460190,0.0
MA0,CZCE,d,2015-01-16 00:00:00,1978.0,2014.0,1940.0,1984.0,3245946,452762,0.0
MA0,CZCE,d,2015-01-19 00:00:00,1986.0,2017.0,1978.0,2006.0,2255154,436364,0.0
MA0,CZCE,d,2015-01-20 00:00:00,2005.0,2012.0,1981.0,2004.0,1538922,449366,0.0
MA0,CZCE,d,2015-01-21 00:00:00,2008.0,2074.0,1992.0,2047.0,2224040,416774,0.0
