symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
NI0,SHFE,d,2015-03-27 00:00:00,101870.0,102700.0,100650.0,101090.0,28852,14370,0.0
NI0,SHFE,d,2015-03-30 00:00:00,99010.0,100000.0,96850.0,98380.0,66682,34188,0.0
NI0,SHFE,d,2015-03-31 00:00:00,98000.0,98200.0,93840.0,95040.0,105600,54888,0.0
NI0,SHFE,d,2015-04-01 00:00:00,93800.0,94130.0,91290.0,92450.0,158924,70960,0.0
NI0,SHFE,d,2015-04-02 00:00:00,92870.0,96600.0,92550.0,96160.0,202848,80724,0.0
NI0,SHFE,d,2015-04-03 00:00:00,95970.0,97800.0,95660.0,97300.0,150282,80998,0.0
NI0,SHFE,d,2015-04-07 00:00:00,97380.0,97980.0,95950.0,96420.0,75688,83542,0.0
NI0,SHFE,d,2015-04-08 00:00:00,94500.0,95630.0,93300.0,93950.0,183088,95102,0.0
NI0,SHFE,d,2015-04-09 00:00:00,94450.0,95260.0,93880.0,94300.0,160974,99084,0.0
NI0,SHFE,d,2015-04-10 00:00:00,94500.0,94970.0,93180.0,94540.0,137720,105628,0.0
NI0,SHFE,d,2015-04-13 00:00:00,94280.0,95670.0,93700.0,95180.0,169538,112774,0.0
NI0,SHFE,d,2015-04-14 00:00:00,94780.0,95070.0,92830.0,93100.0,199144,127690,0.0
NI0,SHFE,d,2015-04-15 00:00:00,92710.0,95000.0,92640.0,94730.0,220106,132258,0.0
NI0,SHFE,d,2015-04-16 00:00:00,94500.0,95900.0,94260.0,95400.0,195920,131624,0.0
NI0,SHFE,d,2015-04-17 00:00:00,96280.0,96660.0,95010.0,95840.0,168678,127292,0.0
NI0,SHFE,d,2015-04-20 00:00:00,95980.0,96550.0,95200.0,95410.0,148104,116410,0.0
NI0,SHFE,d,2015-04-21 00:00:00,96260.0,96390.0,95630.0,95880.0,140930,110552,0.0
NI0,SHFE,d,2015-04-22 00:00:00,95910.0,96720.0,95750.0,96340.0,123898,110514,0.0
NI0,SHFE,d,2015-04-23 00:00:00,96120.0,96500.0,95600.0,95840.0,101064,110648,0.0
NI0,SHFE,d,2015-04-24 00:00:00,95840.0,97890.0,95700.0,97830.0,118180,113816,0.0
NI0,SHFE,d,2015-04-27 00:00:00,98000.0,101490.0,97990.0,101490.0,241858,116332,0.0
NI0,SHFE,d,2015-04-28 00:00:00,102490.0,104530.0,101420.0,102640.0,285686,111940,0.0
NI0,SHFE,d,2015-04-29 00:00:00,102370.0,104400.0,100550.0,101020.0,317634,111334,0.0
NI0,SHFE,d,2015-04-30 00:00:00,101190.0,106980.0,101170.0,105980.0,552304,126094,0.0
NI0,SHFE,d,2015-05-04 00:00:00,105760.0,108500.0,105480.0,107620.0,278828,128716,0.0
NI0,SHFE,d,2015-05-05 00:00:00,107850.0,109230.0,106160.0,107940.0,518260,133632,0.0
NI0,SHFE,d,2015-05-06 00:00:00,110000.0,113380.0,109690.0,113380.0,609024,134182,0.0
NI0,SHFE,d,2015-05-07 00:00:00,114580.0,115300.0,111060.0,112490.0,969004,123704,0.0
NI0,SHFE,d,2015-05-08 00:00:00,113700.0,114100.0,110000.0,112290.0,878412,118554,0.0
NI0,SHFE,d,2015-05-11 00:00:00,111810.0,114430.0,111060.0,113880.0,728054,128054,0.0
NI0,SHFE,d,2015-05-12 00:00:00,113300.0,115060.0,111280.0,111600.0,871656,126540,0.0
NI0,SHFE,d,2015-05-13 00:00:00,112280.0,113650.0,110800.0,111750.0,752614,123868,0.0
NI0,SHFE,d,2015-05-14 00:00:00,112100.0,112100.0,107060.0,109400.0,760542,121384,0.0
NI0,SHFE,d,2015-05-15 00:00:00,108980.0,110950.0,108540.0,110210.0,609290,130696,0.0
NI0,SHFE,d,2015-05-18 00:00:00,109390.0,109690.0,108200.0,108610.0,544094,121292,0.0
NI0,SHFE,d,2015-05-19 00:00:00,108300.0,108890.0,106160.0,106400.0,467078,116362,0.0
NI0,SHFE,d,2015-05-20 00:00:00,105500.0,105990.0,102340.0,102340.0,318956,107676,0.0
NI0,SHFE,d,2015-05-21 00:00:00,100490.0,102550.0,100170.0,101050.0,480180,106174,0.0
NI0,SHFE,d,2015-05-22 00:00:00,100960.0,103370.0,96710.0,100080.0,741830,109810,0.0
NI0,SHFE,d,2015-05-25 00:00:00,98900.0,100580.0,98110.0,99490.0,610232,114898,0.0
NI0,SHFE,d,2015-05-26 00:00:00,99670.0,101900.0,99660.0,100010.0,550278,115194,0.0
NI0,SHFE,d,2015-05-27 00:00:00,99990.0,101180.0,99200.0,100670.0,406046,119562,0.0
NI0,SHFE,d,2015-05-28 00:00:00,97760.0,100100.0,97750.0,99470.0,211688,144198,0.0
NI0,SHFE,d,2015-05-29 00:00:00,99140.0,99670.0,96250.0,97600.0,196282,144476,0.0
NI0,SHFE,d,2015-06-01 00:00:00,97500.0,97800.0,96360.0,96810.0,171826,156872,0.0
NI0,SHFE,d,2015-06-02 00:00:00,97190.0,100500.0,97020.0,100280.0,428588,179364,0.0
NI0,SHFE,d,2015-06-03 00:00:00,100380.0,101100.0,99040.0,99060.0,409252,191776,0.0
NI0,SHFE,d,2015-06-04 00:00:00,99200.0,99940.0,97690.0,98530.0,373052,193200,0.0
NI0,SHFE,d,2015-06-05 00:00:00,98650.0,99480.0,98080.0,98370.0,349638,203506,0.0
NI0,SHFE,d,2015-06-08 00:00:00,98750.0,100600.0,98330.0,100570.0,493720,217446,0.0
NI0,SHFE,d,2015-06-09 00:00:00,100850.0,102150.0,100660.0,100900.0,602550,214596,0.0
NI0,SHFE,d,2015-06-10 00:00:00,101360.0,101770.0,100580.0,101350.0,398426,210390,0.0
NI0,SHFE,d,2015-06-11 00:00:00,101850.0,102200.0,101300.0,101500.0,323762,201518,0.0
NI0,SHFE,d,2015-06-12 00:00:00,101600.0,101640.0,97860.0,98100.0,485194,199814,0.0
NI0,SHFE,d,2015-06-15 00:00:00,98400.0,98880.0,97400.0,97530.0,314750,206642,0.0
NI0,SHFE,d,2015-06-16 00:00:00,97400.0,98050.0,95340.0,95670.0,386062,213938,0.0
NI0,SHFE,d,2015-06-17 00:00:00,96000.0,96360.0,94700.0,95270.0,399972,212964,0.0
NI0,SHFE,d,2015-06-18 00:00:00,96300.0,96810.0,95830.0,96290.0,327414,203154,0.0
NI0,SHFE,d,2015-06-19 00:00:00,96020.0,96180.0,94440.0,94620.0,314624,215276,0.0
NI0,SHFE,d,2015-06-23 00:00:00,93890.0,94780.0,93510.0,94450.0,7576,21288,0.0
NI0,SHFE,d,2015-06-24 00:00:00,95610.0,96700.0,95350.0,96370.0,335594,215432,0.0
NI0,SHFE,d,2015-06-25 00:00:00,96010.0,96220.0,94800.0,94850.0,333244,220876,0.0
NI0,SHFE,d,2015-06-26 00:00:00,94760.0,95170.0,93030.0,93770.0,506470,222274,0.0
NI0,SHFE,d,2015-06-29 00:00:00,93650.0,93680.0,89510.0,90360.0,618386,231122,0.0
NI0,SHFE,d,2015-06-30 00:00:00,88880.0,89410.0,87330.0,87330.0,479454,235210,0.0
NI0,SHFE,d,2015-07-01 00:00:00,87330.0,89980.0,86680.0,88360.0,711432,216370,0.0
NI0,SHFE,d,2015-07-02 00:00:00,88000.0,89880.0,87580.0,89440.0,651842,206512,0.0
NI0,SHFE,d,2015-07-03 00:00:00,89850.0,90670.0,88110.0,89230.0,530308,192024,0.0
NI0,SHFE,d,2015-07-06 00:00:00,89100.0,89340.0,85260.0,85520.0,497774,193608,0.0
NI0,SHFE,d,2015-07-07 00:00:00,85750.0,87360.0,84050.0,84220.0,563222,194898,0.0
NI0,SHFE,d,2015-07-08 00:00:00,82400.0,82400.0,81630.0,81630.0,25018,190228,0.0
NI0,SHFE,d,2015-07-09 00:00:00,75230.0,86050.0,75230.0,83530.0,1040600,168836,0.0
NI0,SHFE,d,2015-07-10 00:00:00,84100.0,85170.0,82950.0,84570.0,552370,180276,0.0
NI0,SHFE,d,2015-07-13 00:00:00,84040.0,84170.0,80600.0,82250.0,771510,189886,0.0
NI0,SHFE,d,2015-07-14 00:00:00,84510.0,85800.0,83680.0,84540.0,831342,186382,0.0
NI0,SHFE,d,2015-07-15 00:00:00,84880.0,87090.0,84330.0,86970.0,859920,187520,0.0
NI0,SHFE,d,2015-07-16 00:00:00,86850.0,87240.0,83630.0,85440.0,949108,182376,0.0
NI0,SHFE,d,2015-07-17 00:00:00,84680.0,85760.0,84620.0,85590.0,589592,182418,0.0
NI0,SHFE,d,2015-07-20 00:00:00,84800.0,85760.0,84450.0,85320.0,574774,188630,0.0
NI0,SHFE,d,2015-07-21 00:00:00,85480.0,87950.0,85260.0,87870.0,608876,195552,0.0
NI0,SHFE,d,2015-07-22 00:00:00,87670.0,87880.0,84530.0,85220.0,737564,183214,0.0
NI0,SHFE,d,2015-07-23 00:00:00,85300.0,85620.0,83700.0,84410.0,701378,185200,0.0
NI0,SHFE,d,2015-07-24 00:00:00,84190.0,84880.0,82900.0,83360.0,696550,186720,0.0
NI0,SHFE,d,2015-07-27 00:00:00,83290.0,84950.0,82620.0,82650.0,631090,188830,0.0
NI0,SHFE,d,2015-07-28 00:00:00,81300.0,83420.0,81150.0,82740.0,594918,177788,0.0
NI0,SHFE,d,2015-07-29 00:00:00,83300.0,84770.0,83110.0,84330.0,519938,162950,0.0
NI0,SHFE,d,2015-07-30 00:00:00,83590.0,84420.0,82500.0,82620.0,564582,170372,0.0
NI0,SHFE,d,2015-07-31 00:00:00,82000.0,83000.0,81720.0,81780.0,480272,177058,0.0
NI0,SHFE,d,2015-08-03 00:00:00,82200.0,83180.0,80160.0,80340.0,516712,175340,0.0
NI0,SHFE,d,2015-08-04 00:00:00,80350.0,81220.0,79800.0,81100.0,441778,160924,0.0
NI0,SHFE,d,2015-08-05 00:00:00,81300.0,81800.0,80290.0,81190.0,319588,152420,0.0
NI0,SHFE,d,2015-08-06 00:00:00,81500.0,81640.0,80500.0,80780.0,329536,147734,0.0
NI0,SHFE,d,2015-08-07 00:00:00,80700.0,81130.0,79930.0,80700.0,364892,148768,0.0
NI0,SHFE,d,2015-08-10 00:00:00,80620.0,82490.0,80280.0,82200.0,337824,139708,0.0
NI0,SHFE,d,2015-08-11 00:00:00,82190.0,84300.0,81980.0,82370.0,514684,123886,0.0
NI0,SHFE,d,2015-08-12 00:00:00,81240.0,82840.0,80050.0,82690.0,506474,116000,0.0
NI0,SHFE,d,2015-08-13 00:00:00,82700.0,83500.0,81750.0,82690.0,349908,112150,0.0
NI0,SHFE,d,2015-08-14 00:00:00,83350.0,83430.0,82200.0,82300.0,135632,124732,0.0
NI0,SHFE,d,2015-08-17 00:00:00,82800.0,83200.0,82230.0,82880.0,132144,126786,0.0
NI0,SHFE,d,2015-08-18 00:00:00,82880.0,83250.0,81100.0,81130.0,180354,142650,0.0
NI0,SHFE,d,2015-08-19 00:00:00,81090.0,81950.0,80620.0,81860.0,286466,154028,0.0
NI0,SHFE,d,2015-08-20 00:00:00,81600.0,81850.0,79800.0,80650.0,379502,176056,0.0
NI0,SHFE,d,2015-08-21 00:00:00,81550.0,81560.0,80300.0,80370.0,311620,186596,0.0
NI0,SHFE,d,2015-08-24 00:00:00,80000.0,80100.0,76800.0,76800.0,370194,217706,0.0
NI0,SHFE,d,2015-08-25 00:00:00,74200.0,76730.0,74100.0,75410.0,406098,218318,0.0
NI0,SHFE,d,2015-08-26 00:00:00,75750.0,76230.0,74200.0,74360.0,575928,242488,0.0
NI0,SHFE,d,2015-08-27 00:00:00,74300.0,76200.0,74100.0,76160.0,472478,227150,0.0
NI0,SHFE,d,2015-08-28 00:00:00,76400.0,78900.0,76360.0,78610.0,624826,204962,0.0
NI0,SHFE,d,2015-08-31 00:00:00,78200.0,79300.0,76790.0,76810.0,674872,207056,0.0
NI0,SHFE,d,2015-09-01 00:00:00,76460.0,77370.0,75800.0,75810.0,458718,217478,0.0
NI0,SHFE,d,2015-09-02 00:00:00,76000.0,76690.0,75560.0,76510.0,475672,209048,0.0
NI0,SHFE,d,2015-09-03 00:00:00,76000.0,76690.0,75560.0,76150.0,0,209048,0.0
NI0,SHFE,d,2015-09-07 00:00:00,74600.0,75630.0,74600.0,75500.0,3300,27564,0.0
NI0,SHFE,d,2015-09-08 00:00:00,76870.0,76940.0,75300.0,76190.0,595808,248922,0.0
NI0,SHFE,d,2015-09-09 00:00:00,77090.0,78870.0,76730.0,77790.0,1253336,237720,0.0
NI0,SHFE,d,2015-09-10 00:00:00,78210.0,78720.0,77120.0,78710.0,1047802,251158,0.0
NI0,SHFE,d,2015-09-11 00:00:00,79400.0,80220.0,78750.0,79410.0,1420664,245130,0.0
NI0,SHFE,d,2015-09-14 00:00:00,79100.0,79900.0,78230.0,78260.0,1062540,240600,0.0
NI0,SHFE,d,2015-09-15 00:00:00,77480.0,78060.0,76860.0,76960.0,1094660,249360,0.0
NI0,SHFE,d,2015-09-16 00:00:00,77320.0,79380.0,77270.0,78950.0,1478896,247710,0.0
NI0,SHFE,d,2015-09-17 00:00:00,78800.0,79330.0,78300.0,78590.0,1678798,251738,0.0
NI0,SHFE,d,2015-09-18 00:00:00,78110.0,78580.0,77810.0,77890.0,1444806,268762,0.0
NI0,SHFE,d,2015-09-21 00:00:00,77200.0,78190.0,76320.0,78110.0,1442658,293284,0.0
NI0,SHFE,d,2015-09-22 00:00:00,77790.0,77970.0,76940.0,77090.0,1253948,293870,0.0
NI0,SHFE,d,2015-09-23 00:00:00,76780.0,76980.0,76030.0,76740.0,1147082,302684,0.0
NI0,SHFE,d,2015-09-24 00:00:00,76940.0,77110.0,76300.0,76760.0,779346,304598,0.0
NI0,SHFE,d,2015-09-25 00:00:00,76680.0,77850.0,76600.0,77100.0,979700,280362,0.0
NI0,SHFE,d,2015-09-28 00:00:00,77300.0,77800.0,77220.0,77410.0,384820,280330,0.0
NI0,SHFE,d,2015-09-29 00:00:00,77210.0,77420.0,75500.0,75540.0,646524,280048,0.0
NI0,SHFE,d,2015-09-30 00:00:00,76260.0,77110.0,75950.0,77100.0,479410,248998,0.0
NI0,SHFE,d,2015-10-01 00:00:00,76260.0,77110.0,75950.0,76420.0,0,248998,0.0
NI0,SHFE,d,2015-10-08 00:00:00,76000.0,76600.0,75510.0,76100.0,36,1356,0.0
NI0,SHFE,d,2015-10-09 00:00:00,77510.0,79470.0,77360.0,79450.0,663132,260084,0.0
NI0,SHFE,d,2015-10-12 00:00:00,81000.0,81000.0,79000.0,80310.0,786262,244502,0.0
NI0,SHFE,d,2015-10-13 00:00:00,80370.0,80380.0,78820.0,79620.0,632286,240428,0.0
NI0,SHFE,d,2015-10-14 00:00:00,79300.0,79880.0,78970.0,79270.0,676222,241670,0.0
