symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
OI0,CZCE,d,2007-06-08 00:00:00,10380.0,10500.0,8932.0,8940.0,119364,19378,0.0
OI0,CZCE,d,2007-06-11 00:00:00,8910.0,8988.0,8768.0,8768.0,50066,25142,0.0
OI0,CZCE,d,2007-06-12 00:00:00,8716.0,8750.0,8582.0,8666.0,85460,30072,0.0
OI0,CZCE,d,2007-06-13 00:00:00,8700.0,8770.0,8450.0,8502.0,130864,37664,0.0
OI0,CZCE,d,2007-06-14 00:00:00,8580.0,8618.0,8512.0,8566.0,107510,32860,0.0
OI0,CZCE,d,2007-06-15 00:00:00,8600.0,8646.0,8558.0,8612.0,69794,30440,0.0
OI0,CZCE,d,2007-06-18 00:00:00,8748.0,8768.0,8670.0,8748.0,50606,29812,0.0
OI0,CZCE,d,2007-06-19 00:00:00,8702.0,8708.0,8618.0,8652.0,36790,26880,0.0
OI0,CZCE,d,2007-06-20 00:00:00,8516.0,8604.0,8516.0,8592.0,19162,26424,0.0
OI0,CZCE,d,2007-06-21 00:00:00,8592.0,8628.0,8572.0,8586.0,9266,26122,0.0
OI0,CZCE,d,2007-06-22 00:00:00,8538.0,8568.0,8520.0,8562.0,10642,26482,0.0
OI0,CZCE,d,2007-06-25 00:00:00,8526.0,8586.0,8520.0,8576.0,11320,25862,0.0
OI0,CZCE,d,2007-06-26 00:00:00,8580.0,8598.0,8504.0,8524.0,14186,25062,0.0
OI0,CZCE,d,2007-06-27 00:00:00,8532.0,8548.0,8342.0,8416.0,44758,29584,0.0
OI0,CZCE,d,2007-06-28 00:00:00,8406.0,8466.0,8406.0,8458.0,17314,25252,0.0
OI0,CZCE,d,2007-06-29 00:00:00,8510.0,8592.0,8462.0,8578.0,21842,21300,0.0
OI0,CZCE,d,2007-07-02 00:00:00,8700.0,8886.0,8576.0,8774.0,49022,15580,0.0
OI0,CZCE,d,2007-07-03 00:00:00,8770.0,8770.0,8720.0,8726.0,13666,13374,0.0
OI0,CZCE,d,2007-07-04 00:00:00,8672.0,8770.0,8650.0,8762.0,15392,14414,0.0
OI0,CZCE,d,2007-07-05 00:00:00,8768.0,8820.0,8738.0,8748.0,19030,13776,0.0
OI0,CZCE,d,2007-07-06 00:00:00,8740.0,8836.0,8730.0,8832.0,18358,14132,0.0
OI0,CZCE,d,2007-07-09 00:00:00,8828.0,8868.0,8790.0,8804.0,15706,12054,0.0
