symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
OP0,SHFE,d,2025-09-10 00:00:00,4150.0,4332.0,4110.0,4208.0,20874,2610,0.0
OP0,SHFE,d,2025-09-11 00:00:00,4216.0,4288.0,4216.0,4242.0,12771,2919,0.0
OP0,SHFE,d,2025-09-12 00:00:00,4240.0,4248.0,4200.0,4224.0,4688,2924,0.0
OP0,SHFE,d,2025-09-15 00:00:00,4230.0,4240.0,4194.0,4218.0,2726,2799,0.0
OP0,SHFE,d,2025-09-16 00:00:00,4220.0,4288.0,4212.0,4264.0,5046,1982,0.0
OP0,SHFE,d,2025-09-17 00:00:00,4260.0,4270.0,4250.0,4256.0,1227,1936,0.0
OP0,SHFE,d,2025-09-18 00:00:00,4258.0,4260.0,4212.0,4222.0,1206,1887,0.0
OP0,SHFE,d,2025-09-19 00:00:00,4230.0,4244.0,4222.0,4226.0,601,1719,0.0
OP0,SHFE,d,2025-09-22 00:00:00,4228.0,4254.0,4226.0,4234.0,764,1651,0.0
OP0,SHFE,d,2025-09-23 00:00:00,4232.0,4246.0,4212.0,4226.0,766,1590,0.0
OP0,SHFE,d,2025-09-24 00:00:00,4226.0,4240.0,4220.0,4238.0,438,1508,0.0
OP0,SHFE,d,2025-09-25 00:00:00,4274.0,4274.0,4232.0,4238.0,470,1468,0.0
OP0,SHFE,d,2025-09-26 00:00:00,4234.0,4244.0,4230.0,4230.0,408,1358,0.0
OP0,SHFE,d,2025-09-29 00:00:00,4230.0,4242.0,4230.0,4234.0,395,1237,0.0
OP0,SHFE,d,2025-09-30 00:00:00,4238.0,4240.0,4230.0,4230.0,149,1189,0.0
OP0,SHFE,d,2025-10-09 00:00:00,4214.0,4230.0,4204.0,4228.0,254,1179,0.0
OP0,SHFE,d,2025-10-10 00:00:00,4210.0,4236.0,4210.0,4226.0,340,1148,0.0
OP0,SHFE,d,2025-10-13 00:00:00,4226.0,4236.0,4206.0,4210.0,449,1169,0.0
OP0,SHFE,d,2025-10-14 00:00:00,4214.0,4216.0,4200.0,4216.0,323,1140,0.0
OP0,SHFE,d,2025-10-15 00:00:00,4210.0,4224.0,4206.0,4206.0,282,1153,0.0
OP0,SHFE,d,2025-10-16 00:00:00,4206.0,4218.0,4200.0,4210.0,179,1107,0.0
OP0,SHFE,d,2025-10-17 00:00:00,4210.0,4214.0,4200.0,4202.0,266,1148,0.0
OP0,SHFE,d,2025-10-20 00:00:00,4206.0,4210.0,4156.0,4166.0,503,1209,0.0
OP0,SHFE,d,2025-10-21 00:00:00,4144.0,4182.0,4144.0,4170.0,485,1220,0.0
OP0,SHFE,d,2025-10-22 00:00:00,4166.0,4210.0,4158.0,4198.0,374,1164,0.0
OP0,SHFE,d,2025-10-23 00:00:00,4198.0,4210.0,4198.0,4206.0,192,1141,0.0
OP0,SHFE,d,2025-10-24 00:00:00,4208.0,4208.0,4192.0,4192.0,166,1143,0.0
OP0,SHFE,d,2025-10-27 00:00:00,4188.0,4250.0,4188.0,4232.0,540,1109,0.0
OP0,SHFE,d,2025-10-28 00:00:00,4240.0,4240.0,4220.0,4226.0,337,1001,0.0
OP0,SHFE,d,2025-10-29 00:00:00,4232.0,4238.0,4226.0,4230.0,230,943,0.0
OP0,SHFE,d,2025-10-30 00:00:00,4230.0,4248.0,4210.0,4214.0,200,924,0.0
OP0,SHFE,d,2025-10-31 00:00:00,4216.0,4230.0,4216.0,4222.0,102,921,0.0
OP0,SHFE,d,2025-11-03 00:00:00,4228.0,4288.0,4220.0,4284.0,632,942,0.0
OP0,SHFE,d,2025-11-04 00:00:00,4294.0,4314.0,4266.0,4266.0,446,943,0.0
OP0,SHFE,d,2025-11-05 00:00:00,4290.0,4300.0,4276.0,4288.0,171,967,0.0
OP0,SHFE,d,2025-11-06 00:00:00,4296.0,4326.0,4260.0,4276.0,288,949,0.0
OP0,SHFE,d,2025-11-07 00:00:00,4290.0,4290.0,4264.0,4278.0,91,922,0.0
OP0,SHFE,d,2025-11-10 00:00:00,4276.0,4316.0,4276.0,4314.0,163,931,0.0
OP0,SHFE,d,2025-11-11 00:00:00,4318.0,4328.0,4292.0,4318.0,1227,973,0.0
OP0,SHFE,d,2025-11-12 00:00:00,4360.0,4360.0,4288.0,4302.0,4328,5120,0.0
OP0,SHFE,d,2025-11-13 00:00:00,4300.0,4320.0,4250.0,4254.0,3442,6421,0.0
OP0,SHFE,d,2025-11-14 00:00:00,4260.0,4302.0,4252.0,4260.0,4248,7668,0.0
OP0,SHFE,d,2025-11-17 00:00:00,4260.0,4290.0,4254.0,4272.0,2235,8718,0.0
OP0,SHFE,d,2025-11-18 00:00:00,4266.0,4270.0,4152.0,4152.0,2398,9615,0.0
OP0,SHFE,d,2025-11-19 00:00:00,4154.0,4184.0,4132.0,4154.0,2616,10546,0.0
OP0,SHFE,d,2025-11-20 00:00:00,4152.0,4180.0,4150.0,4154.0,2709,11531,0.0
OP0,SHFE,d,2025-11-21 00:00:00,4158.0,4182.0,4100.0,4100.0,3093,12392,0.0
OP0,SHFE,d,2025-11-24 00:00:00,4100.0,4132.0,4090.0,4110.0,2195,12583,0.0
OP0,SHFE,d,2025-11-25 00:00:00,4100.0,4146.0,4100.0,4108.0,2333,13644,0.0
OP0,SHFE,d,2025-11-26 00:00:00,4108.0,4132.0,4106.0,4112.0,3232,14352,0.0
OP0,SHFE,d,2025-11-27 00:00:00,4112.0,4146.0,4100.0,4128.0,3208,15559,0.0
OP0,SHFE,d,2025-11-28 00:00:00,4122.0,4126.0,4100.0,4120.0,3261,16322,0.0
OP0,SHFE,d,2025-12-01 00:00:00,4126.0,4128.0,4108.0,4108.0,2803,16412,0.0
OP0,SHFE,d,2025-12-02 00:00:00,4108.0,4154.0,4102.0,4146.0,5117,16900,0.0
OP0,SHFE,d,2025-12-03 00:00:00,4146.0,4186.0,4142.0,4184.0,3474,16918,0.0
OP0,SHFE,d,2025-12-04 00:00:00,4184.0,4192.0,4166.0,4170.0,2721,17074,0.0
OP0,SHFE,d,2025-12-05 00:00:00,4174.0,4186.0,4100.0,4106.0,3571,17503,0.0
OP0,SHFE,d,2025-12-08 00:00:00,4102.0,4102.0,4024.0,4024.0,4672,18421,0.0
OP0,SHFE,d,2025-12-09 00:00:00,4026.0,4034.0,3996.0,4008.0,3735,18532,0.0
OP0,SHFE,d,2025-12-10 00:00:00,4002.0,4032.0,3982.0,4024.0,3825,18535,0.0
OP0,SHFE,d,2025-12-11 00:00:00,4012.0,4078.0,4002.0,4004.0,6128,19162,0.0
OP0,SHFE,d,2025-12-12 00:00:00,4008.0,4030.0,3982.0,3994.0,3427,19217,0.0
OP0,SHFE,d,2025-12-15 00:00:00,3990.0,4028.0,3980.0,4008.0,3889,18967,0.0
