symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
P0,DCE,d,2007-10-29 00:00:00,8350.0,8424.0,8350.0,8424.0,2098,1652,0.0
P0,DCE,d,2007-10-30 00:00:00,8700.0,8700.0,8550.0,8572.0,18646,4286,0.0
P0,DCE,d,2007-10-31 00:00:00,8502.0,8554.0,8500.0,8516.0,5142,3774,0.0
P0,DCE,d,2007-11-01 00:00:00,8700.0,8700.0,8550.0,8598.0,3222,3526,0.0
P0,DCE,d,2007-11-02 00:00:00,8550.0,8564.0,8520.0,8540.0,3304,3362,0.0
P0,DCE,d,2007-11-05 00:00:00,8550.0,8628.0,8550.0,8600.0,4428,3640,0.0
P0,DCE,d,2007-11-06 00:00:00,8596.0,8670.0,8596.0,8666.0,3726,3388,0.0
P0,DCE,d,2007-11-07 00:00:00,8730.0,8878.0,8730.0,8816.0,4184,2866,0.0
P0,DCE,d,2007-11-08 00:00:00,8760.0,8898.0,8760.0,8860.0,4490,2754,0.0
P0,DCE,d,2007-11-09 00:00:00,8860.0,8948.0,8860.0,8910.0,4764,2498,0.0
P0,DCE,d,2007-11-12 00:00:00,8910.0,8930.0,8820.0,8836.0,2406,2174,0.0
P0,DCE,d,2007-11-13 00:00:00,8780.0,8970.0,8762.0,8948.0,2842,2144,0.0
P0,DCE,d,2007-11-14 00:00:00,8950.0,8960.0,8872.0,8900.0,3498,2736,0.0
P0,DCE,d,2007-11-15 00:00:00,8900.0,8930.0,8860.0,8880.0,3592,1086,0.0
P0,DCE,d,2007-11-16 00:00:00,8824.0,8888.0,8530.0,8530.0,4872,1082,0.0
P0,DCE,d,2007-11-19 00:00:00,8748.0,8798.0,8658.0,8722.0,8460,2264,0.0
P0,DCE,d,2007-11-20 00:00:00,8688.0,8688.0,8360.0,8420.0,7378,2054,0.0
P0,DCE,d,2007-11-21 00:00:00,8500.0,8692.0,8490.0,8690.0,7118,1904,0.0
P0,DCE,d,2007-11-22 00:00:00,8700.0,8798.0,8700.0,8780.0,8644,932,0.0
P0,DCE,d,2007-11-23 00:00:00,8760.0,8776.0,8648.0,8710.0,11516,2026,0.0
P0,DCE,d,2007-11-26 00:00:00,8770.0,8866.0,8764.0,8804.0,11676,2220,0.0
P0,DCE,d,2007-11-27 00:00:00,8760.0,8760.0,8698.0,8700.0,9636,2124,0.0
P0,DCE,d,2007-11-28 00:00:00,8632.0,8656.0,8550.0,8550.0,14248,2616,0.0
P0,DCE,d,2007-11-29 00:00:00,8576.0,8600.0,8400.0,8522.0,14088,2746,0.0
P0,DCE,d,2007-11-30 00:00:00,8698.0,8698.0,8500.0,8554.0,6584,840,0.0
P0,DCE,d,2007-12-03 00:00:00,8748.0,8748.0,8550.0,8560.0,18444,834,0.0
P0,DCE,d,2007-12-04 00:00:00,8598.0,8664.0,8568.0,8580.0,15670,828,0.0
P0,DCE,d,2007-12-05 00:00:00,8586.0,8636.0,8530.0,8576.0,12412,2720,0.0
P0,DCE,d,2007-12-06 00:00:00,8552.0,8552.0,8472.0,8480.0,13278,2646,0.0
P0,DCE,d,2007-12-07 00:00:00,8520.0,8560.0,8428.0,8558.0,13962,3156,0.0
P0,DCE,d,2007-12-10 00:00:00,8532.0,8566.0,8492.0,8522.0,14402,3176,0.0
P0,DCE,d,2007-12-11 00:00:00,8502.0,8608.0,8502.0,8576.0,18592,3410,0.0
P0,DCE,d,2007-12-12 00:00:00,8588.0,8588.0,8500.0,8518.0,15662,3478,0.0
P0,DCE,d,2007-12-13 00:00:00,8592.0,8874.0,8560.0,8710.0,15740,3196,0.0
P0,DCE,d,2007-12-14 00:00:00,8650.0,8728.0,8650.0,8712.0,14406,3228,0.0
P0,DCE,d,2007-12-17 00:00:00,8748.0,8798.0,8722.0,8786.0,7196,3380,0.0
P0,DCE,d,2007-12-18 00:00:00,8786.0,8786.0,8680.0,8680.0,17510,3294,0.0
P0,DCE,d,2007-12-19 00:00:00,8650.0,8816.0,8650.0,8786.0,15608,3430,0.0
P0,DCE,d,2007-12-20 00:00:00,8808.0,8808.0,8742.0,8750.0,17482,4086,0.0
