symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
PG0,DCE,d,2020-03-30 00:00:00,2350.0,2438.0,2318.0,2366.0,85116,10171,0.0
PG0,DCE,d,2020-03-31 00:00:00,2430.0,2545.0,2404.0,2545.0,89839,18891,0.0
PG0,DCE,d,2020-04-01 00:00:00,2547.0,2642.0,2530.0,2624.0,199435,21955,0.0
PG0,DCE,d,2020-04-02 00:00:00,2644.0,2779.0,2607.0,2779.0,206057,26486,0.0
PG0,DCE,d,2020-04-03 00:00:00,2790.0,2875.0,2732.0,2875.0,323535,35752,0.0
PG0,DCE,d,2020-04-07 00:00:00,2920.0,3063.0,2913.0,3019.0,430450,48247,0.0
PG0,DCE,d,2020-04-08 00:00:00,2986.0,3014.0,2891.0,2939.0,494076,49156,0.0
PG0,DCE,d,2020-04-09 00:00:00,2980.0,3044.0,2964.0,3018.0,457508,45765,0.0
PG0,DCE,d,2020-04-10 00:00:00,2930.0,3022.0,2913.0,3021.0,310584,46292,0.0
PG0,DCE,d,2020-04-13 00:00:00,3075.0,3178.0,3075.0,3139.0,400984,57076,0.0
PG0,DCE,d,2020-04-14 00:00:00,3146.0,3166.0,3087.0,3159.0,327672,59068,0.0
PG0,DCE,d,2020-04-15 00:00:00,3116.0,3336.0,3108.0,3243.0,803635,82716,0.0
PG0,DCE,d,2020-04-16 00:00:00,3250.0,3312.0,3178.0,3265.0,738801,82774,0.0
PG0,DCE,d,2020-04-17 00:00:00,3296.0,3330.0,3128.0,3188.0,727177,74000,0.0
PG0,DCE,d,2020-04-20 00:00:00,3088.0,3226.0,3080.0,3221.0,500458,75752,0.0
PG0,DCE,d,2020-04-21 00:00:00,3200.0,3266.0,3132.0,3240.0,767821,91434,0.0
PG0,DCE,d,2020-04-22 00:00:00,3182.0,3220.0,3065.0,3129.0,995470,81566,0.0
PG0,DCE,d,2020-04-23 00:00:00,3169.0,3350.0,3147.0,3350.0,744746,94323,0.0
PG0,DCE,d,2020-04-24 00:00:00,3350.0,3423.0,3315.0,3400.0,784376,97404,0.0
PG0,DCE,d,2020-04-27 00:00:00,3380.0,3594.0,3369.0,3576.0,887455,118378,0.0
PG0,DCE,d,2020-04-28 00:00:00,3553.0,3659.0,3297.0,3357.0,1270395,75027,0.0
PG0,DCE,d,2020-04-29 00:00:00,3357.0,3469.0,3269.0,3319.0,949175,69018,0.0
PG0,DCE,d,2020-04-30 00:00:00,3360.0,3397.0,3315.0,3394.0,602578,55701,0.0
PG0,DCE,d,2020-05-06 00:00:00,3500.0,3524.0,3377.0,3440.0,371491,64990,0.0
PG0,DCE,d,2020-05-07 00:00:00,3415.0,3469.0,3389.0,3413.0,414782,65440,0.0
PG0,DCE,d,2020-05-08 00:00:00,3448.0,3463.0,3355.0,3454.0,423534,73205,0.0
PG0,DCE,d,2020-05-11 00:00:00,3455.0,3507.0,3326.0,3348.0,582185,65663,0.0
PG0,DCE,d,2020-05-12 00:00:00,3350.0,3356.0,3272.0,3342.0,472577,68509,0.0
PG0,DCE,d,2020-05-13 00:00:00,3353.0,3355.0,3209.0,3224.0,565841,74461,0.0
PG0,DCE,d,2020-05-14 00:00:00,3235.0,3273.0,3205.0,3257.0,438676,75040,0.0
PG0,DCE,d,2020-05-15 00:00:00,3257.0,3295.0,3226.0,3275.0,338202,66480,0.0
PG0,DCE,d,2020-05-18 00:00:00,3274.0,3279.0,3168.0,3230.0,551455,74568,0.0
PG0,DCE,d,2020-05-19 00:00:00,3250.0,3375.0,3243.0,3360.0,516544,72254,0.0
PG0,DCE,d,2020-05-20 00:00:00,3360.0,3426.0,3342.0,3388.0,348115,67902,0.0
PG0,DCE,d,2020-05-21 00:00:00,3399.0,3414.0,3365.0,3383.0,249304,65366,0.0
PG0,DCE,d,2020-05-22 00:00:00,3385.0,3433.0,3292.0,3339.0,371833,62871,0.0
PG0,DCE,d,2020-05-25 00:00:00,3365.0,3485.0,3356.0,3431.0,402252,67087,0.0
PG0,DCE,d,2020-05-26 00:00:00,3421.0,3439.0,3372.0,3406.0,264800,65440,0.0
PG0,DCE,d,2020-05-27 00:00:00,3415.0,3433.0,3368.0,3397.0,227595,62600,0.0
PG0,DCE,d,2020-05-28 00:00:00,3391.0,3445.0,3374.0,3434.0,209954,70636,0.0
PG0,DCE,d,2020-05-29 00:00:00,3445.0,3448.0,3398.0,3438.0,158223,62109,0.0
PG0,DCE,d,2020-06-01 00:00:00,3437.0,3537.0,3414.0,3525.0,206962,74092,0.0
PG0,DCE,d,2020-06-02 00:00:00,3518.0,3619.0,3517.0,3606.0,279000,83122,0.0
PG0,DCE,d,2020-06-03 00:00:00,3600.0,3610.0,3560.0,3592.0,181670,74829,0.0
PG0,DCE,d,2020-06-04 00:00:00,3583.0,3584.0,3508.0,3516.0,182757,66787,0.0
