symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
PL0,CZCE,d,2025-07-22 00:00:00,6550.0,6708.0,6501.0,6613.0,43897,7983,0.0
PL0,CZCE,d,2025-07-23 00:00:00,6600.0,6661.0,6540.0,6578.0,20996,6668,0.0
PL0,CZCE,d,2025-07-24 00:00:00,6594.0,6622.0,6564.0,6601.0,7405,6140,0.0
PL0,CZCE,d,2025-07-25 00:00:00,6630.0,6694.0,6598.0,6657.0,9663,5838,0.0
PL0,CZCE,d,2025-07-28 00:00:00,6648.0,6674.0,6550.0,6570.0,6292,5580,0.0
PL0,CZCE,d,2025-07-29 00:00:00,6569.0,6594.0,6548.0,6573.0,3081,5230,0.0
PL0,CZCE,d,2025-07-30 00:00:00,6598.0,6605.0,6562.0,6570.0,2669,4992,0.0
PL0,CZCE,d,2025-07-31 00:00:00,6574.0,6588.0,6530.0,6545.0,2343,4700,0.0
PL0,CZCE,d,2025-08-01 00:00:00,6555.0,6555.0,6462.0,6474.0,3454,4575,0.0
PL0,CZCE,d,2025-08-04 00:00:00,6480.0,6494.0,6416.0,6481.0,2137,4486,0.0
PL0,CZCE,d,2025-08-05 00:00:00,6464.0,6520.0,6454.0,6512.0,1971,4461,0.0
PL0,CZCE,d,2025-08-06 00:00:00,6510.0,6555.0,6473.0,6494.0,1922,4426,0.0
PL0,CZCE,d,2025-08-07 00:00:00,6501.0,6511.0,6470.0,6480.0,1118,4534,0.0
PL0,CZCE,d,2025-08-08 00:00:00,6462.0,6496.0,6443.0,6451.0,1187,4747,0.0
PL0,CZCE,d,2025-08-11 00:00:00,6462.0,6505.0,6451.0,6491.0,1288,4453,0.0
PL0,CZCE,d,2025-08-12 00:00:00,6517.0,6560.0,6476.0,6513.0,1438,4291,0.0
PL0,CZCE,d,2025-08-13 00:00:00,6513.0,6528.0,6486.0,6507.0,753,4234,0.0
PL0,CZCE,d,2025-08-14 00:00:00,6520.0,6526.0,6471.0,6488.0,917,4211,0.0
PL0,CZCE,d,2025-08-15 00:00:00,6480.0,6505.0,6476.0,6492.0,789,4132,0.0
PL0,CZCE,d,2025-08-18 00:00:00,6506.0,6529.0,6449.0,6451.0,1369,4036,0.0
PL0,CZCE,d,2025-08-19 00:00:00,6444.0,6463.0,6395.0,6404.0,1965,4233,0.0
PL0,CZCE,d,2025-08-20 00:00:00,6404.0,6456.0,6360.0,6446.0,2110,4234,0.0
PL0,CZCE,d,2025-08-21 00:00:00,6446.0,6493.0,6425.0,6472.0,2524,4586,0.0
PL0,CZCE,d,2025-08-22 00:00:00,6461.0,6493.0,6450.0,6470.0,1399,4614,0.0
