symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
PR0,CZCE,d,2024-08-30 00:00:00,6550.0,6648.0,6454.0,6600.0,156347,21214,0.0
PR0,CZCE,d,2024-09-02 00:00:00,6622.0,6624.0,6360.0,6376.0,159115,33748,0.0
PR0,CZCE,d,2024-09-03 00:00:00,6378.0,6444.0,6332.0,6386.0,130244,36159,0.0
PR0,CZCE,d,2024-09-04 00:00:00,6338.0,6366.0,6238.0,6290.0,125894,39747,0.0
PR0,CZCE,d,2024-09-05 00:00:00,6290.0,6350.0,6216.0,6226.0,87080,38031,0.0
PR0,CZCE,d,2024-09-06 00:00:00,6242.0,6298.0,6158.0,6220.0,159227,40265,0.0
PR0,CZCE,d,2024-09-09 00:00:00,6228.0,6228.0,6040.0,6090.0,146204,50279,0.0
PR0,CZCE,d,2024-09-10 00:00:00,6080.0,6094.0,5914.0,5914.0,168541,53283,0.0
PR0,CZCE,d,2024-09-11 00:00:00,5912.0,6374.0,5736.0,6002.0,501473,63054,0.0
PR0,CZCE,d,2024-09-12 00:00:00,6000.0,6076.0,5880.0,6048.0,360488,61361,0.0
PR0,CZCE,d,2024-09-13 00:00:00,6086.0,6160.0,6012.0,6092.0,258605,49785,0.0
PR0,CZCE,d,2024-09-18 00:00:00,6118.0,6136.0,5932.0,5962.0,137773,52748,0.0
PR0,CZCE,d,2024-09-19 00:00:00,5954.0,6088.0,5904.0,6074.0,205770,49976,0.0
PR0,CZCE,d,2024-09-20 00:00:00,6078.0,6112.0,6034.0,6078.0,122032,49150,0.0
PR0,CZCE,d,2024-09-23 00:00:00,6062.0,6068.0,5986.0,5998.0,117181,49532,0.0
PR0,CZCE,d,2024-09-24 00:00:00,5992.0,6186.0,5974.0,6170.0,141100,44441,0.0
PR0,CZCE,d,2024-09-25 00:00:00,6188.0,6380.0,6172.0,6206.0,145876,35608,0.0
PR0,CZCE,d,2024-09-26 00:00:00,6146.0,6258.0,6130.0,6184.0,121938,32456,0.0
PR0,CZCE,d,2024-09-27 00:00:00,6206.0,6312.0,6172.0,6294.0,95044,27141,0.0
PR0,CZCE,d,2024-09-30 00:00:00,6290.0,6560.0,6262.0,6516.0,107451,20891,0.0
