symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
PX0,CZCE,d,2023-09-15 00:00:00,10000.0,10050.0,9410.0,9468.0,235242,30735,0.0
PX0,CZCE,d,2023-09-18 00:00:00,9450.0,9468.0,9290.0,9346.0,123567,35656,0.0
PX0,CZCE,d,2023-09-19 00:00:00,9370.0,9436.0,9290.0,9326.0,98362,38861,0.0
PX0,CZCE,d,2023-09-20 00:00:00,9358.0,9564.0,9254.0,9310.0,217136,47627,0.0
PX0,CZCE,d,2023-09-21 00:00:00,9344.0,9346.0,9132.0,9134.0,100829,45964,0.0
PX0,CZCE,d,2023-09-22 00:00:00,9172.0,9280.0,9162.0,9218.0,85025,42487,0.0
PX0,CZCE,d,2023-09-25 00:00:00,9254.0,9300.0,9066.0,9130.0,85762,42236,0.0
PX0,CZCE,d,2023-09-26 00:00:00,9120.0,9130.0,8890.0,8930.0,81098,46773,0.0
PX0,CZCE,d,2023-09-27 00:00:00,8950.0,9040.0,8912.0,8980.0,48233,41127,0.0
PX0,CZCE,d,2023-09-28 00:00:00,9018.0,9166.0,8968.0,9006.0,60168,33209,0.0
PX0,CZCE,d,2023-10-09 00:00:00,8746.0,8826.0,8586.0,8620.0,53455,43936,0.0
PX0,CZCE,d,2023-10-10 00:00:00,8640.0,8650.0,8488.0,8500.0,52618,47778,0.0
PX0,CZCE,d,2023-10-11 00:00:00,8506.0,8526.0,8404.0,8458.0,74368,53859,0.0
PX0,CZCE,d,2023-10-12 00:00:00,8438.0,8462.0,8292.0,8390.0,83094,60530,0.0
PX0,CZCE,d,2023-10-13 00:00:00,8436.0,8486.0,8316.0,8404.0,91310,62214,0.0
PX0,CZCE,d,2023-10-16 00:00:00,8502.0,8518.0,8402.0,8444.0,90508,63872,0.0
PX0,CZCE,d,2023-10-17 00:00:00,8460.0,8506.0,8280.0,8362.0,81194,66189,0.0
PX0,CZCE,d,2023-10-18 00:00:00,8332.0,8498.0,8332.0,8420.0,86598,66680,0.0
PX0,CZCE,d,2023-10-19 00:00:00,8402.0,8466.0,8318.0,8400.0,78807,66750,0.0
PX0,CZCE,d,2023-10-20 00:00:00,8388.0,8530.0,8350.0,8410.0,90202,63958,0.0
PX0,CZCE,d,2023-10-23 00:00:00,8406.0,8432.0,8234.0,8318.0,81920,65595,0.0
PX0,CZCE,d,2023-10-24 00:00:00,8336.0,8544.0,8298.0,8530.0,89732,65482,0.0
PX0,CZCE,d,2023-10-25 00:00:00,8500.0,8590.0,8406.0,8460.0,164517,67143,0.0
PX0,CZCE,d,2023-10-26 00:00:00,8480.0,8564.0,8464.0,8510.0,71013,65909,0.0
PX0,CZCE,d,2023-10-27 00:00:00,8474.0,8596.0,8430.0,8554.0,91193,63537,0.0
PX0,CZCE,d,2023-10-30 00:00:00,8552.0,8668.0,8520.0,8630.0,72051,65204,0.0
PX0,CZCE,d,2023-10-31 00:00:00,8614.0,8688.0,8506.0,8638.0,84397,64595,0.0
PX0,CZCE,d,2023-11-01 00:00:00,8624.0,8668.0,8566.0,8596.0,56331,62918,0.0
PX0,CZCE,d,2023-11-02 00:00:00,8650.0,8650.0,8500.0,8564.0,47360,61475,0.0
PX0,CZCE,d,2023-11-03 00:00:00,8574.0,8696.0,8550.0,8652.0,52730,60070,0.0
PX0,CZCE,d,2023-11-06 00:00:00,8666.0,8700.0,8502.0,8558.0,97422,67820,0.0
PX0,CZCE,d,2023-11-07 00:00:00,8570.0,8616.0,8466.0,8496.0,69903,66215,0.0
PX0,CZCE,d,2023-11-08 00:00:00,8478.0,8492.0,8352.0,8462.0,71098,69082,0.0
PX0,CZCE,d,2023-11-09 00:00:00,8428.0,8562.0,8380.0,8432.0,80455,72143,0.0
PX0,CZCE,d,2023-11-10 00:00:00,8450.0,8528.0,8426.0,8470.0,59710,74406,0.0
PX0,CZCE,d,2023-11-13 00:00:00,8498.0,8538.0,8378.0,8452.0,65886,72019,0.0
PX0,CZCE,d,2023-11-14 00:00:00,8466.0,8606.0,8426.0,8566.0,63398,73646,0.0
PX0,CZCE,d,2023-11-15 00:00:00,8540.0,8628.0,8528.0,8624.0,55339,74552,0.0
PX0,CZCE,d,2023-11-16 00:00:00,8608.0,8780.0,8544.0,8778.0,63738,79042,0.0
PX0,CZCE,d,2023-11-17 00:00:00,8776.0,8840.0,8630.0,8672.0,113917,84519,0.0
PX0,CZCE,d,2023-11-20 00:00:00,8694.0,8772.0,8648.0,8708.0,67124,89060,0.0
PX0,CZCE,d,2023-11-21 00:00:00,8722.0,8762.0,8430.0,8452.0,81928,81361,0.0
PX0,CZCE,d,2023-11-22 00:00:00,8466.0,8510.0,8388.0,8416.0,54777,77388,0.0
PX0,CZCE,d,2023-11-23 00:00:00,8400.0,8448.0,8324.0,8410.0,45119,76719,0.0
PX0,CZCE,d,2023-11-24 00:00:00,8410.0,8448.0,8368.0,8408.0,36107,76379,0.0
PX0,CZCE,d,2023-11-27 00:00:00,8404.0,8430.0,8272.0,8298.0,70021,77447,0.0
PX0,CZCE,d,2023-11-28 00:00:00,8296.0,8328.0,8252.0,8258.0,37103,77765,0.0
PX0,CZCE,d,2023-11-29 00:00:00,8280.0,8330.0,8206.0,8254.0,60764,79137,0.0
PX0,CZCE,d,2023-11-30 00:00:00,8272.0,8476.0,8262.0,8442.0,91686,69619,0.0
PX0,CZCE,d,2023-12-01 00:00:00,8446.0,8484.0,8262.0,8318.0,63217,66977,0.0
PX0,CZCE,d,2023-12-04 00:00:00,8320.0,8402.0,8252.0,8278.0,50667,67580,0.0
PX0,CZCE,d,2023-12-05 00:00:00,8280.0,8310.0,8190.0,8274.0,48732,68428,0.0
PX0,CZCE,d,2023-12-06 00:00:00,8270.0,8342.0,8110.0,8310.0,84547,70213,0.0
PX0,CZCE,d,2023-12-07 00:00:00,8290.0,8310.0,8170.0,8270.0,50637,69488,0.0
PX0,CZCE,d,2023-12-08 00:00:00,8246.0,8394.0,8244.0,8338.0,57559,71805,0.0
PX0,CZCE,d,2023-12-11 00:00:00,8340.0,8386.0,8282.0,8336.0,57392,73709,0.0
