symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
RM0,CZCE,d,2012-12-28 00:00:00,2430.0,2458.0,2385.0,2398.0,421116,44712,0.0
RM0,CZCE,d,2012-12-31 00:00:00,2399.0,2399.0,2336.0,2340.0,237194,39290,0.0
RM0,CZCE,d,2013-01-04 00:00:00,2322.0,2380.0,2316.0,2370.0,193838,38492,0.0
RM0,CZCE,d,2013-01-07 00:00:00,2365.0,2457.0,2360.0,2455.0,406058,64540,0.0
RM0,CZCE,d,2013-01-08 00:00:00,2470.0,2500.0,2438.0,2480.0,899582,77626,0.0
RM0,CZCE,d,2013-01-09 00:00:00,2488.0,2514.0,2472.0,2478.0,696804,94100,0.0
RM0,CZCE,d,2013-01-10 00:00:00,2473.0,2490.0,2459.0,2463.0,591084,96660,0.0
RM0,CZCE,d,2013-01-11 00:00:00,2465.0,2525.0,2463.0,2509.0,1621400,165614,0.0
RM0,CZCE,d,2013-01-14 00:00:00,2527.0,2548.0,2505.0,2541.0,1299700,150852,0.0
RM0,CZCE,d,2013-01-15 00:00:00,2549.0,2618.0,2542.0,2561.0,1674300,178180,0.0
RM0,CZCE,d,2013-01-16 00:00:00,2565.0,2595.0,2542.0,2586.0,1070800,192280,0.0
RM0,CZCE,d,2013-01-17 00:00:00,2602.0,2612.0,2565.0,2572.0,815338,162724,0.0
RM0,CZCE,d,2013-01-18 00:00:00,2580.0,2612.0,2561.0,2573.0,947392,147836,0.0
RM0,CZCE,d,2013-01-21 00:00:00,2575.0,2591.0,2562.0,2573.0,568840,137418,0.0
RM0,CZCE,d,2013-01-22 00:00:00,2574.0,2595.0,2574.0,2590.0,542938,146874,0.0
RM0,CZCE,d,2013-01-23 00:00:00,2591.0,2604.0,2573.0,2576.0,411626,132690,0.0
RM0,CZCE,d,2013-01-24 00:00:00,2569.0,2569.0,2486.0,2493.0,771526,152044,0.0
RM0,CZCE,d,2013-01-25 00:00:00,2500.0,2518.0,2493.0,2504.0,595570,135610,0.0
RM0,CZCE,d,2013-01-28 00:00:00,2513.0,2524.0,2484.0,2521.0,554936,130358,0.0
RM0,CZCE,d,2013-01-29 00:00:00,2521.0,2528.0,2506.0,2515.0,375244,125532,0.0
RM0,CZCE,d,2013-01-30 00:00:00,2518.0,2538.0,2516.0,2532.0,301474,119122,0.0
RM0,CZCE,d,2013-01-31 00:00:00,2542.0,2550.0,2533.0,2537.0,174358,112210,0.0
RM0,CZCE,d,2013-02-01 00:00:00,2530.0,2532.0,2477.0,2521.0,639604,118036,0.0
RM0,CZCE,d,2013-02-04 00:00:00,2521.0,2579.0,2520.0,2561.0,496364,107596,0.0
RM0,CZCE,d,2013-02-05 00:00:00,2558.0,2614.0,2549.0,2586.0,986150,118314,0.0
RM0,CZCE,d,2013-02-06 00:00:00,2600.0,2609.0,2576.0,2579.0,308816,107738,0.0
RM0,CZCE,d,2013-02-07 00:00:00,2576.0,2586.0,2563.0,2567.0,172946,86026,0.0
RM0,CZCE,d,2013-02-08 00:00:00,2463.0,2510.0,2460.0,2477.0,209840,77300,0.0
RM0,CZCE,d,2013-02-18 00:00:00,2442.0,2478.0,2428.0,2473.0,178628,102578,0.0
RM0,CZCE,d,2013-02-19 00:00:00,2508.0,2557.0,2488.0,2542.0,972538,243906,0.0
RM0,CZCE,d,2013-02-20 00:00:00,2556.0,2562.0,2543.0,2545.0,651392,261594,0.0
RM0,CZCE,d,2013-02-21 00:00:00,2535.0,2584.0,2517.0,2582.0,1542900,382434,0.0
RM0,CZCE,d,2013-02-22 00:00:00,2580.0,2639.0,2565.0,2572.0,2491100,401248,0.0
RM0,CZCE,d,2013-02-25 00:00:00,2550.0,2560.0,2496.0,2504.0,1683200,259830,0.0
RM0,CZCE,d,2013-02-26 00:00:00,2496.0,2538.0,2482.0,2498.0,1923200,240854,0.0
RM0,CZCE,d,2013-02-27 00:00:00,2518.0,2538.0,2494.0,2514.0,1649002,255540,0.0
RM0,CZCE,d,2013-02-28 00:00:00,2530.0,2538.0,2485.0,2486.0,1532204,302016,0.0
RM0,CZCE,d,2013-03-01 00:00:00,2495.0,2515.0,2475.0,2504.0,1848742,273402,0.0
RM0,CZCE,d,2013-03-04 00:00:00,2497.0,2513.0,2480.0,2496.0,1036422,263026,0.0
RM0,CZCE,d,2013-03-05 00:00:00,2513.0,2530.0,2508.0,2520.0,906504,286496,0.0
RM0,CZCE,d,2013-03-06 00:00:00,2519.0,2526.0,2480.0,2497.0,1362960,286186,0.0
RM0,CZCE,d,2013-03-07 00:00:00,2497.0,2506.0,2485.0,2495.0,617866,275398,0.0
RM0,CZCE,d,2013-03-08 00:00:00,2506.0,2510.0,2491.0,2493.0,555146,281428,0.0
RM0,CZCE,d,2013-03-11 00:00:00,2495.0,2495.0,2438.0,2439.0,1262590,359568,0.0
RM0,CZCE,d,2013-03-12 00:00:00,2445.0,2445.0,2406.0,2409.0,825834,336730,0.0
RM0,CZCE,d,2013-03-13 00:00:00,2412.0,2435.0,2388.0,2431.0,1206208,314546,0.0
RM0,CZCE,d,2013-03-14 00:00:00,2415.0,2450.0,2401.0,2442.0,1392024,318818,0.0
RM0,CZCE,d,2013-03-15 00:00:00,2453.0,2464.0,2433.0,2449.0,1384360,326162,0.0
RM0,CZCE,d,2013-03-18 00:00:00,2428.0,2445.0,2370.0,2426.0,893778,307992,0.0
RM0,CZCE,d,2013-03-19 00:00:00,2434.0,2446.0,2419.0,2421.0,763568,321104,0.0
RM0,CZCE,d,2013-03-20 00:00:00,2416.0,2430.0,2410.0,2426.0,544530,309114,0.0
RM0,CZCE,d,2013-03-21 00:00:00,2431.0,2457.0,2431.0,2452.0,446930,286076,0.0
RM0,CZCE,d,2013-03-22 00:00:00,2454.0,2456.0,2418.0,2418.0,530536,284996,0.0
RM0,CZCE,d,2013-03-25 00:00:00,2421.0,2430.0,2404.0,2409.0,562204,300540,0.0
RM0,CZCE,d,2013-03-26 00:00:00,2407.0,2424.0,2404.0,2421.0,348862,267862,0.0
RM0,CZCE,d,2013-03-27 00:00:00,2427.0,2435.0,2413.0,2424.0,237050,264100,0.0
RM0,CZCE,d,2013-03-28 00:00:00,2428.0,2431.0,2386.0,2388.0,469982,268856,0.0
RM0,CZCE,d,2013-03-29 00:00:00,2350.0,2378.0,2340.0,2365.0,390982,231440,0.0
RM0,CZCE,d,2013-04-01 00:00:00,2363.0,2367.0,2321.0,2328.0,365128,242052,0.0
RM0,CZCE,d,2013-04-02 00:00:00,2336.0,2350.0,2323.0,2340.0,417420,239100,0.0
RM0,CZCE,d,2013-04-03 00:00:00,2330.0,2337.0,2304.0,2334.0,440064,218542,0.0
RM0,CZCE,d,2013-04-08 00:00:00,2320.0,2363.0,2311.0,2353.0,478260,223902,0.0
RM0,CZCE,d,2013-04-09 00:00:00,2356.0,2368.0,2345.0,2350.0,342182,238802,0.0
RM0,CZCE,d,2013-04-10 00:00:00,2354.0,2375.0,2350.0,2371.0,409600,228552,0.0
RM0,CZCE,d,2013-04-11 00:00:00,2368.0,2375.0,2355.0,2370.0,294566,226988,0.0
RM0,CZCE,d,2013-04-12 00:00:00,2378.0,2410.0,2375.0,2409.0,768530,294338,0.0
RM0,CZCE,d,2013-04-15 00:00:00,2403.0,2430.0,2392.0,2417.0,1442540,390282,0.0
RM0,CZCE,d,2013-04-16 00:00:00,2393.0,2435.0,2372.0,2430.0,1568516,405208,0.0
RM0,CZCE,d,2013-04-17 00:00:00,2437.0,2443.0,2402.0,2411.0,1104508,360612,0.0
RM0,CZCE,d,2013-04-18 00:00:00,2403.0,2423.0,2396.0,2415.0,1036706,338810,0.0
RM0,CZCE,d,2013-04-19 00:00:00,2420.0,2426.0,2397.0,2403.0,710028,321126,0.0
RM0,CZCE,d,2013-04-22 00:00:00,2399.0,2424.0,2385.0,2409.0,835978,336216,0.0
