symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
RS0,CZCE,d,2012-12-28 00:00:00,5320.0,5320.0,5155.0,5269.0,124086,8886,0.0
RS0,CZCE,d,2012-12-31 00:00:00,5274.0,5386.0,5233.0,5271.0,145032,8804,0.0
RS0,CZCE,d,2013-01-04 00:00:00,5273.0,5357.0,5256.0,5346.0,83842,13304,0.0
RS0,CZCE,d,2013-01-07 00:00:00,5333.0,5530.0,5333.0,5441.0,205756,22276,0.0
RS0,CZCE,d,2013-01-08 00:00:00,5460.0,5465.0,5380.0,5413.0,96738,18808,0.0
RS0,CZCE,d,2013-01-09 00:00:00,5422.0,5497.0,5422.0,5440.0,100380,19830,0.0
RS0,CZCE,d,2013-01-10 00:00:00,5460.0,5478.0,5425.0,5447.0,54266,19510,0.0
RS0,CZCE,d,2013-01-11 00:00:00,5460.0,5520.0,5426.0,5432.0,91786,22218,0.0
RS0,CZCE,d,2013-01-14 00:00:00,5447.0,5485.0,5404.0,5465.0,76848,22410,0.0
RS0,CZCE,d,2013-01-15 00:00:00,5483.0,5551.0,5427.0,5432.0,142592,23262,0.0
RS0,CZCE,d,2013-01-16 00:00:00,5431.0,5465.0,5411.0,5443.0,62766,20806,0.0
RS0,CZCE,d,2013-01-17 00:00:00,5462.0,5465.0,5410.0,5418.0,41736,20326,0.0
RS0,CZCE,d,2013-01-18 00:00:00,5424.0,5478.0,5420.0,5433.0,64608,19986,0.0
RS0,CZCE,d,2013-01-21 00:00:00,5444.0,5465.0,5416.0,5430.0,41540,19674,0.0
RS0,CZCE,d,2013-01-22 00:00:00,5423.0,5443.0,5405.0,5428.0,22358,18496,0.0
RS0,CZCE,d,2013-01-23 00:00:00,5440.0,5510.0,5417.0,5470.0,181812,27590,0.0
RS0,CZCE,d,2013-01-24 00:00:00,5470.0,5479.0,5318.0,5352.0,152728,26634,0.0
RS0,CZCE,d,2013-01-25 00:00:00,5368.0,5388.0,5348.0,5380.0,66792,20238,0.0
RS0,CZCE,d,2013-01-28 00:00:00,5385.0,5412.0,5366.0,5388.0,25804,17934,0.0
RS0,CZCE,d,2013-01-29 00:00:00,5382.0,5396.0,5356.0,5381.0,18812,17598,0.0
RS0,CZCE,d,2013-01-30 00:00:00,5384.0,5418.0,5369.0,5405.0,18566,17028,0.0
RS0,CZCE,d,2013-01-31 00:00:00,5427.0,5427.0,5401.0,5426.0,10934,16534,0.0
RS0,CZCE,d,2013-02-01 00:00:00,5426.0,5439.0,5390.0,5418.0,17856,15362,0.0
RS0,CZCE,d,2013-02-04 00:00:00,5420.0,5470.0,5416.0,5434.0,18392,14964,0.0
RS0,CZCE,d,2013-02-05 00:00:00,5431.0,5457.0,5407.0,5413.0,19468,15420,0.0
RS0,CZCE,d,2013-02-06 00:00:00,5421.0,5427.0,5401.0,5402.0,9298,15440,0.0
RS0,CZCE,d,2013-02-07 00:00:00,5404.0,5444.0,5383.0,5397.0,17536,14252,0.0
