symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
SA0,CZCE,d,2019-12-06 00:00:00,1580.0,1585.0,1546.0,1561.0,318030,38922,0.0
SA0,CZCE,d,2019-12-09 00:00:00,1564.0,1591.0,1556.0,1572.0,167478,31568,0.0
SA0,CZCE,d,2019-12-10 00:00:00,1572.0,1634.0,1570.0,1634.0,221672,68176,0.0
SA0,CZCE,d,2019-12-11 00:00:00,1649.0,1674.0,1637.0,1649.0,459154,66020,0.0
SA0,CZCE,d,2019-12-12 00:00:00,1642.0,1654.0,1625.0,1630.0,245622,70048,0.0
SA0,CZCE,d,2019-12-13 00:00:00,1633.0,1639.0,1623.0,1630.0,132320,69386,0.0
SA0,CZCE,d,2019-12-16 00:00:00,1634.0,1659.0,1626.0,1632.0,277650,77498,0.0
SA0,CZCE,d,2019-12-17 00:00:00,1629.0,1636.0,1578.0,1623.0,223740,70596,0.0
SA0,CZCE,d,2019-12-18 00:00:00,1623.0,1650.0,1622.0,1628.0,195192,71800,0.0
SA0,CZCE,d,2019-12-19 00:00:00,1628.0,1641.0,1623.0,1626.0,130952,74830,0.0
SA0,CZCE,d,2019-12-20 00:00:00,1626.0,1630.0,1611.0,1611.0,134436,84124,0.0
SA0,CZCE,d,2019-12-23 00:00:00,1610.0,1616.0,1596.0,1601.0,113058,83368,0.0
SA0,CZCE,d,2019-12-24 00:00:00,1603.0,1614.0,1600.0,1604.0,62084,83068,0.0
SA0,CZCE,d,2019-12-25 00:00:00,1602.0,1610.0,1599.0,1603.0,57878,88032,0.0
SA0,CZCE,d,2019-12-26 00:00:00,1602.0,1617.0,1602.0,1609.0,55730,85764,0.0
SA0,CZCE,d,2019-12-27 00:00:00,1609.0,1629.0,1607.0,1608.0,102264,86076,0.0
SA0,CZCE,d,2019-12-30 00:00:00,1609.0,1636.0,1608.0,1633.0,79116,80286,0.0
SA0,CZCE,d,2019-12-31 00:00:00,1633.0,1643.0,1629.0,1633.0,79146,73396,0.0
SA0,CZCE,d,2020-01-02 00:00:00,1633.0,1641.0,1618.0,1625.0,26179,34862,0.0
SA0,CZCE,d,2020-01-03 00:00:00,1626.0,1634.0,1620.0,1629.0,23178,33974,0.0
SA0,CZCE,d,2020-01-06 00:00:00,1629.0,1646.0,1628.0,1638.0,40966,33327,0.0
SA0,CZCE,d,2020-01-07 00:00:00,1636.0,1640.0,1624.0,1627.0,19256,32570,0.0
SA0,CZCE,d,2020-01-08 00:00:00,1626.0,1638.0,1624.0,1630.0,19972,32306,0.0
SA0,CZCE,d,2020-01-09 00:00:00,1629.0,1635.0,1621.0,1632.0,27286,29476,0.0
SA0,CZCE,d,2020-01-10 00:00:00,1633.0,1675.0,1633.0,1658.0,173405,39616,0.0
SA0,CZCE,d,2020-01-13 00:00:00,1659.0,1661.0,1646.0,1653.0,30481,37522,0.0
SA0,CZCE,d,2020-01-14 00:00:00,1657.0,1660.0,1648.0,1653.0,23832,36145,0.0
SA0,CZCE,d,2020-01-15 00:00:00,1654.0,1691.0,1652.0,1665.0,129730,39110,0.0
SA0,CZCE,d,2020-01-16 00:00:00,1667.0,1679.0,1665.0,1668.0,34266,36492,0.0
SA0,CZCE,d,2020-01-17 00:00:00,1674.0,1684.0,1667.0,1677.0,40310,37576,0.0
SA0,CZCE,d,2020-01-20 00:00:00,1678.0,1680.0,1658.0,1667.0,31571,33031,0.0
SA0,CZCE,d,2020-01-21 00:00:00,1668.0,1674.0,1655.0,1655.0,17726,32381,0.0
SA0,CZCE,d,2020-01-22 00:00:00,1657.0,1657.0,1631.0,1642.0,33941,26024,0.0
SA0,CZCE,d,2020-01-23 00:00:00,1644.0,1651.0,1591.0,1615.0,24597,22223,0.0
SA0,CZCE,d,2020-02-03 00:00:00,1517.0,1546.0,1509.0,1519.0,30443,18012,0.0
SA0,CZCE,d,2020-02-04 00:00:00,1528.0,1570.0,1528.0,1561.0,19994,18788,0.0
SA0,CZCE,d,2020-02-05 00:00:00,1558.0,1569.0,1551.0,1560.0,18788,21591,0.0
SA0,CZCE,d,2020-02-06 00:00:00,1562.0,1577.0,1561.0,1574.0,13995,19533,0.0
SA0,CZCE,d,2020-02-07 00:00:00,1574.0,1609.0,1571.0,1574.0,10599,19840,0.0
SA0,CZCE,d,2020-02-10 00:00:00,1573.0,1577.0,1562.0,1568.0,6875,20067,0.0
SA0,CZCE,d,2020-02-11 00:00:00,1569.0,1581.0,1564.0,1579.0,10022,19745,0.0
SA0,CZCE,d,2020-02-12 00:00:00,1578.0,1588.0,1572.0,1578.0,9233,20825,0.0
SA0,CZCE,d,2020-02-13 00:00:00,1579.0,1587.0,1573.0,1581.0,8057,21245,0.0
SA0,CZCE,d,2020-02-14 00:00:00,1580.0,1583.0,1572.0,1578.0,5604,20935,0.0
SA0,CZCE,d,2020-02-17 00:00:00,1578.0,1588.0,1577.0,1586.0,7310,21231,0.0
SA0,CZCE,d,2020-02-18 00:00:00,1590.0,1595.0,1581.0,1583.0,5105,20735,0.0
SA0,CZCE,d,2020-02-19 00:00:00,1583.0,1590.0,1583.0,1587.0,4483,20201,0.0
SA0,CZCE,d,2020-02-20 00:00:00,1588.0,1590.0,1565.0,1586.0,12495,21448,0.0
SA0,CZCE,d,2020-02-21 00:00:00,1580.0,1588.0,1570.0,1579.0,15823,22350,0.0
SA0,CZCE,d,2020-02-24 00:00:00,1575.0,1590.0,1567.0,1587.0,16435,23054,0.0
SA0,CZCE,d,2020-02-25 00:00:00,1585.0,1637.0,1584.0,1605.0,55706,26495,0.0
SA0,CZCE,d,2020-02-26 00:00:00,1604.0,1607.0,1577.0,1581.0,25077,23636,0.0
SA0,CZCE,d,2020-02-27 00:00:00,1582.0,1585.0,1567.0,1575.0,14567,23227,0.0
SA0,CZCE,d,2020-02-28 00:00:00,1564.0,1574.0,1542.0,1565.0,16218,23638,0.0
SA0,CZCE,d,2020-03-02 00:00:00,1564.0,1592.0,1563.0,1587.0,15366,24188,0.0
SA0,CZCE,d,2020-03-03 00:00:00,1589.0,1600.0,1568.0,1571.0,17940,26232,0.0
SA0,CZCE,d,2020-03-04 00:00:00,1578.0,1580.0,1569.0,1574.0,6538,26030,0.0
SA0,CZCE,d,2020-03-05 00:00:00,1574.0,1575.0,1550.0,1556.0,22192,30653,0.0
SA0,CZCE,d,2020-03-06 00:00:00,1555.0,1558.0,1544.0,1553.0,15316,30629,0.0
SA0,CZCE,d,2020-03-09 00:00:00,1506.0,1538.0,1501.0,1527.0,28000,28458,0.0
SA0,CZCE,d,2020-03-10 00:00:00,1530.0,1549.0,1529.0,1539.0,12592,27834,0.0
SA0,CZCE,d,2020-03-11 00:00:00,1538.0,1600.0,1534.0,1542.0,17821,29006,0.0
SA0,CZCE,d,2020-03-12 00:00:00,1542.0,1542.0,1521.0,1522.0,11058,28249,0.0
SA0,CZCE,d,2020-03-13 00:00:00,1518.0,1528.0,1512.0,1518.0,12744,27301,0.0
SA0,CZCE,d,2020-03-16 00:00:00,1523.0,1527.0,1505.0,1505.0,12752,26933,0.0
SA0,CZCE,d,2020-03-17 00:00:00,1498.0,1504.0,1485.0,1486.0,18207,26308,0.0
SA0,CZCE,d,2020-03-18 00:00:00,1483.0,1498.0,1465.0,1466.0,20790,24613,0.0
SA0,CZCE,d,2020-03-19 00:00:00,1470.0,1470.0,1417.0,1441.0,30540,18124,0.0
SA0,CZCE,d,2020-03-20 00:00:00,1449.0,1461.0,1438.0,1450.0,10459,18107,0.0
SA0,CZCE,d,2020-03-23 00:00:00,1428.0,1437.0,1414.0,1427.0,16260,17809,0.0
SA0,CZCE,d,2020-03-24 00:00:00,1436.0,1436.0,1409.0,1424.0,10593,17939,0.0
SA0,CZCE,d,2020-03-25 00:00:00,1430.0,1436.0,1416.0,1419.0,8409,19100,0.0
SA0,CZCE,d,2020-03-26 00:00:00,1415.0,1415.0,1390.0,1396.0,17336,19349,0.0
SA0,CZCE,d,2020-03-27 00:00:00,1397.0,1398.0,1373.0,1383.0,17010,17179,0.0
SA0,CZCE,d,2020-03-30 00:00:00,1378.0,1378.0,1336.0,1339.0,16340,15509,0.0
SA0,CZCE,d,2020-03-31 00:00:00,1341.0,1385.0,1338.0,1365.0,17787,14244,0.0
SA0,CZCE,d,2020-04-01 00:00:00,1358.0,1376.0,1358.0,1371.0,9293,13715,0.0
SA0,CZCE,d,2020-04-02 00:00:00,1375.0,1395.0,1366.0,1385.0,14396,13511,0.0
SA0,CZCE,d,2020-04-03 00:00:00,1390.0,1390.0,1358.0,1371.0,10470,12316,0.0
SA0,CZCE,d,2020-04-07 00:00:00,1385.0,1394.0,1365.0,1372.0,17635,14424,0.0
SA0,CZCE,d,2020-04-08 00:00:00,1375.0,1385.0,1366.0,1371.0,13159,14944,0.0
SA0,CZCE,d,2020-04-09 00:00:00,1381.0,1387.0,1372.0,1384.0,11607,15957,0.0
SA0,CZCE,d,2020-04-10 00:00:00,1380.0,1382.0,1354.0,1360.0,15982,14764,0.0
SA0,CZCE,d,2020-04-13 00:00:00,1360.0,1371.0,1333.0,1335.0,21407,14757,0.0
SA0,CZCE,d,2020-04-14 00:00:00,1338.0,1350.0,1322.0,1347.0,17725,13995,0.0
SA0,CZCE,d,2020-04-15 00:00:00,1342.0,1388.0,1339.0,1388.0,27746,17123,0.0
SA0,CZCE,d,2020-04-16 00:00:00,1410.0,1429.0,1353.0,1355.0,94765,16569,0.0
SA0,CZCE,d,2020-04-17 00:00:00,1352.0,1369.0,1345.0,1356.0,25382,14278,0.0
SA0,CZCE,d,2020-04-20 00:00:00,1465.0,1518.0,1465.0,1494.0,66396,22265,0.0
SA0,CZCE,d,2020-04-21 00:00:00,1488.0,1496.0,1466.0,1475.0,37925,17617,0.0
SA0,CZCE,d,2020-04-22 00:00:00,1470.0,1474.0,1448.0,1467.0,24142,16069,0.0
SA0,CZCE,d,2020-04-23 00:00:00,1470.0,1498.0,1464.0,1481.0,37329,18384,0.0
SA0,CZCE,d,2020-04-24 00:00:00,1478.0,1487.0,1467.0,1479.0,19080,16657,0.0
SA0,CZCE,d,2020-04-27 00:00:00,1473.0,1491.0,1473.0,1477.0,22680,18012,0.0
SA0,CZCE,d,2020-04-28 00:00:00,1473.0,1476.0,1450.0,1451.0,20400,16044,0.0
SA0,CZCE,d,2020-04-29 00:00:00,1460.0,1473.0,1438.0,1443.0,21238,16713,0.0
SA0,CZCE,d,2020-04-30 00:00:00,1445.0,1455.0,1435.0,1447.0,21061,17090,0.0
