symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
SC0,INE,d,2018-03-26 00:00:00,440.0,447.1,426.3,429.9,40656,311400,0.0
SC0,INE,d,2018-03-27 00:00:00,429.9,431.7,412.6,424.0,40602,3936,0.0
SC0,INE,d,2018-03-28 00:00:00,429.0,429.2,406.5,410.4,67198,6074,0.0
SC0,INE,d,2018-03-29 00:00:00,410.5,412.0,401.6,409.7,66668,7732,0.0
SC0,INE,d,2018-03-30 00:00:00,407.4,421.7,405.0,420.3,58562,7058,0.0
SC0,INE,d,2018-04-02 00:00:00,420.5,421.3,413.9,416.6,24644,6536,0.0
SC0,INE,d,2018-04-03 00:00:00,414.3,414.3,400.5,402.5,52826,8546,0.0
SC0,INE,d,2018-04-04 00:00:00,403.8,406.9,399.0,401.5,44234,9164,0.0
SC0,INE,d,2018-04-09 00:00:00,398.2,403.5,397.7,402.3,15470,9504,0.0
SC0,INE,d,2018-04-10 00:00:00,404.2,415.1,403.8,413.5,61690,8992,0.0
SC0,INE,d,2018-04-11 00:00:00,415.0,421.8,414.1,417.8,66434,12462,0.0
SC0,INE,d,2018-04-12 00:00:00,421.0,429.9,416.9,428.7,110076,14474,0.0
SC0,INE,d,2018-04-13 00:00:00,425.3,428.7,423.3,427.0,63092,13480,0.0
SC0,INE,d,2018-04-16 00:00:00,427.7,431.0,423.5,424.4,65284,13494,0.0
SC0,INE,d,2018-04-17 00:00:00,426.0,427.4,421.5,427.4,55000,13002,0.0
SC0,INE,d,2018-04-18 00:00:00,422.8,431.4,420.6,429.7,80338,14628,0.0
SC0,INE,d,2018-04-19 00:00:00,435.0,444.0,432.5,440.6,84716,15928,0.0
SC0,INE,d,2018-04-20 00:00:00,441.0,443.0,435.0,437.0,68430,15616,0.0
SC0,INE,d,2018-04-23 00:00:00,435.0,441.0,432.0,440.0,70338,15986,0.0
SC0,INE,d,2018-04-24 00:00:00,434.2,449.2,432.2,447.3,91590,18324,0.0
SC0,INE,d,2018-04-25 00:00:00,447.0,448.9,436.6,438.0,98992,16184,0.0
SC0,INE,d,2018-04-26 00:00:00,437.1,444.9,434.4,441.4,109256,16286,0.0
SC0,INE,d,2018-04-27 00:00:00,444.0,445.5,440.4,444.2,80582,16256,0.0
SC0,INE,d,2018-05-02 00:00:00,439.7,444.4,436.0,443.5,33454,17254,0.0
SC0,INE,d,2018-05-03 00:00:00,441.6,448.0,439.1,447.0,111198,21392,0.0
SC0,INE,d,2018-05-04 00:00:00,443.8,448.8,442.8,446.9,100694,20456,0.0
SC0,INE,d,2018-05-07 00:00:00,448.3,461.5,448.3,458.3,135002,22786,0.0
SC0,INE,d,2018-05-08 00:00:00,460.6,462.4,456.9,459.1,110926,23344,0.0
SC0,INE,d,2018-05-09 00:00:00,466.0,466.5,464.0,465.2,244268,25760,0.0
SC0,INE,d,2018-05-10 00:00:00,466.3,477.9,466.0,476.4,165456,30620,0.0
SC0,INE,d,2018-05-11 00:00:00,474.2,474.3,467.0,471.2,165686,28136,0.0
SC0,INE,d,2018-05-14 00:00:00,471.7,472.6,462.7,465.6,168258,24488,0.0
SC0,INE,d,2018-05-15 00:00:00,467.5,474.6,467.5,472.8,150048,27872,0.0
SC0,INE,d,2018-05-16 00:00:00,478.0,478.0,470.5,473.1,193836,25888,0.0
SC0,INE,d,2018-05-17 00:00:00,472.0,485.3,470.5,481.9,220206,31014,0.0
SC0,INE,d,2018-05-18 00:00:00,485.0,488.6,481.9,486.5,179326,29920,0.0
SC0,INE,d,2018-05-21 00:00:00,484.8,486.0,477.0,482.4,175668,26892,0.0
SC0,INE,d,2018-05-22 00:00:00,480.0,486.5,478.3,485.1,133016,29060,0.0
SC0,INE,d,2018-05-23 00:00:00,486.0,493.8,482.6,484.6,218094,30956,0.0
SC0,INE,d,2018-05-24 00:00:00,484.5,487.4,478.1,485.0,217168,30414,0.0
SC0,INE,d,2018-05-25 00:00:00,481.1,483.8,476.6,477.4,180374,30964,0.0
SC0,INE,d,2018-05-28 00:00:00,467.4,470.5,456.6,462.8,245594,30338,0.0
SC0,INE,d,2018-05-29 00:00:00,462.5,466.0,459.2,463.8,145200,30166,0.0
