symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
SF0,CZCE,d,2014-08-12 00:00:00,5810.0,5956.0,5808.0,5912.0,233812,46588,0.0
SF0,CZCE,d,2014-08-13 00:00:00,5920.0,5946.0,5880.0,5926.0,119328,46610,0.0
SF0,CZCE,d,2014-08-14 00:00:00,5918.0,5936.0,5710.0,5740.0,142708,35404,0.0
SF0,CZCE,d,2014-08-15 00:00:00,5740.0,5780.0,5730.0,5774.0,63946,33498,0.0
SF0,CZCE,d,2014-08-18 00:00:00,5776.0,5796.0,5730.0,5748.0,48440,33734,0.0
SF0,CZCE,d,2014-08-19 00:00:00,5740.0,5780.0,5690.0,5776.0,39674,32334,0.0
SF0,CZCE,d,2014-08-20 00:00:00,5778.0,5778.0,5514.0,5730.0,47588,33542,0.0
SF0,CZCE,d,2014-08-21 00:00:00,5746.0,5778.0,5722.0,5742.0,15598,33038,0.0
SF0,CZCE,d,2014-08-22 00:00:00,5736.0,5754.0,5706.0,5716.0,27818,33512,0.0
SF0,CZCE,d,2014-08-25 00:00:00,5710.0,5742.0,5676.0,5738.0,40176,29610,0.0
SF0,CZCE,d,2014-08-26 00:00:00,5742.0,5770.0,5726.0,5752.0,15454,24442,0.0
SF0,CZCE,d,2014-08-27 00:00:00,5744.0,5788.0,5744.0,5766.0,16096,21552,0.0
SF0,CZCE,d,2014-08-28 00:00:00,5760.0,5780.0,5734.0,5780.0,11954,20416,0.0
SF0,CZCE,d,2014-08-29 00:00:00,5776.0,5810.0,5756.0,5800.0,16324,19760,0.0
SF0,CZCE,d,2014-09-01 00:00:00,5804.0,5828.0,5776.0,5776.0,22664,21208,0.0
SF0,CZCE,d,2014-09-02 00:00:00,5772.0,5798.0,5714.0,5762.0,34782,24782,0.0
SF0,CZCE,d,2014-09-03 00:00:00,5762.0,5792.0,5750.0,5754.0,10766,24676,0.0
SF0,CZCE,d,2014-09-04 00:00:00,5750.0,5788.0,5720.0,5764.0,13020,24444,0.0
SF0,CZCE,d,2014-09-05 00:00:00,5768.0,5784.0,5736.0,5752.0,10634,24888,0.0
SF0,CZCE,d,2014-09-09 00:00:00,5740.0,5754.0,5648.0,5662.0,35286,32824,0.0
SF0,CZCE,d,2014-09-10 00:00:00,5638.0,5786.0,5636.0,5710.0,25276,27534,0.0
SF0,CZCE,d,2014-09-11 00:00:00,5708.0,5714.0,5686.0,5698.0,8168,27304,0.0
SF0,CZCE,d,2014-09-12 00:00:00,5700.0,5736.0,5690.0,5728.0,5146,25880,0.0
SF0,CZCE,d,2014-09-15 00:00:00,5722.0,5786.0,5716.0,5776.0,8792,24370,0.0
SF0,CZCE,d,2014-09-16 00:00:00,5788.0,5808.0,5758.0,5764.0,6570,22790,0.0
SF0,CZCE,d,2014-09-17 00:00:00,5778.0,5786.0,5762.0,5778.0,2508,22772,0.0
SF0,CZCE,d,2014-09-18 00:00:00,5780.0,5788.0,5754.0,5758.0,3976,22258,0.0
SF0,CZCE,d,2014-09-19 00:00:00,5760.0,5762.0,5694.0,5700.0,11852,21826,0.0
SF0,CZCE,d,2014-09-22 00:00:00,5682.0,5686.0,5510.0,5540.0,20942,22332,0.0
SF0,CZCE,d,2014-09-23 00:00:00,5522.0,5592.0,5522.0,5562.0,11374,22412,0.0
SF0,CZCE,d,2014-09-24 00:00:00,5570.0,5640.0,5556.0,5590.0,6288,21070,0.0
