symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
SH0,CZCE,d,2023-09-15 00:00:00,2950.0,3060.0,2790.0,2859.0,407987,30330,0.0
SH0,CZCE,d,2023-09-18 00:00:00,2858.0,2922.0,2836.0,2904.0,283416,32473,0.0
SH0,CZCE,d,2023-09-19 00:00:00,2913.0,3086.0,2898.0,3040.0,515904,46067,0.0
SH0,CZCE,d,2023-09-20 00:00:00,3058.0,3148.0,3038.0,3113.0,598941,59971,0.0
SH0,CZCE,d,2023-09-21 00:00:00,3116.0,3118.0,3033.0,3049.0,432914,52380,0.0
SH0,CZCE,d,2023-09-22 00:00:00,3061.0,3106.0,3051.0,3070.0,326405,51010,0.0
SH0,CZCE,d,2023-09-25 00:00:00,3078.0,3094.0,2930.0,2945.0,323538,53987,0.0
SH0,CZCE,d,2023-09-26 00:00:00,2946.0,2970.0,2870.0,2902.0,291703,51323,0.0
SH0,CZCE,d,2023-09-27 00:00:00,2908.0,2943.0,2860.0,2888.0,242500,44508,0.0
SH0,CZCE,d,2023-09-28 00:00:00,2898.0,2905.0,2797.0,2800.0,218744,44124,0.0
SH0,CZCE,d,2023-10-09 00:00:00,2795.0,2839.0,2750.0,2779.0,111355,47212,0.0
SH0,CZCE,d,2023-10-10 00:00:00,2783.0,2783.0,2626.0,2720.0,344386,58555,0.0
SH0,CZCE,d,2023-10-11 00:00:00,2716.0,2743.0,2657.0,2704.0,304232,61771,0.0
SH0,CZCE,d,2023-10-12 00:00:00,2695.0,2765.0,2677.0,2749.0,217512,63391,0.0
SH0,CZCE,d,2023-10-13 00:00:00,2752.0,2765.0,2666.0,2682.0,232766,70131,0.0
SH0,CZCE,d,2023-10-16 00:00:00,2706.0,2713.0,2641.0,2658.0,232274,80874,0.0
SH0,CZCE,d,2023-10-17 00:00:00,2650.0,2655.0,2561.0,2569.0,298316,103956,0.0
SH0,CZCE,d,2023-10-18 00:00:00,2571.0,2604.0,2563.0,2584.0,206359,101662,0.0
SH0,CZCE,d,2023-10-19 00:00:00,2570.0,2578.0,2506.0,2527.0,383008,108959,0.0
SH0,CZCE,d,2023-10-20 00:00:00,2525.0,2572.0,2504.0,2533.0,299451,107147,0.0
SH0,CZCE,d,2023-10-23 00:00:00,2531.0,2582.0,2519.0,2545.0,305841,113158,0.0
SH0,CZCE,d,2023-10-24 00:00:00,2543.0,2596.0,2525.0,2583.0,300187,106394,0.0
SH0,CZCE,d,2023-10-25 00:00:00,2587.0,2609.0,2555.0,2557.0,209723,102488,0.0
SH0,CZCE,d,2023-10-26 00:00:00,2551.0,2578.0,2525.0,2552.0,236277,108706,0.0
SH0,CZCE,d,2023-10-27 00:00:00,2539.0,2581.0,2538.0,2571.0,164847,105619,0.0
SH0,CZCE,d,2023-10-30 00:00:00,2572.0,2611.0,2557.0,2594.0,200479,100535,0.0
SH0,CZCE,d,2023-10-31 00:00:00,2590.0,2638.0,2582.0,2621.0,204110,92551,0.0
SH0,CZCE,d,2023-11-01 00:00:00,2625.0,2629.0,2566.0,2574.0,175771,93459,0.0
SH0,CZCE,d,2023-11-02 00:00:00,2579.0,2588.0,2554.0,2579.0,140797,95755,0.0
SH0,CZCE,d,2023-11-03 00:00:00,2590.0,2636.0,2590.0,2620.0,163152,79173,0.0
SH0,CZCE,d,2023-11-06 00:00:00,2635.0,2689.0,2626.0,2684.0,188287,73703,0.0
SH0,CZCE,d,2023-11-07 00:00:00,2687.0,2700.0,2632.0,2642.0,158264,66734,0.0
SH0,CZCE,d,2023-11-08 00:00:00,2638.0,2668.0,2636.0,2665.0,98689,64082,0.0
SH0,CZCE,d,2023-11-09 00:00:00,2656.0,2656.0,2552.0,2631.0,157454,63188,0.0
SH0,CZCE,d,2023-11-10 00:00:00,2641.0,2752.0,2635.0,2682.0,351128,63569,0.0
SH0,CZCE,d,2023-11-13 00:00:00,2678.0,2695.0,2622.0,2630.0,170541,60127,0.0
SH0,CZCE,d,2023-11-14 00:00:00,2643.0,2677.0,2637.0,2672.0,90160,59208,0.0
SH0,CZCE,d,2023-11-15 00:00:00,2670.0,2701.0,2651.0,2665.0,92573,59778,0.0
SH0,CZCE,d,2023-11-16 00:00:00,2655.0,2684.0,2644.0,2677.0,58632,57267,0.0
SH0,CZCE,d,2023-11-17 00:00:00,2680.0,2719.0,2665.0,2686.0,99120,55430,0.0
SH0,CZCE,d,2023-11-20 00:00:00,2690.0,2696.0,2657.0,2677.0,60545,55261,0.0
SH0,CZCE,d,2023-11-21 00:00:00,2683.0,2704.0,2600.0,2612.0,94270,55889,0.0
SH0,CZCE,d,2023-11-22 00:00:00,2613.0,2632.0,2547.0,2591.0,113455,54297,0.0
SH0,CZCE,d,2023-11-23 00:00:00,2595.0,2626.0,2566.0,2604.0,93977,52284,0.0
SH0,CZCE,d,2023-11-24 00:00:00,2601.0,2615.0,2562.0,2611.0,58015,51288,0.0
SH0,CZCE,d,2023-11-27 00:00:00,2609.0,2638.0,2575.0,2583.0,80202,52922,0.0
SH0,CZCE,d,2023-11-28 00:00:00,2580.0,2617.0,2566.0,2593.0,57817,48073,0.0
SH0,CZCE,d,2023-11-29 00:00:00,2601.0,2685.0,2585.0,2657.0,146361,47533,0.0
SH0,CZCE,d,2023-11-30 00:00:00,2661.0,2692.0,2631.0,2683.0,77611,51027,0.0
SH0,CZCE,d,2023-12-01 00:00:00,2672.0,2691.0,2634.0,2674.0,75641,47171,0.0
SH0,CZCE,d,2023-12-04 00:00:00,2655.0,2677.0,2611.0,2619.0,83965,47729,0.0
SH0,CZCE,d,2023-12-05 00:00:00,2613.0,2613.0,2568.0,2575.0,72694,46487,0.0
SH0,CZCE,d,2023-12-06 00:00:00,2567.0,2607.0,2560.0,2590.0,55602,46710,0.0
SH0,CZCE,d,2023-12-07 00:00:00,2570.0,2597.0,2523.0,2564.0,125799,51403,0.0
SH0,CZCE,d,2023-12-08 00:00:00,2567.0,2745.0,2551.0,2642.0,259877,56801,0.0
SH0,CZCE,d,2023-12-11 00:00:00,2628.0,2677.0,2592.0,2651.0,131705,56292,0.0
SH0,CZCE,d,2023-12-12 00:00:00,2647.0,2709.0,2632.0,2680.0,146219,57628,0.0
SH0,CZCE,d,2023-12-13 00:00:00,2677.0,2691.0,2636.0,2660.0,90250,53622,0.0
SH0,CZCE,d,2023-12-14 00:00:00,2663.0,2702.0,2655.0,2670.0,100397,56704,0.0
SH0,CZCE,d,2023-12-15 00:00:00,2682.0,2697.0,2661.0,2673.0,76754,52921,0.0
SH0,CZCE,d,2023-12-18 00:00:00,2676.0,2679.0,2647.0,2672.0,57710,51401,0.0
SH0,CZCE,d,2023-12-19 00:00:00,2663.0,2711.0,2656.0,2664.0,80150,50550,0.0
SH0,CZCE,d,2023-12-20 00:00:00,2661.0,2712.0,2661.0,2692.0,66740,53447,0.0
SH0,CZCE,d,2023-12-21 00:00:00,2705.0,2748.0,2675.0,2744.0,89938,59219,0.0
SH0,CZCE,d,2023-12-22 00:00:00,2752.0,2972.0,2743.0,2814.0,556139,80508,0.0
SH0,CZCE,d,2023-12-25 00:00:00,2801.0,2851.0,2768.0,2836.0,228672,76982,0.0
SH0,CZCE,d,2023-12-26 00:00:00,2837.0,2893.0,2808.0,2817.0,227969,72188,0.0
SH0,CZCE,d,2023-12-27 00:00:00,2820.0,2842.0,2783.0,2794.0,111657,67775,0.0
SH0,CZCE,d,2023-12-28 00:00:00,2794.0,2850.0,2766.0,2838.0,149604,69254,0.0
SH0,CZCE,d,2023-12-29 00:00:00,2838.0,2871.0,2816.0,2823.0,125951,61324,0.0
SH0,CZCE,d,2024-01-02 00:00:00,2826.0,2906.0,2820.0,2853.0,125811,71016,0.0
SH0,CZCE,d,2024-01-03 00:00:00,2825.0,2876.0,2786.0,2811.0,152586,69672,0.0
SH0,CZCE,d,2024-01-04 00:00:00,2815.0,2840.0,2682.0,2736.0,207491,63051,0.0
SH0,CZCE,d,2024-01-05 00:00:00,2740.0,2752.0,2694.0,2745.0,101866,60125,0.0
SH0,CZCE,d,2024-01-08 00:00:00,2752.0,2774.0,2680.0,2692.0,123797,59763,0.0
SH0,CZCE,d,2024-01-09 00:00:00,2688.0,2716.0,2629.0,2699.0,111507,58214,0.0
SH0,CZCE,d,2024-01-10 00:00:00,2710.0,2718.0,2662.0,2669.0,98224,57714,0.0
SH0,CZCE,d,2024-01-11 00:00:00,2661.0,2702.0,2638.0,2685.0,80818,58155,0.0
SH0,CZCE,d,2024-01-12 00:00:00,2689.0,2733.0,2673.0,2709.0,76302,58216,0.0
SH0,CZCE,d,2024-01-15 00:00:00,2716.0,2726.0,2688.0,2706.0,63939,59181,0.0
SH0,CZCE,d,2024-01-16 00:00:00,2702.0,2741.0,2702.0,2732.0,62017,58514,0.0
SH0,CZCE,d,2024-01-17 00:00:00,2754.0,2755.0,2720.0,2728.0,60943,55650,0.0
SH0,CZCE,d,2024-01-18 00:00:00,2724.0,2790.0,2714.0,2782.0,83936,58292,0.0
SH0,CZCE,d,2024-01-19 00:00:00,2781.0,2803.0,2762.0,2769.0,65335,55946,0.0
SH0,CZCE,d,2024-01-22 00:00:00,2760.0,2858.0,2760.0,2820.0,109573,53710,0.0
SH0,CZCE,d,2024-01-23 00:00:00,2820.0,2829.0,2782.0,2795.0,54255,51169,0.0
SH0,CZCE,d,2024-01-24 00:00:00,2790.0,2816.0,2765.0,2787.0,69559,52085,0.0
SH0,CZCE,d,2024-01-25 00:00:00,2787.0,2806.0,2771.0,2780.0,50467,51192,0.0
SH0,CZCE,d,2024-01-26 00:00:00,2781.0,2781.0,2716.0,2722.0,66203,49294,0.0
SH0,CZCE,d,2024-01-29 00:00:00,2715.0,2748.0,2707.0,2722.0,41677,47757,0.0
SH0,CZCE,d,2024-01-30 00:00:00,2722.0,2736.0,2690.0,2697.0,45015,49117,0.0
SH0,CZCE,d,2024-01-31 00:00:00,2697.0,2718.0,2682.0,2714.0,43149,47127,0.0
SH0,CZCE,d,2024-02-01 00:00:00,2715.0,2728.0,2665.0,2670.0,42789,48011,0.0
SH0,CZCE,d,2024-02-02 00:00:00,2670.0,2688.0,2655.0,2685.0,36003,46199,0.0
SH0,CZCE,d,2024-02-05 00:00:00,2685.0,2712.0,2668.0,2698.0,28278,44877,0.0
SH0,CZCE,d,2024-02-06 00:00:00,2698.0,2708.0,2662.0,2699.0,26584,44133,0.0
SH0,CZCE,d,2024-02-07 00:00:00,2702.0,2709.0,2630.0,2652.0,42216,43455,0.0
