symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
SM0,CZCE,d,2014-08-12 00:00:00,6486.0,6524.0,6410.0,6418.0,138,2380,0.0
SM0,CZCE,d,2014-08-13 00:00:00,6410.0,6456.0,6388.0,6424.0,43002,28278,0.0
SM0,CZCE,d,2014-08-14 00:00:00,6416.0,6466.0,6352.0,6396.0,84352,28028,0.0
SM0,CZCE,d,2014-08-15 00:00:00,6400.0,6426.0,6386.0,6412.0,28828,22570,0.0
SM0,CZCE,d,2014-08-18 00:00:00,6418.0,6478.0,6398.0,6404.0,38498,19164,0.0
SM0,CZCE,d,2014-08-19 00:00:00,6394.0,6408.0,6364.0,6386.0,22378,18616,0.0
SM0,CZCE,d,2014-08-20 00:00:00,6376.0,6410.0,6354.0,6386.0,14756,18918,0.0
SM0,CZCE,d,2014-08-21 00:00:00,6398.0,6406.0,6360.0,6370.0,6248,17696,0.0
SM0,CZCE,d,2014-08-22 00:00:00,6366.0,6398.0,6366.0,6392.0,12830,11538,0.0
SM0,CZCE,d,2014-08-25 00:00:00,6396.0,6448.0,6380.0,6436.0,24326,11352,0.0
SM0,CZCE,d,2014-08-26 00:00:00,6426.0,6446.0,6412.0,6442.0,7344,10202,0.0
SM0,CZCE,d,2014-08-27 00:00:00,6484.0,6484.0,6398.0,6398.0,10064,7906,0.0
SM0,CZCE,d,2014-08-28 00:00:00,6392.0,6410.0,6366.0,6378.0,8966,8070,0.0
SM0,CZCE,d,2014-08-29 00:00:00,6374.0,6392.0,6366.0,6372.0,3956,6908,0.0
SM0,CZCE,d,2014-09-01 00:00:00,6370.0,6388.0,6368.0,6378.0,5250,8340,0.0
SM0,CZCE,d,2014-09-02 00:00:00,6368.0,6368.0,6306.0,6344.0,5886,9830,0.0
SM0,CZCE,d,2014-09-03 00:00:00,6326.0,6352.0,6324.0,6340.0,4738,11636,0.0
SM0,CZCE,d,2014-09-04 00:00:00,6340.0,6360.0,6318.0,6342.0,3934,11500,0.0
SM0,CZCE,d,2014-09-05 00:00:00,6328.0,6352.0,6328.0,6330.0,2184,12372,0.0
SM0,CZCE,d,2014-09-09 00:00:00,6324.0,6352.0,6268.0,6298.0,6712,14830,0.0
SM0,CZCE,d,2014-09-10 00:00:00,6282.0,6310.0,6156.0,6300.0,4424,14596,0.0
SM0,CZCE,d,2014-09-11 00:00:00,6300.0,6300.0,6264.0,6264.0,1676,14664,0.0
SM0,CZCE,d,2014-09-12 00:00:00,6270.0,6288.0,6250.0,6288.0,1308,14826,0.0
SM0,CZCE,d,2014-09-15 00:00:00,6260.0,6346.0,6260.0,6346.0,2590,14088,0.0
SM0,CZCE,d,2014-09-16 00:00:00,6348.0,6350.0,6300.0,6300.0,1312,14146,0.0
SM0,CZCE,d,2014-09-17 00:00:00,6310.0,6324.0,6290.0,6292.0,778,14216,0.0
SM0,CZCE,d,2014-09-18 00:00:00,6298.0,6298.0,6246.0,6252.0,2004,14524,0.0
SM0,CZCE,d,2014-09-19 00:00:00,6248.0,6248.0,6112.0,6126.0,2160,14922,0.0
SM0,CZCE,d,2014-09-22 00:00:00,6064.0,6090.0,6000.0,6030.0,5342,15022,0.0
SM0,CZCE,d,2014-09-23 00:00:00,6020.0,6130.0,6020.0,6042.0,1130,14986,0.0
SM0,CZCE,d,2014-09-24 00:00:00,6042.0,6108.0,6030.0,6100.0,1252,14922,0.0
SM0,CZCE,d,2014-09-25 00:00:00,6100.0,6138.0,5982.0,6016.0,4178,16086,0.0
SM0,CZCE,d,2014-09-26 00:00:00,5996.0,6060.0,5940.0,6048.0,1972,15694,0.0
SM0,CZCE,d,2014-09-29 00:00:00,6088.0,6088.0,6016.0,6070.0,1066,15406,0.0
SM0,CZCE,d,2014-09-30 00:00:00,6122.0,6128.0,6056.0,6088.0,470,15192,0.0
SM0,CZCE,d,2014-10-09 00:00:00,6080.0,6178.0,6080.0,6170.0,1686,15012,0.0
SM0,CZCE,d,2014-10-10 00:00:00,6152.0,6170.0,6122.0,6144.0,916,14844,0.0
SM0,CZCE,d,2014-10-13 00:00:00,6170.0,6320.0,6150.0,6244.0,2854,14680,0.0
SM0,CZCE,d,2014-10-14 00:00:00,6288.0,6288.0,6170.0,6202.0,1098,14296,0.0
SM0,CZCE,d,2014-10-15 00:00:00,6202.0,6214.0,6158.0,6176.0,968,14316,0.0
SM0,CZCE,d,2014-10-16 00:00:00,6150.0,6214.0,6118.0,6160.0,938,14222,0.0
SM0,CZCE,d,2014-10-17 00:00:00,6184.0,6314.0,6180.0,6216.0,1656,14130,0.0
SM0,CZCE,d,2014-10-20 00:00:00,6162.0,6222.0,6162.0,6182.0,1016,13996,0.0
SM0,CZCE,d,2014-10-21 00:00:00,6170.0,6204.0,6170.0,6194.0,498,13974,0.0
SM0,CZCE,d,2014-10-22 00:00:00,6170.0,6212.0,6140.0,6140.0,1006,13944,0.0
SM0,CZCE,d,2014-10-23 00:00:00,6122.0,6198.0,6120.0,6196.0,730,13888,0.0
SM0,CZCE,d,2014-10-24 00:00:00,6248.0,6248.0,6184.0,6214.0,962,13642,0.0
SM0,CZCE,d,2014-10-27 00:00:00,6212.0,6226.0,6184.0,6196.0,506,13538,0.0
SM0,CZCE,d,2014-10-28 00:00:00,6208.0,6226.0,6184.0,6200.0,390,13422,0.0
SM0,CZCE,d,2014-10-29 00:00:00,6214.0,6222.0,6188.0,6206.0,480,13192,0.0
SM0,CZCE,d,2014-10-30 00:00:00,6216.0,6220.0,6180.0,6180.0,600,13106,0.0
SM0,CZCE,d,2014-10-31 00:00:00,6196.0,6198.0,6126.0,6150.0,582,13140,0.0
SM0,CZCE,d,2014-11-03 00:00:00,6074.0,6182.0,6074.0,6180.0,1398,13280,0.0
SM0,CZCE,d,2014-11-04 00:00:00,6150.0,6248.0,6150.0,6196.0,1530,13258,0.0
SM0,CZCE,d,2014-11-05 00:00:00,6226.0,6226.0,6172.0,6172.0,680,13216,0.0
SM0,CZCE,d,2014-11-06 00:00:00,6172.0,6218.0,6158.0,6204.0,452,13236,0.0
SM0,CZCE,d,2014-11-07 00:00:00,6226.0,6230.0,6190.0,6208.0,284,13156,0.0
SM0,CZCE,d,2014-11-10 00:00:00,6210.0,6220.0,6132.0,6188.0,534,13072,0.0
SM0,CZCE,d,2014-11-11 00:00:00,6200.0,6220.0,6132.0,6192.0,202,13040,0.0
SM0,CZCE,d,2014-11-12 00:00:00,6204.0,6222.0,6190.0,6208.0,614,12930,0.0
SM0,CZCE,d,2014-11-13 00:00:00,6202.0,6214.0,6172.0,6206.0,360,12888,0.0
SM0,CZCE,d,2014-11-14 00:00:00,6212.0,6212.0,6182.0,6206.0,198,12860,0.0
SM0,CZCE,d,2014-11-17 00:00:00,6196.0,6212.0,6182.0,6194.0,80,12856,0.0
SM0,CZCE,d,2014-11-18 00:00:00,6186.0,6200.0,6184.0,6188.0,524,12714,0.0
SM0,CZCE,d,2014-11-19 00:00:00,6198.0,6216.0,6184.0,6216.0,1134,12118,0.0
SM0,CZCE,d,2014-11-20 00:00:00,6210.0,6220.0,6188.0,6200.0,2976,9492,0.0
SM0,CZCE,d,2014-11-21 00:00:00,6210.0,6220.0,6188.0,6196.0,2314,7356,0.0
SM0,CZCE,d,2014-11-24 00:00:00,6210.0,6212.0,6182.0,6184.0,2100,5702,0.0
SM0,CZCE,d,2014-11-25 00:00:00,6170.0,6200.0,6170.0,6200.0,270,5674,0.0
SM0,CZCE,d,2014-11-26 00:00:00,6230.0,6230.0,6196.0,6208.0,360,5622,0.0
SM0,CZCE,d,2014-11-27 00:00:00,6190.0,6248.0,6156.0,6230.0,932,5656,0.0
SM0,CZCE,d,2014-11-28 00:00:00,6200.0,6220.0,6162.0,6192.0,1060,5594,0.0
SM0,CZCE,d,2014-12-01 00:00:00,6092.0,6218.0,6088.0,6188.0,1224,5750,0.0
SM0,CZCE,d,2014-12-02 00:00:00,6170.0,6210.0,6170.0,6192.0,394,5728,0.0
SM0,CZCE,d,2014-12-03 00:00:00,6160.0,6188.0,6156.0,6168.0,2932,6858,0.0
SM0,CZCE,d,2014-12-04 00:00:00,6150.0,6210.0,6148.0,6180.0,1808,7452,0.0
SM0,CZCE,d,2014-12-05 00:00:00,6170.0,6180.0,6152.0,6160.0,464,7634,0.0
SM0,CZCE,d,2014-12-08 00:00:00,6160.0,6182.0,6146.0,6146.0,338,7634,0.0
SM0,CZCE,d,2014-12-09 00:00:00,6154.0,6188.0,6122.0,6164.0,250,7596,0.0
SM0,CZCE,d,2014-12-10 00:00:00,6138.0,6240.0,6138.0,6168.0,190,7580,0.0
SM0,CZCE,d,2014-12-11 00:00:00,6196.0,6196.0,6150.0,6178.0,154,7550,0.0
SM0,CZCE,d,2014-12-12 00:00:00,6176.0,6176.0,6122.0,6146.0,168,7542,0.0
SM0,CZCE,d,2014-12-15 00:00:00,6190.0,6190.0,6122.0,6174.0,82,7538,0.0
SM0,CZCE,d,2014-12-16 00:00:00,6184.0,6190.0,6138.0,6146.0,36,7540,0.0
SM0,CZCE,d,2014-12-17 00:00:00,6006.0,6202.0,6006.0,6178.0,302,7628,0.0
SM0,CZCE,d,2014-12-18 00:00:00,6170.0,6210.0,6102.0,6126.0,248,7620,0.0
