symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
SN0,SHFE,d,2015-03-27 00:00:00,16025.0,16060.0,15880.0,15905.0,35290,75124,0.0
SN0,SHFE,d,2015-03-30 00:00:00,119270.0,119530.0,115600.0,118080.0,2464,834,0.0
SN0,SHFE,d,2015-03-31 00:00:00,117650.0,119800.0,115960.0,118160.0,4522,1176,0.0
SN0,SHFE,d,2015-04-01 00:00:00,117800.0,118880.0,117080.0,117910.0,4374,1272,0.0
SN0,SHFE,d,2015-04-02 00:00:00,117970.0,119080.0,117970.0,118700.0,2716,1038,0.0
SN0,SHFE,d,2015-04-03 00:00:00,118600.0,119470.0,118560.0,118840.0,1388,1002,0.0
SN0,SHFE,d,2015-04-07 00:00:00,118890.0,119090.0,118270.0,118970.0,844,904,0.0
SN0,SHFE,d,2015-04-08 00:00:00,118710.0,118890.0,117150.0,117840.0,844,750,0.0
SN0,SHFE,d,2015-04-09 00:00:00,117570.0,117980.0,116500.0,116790.0,812,804,0.0
SN0,SHFE,d,2015-04-10 00:00:00,116500.0,116980.0,115320.0,115990.0,2416,916,0.0
SN0,SHFE,d,2015-04-13 00:00:00,115960.0,116290.0,115270.0,115510.0,1586,1004,0.0
SN0,SHFE,d,2015-04-14 00:00:00,115550.0,115650.0,112500.0,112500.0,5576,1884,0.0
SN0,SHFE,d,2015-04-15 00:00:00,112420.0,114140.0,112320.0,113750.0,4114,1698,0.0
SN0,SHFE,d,2015-04-16 00:00:00,112530.0,113700.0,111010.0,112880.0,3866,1962,0.0
SN0,SHFE,d,2015-04-17 00:00:00,113000.0,113000.0,109300.0,110000.0,11322,3584,0.0
SN0,SHFE,d,2015-04-20 00:00:00,112000.0,112950.0,111120.0,111440.0,10518,2656,0.0
SN0,SHFE,d,2015-04-21 00:00:00,111530.0,111880.0,111100.0,111550.0,3434,2964,0.0
SN0,SHFE,d,2015-04-22 00:00:00,112190.0,113290.0,112190.0,112940.0,5868,2736,0.0
SN0,SHFE,d,2015-04-23 00:00:00,113400.0,113760.0,112960.0,113300.0,3310,2468,0.0
SN0,SHFE,d,2015-04-24 00:00:00,113350.0,113950.0,112750.0,113940.0,2086,2526,0.0
SN0,SHFE,d,2015-04-27 00:00:00,114400.0,117960.0,114400.0,117960.0,16990,3096,0.0
SN0,SHFE,d,2015-04-28 00:00:00,117970.0,118550.0,116500.0,117400.0,31980,4452,0.0
SN0,SHFE,d,2015-04-29 00:00:00,117140.0,117720.0,115120.0,115370.0,10628,4638,0.0
SN0,SHFE,d,2015-04-30 00:00:00,116000.0,119890.0,115380.0,117750.0,17756,5586,0.0
SN0,SHFE,d,2015-05-04 00:00:00,118530.0,119500.0,117890.0,118820.0,8814,6072,0.0
SN0,SHFE,d,2015-05-05 00:00:00,119000.0,119780.0,118000.0,118680.0,12990,6392,0.0
SN0,SHFE,d,2015-05-06 00:00:00,119640.0,123670.0,119600.0,123400.0,32668,8600,0.0
SN0,SHFE,d,2015-05-07 00:00:00,123300.0,125910.0,121500.0,122030.0,51604,7606,0.0
SN0,SHFE,d,2015-05-08 00:00:00,122600.0,122960.0,120020.0,121290.0,22068,7346,0.0
SN0,SHFE,d,2015-05-11 00:00:00,120890.0,122690.0,120710.0,122400.0,13824,7580,0.0
SN0,SHFE,d,2015-05-12 00:00:00,121100.0,121930.0,119690.0,119970.0,17242,7502,0.0
SN0,SHFE,d,2015-05-13 00:00:00,120800.0,121100.0,120000.0,120700.0,10412,7156,0.0
SN0,SHFE,d,2015-05-14 00:00:00,120700.0,122480.0,117800.0,119500.0,31286,7222,0.0
SN0,SHFE,d,2015-05-15 00:00:00,119190.0,119680.0,118610.0,119100.0,11000,7396,0.0
SN0,SHFE,d,2015-05-18 00:00:00,118690.0,119940.0,118030.0,119250.0,11708,7298,0.0
SN0,SHFE,d,2015-05-19 00:00:00,119520.0,119650.0,118070.0,118140.0,7572,6732,0.0
SN0,SHFE,d,2015-05-20 00:00:00,117690.0,117960.0,114160.0,115860.0,27600,6122,0.0
SN0,SHFE,d,2015-05-21 00:00:00,116350.0,120400.0,115220.0,119180.0,38170,6916,0.0
SN0,SHFE,d,2015-05-22 00:00:00,119500.0,119730.0,116900.0,117980.0,23976,6632,0.0
SN0,SHFE,d,2015-05-25 00:00:00,117170.0,119800.0,116800.0,117580.0,25734,6844,0.0
SN0,SHFE,d,2015-05-26 00:00:00,117600.0,119570.0,117600.0,118270.0,18802,6648,0.0
SN0,SHFE,d,2015-05-27 00:00:00,116760.0,117570.0,116200.0,116510.0,17848,7100,0.0
SN0,SHFE,d,2015-05-28 00:00:00,116010.0,117510.0,115720.0,116980.0,15240,6652,0.0
SN0,SHFE,d,2015-05-29 00:00:00,116900.0,116900.0,115680.0,116160.0,8976,6090,0.0
SN0,SHFE,d,2015-06-01 00:00:00,116090.0,116350.0,115670.0,116210.0,4358,5708,0.0
SN0,SHFE,d,2015-06-02 00:00:00,116120.0,117000.0,115780.0,116490.0,3880,5624,0.0
SN0,SHFE,d,2015-06-03 00:00:00,116740.0,116800.0,115060.0,115520.0,3304,5472,0.0
SN0,SHFE,d,2015-06-04 00:00:00,115330.0,115900.0,114500.0,114750.0,3236,5216,0.0
SN0,SHFE,d,2015-06-05 00:00:00,114640.0,114980.0,114260.0,114260.0,1284,5218,0.0
SN0,SHFE,d,2015-06-08 00:00:00,113990.0,114940.0,113910.0,114700.0,2082,5128,0.0
SN0,SHFE,d,2015-06-09 00:00:00,114710.0,115600.0,114710.0,114930.0,2194,5114,0.0
SN0,SHFE,d,2015-06-10 00:00:00,115340.0,115550.0,114850.0,115450.0,1228,5088,0.0
SN0,SHFE,d,2015-06-11 00:00:00,115490.0,115670.0,115300.0,115420.0,1014,4910,0.0
SN0,SHFE,d,2015-06-12 00:00:00,114420.0,114700.0,113520.0,113700.0,3152,4014,0.0
SN0,SHFE,d,2015-06-15 00:00:00,113410.0,113660.0,112810.0,113090.0,1276,3794,0.0
SN0,SHFE,d,2015-06-16 00:00:00,111720.0,112650.0,111700.0,111780.0,1166,3668,0.0
SN0,SHFE,d,2015-06-17 00:00:00,111990.0,112230.0,111210.0,111730.0,1016,3574,0.0
SN0,SHFE,d,2015-06-18 00:00:00,112290.0,112600.0,111820.0,112490.0,768,3462,0.0
SN0,SHFE,d,2015-06-19 00:00:00,113010.0,114450.0,112470.0,113770.0,1368,3422,0.0
SN0,SHFE,d,2015-06-23 00:00:00,113360.0,114330.0,113360.0,114110.0,632,3300,0.0
SN0,SHFE,d,2015-06-24 00:00:00,113680.0,114150.0,112580.0,113130.0,974,3198,0.0
SN0,SHFE,d,2015-06-25 00:00:00,112820.0,113300.0,109470.0,111220.0,1352,3092,0.0
SN0,SHFE,d,2015-06-26 00:00:00,111280.0,111920.0,109800.0,110110.0,1698,2950,0.0
SN0,SHFE,d,2015-06-29 00:00:00,109100.0,110800.0,109000.0,109820.0,1234,3012,0.0
SN0,SHFE,d,2015-06-30 00:00:00,109000.0,109400.0,105740.0,106050.0,1382,2808,0.0
SN0,SHFE,d,2015-07-01 00:00:00,104010.0,107740.0,104010.0,106700.0,278,2776,0.0
SN0,SHFE,d,2015-07-02 00:00:00,109800.0,109990.0,108560.0,109580.0,2590,2808,0.0
SN0,SHFE,d,2015-07-03 00:00:00,110370.0,111140.0,109950.0,109990.0,2342,2902,0.0
SN0,SHFE,d,2015-07-06 00:00:00,107960.0,109850.0,106510.0,107040.0,2102,2884,0.0
SN0,SHFE,d,2015-07-07 00:00:00,108500.0,109190.0,106800.0,107080.0,2356,2794,0.0
SN0,SHFE,d,2015-07-08 00:00:00,106000.0,106430.0,103710.0,103710.0,3868,2882,0.0
SN0,SHFE,d,2015-07-09 00:00:00,104670.0,110020.0,104010.0,107800.0,3426,2426,0.0
SN0,SHFE,d,2015-07-10 00:00:00,107000.0,108790.0,106500.0,107620.0,184,2664,0.0
SN0,SHFE,d,2015-07-13 00:00:00,107750.0,108500.0,106900.0,107550.0,2170,2586,0.0
SN0,SHFE,d,2015-07-14 00:00:00,108300.0,108500.0,105000.0,108500.0,24,2664,0.0
SN0,SHFE,d,2015-07-15 00:00:00,108500.0,108900.0,108100.0,108500.0,92,2664,0.0
SN0,SHFE,d,2015-07-16 00:00:00,108500.0,108900.0,108100.0,111110.0,0,2664,0.0
SN0,SHFE,d,2015-07-17 00:00:00,108500.0,108900.0,108100.0,110820.0,100,2664,0.0
SN0,SHFE,d,2015-07-20 00:00:00,108500.0,108900.0,108100.0,111920.0,0,2664,0.0
SN0,SHFE,d,2015-07-22 00:00:00,110780.0,111190.0,108560.0,108800.0,2200,2098,0.0
SN0,SHFE,d,2015-07-23 00:00:00,108250.0,108940.0,108060.0,108940.0,1550,2130,0.0
SN0,SHFE,d,2015-07-24 00:00:00,109200.0,109490.0,108120.0,108210.0,1462,2078,0.0
