symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
SP0,SHFE,d,2018-11-27 00:00:00,5828.0,5830.0,5382.0,5382.0,471124,78270,0.0
SP0,SHFE,d,2018-11-28 00:00:00,5300.0,5314.0,5142.0,5184.0,1027200,101512,0.0
SP0,SHFE,d,2018-11-29 00:00:00,5160.0,5294.0,5122.0,5188.0,985508,110832,0.0
SP0,SHFE,d,2018-11-30 00:00:00,5208.0,5220.0,5114.0,5148.0,897506,134838,0.0
SP0,SHFE,d,2018-12-03 00:00:00,5158.0,5262.0,4970.0,4978.0,1415500,207934,0.0
SP0,SHFE,d,2018-12-04 00:00:00,4978.0,5114.0,4978.0,5058.0,1129600,188012,0.0
SP0,SHFE,d,2018-12-05 00:00:00,5060.0,5158.0,5040.0,5140.0,1494300,166492,0.0
SP0,SHFE,d,2018-12-06 00:00:00,5150.0,5264.0,5128.0,5132.0,1621900,172558,0.0
SP0,SHFE,d,2018-12-07 00:00:00,5112.0,5208.0,5086.0,5138.0,1295000,175492,0.0
SP0,SHFE,d,2018-12-10 00:00:00,5150.0,5224.0,5136.0,5166.0,1094200,174892,0.0
SP0,SHFE,d,2018-12-11 00:00:00,5160.0,5198.0,5074.0,5094.0,1022100,178926,0.0
SP0,SHFE,d,2018-12-12 00:00:00,5112.0,5152.0,5104.0,5138.0,598704,160768,0.0
SP0,SHFE,d,2018-12-13 00:00:00,5146.0,5158.0,5094.0,5126.0,689936,148716,0.0
SP0,SHFE,d,2018-12-14 00:00:00,5120.0,5164.0,5104.0,5132.0,575672,141336,0.0
SP0,SHFE,d,2018-12-17 00:00:00,5110.0,5150.0,5108.0,5132.0,328890,142682,0.0
SP0,SHFE,d,2018-12-18 00:00:00,5134.0,5162.0,5112.0,5126.0,294500,144854,0.0
SP0,SHFE,d,2018-12-19 00:00:00,5124.0,5144.0,5032.0,5062.0,462610,154904,0.0
SP0,SHFE,d,2018-12-20 00:00:00,5068.0,5082.0,5044.0,5066.0,203714,147294,0.0
SP0,SHFE,d,2018-12-21 00:00:00,5072.0,5072.0,5028.0,5048.0,269864,148736,0.0
SP0,SHFE,d,2018-12-24 00:00:00,5042.0,5064.0,4960.0,4982.0,395298,180976,0.0
SP0,SHFE,d,2018-12-25 00:00:00,4982.0,5038.0,4966.0,5000.0,380598,159952,0.0
SP0,SHFE,d,2018-12-26 00:00:00,4996.0,5012.0,4916.0,4938.0,473358,171804,0.0
SP0,SHFE,d,2018-12-27 00:00:00,4950.0,4998.0,4940.0,4952.0,241750,155260,0.0
SP0,SHFE,d,2018-12-28 00:00:00,4944.0,5058.0,4938.0,5048.0,209158,135666,0.0
SP0,SHFE,d,2019-01-02 00:00:00,5044.0,5118.0,5010.0,5082.0,319740,162558,0.0
SP0,SHFE,d,2019-01-03 00:00:00,5072.0,5108.0,5060.0,5082.0,246184,155182,0.0
SP0,SHFE,d,2019-01-04 00:00:00,5084.0,5236.0,5072.0,5140.0,597336,145862,0.0
SP0,SHFE,d,2019-01-07 00:00:00,5152.0,5186.0,5114.0,5170.0,332738,137304,0.0
SP0,SHFE,d,2019-01-08 00:00:00,5172.0,5192.0,5138.0,5158.0,221650,135222,0.0
SP0,SHFE,d,2019-01-09 00:00:00,5160.0,5340.0,5156.0,5304.0,686342,151822,0.0
SP0,SHFE,d,2019-01-10 00:00:00,5306.0,5362.0,5260.0,5272.0,686384,145902,0.0
SP0,SHFE,d,2019-01-11 00:00:00,5272.0,5328.0,5252.0,5324.0,401620,146038,0.0
SP0,SHFE,d,2019-01-14 00:00:00,5320.0,5378.0,5280.0,5294.0,505772,142160,0.0
SP0,SHFE,d,2019-01-15 00:00:00,5300.0,5302.0,5214.0,5242.0,463412,139904,0.0
SP0,SHFE,d,2019-01-16 00:00:00,5242.0,5320.0,5232.0,5318.0,393780,137610,0.0
SP0,SHFE,d,2019-01-17 00:00:00,5310.0,5342.0,5284.0,5316.0,424606,145666,0.0
SP0,SHFE,d,2019-01-18 00:00:00,5308.0,5418.0,5260.0,5380.0,713180,145996,0.0
SP0,SHFE,d,2019-01-21 00:00:00,5386.0,5472.0,5372.0,5448.0,617074,146590,0.0
SP0,SHFE,d,2019-01-22 00:00:00,5436.0,5530.0,5416.0,5430.0,675002,139224,0.0
SP0,SHFE,d,2019-01-23 00:00:00,5428.0,5466.0,5402.0,5442.0,447592,142278,0.0
SP0,SHFE,d,2019-01-24 00:00:00,5446.0,5480.0,5364.0,5394.0,526860,143160,0.0
SP0,SHFE,d,2019-01-25 00:00:00,5382.0,5456.0,5358.0,5410.0,429936,130228,0.0
SP0,SHFE,d,2019-01-28 00:00:00,5406.0,5430.0,5316.0,5326.0,455592,132686,0.0
SP0,SHFE,d,2019-01-29 00:00:00,5320.0,5360.0,5308.0,5320.0,303530,128038,0.0
SP0,SHFE,d,2019-01-30 00:00:00,5330.0,5372.0,5310.0,5316.0,263144,115214,0.0
SP0,SHFE,d,2019-01-31 00:00:00,5322.0,5430.0,5280.0,5426.0,450268,106656,0.0
SP0,SHFE,d,2019-02-01 00:00:00,5416.0,5540.0,5410.0,5474.0,541372,83168,0.0
SP0,SHFE,d,2019-02-11 00:00:00,5468.0,5516.0,5392.0,5412.0,216126,90606,0.0
