symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
SS0,SHFE,d,2019-09-25 00:00:00,15090.0,15435.0,14980.0,15200.0,7784,1710,0.0
SS0,SHFE,d,2019-09-26 00:00:00,15565.0,15935.0,15550.0,15705.0,106728,19368,0.0
SS0,SHFE,d,2019-09-27 00:00:00,15715.0,15800.0,15580.0,15725.0,28334,15904,0.0
SS0,SHFE,d,2019-09-30 00:00:00,15735.0,15790.0,15635.0,15700.0,15514,14590,0.0
SS0,SHFE,d,2019-10-08 00:00:00,15630.0,15800.0,15545.0,15675.0,7400,14614,0.0
SS0,SHFE,d,2019-10-09 00:00:00,15630.0,15695.0,15630.0,15675.0,4898,14500,0.0
SS0,SHFE,d,2019-10-10 00:00:00,15685.0,15895.0,15600.0,15765.0,11566,15286,0.0
SS0,SHFE,d,2019-10-11 00:00:00,15800.0,15800.0,15705.0,15745.0,7914,14654,0.0
SS0,SHFE,d,2019-10-14 00:00:00,15775.0,15830.0,15735.0,15765.0,9842,14774,0.0
SS0,SHFE,d,2019-10-15 00:00:00,15735.0,15820.0,15165.0,15440.0,23070,14770,0.0
SS0,SHFE,d,2019-10-16 00:00:00,15405.0,15585.0,15405.0,15490.0,9800,14062,0.0
SS0,SHFE,d,2019-10-17 00:00:00,15465.0,15510.0,15115.0,15180.0,21976,14866,0.0
SS0,SHFE,d,2019-10-18 00:00:00,15175.0,15245.0,14790.0,15020.0,26950,16168,0.0
SS0,SHFE,d,2019-10-21 00:00:00,15180.0,15200.0,14680.0,14850.0,24926,17612,0.0
SS0,SHFE,d,2019-10-22 00:00:00,14850.0,14980.0,14770.0,14895.0,10304,18188,0.0
SS0,SHFE,d,2019-10-23 00:00:00,14940.0,15150.0,14840.0,14975.0,17532,17306,0.0
SS0,SHFE,d,2019-10-24 00:00:00,14975.0,15130.0,14940.0,15005.0,11796,17000,0.0
SS0,SHFE,d,2019-10-25 00:00:00,15060.0,15080.0,14815.0,14960.0,13594,17124,0.0
