symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
T0,CFFEX,d,2015-03-20 00:00:00,96.9,97.96,96.53,97.09,3332.0,817.0,323005.09
T0,CFFEX,d,2015-03-23 00:00:00,97.095,97.095,96.84,97.02,1386.0,1682.0,134432.91
T0,CFFEX,d,2015-03-24 00:00:00,97.135,97.22,96.875,96.92,1380.0,2102.0,133914.0
T0,CFFEX,d,2015-03-25 00:00:00,97.02,97.03,96.76,96.85,1234.0,2484.0,119573.68
T0,CFFEX,d,2015-03-26 00:00:00,96.835,96.89,96.37,96.37,1073.0,3014.0,103614.455
T0,CFFEX,d,2015-03-27 00:00:00,96.3,96.51,95.98,96.49,1792.0,3577.0,172559.72
T0,CFFEX,d,2015-03-30 00:00:00,96.065,96.4,96.0,96.16,1153.0,3869.0,110858.29
T0,CFFEX,d,2015-03-31 00:00:00,95.8,95.9,95.565,95.65,2327.0,4666.0,222681.59
T0,CFFEX,d,2015-04-01 00:00:00,95.66,96.095,95.655,96.095,673.0,4551.0,64562.6
T0,CFFEX,d,2015-04-02 00:00:00,96.3,96.425,96.2,96.32,1011.0,4613.0,97366.585
T0,CFFEX,d,2015-04-03 00:00:00,96.315,96.375,96.005,96.01,1099.0,5095.0,105745.555
T0,CFFEX,d,2015-04-07 00:00:00,96.005,96.31,95.8,95.93,831.0,5425.0,79814.44
T0,CFFEX,d,2015-04-08 00:00:00,96.0,96.1,95.13,95.16,2904.0,6620.0,277330.105
T0,CFFEX,d,2015-04-09 00:00:00,95.3,95.4,95.195,95.265,1389.0,7335.0,132350.86
T0,CFFEX,d,2015-04-10 00:00:00,95.35,95.415,95.17,95.19,1073.0,7739.0,102223.095
T0,CFFEX,d,2015-04-13 00:00:00,95.18,95.68,95.18,95.63,1895.0,8872.0,180966.41
T0,CFFEX,d,2015-04-14 00:00:00,95.7,96.0,95.53,95.57,1718.0,9475.0,164669.415
T0,CFFEX,d,2015-04-15 00:00:00,95.9,96.285,95.775,96.15,2148.0,9687.0,206154.845
T0,CFFEX,d,2015-04-16 00:00:00,96.735,96.735,95.86,96.18,1436.0,10198.0,138175.13
T0,CFFEX,d,2015-04-17 00:00:00,96.19,96.5,96.05,96.3,1613.0,10810.0,155172.0
T0,CFFEX,d,2015-04-20 00:00:00,97.1,97.275,96.67,97.25,3213.0,11137.0,311523.195
T0,CFFEX,d,2015-04-21 00:00:00,97.295,97.95,97.26,97.39,4962.0,12128.0,484311.86
T0,CFFEX,d,2015-04-22 00:00:00,97.4,97.615,97.31,97.42,2962.0,12669.0,288618.03
T0,CFFEX,d,2015-04-23 00:00:00,97.365,97.455,96.945,97.34,2288.0,13218.0,222439.09
T0,CFFEX,d,2015-04-24 00:00:00,97.22,97.255,96.82,97.03,2110.0,13506.0,204724.125
T0,CFFEX,d,2015-04-27 00:00:00,97.08,97.85,97.08,97.76,3257.0,14681.0,317737.565
T0,CFFEX,d,2015-04-28 00:00:00,97.6,97.84,97.58,97.74,1621.0,15058.0,158390.01
T0,CFFEX,d,2015-04-29 00:00:00,97.67,97.775,97.52,97.69,2235.0,16039.0,218295.48
T0,CFFEX,d,2015-04-30 00:00:00,97.695,98.1,97.695,97.955,3925.0,17454.0,384356.645
T0,CFFEX,d,2015-05-04 00:00:00,97.91,97.91,97.54,97.6,2688.0,17952.0,262539.155
T0,CFFEX,d,2015-05-05 00:00:00,97.51,97.675,97.485,97.505,3812.0,19543.0,371963.32
T0,CFFEX,d,2015-05-06 00:00:00,97.42,97.47,97.065,97.155,5874.0,21544.0,571354.305
T0,CFFEX,d,2015-05-07 00:00:00,97.145,97.37,97.095,97.2,3897.0,22735.0,378916.65
T0,CFFEX,d,2015-05-08 00:00:00,97.3,97.615,97.29,97.45,3756.0,23303.0,366040.005
T0,CFFEX,d,2015-05-11 00:00:00,97.41,97.5,96.5,97.32,4854.0,23226.0,471691.48
T0,CFFEX,d,2015-05-12 00:00:00,97.31,97.46,96.88,96.99,3199.0,23315.0,310945.605
T0,CFFEX,d,2015-05-13 00:00:00,97.02,97.35,96.965,97.225,4272.0,24375.0,415117.625
T0,CFFEX,d,2015-05-14 00:00:00,97.42,97.53,97.005,97.1,3794.0,25138.0,369295.1
T0,CFFEX,d,2015-05-15 00:00:00,97.15,97.345,97.125,97.185,2400.0,25022.0,233293.475
T0,CFFEX,d,2015-05-18 00:00:00,97.2,97.29,96.675,96.705,5051.0,25123.0,489649.55
T0,CFFEX,d,2015-05-19 00:00:00,96.695,96.84,96.475,96.56,3680.0,25012.0,355597.975
