symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
TA0,CZCE,d,2006-12-19 00:00:00,8860.0,8958.0,8806.0,8906.0,49070,7488,0.0
TA0,CZCE,d,2006-12-20 00:00:00,8944.0,8970.0,8906.0,8958.0,25586,8882,0.0
TA0,CZCE,d,2006-12-21 00:00:00,8940.0,8948.0,8884.0,8912.0,19414,8080,0.0
TA0,CZCE,d,2006-12-22 00:00:00,8904.0,8928.0,8824.0,8924.0,9954,7556,0.0
TA0,CZCE,d,2006-12-25 00:00:00,8918.0,9140.0,8912.0,9098.0,34790,12402,0.0
TA0,CZCE,d,2006-12-26 00:00:00,9120.0,9166.0,9062.0,9158.0,37246,12826,0.0
TA0,CZCE,d,2006-12-27 00:00:00,9082.0,9126.0,9008.0,9016.0,35680,14362,0.0
TA0,CZCE,d,2006-12-28 00:00:00,9000.0,8896.0,8850.0,8856.0,31982,14786,0.0
TA0,CZCE,d,2006-12-29 00:00:00,8850.0,8934.0,8780.0,8898.0,32032,11230,0.0
TA0,CZCE,d,2007-01-04 00:00:00,8690.0,8772.0,8530.0,8734.0,34012,12090,0.0
TA0,CZCE,d,2007-01-05 00:00:00,8660.0,8804.0,8612.0,8782.0,39672,14180,0.0
TA0,CZCE,d,2007-01-08 00:00:00,8806.0,8838.0,8738.0,8746.0,36112,13160,0.0
TA0,CZCE,d,2007-01-09 00:00:00,8726.0,8820.0,8714.0,8776.0,31030,14548,0.0
TA0,CZCE,d,2007-01-10 00:00:00,8790.0,8814.0,8740.0,8744.0,30790,13634,0.0
TA0,CZCE,d,2007-01-11 00:00:00,8690.0,8782.0,8690.0,8730.0,22192,12134,0.0
TA0,CZCE,d,2007-01-12 00:00:00,8720.0,8752.0,8646.0,8670.0,18030,12126,0.0
TA0,CZCE,d,2007-01-15 00:00:00,8720.0,8770.0,8680.0,8696.0,15790,12264,0.0
TA0,CZCE,d,2007-01-16 00:00:00,8700.0,8740.0,8616.0,8626.0,18982,12838,0.0
TA0,CZCE,d,2007-01-17 00:00:00,8584.0,8636.0,8472.0,8490.0,24356,15778,0.0
TA0,CZCE,d,2007-01-18 00:00:00,8530.0,8530.0,8356.0,8376.0,31146,17806,0.0
TA0,CZCE,d,2007-01-19 00:00:00,8344.0,8382.0,8254.0,8340.0,46434,16076,0.0
TA0,CZCE,d,2007-01-22 00:00:00,8370.0,8386.0,8102.0,8130.0,60500,23064,0.0
TA0,CZCE,d,2007-01-23 00:00:00,8060.0,8186.0,8056.0,8162.0,59258,19874,0.0
TA0,CZCE,d,2007-01-24 00:00:00,8220.0,8312.0,8180.0,8254.0,54764,16034,0.0
TA0,CZCE,d,2007-01-25 00:00:00,8258.0,8292.0,8214.0,8260.0,34288,16720,0.0
TA0,CZCE,d,2007-01-26 00:00:00,8252.0,8290.0,8232.0,8282.0,20720,15900,0.0
TA0,CZCE,d,2007-01-29 00:00:00,8306.0,8336.0,8200.0,8214.0,30214,17898,0.0
TA0,CZCE,d,2007-01-30 00:00:00,8170.0,8216.0,8112.0,8184.0,29624,19232,0.0
TA0,CZCE,d,2007-01-31 00:00:00,8280.0,8314.0,8238.0,8272.0,28588,19512,0.0
TA0,CZCE,d,2007-02-01 00:00:00,8280.0,8318.0,8266.0,8300.0,25678,19524,0.0
TA0,CZCE,d,2007-02-02 00:00:00,8280.0,8350.0,8198.0,8202.0,40384,18166,0.0
TA0,CZCE,d,2007-02-05 00:00:00,8250.0,8268.0,8156.0,8188.0,33256,18694,0.0
