symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
TF0,CFFEX,d,2015-01-05 00:00:00,96.77,96.85,96.312,96.718,8901.0,18302.0,859687.698
TF0,CFFEX,d,2015-01-06 00:00:00,96.65,96.72,96.44,96.536,4661.0,17919.0,449939.132
TF0,CFFEX,d,2015-01-07 00:00:00,96.582,96.854,96.542,96.588,5246.0,18024.0,507177.056
TF0,CFFEX,d,2015-01-08 00:00:00,96.586,96.792,96.586,96.68,4354.0,18305.0,420997.056
TF0,CFFEX,d,2015-01-09 00:00:00,96.744,96.786,96.4,96.684,6152.0,18057.0,594356.336
TF0,CFFEX,d,2015-01-12 00:00:00,96.6,96.74,96.48,96.7,3873.0,18138.0,374223.476
TF0,CFFEX,d,2015-01-13 00:00:00,96.736,97.134,96.736,97.084,6919.0,18403.0,670941.79
TF0,CFFEX,d,2015-01-14 00:00:00,97.1,97.3,97.032,97.178,7219.0,18100.0,701386.236
TF0,CFFEX,d,2015-01-15 00:00:00,97.222,97.448,96.95,97.11,6128.0,17796.0,595283.974
TF0,CFFEX,d,2015-01-16 00:00:00,97.26,97.512,97.098,97.45,7303.0,17836.0,711032.87
TF0,CFFEX,d,2015-01-19 00:00:00,97.5,97.7,97.282,97.342,7860.0,17041.0,766066.038
TF0,CFFEX,d,2015-01-20 00:00:00,97.3,97.578,97.052,97.51,6885.0,17372.0,670714.12
TF0,CFFEX,d,2015-01-21 00:00:00,97.498,97.59,97.352,97.448,5223.0,17103.0,509181.1
TF0,CFFEX,d,2015-01-22 00:00:00,97.52,97.738,97.472,97.688,6923.0,17124.0,676012.878
TF0,CFFEX,d,2015-01-23 00:00:00,97.852,97.88,97.56,97.608,4437.0,16640.0,433275.954
TF0,CFFEX,d,2015-01-26 00:00:00,97.61,97.818,97.49,97.8,4348.0,16166.0,424993.468
TF0,CFFEX,d,2015-01-27 00:00:00,97.9,97.95,97.536,97.564,6313.0,15851.0,617231.002
TF0,CFFEX,d,2015-01-28 00:00:00,97.41,97.598,97.314,97.598,6982.0,15264.0,680244.644
TF0,CFFEX,d,2015-01-29 00:00:00,97.598,97.598,97.246,97.246,4337.0,14822.0,422253.568
TF0,CFFEX,d,2015-01-30 00:00:00,97.2,97.4,97.188,97.298,4191.0,14207.0,407834.028
TF0,CFFEX,d,2015-02-02 00:00:00,97.302,97.7,97.248,97.692,6294.0,13443.0,613882.548
TF0,CFFEX,d,2015-02-03 00:00:00,97.686,97.818,97.542,97.716,4645.0,12533.0,453699.148
TF0,CFFEX,d,2015-02-04 00:00:00,98.23,98.29,98.138,98.196,3785.0,14925.0,371798.308
TF0,CFFEX,d,2015-02-05 00:00:00,98.5,98.522,98.118,98.132,5942.0,16536.0,583834.21
TF0,CFFEX,d,2015-02-06 00:00:00,98.14,98.336,98.132,98.284,5284.0,18677.0,519232.628
TF0,CFFEX,d,2015-02-09 00:00:00,98.3,98.384,98.286,98.33,3648.0,20042.0,358734.198
TF0,CFFEX,d,2015-02-10 00:00:00,98.36,98.526,98.34,98.514,8720.0,23716.0,858275.65
TF0,CFFEX,d,2015-02-11 00:00:00,98.506,98.964,98.506,98.96,12363.0,26190.0,1220979.238
TF0,CFFEX,d,2015-02-12 00:00:00,98.964,99.164,98.754,99.134,12215.0,27011.0,1209000.546
TF0,CFFEX,d,2015-02-13 00:00:00,99.12,99.314,98.956,99.17,8436.0,27273.0,836334.328
TF0,CFFEX,d,2015-02-16 00:00:00,99.166,99.246,99.002,99.19,4518.0,27500.0,447902.956
TF0,CFFEX,d,2015-02-17 00:00:00,99.288,99.494,99.186,99.39,6004.0,27692.0,596480.098
TF0,CFFEX,d,2015-02-25 00:00:00,99.428,99.498,99.25,99.392,6382.0,28990.0,634143.68
TF0,CFFEX,d,2015-02-26 00:00:00,99.37,99.37,98.96,99.15,8571.0,29420.0,849387.434
TF0,CFFEX,d,2015-02-27 00:00:00,99.102,99.216,98.962,99.12,5958.0,30165.0,590404.722
TF0,CFFEX,d,2015-03-02 00:00:00,99.27,99.27,98.664,98.808,10729.0,30080.0,1060540.922
TF0,CFFEX,d,2015-03-03 00:00:00,98.75,98.76,98.5,98.68,8895.0,30887.0,877387.544
TF0,CFFEX,d,2015-03-04 00:00:00,98.65,98.906,98.62,98.75,11417.0,32070.0,1127726.144
TF0,CFFEX,d,2015-03-05 00:00:00,98.7,98.758,98.31,98.392,12529.0,32849.0,1234408.728
TF0,CFFEX,d,2015-03-06 00:00:00,98.35,98.8,98.162,98.47,21453.0,33035.0,2112601.076
TF0,CFFEX,d,2015-03-09 00:00:00,98.47,98.548,97.95,98.54,29091.0,32743.0,2856417.272
TF0,CFFEX,d,2015-03-10 00:00:00,98.402,98.5,98.012,98.318,31895.0,33160.0,3136863.328
TF0,CFFEX,d,2015-03-11 00:00:00,98.4,99.0,98.328,98.568,27970.0,33484.0,2759815.664
TF0,CFFEX,d,2015-03-12 00:00:00,98.592,98.938,98.56,98.802,27334.0,34700.0,2699766.338
TF0,CFFEX,d,2015-03-13 00:00:00,98.762,98.78,98.18,98.27,45232.0,36208.0,4460999.286
TF0,CFFEX,d,2015-03-16 00:00:00,98.266,98.354,98.02,98.106,19394.0,36704.0,1903585.976
TF0,CFFEX,d,2015-03-17 00:00:00,98.105,98.425,97.955,98.32,21614.0,37546.0,2123321.185
TF0,CFFEX,d,2015-03-18 00:00:00,98.35,98.43,97.825,97.825,15921.0,37359.0,1562758.94
TF0,CFFEX,d,2015-03-19 00:00:00,97.995,98.1,97.845,98.035,10085.0,37673.0,987886.795
TF0,CFFEX,d,2015-03-20 00:00:00,98.16,98.295,98.06,98.17,6571.0,36678.0,644900.655
TF0,CFFEX,d,2015-03-23 00:00:00,98.17,98.175,97.92,97.99,7134.0,36104.0,699148.25
TF0,CFFEX,d,2015-03-24 00:00:00,98.065,98.26,97.84,97.94,10505.0,35649.0,1029987.24
TF0,CFFEX,d,2015-03-25 00:00:00,97.94,98.08,97.8,97.935,8731.0,36274.0,855142.755
TF0,CFFEX,d,2015-03-26 00:00:00,98.0,98.0,97.4,97.405,11789.0,35859.0,1151223.455
TF0,CFFEX,d,2015-03-27 00:00:00,97.3,97.695,97.065,97.655,16364.0,36466.0,1593054.1
TF0,CFFEX,d,2015-03-30 00:00:00,97.5,97.52,96.825,97.15,25907.0,36275.0,2519213.75
TF0,CFFEX,d,2015-03-31 00:00:00,96.9,97.095,96.67,96.9,15338.0,36650.0,1485403.68
TF0,CFFEX,d,2015-04-01 00:00:00,96.95,97.36,96.84,97.305,10124.0,36008.0,983381.585
TF0,CFFEX,d,2015-04-02 00:00:00,97.5,97.56,97.29,97.39,10754.0,35038.0,1047744.845
TF0,CFFEX,d,2015-04-03 00:00:00,97.45,97.48,96.96,97.0,10556.0,33774.0,1026100.22
TF0,CFFEX,d,2015-04-07 00:00:00,97.005,97.235,96.8,96.805,9466.0,33469.0,918100.43
TF0,CFFEX,d,2015-04-08 00:00:00,96.855,96.97,96.275,96.32,19257.0,33552.0,1860283.81
TF0,CFFEX,d,2015-04-09 00:00:00,96.45,96.595,96.32,96.55,10995.0,33835.0,1060640.54
TF0,CFFEX,d,2015-04-10 00:00:00,96.55,96.7,96.41,96.45,10779.0,34536.0,1040495.29
TF0,CFFEX,d,2015-04-13 00:00:00,96.39,96.955,96.38,96.905,12681.0,35487.0,1226900.72
TF0,CFFEX,d,2015-04-14 00:00:00,96.95,97.265,96.75,96.75,14390.0,35244.0,1396877.78
TF0,CFFEX,d,2015-04-15 00:00:00,97.0,97.365,96.85,97.175,20214.0,36027.0,1962465.725
TF0,CFFEX,d,2015-04-16 00:00:00,97.21,97.29,97.07,97.25,8535.0,36483.0,829470.0
TF0,CFFEX,d,2015-04-17 00:00:00,97.265,97.4,97.07,97.295,10115.0,36941.0,983262.005
TF0,CFFEX,d,2015-04-20 00:00:00,97.68,98.075,97.58,98.075,11620.0,36198.0,1136574.455
TF0,CFFEX,d,2015-04-21 00:00:00,98.13,98.43,98.01,98.09,13430.0,35175.0,1319115.475
TF0,CFFEX,d,2015-04-22 00:00:00,98.09,98.25,97.965,98.2,8135.0,35733.0,798223.64
TF0,CFFEX,d,2015-04-23 00:00:00,98.1,98.265,97.905,98.15,9187.0,35830.0,900993.77
TF0,CFFEX,d,2015-04-24 00:00:00,98.1,98.1,97.755,97.845,9344.0,36091.0,914709.065
TF0,CFFEX,d,2015-04-27 00:00:00,97.92,98.505,97.86,98.405,14143.0,36688.0,1389763.07
TF0,CFFEX,d,2015-04-28 00:00:00,98.35,98.49,98.26,98.38,7629.0,36564.0,750516.57
TF0,CFFEX,d,2015-04-29 00:00:00,98.345,98.41,98.205,98.39,6243.0,36976.0,613959.38
TF0,CFFEX,d,2015-04-30 00:00:00,98.43,98.62,98.4,98.46,8867.0,36819.0,873548.75
TF0,CFFEX,d,2015-05-04 00:00:00,98.425,98.425,98.11,98.145,6679.0,36131.0,655974.275
TF0,CFFEX,d,2015-05-05 00:00:00,98.075,98.21,97.95,98.015,8652.0,35338.0,848651.18
TF0,CFFEX,d,2015-05-06 00:00:00,97.95,97.97,97.27,97.29,15563.0,32191.0,1518824.16
TF0,CFFEX,d,2015-05-07 00:00:00,97.285,97.53,97.1,97.245,11536.0,28368.0,1122499.69
TF0,CFFEX,d,2015-05-08 00:00:00,97.265,97.66,97.265,97.63,7722.0,26299.0,753088.14
TF0,CFFEX,d,2015-05-11 00:00:00,98.415,98.415,97.0,97.665,9317.0,24706.0,908308.705
TF0,CFFEX,d,2015-05-12 00:00:00,97.66,97.875,97.19,97.42,10396.0,21938.0,1013783.475
TF0,CFFEX,d,2015-05-13 00:00:00,97.4,97.615,97.245,97.445,7423.0,19673.0,723484.61
TF0,CFFEX,d,2015-05-14 00:00:00,97.57,97.8,97.38,97.48,7454.0,18539.0,727738.885
TF0,CFFEX,d,2015-05-15 00:00:00,98.09,98.335,98.09,98.32,3061.0,18527.0,300739.05
TF0,CFFEX,d,2015-05-18 00:00:00,98.5,98.515,98.1,98.24,7129.0,20801.0,701028.01
TF0,CFFEX,d,2015-05-19 00:00:00,98.2,98.25,97.5,97.89,8627.0,22629.0,845735.485
TF0,CFFEX,d,2015-05-20 00:00:00,97.84,98.275,97.78,98.175,9075.0,24496.0,890607.785
TF0,CFFEX,d,2015-05-21 00:00:00,98.16,98.22,97.7,97.985,6573.0,24899.0,643784.79
TF0,CFFEX,d,2015-05-22 00:00:00,97.935,98.105,97.93,98.04,5965.0,25965.0,584728.505
TF0,CFFEX,d,2015-05-25 00:00:00,98.005,98.085,97.71,97.785,6383.0,27463.0,624436.055
TF0,CFFEX,d,2015-05-26 00:00:00,97.765,97.765,96.605,96.9,13450.0,27017.0,1307122.19
TF0,CFFEX,d,2015-05-27 00:00:00,96.93,97.185,96.67,96.835,9109.0,27311.0,882644.43
