symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
UR0,CZCE,d,2019-08-09 00:00:00,1745.0,1788.0,1702.0,1702.0,659400,78818,0.0
UR0,CZCE,d,2019-08-12 00:00:00,1690.0,1726.0,1679.0,1716.0,546572,93880,0.0
UR0,CZCE,d,2019-08-13 00:00:00,1705.0,1767.0,1702.0,1767.0,646106,130368,0.0
UR0,CZCE,d,2019-08-14 00:00:00,1770.0,1783.0,1716.0,1732.0,580890,91742,0.0
UR0,CZCE,d,2019-08-15 00:00:00,1738.0,1753.0,1724.0,1738.0,359014,91470,0.0
UR0,CZCE,d,2019-08-16 00:00:00,1737.0,1754.0,1732.0,1739.0,155558,85024,0.0
UR0,CZCE,d,2019-08-19 00:00:00,1743.0,1750.0,1730.0,1741.0,114896,82192,0.0
UR0,CZCE,d,2019-08-20 00:00:00,1741.0,1749.0,1736.0,1741.0,56548,75570,0.0
UR0,CZCE,d,2019-08-21 00:00:00,1738.0,1738.0,1706.0,1718.0,186728,72356,0.0
UR0,CZCE,d,2019-08-22 00:00:00,1722.0,1730.0,1718.0,1723.0,60066,66808,0.0
UR0,CZCE,d,2019-08-23 00:00:00,1725.0,1727.0,1714.0,1720.0,39686,66130,0.0
UR0,CZCE,d,2019-08-26 00:00:00,1715.0,1748.0,1712.0,1736.0,84092,63260,0.0
UR0,CZCE,d,2019-08-27 00:00:00,1734.0,1758.0,1731.0,1738.0,119160,64540,0.0
UR0,CZCE,d,2019-08-28 00:00:00,1744.0,1758.0,1738.0,1750.0,63824,65434,0.0
UR0,CZCE,d,2019-08-29 00:00:00,1749.0,1815.0,1749.0,1786.0,461238,88936,0.0
UR0,CZCE,d,2019-08-30 00:00:00,1795.0,1804.0,1781.0,1789.0,164404,88046,0.0
UR0,CZCE,d,2019-09-02 00:00:00,1793.0,1826.0,1781.0,1796.0,149628,94430,0.0
UR0,CZCE,d,2019-09-03 00:00:00,1798.0,1806.0,1785.0,1791.0,92794,92054,0.0
UR0,CZCE,d,2019-09-04 00:00:00,1796.0,1843.0,1793.0,1813.0,302950,97976,0.0
UR0,CZCE,d,2019-09-05 00:00:00,1814.0,1830.0,1807.0,1812.0,127216,92870,0.0
UR0,CZCE,d,2019-09-06 00:00:00,1815.0,1827.0,1810.0,1820.0,89434,93418,0.0
UR0,CZCE,d,2019-09-09 00:00:00,1832.0,1840.0,1817.0,1823.0,86552,96624,0.0
UR0,CZCE,d,2019-09-10 00:00:00,1826.0,1835.0,1803.0,1811.0,113858,91392,0.0
UR0,CZCE,d,2019-09-11 00:00:00,1811.0,1820.0,1808.0,1817.0,50736,86822,0.0
UR0,CZCE,d,2019-09-12 00:00:00,1818.0,1822.0,1811.0,1815.0,36434,83524,0.0
UR0,CZCE,d,2019-09-16 00:00:00,1819.0,1825.0,1775.0,1790.0,93312,75976,0.0
UR0,CZCE,d,2019-09-17 00:00:00,1791.0,1796.0,1778.0,1781.0,60294,70150,0.0
UR0,CZCE,d,2019-09-18 00:00:00,1782.0,1786.0,1764.0,1785.0,69102,65600,0.0
UR0,CZCE,d,2019-09-19 00:00:00,1784.0,1794.0,1774.0,1778.0,60948,68304,0.0
UR0,CZCE,d,2019-09-20 00:00:00,1780.0,1780.0,1752.0,1760.0,86986,71280,0.0
UR0,CZCE,d,2019-09-23 00:00:00,1764.0,1769.0,1756.0,1763.0,46354,74478,0.0
UR0,CZCE,d,2019-09-24 00:00:00,1764.0,1776.0,1759.0,1772.0,50838,69872,0.0
UR0,CZCE,d,2019-09-25 00:00:00,1774.0,1775.0,1754.0,1756.0,43502,74100,0.0
UR0,CZCE,d,2019-09-26 00:00:00,1757.0,1765.0,1744.0,1758.0,39750,70618,0.0
UR0,CZCE,d,2019-09-27 00:00:00,1751.0,1757.0,1747.0,1749.0,22444,65782,0.0
UR0,CZCE,d,2019-09-30 00:00:00,1754.0,1764.0,1749.0,1755.0,23764,63890,0.0
