symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
V0,DCE,d,2009-05-25 00:00:00,6575.0,6630.0,6435.0,6490.0,107764,12278,0.0
V0,DCE,d,2009-05-26 00:00:00,6485.0,6540.0,6445.0,6460.0,38290,10562,0.0
V0,DCE,d,2009-05-27 00:00:00,6500.0,6535.0,6460.0,6485.0,34002,10346,0.0
V0,DCE,d,2009-06-01 00:00:00,6555.0,6595.0,6520.0,6570.0,26178,10352,0.0
V0,DCE,d,2009-06-02 00:00:00,6590.0,6590.0,6545.0,6555.0,13496,9388,0.0
V0,DCE,d,2009-06-03 00:00:00,6565.0,6595.0,6550.0,6580.0,14680,9452,0.0
V0,DCE,d,2009-06-04 00:00:00,6620.0,6905.0,6605.0,6635.0,12580,6322,0.0
V0,DCE,d,2009-06-05 00:00:00,6590.0,6695.0,6575.0,6655.0,19864,10196,0.0
V0,DCE,d,2009-06-08 00:00:00,6650.0,6970.0,6620.0,6970.0,107348,34972,0.0
V0,DCE,d,2009-06-09 00:00:00,7020.0,7160.0,6910.0,7040.0,354866,47952,0.0
V0,DCE,d,2009-06-10 00:00:00,7120.0,7130.0,6955.0,6990.0,212152,38412,0.0
V0,DCE,d,2009-06-11 00:00:00,7025.0,7050.0,6930.0,6930.0,104918,38284,0.0
V0,DCE,d,2009-06-12 00:00:00,6955.0,6970.0,6790.0,6820.0,142654,39346,0.0
V0,DCE,d,2009-06-15 00:00:00,6800.0,6910.0,6755.0,6855.0,109950,41324,0.0
V0,DCE,d,2009-06-16 00:00:00,6805.0,6890.0,6800.0,6850.0,63206,38970,0.0
V0,DCE,d,2009-06-17 00:00:00,6830.0,6990.0,6800.0,6940.0,203342,48112,0.0
V0,DCE,d,2009-06-18 00:00:00,6965.0,7085.0,6910.0,6945.0,220516,51930,0.0
V0,DCE,d,2009-06-19 00:00:00,6970.0,7015.0,6890.0,6915.0,112430,49088,0.0
V0,DCE,d,2009-06-22 00:00:00,6850.0,6930.0,6815.0,6815.0,97436,48676,0.0
V0,DCE,d,2009-06-23 00:00:00,6755.0,6810.0,6715.0,6770.0,87904,44500,0.0
V0,DCE,d,2009-06-24 00:00:00,6795.0,6795.0,6715.0,6770.0,48840,42586,0.0
V0,DCE,d,2009-06-25 00:00:00,6770.0,6865.0,6750.0,6830.0,70950,44944,0.0
V0,DCE,d,2009-06-26 00:00:00,6880.0,6920.0,6825.0,6885.0,55012,41706,0.0
V0,DCE,d,2009-06-29 00:00:00,6865.0,6865.0,6770.0,6775.0,37896,41510,0.0
V0,DCE,d,2009-06-30 00:00:00,6820.0,6915.0,6800.0,6885.0,69850,45808,0.0
V0,DCE,d,2009-07-01 00:00:00,6855.0,6905.0,6820.0,6855.0,46090,44132,0.0
V0,DCE,d,2009-07-02 00:00:00,6830.0,6895.0,6815.0,6830.0,45880,41624,0.0
V0,DCE,d,2009-07-03 00:00:00,6800.0,6880.0,6770.0,6855.0,59916,40392,0.0
V0,DCE,d,2009-07-06 00:00:00,6850.0,6955.0,6840.0,6870.0,87866,40502,0.0
V0,DCE,d,2009-07-07 00:00:00,6890.0,6930.0,6880.0,6925.0,39946,41646,0.0
V0,DCE,d,2009-07-08 00:00:00,6890.0,6905.0,6845.0,6870.0,27928,35718,0.0
V0,DCE,d,2009-07-09 00:00:00,6840.0,6870.0,6815.0,6865.0,27212,36460,0.0
V0,DCE,d,2009-07-10 00:00:00,6880.0,6985.0,6865.0,6880.0,86988,38422,0.0
V0,DCE,d,2009-07-13 00:00:00,6905.0,6910.0,6840.0,6845.0,40486,36908,0.0
V0,DCE,d,2009-07-14 00:00:00,6870.0,6880.0,6840.0,6860.0,22902,38462,0.0
V0,DCE,d,2009-07-15 00:00:00,6870.0,6950.0,6850.0,6930.0,58720,46424,0.0
V0,DCE,d,2009-07-16 00:00:00,6955.0,7000.0,6890.0,6930.0,55580,47160,0.0
V0,DCE,d,2009-07-17 00:00:00,6945.0,7030.0,6930.0,7000.0,105350,60986,0.0
V0,DCE,d,2009-07-20 00:00:00,7030.0,7075.0,6990.0,7005.0,73896,62364,0.0
