symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
WH0,CZCE,d,2005-01-04 00:00:00,1665.0,1668.0,1659.0,1663.0,48868,61968,0.0
WH0,CZCE,d,2005-01-05 00:00:00,1628.0,1635.0,1612.0,1634.0,63652,117448,0.0
WH0,CZCE,d,2005-01-06 00:00:00,1635.0,1650.0,1633.0,1646.0,59740,117128,0.0
WH0,CZCE,d,2005-01-07 00:00:00,1650.0,1669.0,1647.0,1661.0,151982,115152,0.0
WH0,CZCE,d,2005-01-10 00:00:00,1661.0,1665.0,1652.0,1657.0,69370,115756,0.0
WH0,CZCE,d,2005-01-11 00:00:00,1658.0,1670.0,1655.0,1661.0,66456,114472,0.0
WH0,CZCE,d,2005-01-12 00:00:00,1658.0,1662.0,1653.0,1657.0,28242,111680,0.0
WH0,CZCE,d,2005-01-13 00:00:00,1688.0,1705.0,1687.0,1705.0,81130,75172,0.0
WH0,CZCE,d,2005-01-14 00:00:00,1709.0,1731.0,1709.0,1725.0,96668,78344,0.0
WH0,CZCE,d,2005-01-17 00:00:00,1717.0,1725.0,1707.0,1720.0,76734,74552,0.0
WH0,CZCE,d,2005-01-18 00:00:00,1720.0,1727.0,1716.0,1720.0,65580,78202,0.0
WH0,CZCE,d,2005-01-19 00:00:00,1717.0,1728.0,1709.0,1713.0,71290,78506,0.0
WH0,CZCE,d,2005-01-20 00:00:00,1717.0,1717.0,1698.0,1702.0,88556,82396,0.0
WH0,CZCE,d,2005-01-21 00:00:00,1700.0,1708.0,1692.0,1697.0,73564,84792,0.0
WH0,CZCE,d,2005-01-24 00:00:00,1696.0,1700.0,1684.0,1690.0,86200,85742,0.0
WH0,CZCE,d,2005-01-25 00:00:00,1690.0,1695.0,1667.0,1669.0,121162,84360,0.0
WH0,CZCE,d,2005-01-26 00:00:00,1673.0,1674.0,1664.0,1672.0,89266,86868,0.0
WH0,CZCE,d,2005-01-27 00:00:00,1670.0,1676.0,1666.0,1670.0,59404,89914,0.0
WH0,CZCE,d,2005-01-28 00:00:00,1665.0,1666.0,1660.0,1662.0,71542,86076,0.0
WH0,CZCE,d,2005-01-31 00:00:00,1662.0,1669.0,1659.0,1665.0,65228,84822,0.0
WH0,CZCE,d,2005-02-01 00:00:00,1666.0,1680.0,1662.0,1680.0,91420,96272,0.0
WH0,CZCE,d,2005-02-02 00:00:00,1674.0,1685.0,1670.0,1671.0,115856,99992,0.0
WH0,CZCE,d,2005-02-03 00:00:00,1669.0,1672.0,1647.0,1659.0,159446,94532,0.0
WH0,CZCE,d,2005-02-04 00:00:00,1658.0,1666.0,1655.0,1663.0,68774,97792,0.0
WH0,CZCE,d,2005-02-16 00:00:00,1678.0,1678.0,1658.0,1658.0,68898,95896,0.0
WH0,CZCE,d,2005-02-17 00:00:00,1654.0,1656.0,1642.0,1646.0,109458,103566,0.0
WH0,CZCE,d,2005-02-18 00:00:00,1657.0,1659.0,1646.0,1652.0,107010,106582,0.0
WH0,CZCE,d,2005-02-21 00:00:00,1650.0,1690.0,1647.0,1685.0,289370,113038,0.0
WH0,CZCE,d,2005-02-22 00:00:00,1686.0,1697.0,1681.0,1695.0,221020,101806,0.0
WH0,CZCE,d,2005-02-23 00:00:00,1708.0,1741.0,1706.0,1714.0,265178,87994,0.0
WH0,CZCE,d,2005-02-24 00:00:00,1721.0,1730.0,1714.0,1728.0,174254,96072,0.0
WH0,CZCE,d,2005-02-25 00:00:00,1719.0,1722.0,1697.0,1698.0,163458,88518,0.0
WH0,CZCE,d,2005-02-28 00:00:00,1723.0,1756.0,1723.0,1749.0,314554,100404,0.0
WH0,CZCE,d,2005-03-01 00:00:00,1766.0,1768.0,1728.0,1734.0,210640,98926,0.0
WH0,CZCE,d,2005-03-02 00:00:00,1728.0,1753.0,1717.0,1731.0,337094,108580,0.0
WH0,CZCE,d,2005-03-03 00:00:00,1732.0,1737.0,1710.0,1713.0,210214,103224,0.0
WH0,CZCE,d,2005-03-04 00:00:00,1714.0,1722.0,1688.0,1695.0,219602,91472,0.0
WH0,CZCE,d,2005-03-07 00:00:00,1698.0,1710.0,1692.0,1706.0,144682,96860,0.0
WH0,CZCE,d,2005-03-08 00:00:00,1695.0,1718.0,1688.0,1713.0,167090,97962,0.0
WH0,CZCE,d,2005-03-09 00:00:00,1721.0,1733.0,1718.0,1723.0,156886,94544,0.0
WH0,CZCE,d,2005-03-10 00:00:00,1728.0,1733.0,1722.0,1725.0,116754,93298,0.0
WH0,CZCE,d,2005-03-11 00:00:00,1730.0,1740.0,1709.0,1717.0,119242,85474,0.0
WH0,CZCE,d,2005-03-14 00:00:00,1762.0,1768.0,1735.0,1745.0,205164,94378,0.0
WH0,CZCE,d,2005-03-15 00:00:00,1740.0,1755.0,1731.0,1741.0,167742,98048,0.0
WH0,CZCE,d,2005-03-16 00:00:00,1755.0,1796.0,1749.0,1796.0,237302,112898,0.0
WH0,CZCE,d,2005-03-17 00:00:00,1785.0,1805.0,1780.0,1788.0,202442,119680,0.0
WH0,CZCE,d,2005-03-18 00:00:00,1795.0,1817.0,1739.0,1753.0,351508,96868,0.0
WH0,CZCE,d,2005-03-21 00:00:00,1750.0,1761.0,1741.0,1751.0,157002,91826,0.0
WH0,CZCE,d,2005-03-22 00:00:00,1731.0,1745.0,1720.0,1739.0,91194,81302,0.0
WH0,CZCE,d,2005-03-23 00:00:00,1738.0,1746.0,1716.0,1719.0,141024,84066,0.0
WH0,CZCE,d,2005-03-24 00:00:00,1722.0,1727.0,1709.0,1727.0,80986,90340,0.0
WH0,CZCE,d,2005-03-25 00:00:00,1730.0,1740.0,1728.0,1732.0,70108,91290,0.0
WH0,CZCE,d,2005-03-28 00:00:00,1730.0,1737.0,1715.0,1716.0,72114,87556,0.0
WH0,CZCE,d,2005-03-29 00:00:00,1716.0,1728.0,1714.0,1725.0,52286,88122,0.0
WH0,CZCE,d,2005-03-30 00:00:00,1722.0,1737.0,1722.0,1725.0,82194,86122,0.0
WH0,CZCE,d,2005-03-31 00:00:00,1730.0,1751.0,1730.0,1747.0,108856,94988,0.0
WH0,CZCE,d,2005-04-01 00:00:00,1729.0,1735.0,1724.0,1732.0,63622,91006,0.0
WH0,CZCE,d,2005-04-04 00:00:00,1719.0,1730.0,1711.0,1717.0,34798,90856,0.0
WH0,CZCE,d,2005-04-05 00:00:00,1715.0,1721.0,1705.0,1709.0,61604,86072,0.0
WH0,CZCE,d,2005-04-06 00:00:00,1734.0,1741.0,1726.0,1739.0,52414,75384,0.0
