symbol,exchange,interval,datetime,open,high,low,close,volume,open_interest,turnover
ZN0,SHFE,d,2007-03-26 00:00:00,28600.0,29600.0,28580.0,29220.0,16786,4640,0.0
ZN0,SHFE,d,2007-03-27 00:00:00,29550.0,29745.0,29500.0,29725.0,16046,6346,0.0
ZN0,SHFE,d,2007-03-28 00:00:00,29495.0,29700.0,29420.0,29565.0,8506,7048,0.0
ZN0,SHFE,d,2007-03-29 00:00:00,29510.0,29560.0,29010.0,29020.0,8694,8004,0.0
ZN0,SHFE,d,2007-03-30 00:00:00,29430.0,29500.0,29180.0,29380.0,13756,9180,0.0
ZN0,SHFE,d,2007-04-02 00:00:00,29390.0,29445.0,29250.0,29290.0,5902,9486,0.0
ZN0,SHFE,d,2007-04-03 00:00:00,28935.0,28980.0,28660.0,28780.0,11610,10368,0.0
ZN0,SHFE,d,2007-04-04 00:00:00,29250.0,29260.0,28980.0,28985.0,8848,10798,0.0
ZN0,SHFE,d,2007-04-05 00:00:00,29700.0,30245.0,29540.0,30245.0,18584,13378,0.0
ZN0,SHFE,d,2007-04-06 00:00:00,30245.0,31515.0,30105.0,31390.0,61548,17190,0.0
ZN0,SHFE,d,2007-04-09 00:00:00,31550.0,32195.0,31550.0,32195.0,32744,19134,0.0
ZN0,SHFE,d,2007-04-10 00:00:00,32850.0,33865.0,31980.0,32740.0,128462,24976,0.0
ZN0,SHFE,d,2007-04-11 00:00:00,32800.0,32990.0,32020.0,32400.0,115844,26594,0.0
ZN0,SHFE,d,2007-04-12 00:00:00,32535.0,33220.0,32370.0,32940.0,112858,30110,0.0
ZN0,SHFE,d,2007-04-13 00:00:00,32000.0,32265.0,31600.0,31720.0,58412,26694,0.0
ZN0,SHFE,d,2007-04-16 00:00:00,32055.0,32360.0,31860.0,32240.0,57966,28426,0.0
ZN0,SHFE,d,2007-04-17 00:00:00,32100.0,32640.0,31855.0,32160.0,75052,29702,0.0
ZN0,SHFE,d,2007-04-18 00:00:00,33590.0,33590.0,33400.0,33590.0,23606,27472,0.0
ZN0,SHFE,d,2007-04-19 00:00:00,33790.0,34030.0,31560.0,32790.0,142760,29138,0.0
ZN0,SHFE,d,2007-04-20 00:00:00,33000.0,33100.0,31990.0,32950.0,127544,28842,0.0
ZN0,SHFE,d,2007-04-23 00:00:00,33000.0,33630.0,31990.0,33600.0,34288,32386,0.0
ZN0,SHFE,d,2007-04-24 00:00:00,33980.0,34100.0,33460.0,34065.0,100956,34950,0.0
ZN0,SHFE,d,2007-04-25 00:00:00,33335.0,33480.0,32860.0,33070.0,124430,33030,0.0
ZN0,SHFE,d,2007-04-26 00:00:00,33365.0,33500.0,33120.0,33305.0,67122,34488,0.0
ZN0,SHFE,d,2007-04-27 00:00:00,32500.0,32700.0,32160.0,32270.0,72398,31408,0.0
ZN0,SHFE,d,2007-04-30 00:00:00,32310.0,32775.0,32120.0,32700.0,50030,28588,0.0
ZN0,SHFE,d,2007-05-08 00:00:00,33705.0,33705.0,33705.0,33705.0,584,28310,0.0
ZN0,SHFE,d,2007-05-09 00:00:00,35590.0,35590.0,34500.0,34555.0,96548,34890,0.0
ZN0,SHFE,d,2007-05-10 00:00:00,34190.0,34745.0,34105.0,34710.0,107616,38946,0.0
ZN0,SHFE,d,2007-05-11 00:00:00,33800.0,34000.0,33205.0,33330.0,85600,34698,0.0
ZN0,SHFE,d,2007-05-14 00:00:00,33860.0,33900.0,33330.0,33410.0,71204,34302,0.0
ZN0,SHFE,d,2007-05-15 00:00:00,32600.0,32630.0,32255.0,32255.0,55048,30324,0.0
ZN0,SHFE,d,2007-05-16 00:00:00,32300.0,32530.0,31435.0,31830.0,88234,29566,0.0
ZN0,SHFE,d,2007-05-17 00:00:00,30525.0,31015.0,30520.0,30520.0,57508,25270,0.0
ZN0,SHFE,d,2007-05-18 00:00:00,29720.0,30140.0,28900.0,29355.0,128688,23178,0.0
ZN0,SHFE,d,2007-05-21 00:00:00,29545.0,30725.0,29545.0,30725.0,51496,20958,0.0
ZN0,SHFE,d,2007-05-22 00:00:00,31350.0,32000.0,30565.0,30900.0,127892,23372,0.0
ZN0,SHFE,d,2007-05-23 00:00:00,30110.0,30350.0,29920.0,30130.0,64856,22962,0.0
ZN0,SHFE,d,2007-05-24 00:00:00,29910.0,30600.0,29910.0,30585.0,82826,25334,0.0
ZN0,SHFE,d,2007-05-25 00:00:00,29310.0,29880.0,29310.0,29800.0,53938,21868,0.0
ZN0,SHFE,d,2007-05-28 00:00:00,30650.0,30650.0,30650.0,30650.0,1540,20584,0.0
ZN0,SHFE,d,2007-05-29 00:00:00,31200.0,31200.0,30120.0,30245.0,54810,21398,0.0
ZN0,SHFE,d,2007-05-30 00:00:00,30200.0,30655.0,30005.0,30125.0,65978,19852,0.0
ZN0,SHFE,d,2007-05-31 00:00:00,30365.0,30780.0,30295.0,30705.0,45712,20916,0.0
ZN0,SHFE,d,2007-06-01 00:00:00,31010.0,31095.0,30490.0,30590.0,40076,18400,0.0
ZN0,SHFE,d,2007-06-04 00:00:00,30900.0,30965.0,30400.0,30400.0,28452,12516,0.0
ZN0,SHFE,d,2007-06-05 00:00:00,30980.0,31010.0,30730.0,30900.0,45616,16190,0.0
ZN0,SHFE,d,2007-06-06 00:00:00,30600.0,30850.0,30535.0,30675.0,30910,16090,0.0
ZN0,SHFE,d,2007-06-07 00:00:00,30300.0,30485.0,30010.0,30140.0,37566,16450,0.0
ZN0,SHFE,d,2007-06-08 00:00:00,30100.0,30250.0,29780.0,29925.0,31964,17286,0.0
ZN0,SHFE,d,2007-06-11 00:00:00,30010.0,30280.0,29730.0,30270.0,49936,20506,0.0
ZN0,SHFE,d,2007-06-12 00:00:00,30490.0,30530.0,29960.0,29980.0,35568,18604,0.0
ZN0,SHFE,d,2007-06-13 00:00:00,29900.0,30050.0,29780.0,29965.0,20366,17534,0.0
ZN0,SHFE,d,2007-06-14 00:00:00,30010.0,30045.0,29730.0,29780.0,17254,18774,0.0
ZN0,SHFE,d,2007-06-15 00:00:00,29850.0,29900.0,28820.0,28870.0,45988,18144,0.0
ZN0,SHFE,d,2007-06-18 00:00:00,29080.0,29360.0,28785.0,29280.0,47068,19464,0.0
ZN0,SHFE,d,2007-06-19 00:00:00,28980.0,28980.0,28615.0,28750.0,34306,18318,0.0
ZN0,SHFE,d,2007-06-20 00:00:00,28610.0,29050.0,28580.0,28905.0,36328,18372,0.0
ZN0,SHFE,d,2007-06-21 00:00:00,28805.0,28880.0,28680.0,28810.0,20252,18108,0.0
ZN0,SHFE,d,2007-06-22 00:00:00,28480.0,28490.0,28110.0,28160.0,38262,19238,0.0
ZN0,SHFE,d,2007-06-25 00:00:00,28205.0,28220.0,27090.0,27090.0,49488,22062,0.0
ZN0,SHFE,d,2007-06-26 00:00:00,27270.0,27290.0,26445.0,26455.0,82268,20938,0.0
ZN0,SHFE,d,2007-06-27 00:00:00,26000.0,26000.0,25625.0,25625.0,29532,14884,0.0
ZN0,SHFE,d,2007-06-28 00:00:00,25410.0,26620.0,25410.0,26575.0,147990,21990,0.0
ZN0,SHFE,d,2007-06-29 00:00:00,26565.0,27015.0,25850.0,26695.0,233410,26708,0.0
ZN0,SHFE,d,2007-07-02 00:00:00,26415.0,26750.0,26165.0,26620.0,162866,28050,0.0
ZN0,SHFE,d,2007-07-03 00:00:00,27100.0,27535.0,27000.0,27535.0,116604,28214,0.0
ZN0,SHFE,d,2007-07-04 00:00:00,27255.0,27440.0,26605.0,26655.0,188006,33972,0.0
ZN0,SHFE,d,2007-07-05 00:00:00,26900.0,27000.0,26510.0,26670.0,158864,34226,0.0
ZN0,SHFE,d,2007-07-06 00:00:00,26555.0,26580.0,26150.0,26250.0,115788,36054,0.0
ZN0,SHFE,d,2007-07-09 00:00:00,26325.0,27070.0,26320.0,26985.0,114630,33038,0.0
ZN0,SHFE,d,2007-07-10 00:00:00,26810.0,26885.0,26520.0,26565.0,117976,35138,0.0
ZN0,SHFE,d,2007-07-11 00:00:00,26510.0,26510.0,26215.0,26360.0,90986,34896,0.0
ZN0,SHFE,d,2007-07-12 00:00:00,26880.0,26955.0,26560.0,26940.0,81722,30630,0.0
ZN0,SHFE,d,2007-07-13 00:00:00,27000.0,27325.0,26830.0,27210.0,81766,30072,0.0
ZN0,SHFE,d,2007-07-16 00:00:00,27000.0,27325.0,26830.0,27210.0,81766,30072,0.0
ZN0,SHFE,d,2007-07-18 00:00:00,27000.0,27450.0,26830.0,27340.0,74262,34482,0.0
ZN0,SHFE,d,2007-07-19 00:00:00,27340.0,27535.0,27250.0,27400.0,68300,34002,0.0
ZN0,SHFE,d,2007-07-20 00:00:00,27810.0,28470.0,27810.0,28470.0,79684,30838,0.0
ZN0,SHFE,d,2007-07-23 00:00:00,28820.0,29880.0,28780.0,29230.0,140614,31298,0.0
ZN0,SHFE,d,2007-07-24 00:00:00,28950.0,29030.0,28470.0,28530.0,144676,27326,0.0
ZN0,SHFE,d,2007-07-25 00:00:00,28600.0,28970.0,28600.0,28900.0,101582,28498,0.0
ZN0,SHFE,d,2007-07-26 00:00:00,28400.0,29195.0,28280.0,29120.0,116282,25746,0.0
ZN0,SHFE,d,2007-07-27 00:00:00,28310.0,28815.0,28120.0,28275.0,128304,23080,0.0
ZN0,SHFE,d,2007-07-30 00:00:00,28300.0,28600.0,28255.0,28425.0,66614,20584,0.0
ZN0,SHFE,d,2007-07-31 00:00:00,28630.0,28880.0,28620.0,28790.0,35590,17886,0.0
ZN0,SHFE,d,2007-08-01 00:00:00,29010.0,29100.0,28100.0,28110.0,72612,22262,0.0
ZN0,SHFE,d,2007-08-02 00:00:00,28450.0,28495.0,28040.0,28395.0,89268,23586,0.0
ZN0,SHFE,d,2007-08-03 00:00:00,28250.0,28400.0,28150.0,28350.0,48774,24716,0.0
ZN0,SHFE,d,2007-08-06 00:00:00,27350.0,27660.0,27350.0,27470.0,58146,27880,0.0
ZN0,SHFE,d,2007-08-07 00:00:00,27960.0,27960.0,27600.0,27685.0,32880,29646,0.0
ZN0,SHFE,d,2007-08-08 00:00:00,27960.0,28030.0,27710.0,27820.0,51332,30218,0.0
ZN0,SHFE,d,2007-08-09 00:00:00,27860.0,28390.0,27805.0,28390.0,72066,30324,0.0
ZN0,SHFE,d,2007-08-10 00:00:00,27950.0,28155.0,27780.0,27965.0,82838,31452,0.0
ZN0,SHFE,d,2007-08-13 00:00:00,28160.0,28215.0,28000.0,28120.0,43826,32806,0.0
ZN0,SHFE,d,2007-08-14 00:00:00,28150.0,28170.0,27905.0,28010.0,32946,33438,0.0
ZN0,SHFE,d,2007-08-15 00:00:00,27710.0,27780.0,27630.0,27750.0,26888,34384,0.0
ZN0,SHFE,d,2007-08-16 00:00:00,27610.0,27875.0,26700.0,27100.0,101264,36448,0.0
ZN0,SHFE,d,2007-08-17 00:00:00,26120.0,26280.0,26120.0,26120.0,24842,36480,0.0
ZN0,SHFE,d,2007-08-20 00:00:00,26120.0,27080.0,26120.0,27040.0,53012,39982,0.0
ZN0,SHFE,d,2007-08-21 00:00:00,26790.0,26975.0,26555.0,26770.0,75180,37348,0.0
ZN0,SHFE,d,2007-08-22 00:00:00,26700.0,26890.0,26485.0,26800.0,56846,35012,0.0
ZN0,SHFE,d,2007-08-23 00:00:00,27490.0,27650.0,27320.0,27600.0,49946,30928,0.0
ZN0,SHFE,d,2007-08-24 00:00:00,27605.0,27610.0,27210.0,27240.0,40276,29852,0.0
ZN0,SHFE,d,2007-08-27 00:00:00,27385.0,27630.0,27290.0,27420.0,43442,20322,0.0
ZN0,SHFE,d,2007-08-28 00:00:00,27310.0,27470.0,27070.0,27135.0,42536,24092,0.0
ZN0,SHFE,d,2007-08-29 00:00:00,26700.0,27000.0,26610.0,26915.0,48196,26568,0.0
ZN0,SHFE,d,2007-08-30 00:00:00,27175.0,27410.0,27160.0,27300.0,46192,28590,0.0
ZN0,SHFE,d,2007-08-31 00:00:00,27300.0,27505.0,27110.0,27500.0,60118,32910,0.0
ZN0,SHFE,d,2007-09-03 00:00:00,27700.0,27780.0,27425.0,27450.0,53458,34042,0.0
ZN0,SHFE,d,2007-09-04 00:00:00,27255.0,27670.0,27215.0,27510.0,60116,37106,0.0
ZN0,SHFE,d,2007-09-05 00:00:00,27355.0,27500.0,26920.0,27130.0,98352,44994,0.0
ZN0,SHFE,d,2007-09-06 00:00:00,26680.0,26780.0,26305.0,26380.0,105754,60732,0.0
ZN0,SHFE,d,2007-09-07 00:00:00,26520.0,26635.0,26395.0,26405.0,66740,66084,0.0
ZN0,SHFE,d,2007-09-10 00:00:00,26000.0,26090.0,25570.0,25580.0,68966,73392,0.0
ZN0,SHFE,d,2007-09-11 00:00:00,25280.0,26010.0,25200.0,25870.0,138166,79846,0.0
ZN0,SHFE,d,2007-09-12 00:00:00,26300.0,26300.0,25705.0,25740.0,111454,80306,0.0
ZN0,SHFE,d,2007-09-13 00:00:00,25900.0,25950.0,25630.0,25670.0,67536,79946,0.0
ZN0,SHFE,d,2007-09-14 00:00:00,26100.0,26100.0,25825.0,26065.0,81586,75306,0.0
ZN0,SHFE,d,2007-09-17 00:00:00,26000.0,26480.0,25950.0,26435.0,72996,72360,0.0
ZN0,SHFE,d,2007-09-18 00:00:00,26100.0,26380.0,26050.0,26125.0,75486,71608,0.0
ZN0,SHFE,d,2007-09-19 00:00:00,26650.0,26780.0,26420.0,26695.0,74360,61040,0.0
ZN0,SHFE,d,2007-09-20 00:00:00,26800.0,27080.0,26695.0,26820.0,52644,55646,0.0
ZN0,SHFE,d,2007-09-21 00:00:00,26455.0,26510.0,26210.0,26410.0,45826,37560,0.0
ZN0,SHFE,d,2007-09-24 00:00:00,26360.0,26545.0,26305.0,26470.0,44292,41676,0.0
