symbol,exchange,name,rows,start_datetime,end_datetime,file_path
AP0,CZCE,苹果连续,1997,2017-12-22 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/AP0.csv
CF0,CZCE,棉花连续,5164,2005-01-04 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/CF0.csv
CJ0,CZCE,红枣连续,1673,2019-05-06 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/CJ0.csv
CY0,CZCE,棉纱连续,2051,2017-08-23 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/CY0.csv
FG0,CZCE,玻璃连续,3223,2012-12-03 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/FG0.csv
JR0,CZCE,粳稻连续,1194,2013-11-18 00:00:00,2022-12-30 00:00:00,./vnpy_futures_csv/JR0.csv
LR0,CZCE,晚籼稻连续,939,2014-07-08 00:00:00,2022-06-29 00:00:00,./vnpy_futures_csv/LR0.csv
MA0,CZCE,甲醇连续,2727,2014-12-24 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/MA0.csv
OI0,CZCE,菜油连续,4567,2007-06-08 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/OI0.csv
PF0,CZCE,短纤连续,1325,2020-10-12 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/PF0.csv
PK0,CZCE,花生连续,1246,2021-02-01 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/PK0.csv
PL0,CZCE,丙烯连续,165,2025-07-22 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/PL0.csv
PR0,CZCE,瓶片连续,378,2024-08-30 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/PR0.csv
PX0,CZCE,对二甲苯连续,609,2023-09-15 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/PX0.csv
RI0,CZCE,早籼稻连续,2430,2009-04-20 00:00:00,2022-06-30 00:00:00,./vnpy_futures_csv/RI0.csv
RM0,CZCE,菜粕连续,3209,2012-12-28 00:00:00,2026-03-27 00:00:00,./vnpy_futures_csv/RM0.csv
