symbol,exchange,name
AP0,CZCE,苹果连续
CF0,CZCE,棉花连续
CJ0,CZCE,红枣连续
CY0,CZCE,棉纱连续
FG0,CZCE,玻璃连续
JR0,CZCE,粳稻连续
LR0,CZCE,晚籼稻连续
MA0,CZCE,甲醇连续
OI0,CZCE,菜油连续
PF0,CZCE,短纤连续
PK0,CZCE,花生连续
PL0,CZCE,丙烯连续
PR0,CZCE,瓶片连续
PX0,CZCE,对二甲苯连续
RI0,CZCE,早籼稻连续
RM0,CZCE,菜粕连续
RS0,CZCE,菜籽连续
SA0,CZCE,纯碱连续
SF0,CZCE,硅铁连续
SH0,CZCE,烧碱连续
SM0,CZCE,锰硅连续
SR0,CZCE,白糖连续
TA0,CZCE,PTA连续
UR0,CZCE,尿素连续
WH0,CZCE,强麦连续
A0,DCE,豆一连续
B0,DCE,豆二连续
BZ0,DCE,纯苯连续
C0,DCE,玉米连续
CS0,DCE,淀粉连续
EB0,DCE,苯乙烯连续
EG0,DCE,乙二醇连续
FB0,DCE,纤维板连续
I0,DCE,铁矿石连续
J0,DCE,焦炭连续
JD0,DCE,鸡蛋连续
JM0,DCE,焦煤连续
L0,DCE,塑料连续
LG0,DCE,原木连续
LH0,DCE,生猪连续
M0,DCE,豆粕连续
P0,DCE,棕榈油连续
PG0,DCE,液化石油气连续
PP0,DCE,聚丙烯连续
RR0,DCE,粳米连续
V0,DCE,PVC连续
Y0,DCE,豆油连续
BC0,INE,国际铜连续
EC0,INE,集运指数欧线期货连续
LU0,INE,低硫燃料油连续
NR0,INE,20号胶连续
SC0,INE,上海原油连续
AD0,SHFE,铸造铝合金连续
AG0,SHFE,白银连续
AL0,SHFE,铝连续
AO0,SHFE,氧化铝连续
AU0,SHFE,黄金连续
BR0,SHFE,丁二烯橡胶连续
BU0,SHFE,沥青连续
CU0,SHFE,铜连续
FU0,SHFE,燃料油连续
HC0,SHFE,热轧卷板连续
NI0,SHFE,镍连续
OP0,SHFE,胶版印刷纸连续
PB0,SHFE,铅连续
RB0,SHFE,螺纹钢连续
RU0,SHFE,天然橡胶连续
SN0,SHFE,锡连续
SP0,SHFE,纸浆连续
SS0,SHFE,不锈钢连续
ZN0,SHFE,沪锌连续
