symbol,exchange,status
RB0,SHFE,empty
HC0,SHFE,empty
I0,DCE,empty
JM0,DCE,empty
J0,DCE,empty
M0,DCE,empty
P0,DCE,empty
Y0,DCE,empty
OI0,CZCE,empty
MA0,CZCE,empty
TA0,CZCE,empty
EG0,DCE,empty
PP0,DCE,empty
L0,DCE,empty
V0,DCE,empty
CU0,SHFE,empty
AL0,SHFE,empty
ZN0,SHFE,empty
AU0,SHFE,empty
AG0,SHFE,empty
FU0,SHFE,empty
BU0,SHFE,empty
SC0,INE,empty
LU0,INE,empty
RU0,SHFE,empty
BR0,SHFE,empty
NR0,INE,empty
CF0,CZCE,empty
SR0,CZCE,empty
C0,DCE,empty
CS0,DCE,empty
A0,DCE,empty
B0,DCE,empty
RM0,CZCE,empty
PG0,DCE,empty
EB0,DCE,empty
FG0,CZCE,empty
SA0,CZCE,empty
SH0,CZCE,empty
UR0,CZCE,empty
PX0,CZCE,empty
PF0,CZCE,empty
PK0,CZCE,empty
AO0,SHFE,empty
SS0,SHFE,empty
SP0,SHFE,empty
BC0,INE,empty
CJ0,CZCE,empty
AP0,CZCE,empty
JD0,DCE,empty
LH0,DCE,empty
SN0,SHFE,empty
NI0,SHFE,empty
PB0,SHFE,empty
SF0,CZCE,empty
SM0,CZCE,empty
BZ0,DCE,empty
PL0,CZCE,empty
PR0,CZCE,empty
CY0,CZCE,empty
RS0,CZCE,empty
RR0,DCE,empty
LG0,DCE,empty
OP0,SHFE,empty
AD0,SHFE,empty
FB0,DCE,empty
JR0,CZCE,empty
LR0,CZCE,empty
RI0,CZCE,empty
WH0,CZCE,empty
EC0,INE,empty
