symbol,interval,trade_filter_prob,split,signal_type,window_id,cluster_name
AL0,day,0.6652106992731348,train,atr_breakout,0,metal
ZN0,day,0.755657628653457,train,atr_breakout,0,metal
CU0,day,0.6946980663203609,train,atr_breakout,0,metal
CU0,day,0.35447067704407886,train,atr_breakout,0,metal
CU0,day,0.2322497807182497,train,atr_breakout,0,metal
CU0,day,0.31931684048389875,train,atr_breakout,0,metal
CU0,day,0.20830645609122117,train,atr_breakout,0,metal
AL0,day,0.7084715373512451,train,atr_breakout,0,metal
CU0,day,0.38522953198797744,train,atr_breakout,0,metal
AL0,day,0.6420397330623044,train,atr_breakout,0,metal
ZN0,day,0.6911050747989749,train,atr_breakout,0,metal
CU0,day,0.679439771646511,train,atr_breakout,0,metal
AL0,day,0.7362744918878001,train,atr_breakout,0,metal
ZN0,day,0.5161362607175514,train,atr_breakout,0,metal
ZN0,day,0.5889515392328446,train,atr_breakout,0,metal
CU0,day,0.809973940739023,train,atr_breakout,0,metal
AL0,day,0.3514706443221277,train,atr_breakout,0,metal
CU0,day,0.5965411107431322,train,atr_breakout,0,metal
ZN0,day,0.4108351476804016,train,atr_breakout,0,metal
ZN0,day,0.6987469909447952,train,atr_breakout,0,metal
CU0,day,0.8170223780749628,train,atr_breakout,0,metal
AL0,day,0.692587684644688,train,atr_breakout,0,metal
AL0,day,0.3312016887632013,train,atr_breakout,0,metal
ZN0,day,0.34385551877897863,train,atr_breakout,0,metal
CU0,day,0.20860706576689197,train,atr_breakout,0,metal
AL0,day,0.2772283454377166,train,atr_breakout,0,metal
AL0,day,0.20477233674338138,train,atr_breakout,0,metal
CU0,day,0.48390175000640817,train,atr_breakout,0,metal
ZN0,day,0.5925705149098228,train,atr_breakout,0,metal
ZN0,day,0.5379368226515958,train,atr_breakout,0,metal
CU0,day,0.6495060291766868,train,atr_breakout,0,metal
CU0,day,0.39581041708672404,train,atr_breakout,0,metal
CU0,day,0.20788436302275426,train,atr_breakout,0,metal
ZN0,day,0.2955035470537995,train,atr_breakout,0,metal
ZN0,day,0.21724839607662702,train,atr_breakout,0,metal
CU0,day,0.39037991149112905,train,atr_breakout,0,metal
CU0,day,0.2133693114381166,train,atr_breakout,0,metal
AL0,day,0.29216713588321963,train,atr_breakout,0,metal
AL0,day,0.30409431727835173,train,atr_breakout,0,metal
ZN0,day,0.43610271387419763,train,atr_breakout,0,metal
CU0,day,0.3616837087252055,train,atr_breakout,0,metal
CU0,day,0.38100596980775003,train,atr_breakout,0,metal
ZN0,day,0.34809434078550616,train,atr_breakout,0,metal
ZN0,day,0.31109112893554247,train,atr_breakout,0,metal
CU0,day,0.5145244788557485,train,atr_breakout,0,metal
ZN0,day,0.17393496276259135,train,atr_breakout,0,metal
CU0,day,0.264902936169614,train,atr_breakout,0,metal
CU0,day,0.7298895336457791,train,atr_breakout,0,metal
ZN0,day,0.36476030496775136,train,atr_breakout,0,metal
CU0,day,0.7242494162503915,train,atr_breakout,0,metal
ZN0,day,0.21978626440635568,train,atr_breakout,0,metal
AL0,day,0.2676149160668443,train,atr_breakout,0,metal
ZN0,day,0.5515490266139482,train,atr_breakout,0,metal
CU0,day,0.7449285999484067,train,atr_breakout,0,metal
CU0,day,0.6931961947250738,train,atr_breakout,0,metal
ZN0,day,0.5193913168307513,train,atr_breakout,0,metal
CU0,day,0.49047828087856093,train,atr_breakout,0,metal
ZN0,day,0.5944378140210456,train,atr_breakout,0,metal
AL0,day,0.2596314551082171,train,atr_breakout,0,metal
CU0,day,0.46223293393204834,train,atr_breakout,0,metal
ZN0,day,0.5429071911381351,train,atr_breakout,0,metal
ZN0,day,0.2102485676747512,train,atr_breakout,0,metal
AL0,day,0.5922527481987931,train,atr_breakout,0,metal
ZN0,day,0.23200956800882513,train,atr_breakout,0,metal
CU0,day,0.5701866736393346,train,atr_breakout,0,metal
ZN0,day,0.6928556935981178,train,atr_breakout,0,metal
ZN0,day,0.43142877846505934,train,atr_breakout,0,metal
CU0,day,0.8096975715832523,train,atr_breakout,0,metal
ZN0,day,0.8125960234927008,train,atr_breakout,0,metal
AL0,day,0.6925197064953595,train,atr_breakout,0,metal
ZN0,day,0.2655303289241269,train,atr_breakout,0,metal
CU0,day,0.29485047723135466,train,atr_breakout,0,metal
CU0,day,0.8281279870985288,train,atr_breakout,0,metal
AL0,day,0.45603836044338136,train,atr_breakout,0,metal
CU0,day,0.5771777574093924,train,atr_breakout,0,metal
ZN0,day,0.7283829485326931,train,atr_breakout,0,metal
ZN0,day,0.6759535133321652,train,atr_breakout,0,metal
ZN0,day,0.4720777789825281,train,atr_breakout,0,metal
CU0,day,0.5020739485872305,train,atr_breakout,0,metal
ZN0,day,0.49212775435193984,train,atr_breakout,0,metal
CU0,day,0.26681805425083643,train,atr_breakout,0,metal
CU0,day,0.3159654698468488,train,atr_breakout,0,metal
ZN0,day,0.5015362684115173,train,atr_breakout,0,metal
AL0,day,0.22475084829185646,train,atr_breakout,0,metal
ZN0,day,0.5993909856673673,train,atr_breakout,0,metal
CU0,day,0.5541514668602386,train,atr_breakout,0,metal
ZN0,day,0.38222897441461107,train,atr_breakout,0,metal
CU0,day,0.38753925301371406,train,atr_breakout,0,metal
ZN0,day,0.43082819748163986,train,atr_breakout,0,metal
CU0,day,0.24722991366782393,train,atr_breakout,0,metal
AL0,day,0.6261720583115926,train,atr_breakout,0,metal
AL0,day,0.7756581597949506,train,atr_breakout,0,metal
ZN0,day,0.19306464297909914,train,atr_breakout,0,metal
AL0,day,0.7159233161322284,train,atr_breakout,0,metal
ZN0,day,0.6099185847744077,train,atr_breakout,0,metal
CU0,day,0.8039386180541624,train,atr_breakout,0,metal
CU0,day,0.3768696537754883,train,atr_breakout,0,metal
AL0,day,0.7984919888759676,train,atr_breakout,0,metal
ZN0,day,0.5887669532685872,train,atr_breakout,0,metal
AL0,day,0.815677971129583,train,atr_breakout,0,metal
ZN0,day,0.45230820892332924,train,atr_breakout,0,metal
CU0,day,0.5044549600960503,train,atr_breakout,0,metal
AL0,day,0.633442696261338,train,atr_breakout,0,metal
CU0,day,0.23292935988701263,train,atr_breakout,0,metal
ZN0,day,0.33910270812945414,train,atr_breakout,0,metal
CU0,day,0.7766908082673718,train,atr_breakout,0,metal
CU0,day,0.562215187368118,train,atr_breakout,0,metal
CU0,day,0.2333981991064387,train,atr_breakout,0,metal
ZN0,day,0.27600755755414497,train,atr_breakout,0,metal
ZN0,day,0.82241451330028,train,atr_breakout,0,metal
CU0,day,0.1796853317778113,train,atr_breakout,0,metal
CU0,day,0.756181155504558,train,atr_breakout,0,metal
AL0,day,0.6731575051139191,train,atr_breakout,0,metal
CU0,day,0.5402408477059489,train,atr_breakout,0,metal
ZN0,day,0.3885398860808409,train,atr_breakout,0,metal
CU0,day,0.38058707467618563,train,atr_breakout,0,metal
ZN0,day,0.31748748744324806,train,atr_breakout,0,metal
CU0,day,0.678000319294365,train,atr_breakout,0,metal
ZN0,day,0.2684413814230202,train,atr_breakout,0,metal
ZN0,day,0.20093950486456968,train,atr_breakout,0,metal
CU0,day,0.7521995569070217,train,atr_breakout,0,metal
CU0,day,0.304207113100314,train,atr_breakout,0,metal
AL0,day,0.6402671552195527,train,atr_breakout,0,metal
AL0,day,0.303965729991352,train,atr_breakout,0,metal
AL0,day,0.6375394353585504,train,atr_breakout,0,metal
AL0,day,0.7133997096226632,train,atr_breakout,0,metal
CU0,day,0.6866778183637843,train,atr_breakout,0,metal
CU0,day,0.8046203405099361,train,atr_breakout,0,metal
ZN0,day,0.7117045513827669,train,atr_breakout,0,metal
ZN0,day,0.5564953302381273,train,atr_breakout,0,metal
CU0,day,0.5025947203767982,train,atr_breakout,0,metal
ZN0,day,0.322418431222768,train,atr_breakout,0,metal
CU0,day,0.6270846027593897,train,atr_breakout,0,metal
ZN0,day,0.23676981060403732,train,atr_breakout,0,metal
AL0,day,0.3173595481940007,train,atr_breakout,0,metal
AL0,day,0.3166772701868837,train,atr_breakout,0,metal
AL0,day,0.4067006027495186,train,atr_breakout,0,metal
AL0,day,0.6522443359676637,train,atr_breakout,0,metal
AL0,day,0.6655521605395973,train,atr_breakout,0,metal
CU0,day,0.7286627163938018,train,atr_breakout,0,metal
CU0,day,0.6387468812939298,train,atr_breakout,0,metal
AL0,day,0.5746591884597816,train,atr_breakout,0,metal
ZN0,day,0.24947234779529318,train,atr_breakout,0,metal
ZN0,day,0.2376102480113849,train,atr_breakout,0,metal
ZN0,day,0.22416793694381412,train,atr_breakout,0,metal
CU0,day,0.28248169899296277,train,atr_breakout,0,metal
CU0,day,0.3452644222651483,train,atr_breakout,0,metal
AL0,day,0.6137136720057899,train,atr_breakout,0,metal
AL0,day,0.6805794941838481,train,atr_breakout,0,metal
AL0,day,0.651226407981164,train,atr_breakout,0,metal
AL0,day,0.6989366601951411,train,atr_breakout,0,metal
CU0,day,0.5100054354438996,train,atr_breakout,0,metal
CU0,day,0.7655195992692458,train,atr_breakout,0,metal
ZN0,day,0.3281099773065177,train,atr_breakout,0,metal
ZN0,day,0.32871346625456466,train,atr_breakout,0,metal
AL0,day,0.4952104252089238,train,atr_breakout,0,metal
AL0,day,0.6099159029145167,train,atr_breakout,0,metal
ZN0,day,0.28669064445814646,train,atr_breakout,0,metal
AL0,day,0.2716651867954581,train,atr_breakout,0,metal
ZN0,day,0.2510811490550332,train,atr_breakout,0,metal
CU0,day,0.31614204501983784,train,atr_breakout,0,metal
ZN0,day,0.2361836628750784,train,atr_breakout,0,metal
ZN0,day,0.2747355139815029,train,atr_breakout,0,metal
ZN0,day,0.4306192711415374,train,atr_breakout,0,metal
ZN0,day,0.19314755862627347,train,atr_breakout,0,metal
CU0,day,0.3848123718838281,train,atr_breakout,0,metal
ZN0,day,0.5118867601376053,train,atr_breakout,0,metal
ZN0,day,0.12768636470393435,train,atr_breakout,0,metal
ZN0,day,0.14026123617883227,train,atr_breakout,0,metal
AL0,day,0.750534467154353,train,atr_breakout,0,metal
ZN0,day,0.1797958388787755,train,atr_breakout,0,metal
AL0,day,0.5959436235105782,train,atr_breakout,0,metal
AL0,day,0.6447953112640454,train,atr_breakout,0,metal
AL0,day,0.5258357776227223,train,atr_breakout,0,metal
AL0,day,0.6861289257144332,train,atr_breakout,0,metal
AL0,day,0.21558127471546348,train,atr_breakout,0,metal
CU0,day,0.5310740258859676,train,atr_breakout,0,metal
ZN0,day,0.4996582443813157,train,atr_breakout,0,metal
AL0,day,0.6731387857670119,train,atr_breakout,0,metal
AL0,day,0.8348509319663753,train,atr_breakout,0,metal
AL0,day,0.5405670903424395,train,atr_breakout,0,metal
CU0,day,0.8730277056732914,train,atr_breakout,0,metal
ZN0,day,0.6767756779391679,train,atr_breakout,0,metal
CU0,day,0.3155150982984537,train,atr_breakout,0,metal
AL0,day,0.8030856884002581,train,atr_breakout,0,metal
AL0,day,0.7148160381779738,train,atr_breakout,0,metal
CU0,day,0.6203221580289122,train,atr_breakout,0,metal
ZN0,day,0.5197135135497186,train,atr_breakout,0,metal
ZN0,day,0.11515723915139423,train,atr_breakout,0,metal
NI0,day,0.8301159457432756,train,atr_breakout,0,metal
ZN0,day,0.24336315493929028,train,atr_breakout,0,metal
NI0,day,0.7071448543419455,train,atr_breakout,0,metal
CU0,day,0.6220285171266338,train,atr_breakout,0,metal
ZN0,day,0.10586235394202755,train,atr_breakout,0,metal
AL0,day,0.772065287609075,train,atr_breakout,0,metal
ZN0,day,0.13773830493809688,train,atr_breakout,0,metal
NI0,day,0.6588974344760126,train,atr_breakout,0,metal
CU0,day,0.6207688658830746,train,atr_breakout,0,metal
AL0,day,0.31359775296218056,train,atr_breakout,0,metal
AL0,day,0.38929822294713623,train,atr_breakout,0,metal
CU0,day,0.31026027314828125,train,atr_breakout,0,metal
CU0,day,0.7894784548928085,train,atr_breakout,0,metal
ZN0,day,0.2524418226765459,train,atr_breakout,0,metal
NI0,day,0.8508975708565416,train,atr_breakout,0,metal
ZN0,day,0.13253377132559108,train,atr_breakout,0,metal
SN0,day,0.6892484481326598,train,atr_breakout,0,metal
AL0,day,0.574587009129778,train,atr_breakout,0,metal
NI0,day,0.7827013603080146,train,atr_breakout,0,metal
ZN0,day,0.11376623594223191,train,atr_breakout,0,metal
CU0,day,0.8317746790289275,train,atr_breakout,0,metal
ZN0,day,0.4601575278496015,train,atr_breakout,0,metal
SN0,day,0.7757270758656063,train,atr_breakout,0,metal
AL0,day,0.5385195245699018,train,atr_breakout,0,metal
NI0,day,0.7522922667891048,train,atr_breakout,0,metal
CU0,day,0.7006503701069859,train,atr_breakout,0,metal
