symbol,interval,trade_filter_prob,split,signal_type,window_id,cluster_name
RU0,day,0.3437560215031076,train,atr_breakout,0,other
A0,day,0.5000002916191295,train,atr_breakout,0,other
FU0,day,0.529122452952829,train,atr_breakout,0,other
RU0,day,0.38979193260488065,train,atr_breakout,0,other
C0,day,0.662030251670273,train,atr_breakout,0,other
C0,day,0.731853108542293,train,atr_breakout,0,other
B0,day,0.28925502946685144,train,atr_breakout,0,other
FU0,day,0.26849709253435405,train,atr_breakout,0,other
B0,day,0.3606930750196857,train,atr_breakout,0,other
FU0,day,0.46786939117690624,train,atr_breakout,0,other
B0,day,0.35507614853984115,train,atr_breakout,0,other
WH0,day,0.287681693544535,train,atr_breakout,0,other
WH0,day,0.42955054297417805,train,atr_breakout,0,other
RU0,day,0.6317612109875419,train,atr_breakout,0,other
RU0,day,0.5401726624141291,train,atr_breakout,0,other
RI0,day,0.7629750504231914,train,atr_breakout,0,other
FU0,day,0.596065450468181,train,atr_breakout,0,other
RU0,day,0.7958866884039197,train,atr_breakout,0,other
FU0,day,0.4174798920283748,train,atr_breakout,0,other
A0,day,0.5000816292684471,train,atr_breakout,0,other
C0,day,0.48670377812366483,train,atr_breakout,0,other
FU0,day,0.619204402901599,train,atr_breakout,0,other
C0,day,0.6628897209729194,train,atr_breakout,0,other
FU0,day,0.3658831339895555,train,atr_breakout,0,other
C0,day,0.5033087594766666,train,atr_breakout,0,other
RI0,day,0.5440503321800827,train,atr_breakout,0,other
WH0,day,0.48159480853656955,train,atr_breakout,0,other
RI0,day,0.5203396894705273,train,atr_breakout,0,other
C0,day,0.37671405644417477,train,atr_breakout,0,other
RI0,day,0.4738496313616525,train,atr_breakout,0,other
A0,day,0.7320587436022359,train,atr_breakout,0,other
WH0,day,0.5784338032512335,train,atr_breakout,0,other
A0,day,0.793578195833037,train,atr_breakout,0,other
WH0,day,0.3089970503890943,train,atr_breakout,0,other
RU0,day,0.7267957932173141,train,atr_breakout,0,other
FU0,day,0.631898160871136,train,atr_breakout,0,other
WH0,day,0.455634753828427,train,atr_breakout,0,other
A0,day,0.28097776522335294,train,atr_breakout,0,other
FU0,day,0.6034638397524057,train,atr_breakout,0,other
RU0,day,0.654269907177266,train,atr_breakout,0,other
WH0,day,0.45512106136510244,train,atr_breakout,0,other
C0,day,0.6594999827067952,train,atr_breakout,0,other
B0,day,0.5405751826730478,train,atr_breakout,0,other
A0,day,0.4431373443944686,train,atr_breakout,0,other
RU0,day,0.4445848825810668,train,atr_breakout,0,other
C0,day,0.6153296863905149,train,atr_breakout,0,other
WH0,day,0.5173267336008278,train,atr_breakout,0,other
WH0,day,0.653394202573788,train,atr_breakout,0,other
WH0,day,0.5012830133123439,train,atr_breakout,0,other
RI0,day,0.5855523811088634,train,atr_breakout,0,other
C0,day,0.4326874054445632,train,atr_breakout,0,other
B0,day,0.37172683102780574,train,atr_breakout,0,other
C0,day,0.31565256191000934,train,atr_breakout,0,other
RU0,day,0.4990895199753579,train,atr_breakout,0,other
B0,day,0.47422366473501587,train,atr_breakout,0,other
A0,day,0.49461882959451126,train,atr_breakout,0,other
FU0,day,0.38057515833491246,train,atr_breakout,0,other
A0,day,0.5217322756880783,train,atr_breakout,0,other
RI0,day,0.4328552588339572,train,atr_breakout,0,other
C0,day,0.612616707919359,train,atr_breakout,0,other
A0,day,0.5569892391988719,train,atr_breakout,0,other
WH0,day,0.45982222025841385,train,atr_breakout,0,other
B0,day,0.22787319112943705,train,atr_breakout,0,other
