symbol,interval,trade_filter_prob,split,signal_type,window_id,cluster_name
IF0,day,0.3073017790797154,train,atr_breakout,0,index
IF0,day,0.5166287399300521,train,atr_breakout,0,index
IC0,day,0.4973918897927915,train,atr_breakout,0,index
IF0,day,0.5863336847366408,train,atr_breakout,0,index
IF0,day,0.5834053128153915,train,atr_breakout,0,index
IH0,day,0.6362803771396979,train,atr_breakout,0,index
IC0,day,0.6161212761393915,train,atr_breakout,0,index
IH0,day,0.61756551082085,train,atr_breakout,0,index
IF0,day,0.6508250620868374,train,atr_breakout,0,index
IF0,day,0.5482824250207845,train,atr_breakout,0,index
IF0,day,0.511129885358137,train,atr_breakout,0,index
IF0,day,0.6725503819481566,train,atr_breakout,0,index
IH0,day,0.6829014237762263,train,atr_breakout,0,index
IF0,day,0.6678554013247855,train,atr_breakout,0,index
IC0,day,0.5767128612894201,train,atr_breakout,0,index
IC0,day,0.34562462155366636,train,atr_breakout,0,index
IH0,day,0.5215282215050145,train,atr_breakout,0,index
IF0,day,0.30172830504349984,train,atr_breakout,0,index
IF0,day,0.4076904396965816,train,atr_breakout,0,index
IF0,day,0.5656544008334705,train,atr_breakout,0,index
IC0,day,0.3550587581033943,train,atr_breakout,0,index
IC0,day,0.593134601401169,train,atr_breakout,0,index
IF0,day,0.6482228210725729,train,atr_breakout,0,index
IH0,day,0.6897299948225701,train,atr_breakout,0,index
IH0,day,0.6492147326314597,train,atr_breakout,0,index
IH0,day,0.5986496293306406,train,atr_breakout,0,index
IF0,day,0.5651803914438773,train,atr_breakout,0,index
IC0,day,0.6310240366113354,train,atr_breakout,0,index
IH0,day,0.780027764018054,train,atr_breakout,0,index
IF0,day,0.6276600813918366,train,atr_breakout,0,index
IH0,day,0.5172648557292336,train,atr_breakout,0,index
IF0,day,0.5185154263399699,train,atr_breakout,0,index
IC0,day,0.44345029123193835,train,atr_breakout,0,index
IF0,day,0.29986366850942786,train,atr_breakout,0,index
IH0,day,0.4816980988760142,train,atr_breakout,0,index
IH0,day,0.4809242678786654,train,atr_breakout,0,index
IH0,day,0.6019363656591009,train,atr_breakout,0,index
IF0,day,0.5572789058900409,train,atr_breakout,0,index
IC0,day,0.5182868477668976,train,atr_breakout,0,index
IF0,day,0.5530482492824178,train,atr_breakout,0,index
IH0,day,0.5992627227345221,train,atr_breakout,0,index
IH0,day,0.6445758745181402,train,atr_breakout,0,index
IC0,day,0.3504288215102008,train,atr_breakout,0,index
IC0,day,0.6098218737804806,train,atr_breakout,0,index
IC0,day,0.590515758412193,train,atr_breakout,0,index
IF0,day,0.692032071984364,train,atr_breakout,0,index
IC0,day,0.6214454983214119,train,atr_breakout,0,index
IH0,day,0.38032258499591376,train,atr_breakout,0,index
IH0,day,0.3735792195174936,train,atr_breakout,0,index
IF0,day,0.5711840492003933,train,atr_breakout,0,index
IF0,day,0.5221856177311094,train,atr_breakout,0,index
IH0,day,0.506809153460026,train,atr_breakout,0,index
IF0,day,0.4713075364495122,train,atr_breakout,0,index
IH0,day,0.7236396981700118,train,atr_breakout,0,index
IC0,day,0.49478943140527964,train,atr_breakout,0,index
IH0,day,0.6784900840048155,train,atr_breakout,0,index
IF0,day,0.39046645110794526,train,atr_breakout,0,index
IH0,day,0.3154205937283351,train,atr_breakout,0,index
IC0,day,0.3652571258859706,train,atr_breakout,0,index
IF0,day,0.31754891490966686,train,atr_breakout,0,index
IC0,day,0.25329501842637764,train,atr_breakout,0,index
IC0,day,0.3675456691034256,train,atr_breakout,0,index
IF0,day,0.5758022364008227,train,atr_breakout,0,index
IH0,day,0.3163723496334419,train,atr_breakout,0,index
