symbol,interval,trade_filter_prob,split,signal_type,window_id,cluster_name
IF0,minute60,0.46850768110378616,train,atr_breakout,0,index
IF0,minute60,0.4962965481006154,train,atr_breakout,0,index
IF0,minute60,0.5105227130823359,train,atr_breakout,0,index
IF0,minute60,0.5243829508028897,train,atr_breakout,0,index
IF0,minute60,0.4507071659899694,train,atr_breakout,0,index
IF0,minute60,0.522154516947673,train,atr_breakout,0,index
IF0,minute60,0.5078278341327052,train,atr_breakout,0,index
IF0,minute60,0.5018913613991278,train,atr_breakout,0,index
IF0,minute60,0.5401752817528389,train,atr_breakout,0,index
IF0,minute60,0.5887476200996308,train,atr_breakout,0,index
IF0,minute60,0.5936136522678654,train,atr_breakout,0,index
IF0,minute60,0.5405124385734101,train,atr_breakout,0,index
IF0,minute60,0.6514085276352208,train,atr_breakout,0,index
IF0,minute60,0.5497020340826186,train,atr_breakout,0,index
IF0,minute60,0.56461295288374,train,atr_breakout,0,index
IF0,minute60,0.6067584193733688,train,atr_breakout,0,index
IF0,minute60,0.5895638061139028,train,atr_breakout,0,index
IF0,minute60,0.5389611774106959,train,atr_breakout,0,index
IF0,minute60,0.5200111059416859,train,atr_breakout,0,index
IH0,minute60,0.5533779264704496,train,atr_breakout,0,index
IF0,minute60,0.6123534156519683,train,atr_breakout,0,index
IC0,minute60,0.46985164130022744,train,atr_breakout,0,index
IF0,minute60,0.5321530608221936,train,atr_breakout,0,index
IC0,minute60,0.503122907589379,train,atr_breakout,0,index
IF0,minute60,0.5337848175081157,train,atr_breakout,0,index
IH0,minute60,0.5147948570872833,train,atr_breakout,0,index
IF0,minute60,0.5529402226293172,train,atr_breakout,0,index
IC0,minute60,0.38483352697989165,train,atr_breakout,0,index
IF0,minute60,0.48578344386078215,train,atr_breakout,0,index
IC0,minute60,0.3176063541770306,train,atr_breakout,0,index
IC0,minute60,0.4432569654715922,train,atr_breakout,0,index
IF0,minute60,0.5238993297929373,train,atr_breakout,0,index
IH0,minute60,0.515311676684019,train,atr_breakout,0,index
IF0,minute60,0.5782949611605042,train,atr_breakout,0,index
IH0,minute60,0.4696656173623125,train,atr_breakout,0,index
IC0,minute60,0.393143709967931,train,atr_breakout,0,index
IF0,minute60,0.4914376192144631,train,atr_breakout,0,index
IH0,minute60,0.5066135993781649,train,atr_breakout,0,index
IH0,minute60,0.5106920647405717,train,atr_breakout,0,index
IF0,minute60,0.5367585531237655,train,atr_breakout,0,index
IF0,minute60,0.520227828977434,train,atr_breakout,0,index
IH0,minute60,0.6119530680137691,train,atr_breakout,0,index
IF0,minute60,0.5418310975674769,train,atr_breakout,0,index
IC0,minute60,0.42527203782102924,train,atr_breakout,0,index
IH0,minute60,0.532393583134604,train,atr_breakout,0,index
IF0,minute60,0.5530175756054982,train,atr_breakout,0,index
IC0,minute60,0.4341253377066083,train,atr_breakout,0,index
IH0,minute60,0.5323149075500899,train,atr_breakout,0,index
IC0,minute60,0.3293551295972906,train,atr_breakout,0,index
IF0,minute60,0.5738183637102646,train,atr_breakout,0,index
IH0,minute60,0.4657711407311593,train,atr_breakout,0,index
IF0,minute60,0.5212741695308714,train,atr_breakout,0,index
IC0,minute60,0.40713918082672274,train,atr_breakout,0,index
IC0,minute60,0.43123577055061746,train,atr_breakout,0,index
IC0,minute60,0.4090150529358671,train,atr_breakout,0,index
IH0,minute60,0.5025601967741975,train,atr_breakout,0,index
IF0,minute60,0.4898202632542415,train,atr_breakout,0,index
IH0,minute60,0.442529341500475,train,atr_breakout,0,index
IF0,minute60,0.4534407025930203,train,atr_breakout,0,index
IC0,minute60,0.3496067829295545,train,atr_breakout,0,index
IH0,minute60,0.47983751370009564,train,atr_breakout,0,index
IF0,minute60,0.47714035806763794,train,atr_breakout,0,index
IC0,minute60,0.3595610296759004,train,atr_breakout,0,index
IH0,minute60,0.5157326893486486,train,atr_breakout,0,index
IF0,minute60,0.5033387892462976,train,atr_breakout,0,index
IH0,minute60,0.4409584368315608,train,atr_breakout,0,index
IC0,minute60,0.363939965914504,train,atr_breakout,0,index
IF0,minute60,0.5576445607076799,train,atr_breakout,0,index
IH0,minute60,0.3244413779472704,train,atr_breakout,0,index
IF0,minute60,0.5016837687665392,train,atr_breakout,0,index
IC0,minute60,0.3072753404942415,train,atr_breakout,0,index
IF0,minute60,0.25416353521077345,train,atr_breakout,0,index
IC0,minute60,0.38923866025216547,train,atr_breakout,0,index
IF0,minute60,0.43700332722009316,train,atr_breakout,0,index
IF0,minute60,0.43713499365956365,train,atr_breakout,0,index
IF0,minute60,0.5377006053075273,train,atr_breakout,0,index
IC0,minute60,0.40346762086282384,train,atr_breakout,0,index
IC0,minute60,0.3774533555969122,train,atr_breakout,0,index
IF0,minute60,0.5437549678832959,train,atr_breakout,0,index
IC0,minute60,0.42324067956170597,train,atr_breakout,0,index
IF0,minute60,0.5003404114515579,train,atr_breakout,0,index
IC0,minute60,0.4175988219292739,train,atr_breakout,0,index
IH0,minute60,0.506096072455682,train,atr_breakout,0,index
IF0,minute60,0.55642281855024,train,atr_breakout,0,index
IC0,minute60,0.33288397760763944,train,atr_breakout,0,index
IF0,minute60,0.4147306267049098,train,atr_breakout,0,index
IC0,minute60,0.3132332238561621,train,atr_breakout,0,index
IC0,minute60,0.46370945940907315,train,atr_breakout,0,index
IH0,minute60,0.5401121819779415,train,atr_breakout,0,index
IF0,minute60,0.5789739406867439,train,atr_breakout,0,index
IC0,minute60,0.377262900836116,train,atr_breakout,0,index
IH0,minute60,0.5092989083990458,train,atr_breakout,0,index
IH0,minute60,0.5423719084683243,train,atr_breakout,0,index
IF0,minute60,0.6026787881629896,train,atr_breakout,0,index
IC0,minute60,0.4157163337247307,train,atr_breakout,0,index
IH0,minute60,0.4569120459244651,train,atr_breakout,0,index
IF0,minute60,0.4448068734247109,train,atr_breakout,0,index
IH0,minute60,0.5128900913915945,train,atr_breakout,0,index
IH0,minute60,0.4607615178644639,train,atr_breakout,0,index
IH0,minute60,0.4551748739474214,train,atr_breakout,0,index
IF0,minute60,0.522717965992944,train,atr_breakout,0,index
IH0,minute60,0.473551026698496,train,atr_breakout,0,index
IC0,minute60,0.341418490856063,train,atr_breakout,0,index
IF0,minute60,0.44357619930639836,train,atr_breakout,0,index
IC0,minute60,0.2515847682318699,train,atr_breakout,0,index
IF0,minute60,0.5469687422929215,train,atr_breakout,0,index
IC0,minute60,0.34583832725420266,train,atr_breakout,0,index
IC0,minute60,0.384764538763547,train,atr_breakout,0,index
IF0,minute60,0.49213911511360586,train,atr_breakout,0,index
IC0,minute60,0.46815159071548795,train,atr_breakout,0,index
IF0,minute60,0.4674741246139615,train,atr_breakout,0,index
IC0,minute60,0.42441012970645003,train,atr_breakout,0,index
IH0,minute60,0.6328030142886517,train,atr_breakout,0,index
IH0,minute60,0.5916548844029939,train,atr_breakout,0,index
IC0,minute60,0.5262773217223656,train,atr_breakout,0,index
IF0,minute60,0.5012516213768426,train,atr_breakout,0,index
IC0,minute60,0.43460965892421954,train,atr_breakout,0,index
IF0,minute60,0.4937860609176964,train,atr_breakout,0,index
IH0,minute60,0.5151514292103228,train,atr_breakout,0,index
IH0,minute60,0.5422218988489524,train,atr_breakout,0,index
IC0,minute60,0.5144135716605006,train,atr_breakout,0,index
IH0,minute60,0.5657020265324402,train,atr_breakout,0,index
IC0,minute60,0.4519628183350376,train,atr_breakout,0,index
IH0,minute60,0.5696084793161851,train,atr_breakout,0,index
IC0,minute60,0.44028789772351423,train,atr_breakout,0,index
IH0,minute60,0.5702639252136068,train,atr_breakout,0,index
IC0,minute60,0.47638379498073197,train,atr_breakout,0,index
IF0,minute60,0.5182028967741372,train,atr_breakout,0,index
IC0,minute60,0.4583672287380176,train,atr_breakout,0,index
IC0,minute60,0.5025765984783993,train,atr_breakout,0,index
IC0,minute60,0.4701162941632444,train,atr_breakout,0,index
IH0,minute60,0.48178098032637945,train,atr_breakout,0,index
IF0,minute60,0.47492544832689926,train,atr_breakout,0,index
IC0,minute60,0.4526090784835445,train,atr_breakout,0,index
IC0,minute60,0.42856709634366885,train,atr_breakout,0,index
IC0,minute60,0.47013983889095584,train,atr_breakout,0,index
IH0,minute60,0.5877300566038771,train,atr_breakout,0,index
IF0,minute60,0.5462392607970253,train,atr_breakout,0,index
