symbol,interval,trade_filter_prob,split,signal_type,window_id,cluster_name
TF0,minute60,0.5672716029833156,train,atr_breakout,0,bond
TF0,minute60,0.5282026348186051,train,atr_breakout,0,bond
TF0,minute60,0.5671760104234733,train,atr_breakout,0,bond
TF0,minute60,0.42863853992603473,train,atr_breakout,0,bond
TF0,minute60,0.4539614071813226,train,atr_breakout,0,bond
TF0,minute60,0.5643713071470948,train,atr_breakout,0,bond
TF0,minute60,0.5311398168624982,train,atr_breakout,0,bond
TF0,minute60,0.437132873388125,train,atr_breakout,0,bond
TF0,minute60,0.4966361296107591,train,atr_breakout,0,bond
TF0,minute60,0.5414779400814915,train,atr_breakout,0,bond
TF0,minute60,0.4767474484260499,train,atr_breakout,0,bond
TF0,minute60,0.47806203697127303,train,atr_breakout,0,bond
TF0,minute60,0.4825089898425065,train,atr_breakout,0,bond
T0,minute60,0.5431127005447812,train,atr_breakout,0,bond
T0,minute60,0.4786546008398309,train,atr_breakout,0,bond
TF0,minute60,0.4520581436851235,train,atr_breakout,0,bond
T0,minute60,0.44687721382020446,train,atr_breakout,0,bond
T0,minute60,0.5070757048572616,train,atr_breakout,0,bond
T0,minute60,0.5034005582863647,train,atr_breakout,0,bond
T0,minute60,0.4593590715627294,train,atr_breakout,0,bond
TF0,minute60,0.4746180437582374,train,atr_breakout,0,bond
T0,minute60,0.5500031673535908,train,atr_breakout,0,bond
TF0,minute60,0.5319325714684973,train,atr_breakout,0,bond
T0,minute60,0.5410833164481565,train,atr_breakout,0,bond
TF0,minute60,0.47741963234535023,train,atr_breakout,0,bond
TF0,minute60,0.4727558789711168,train,atr_breakout,0,bond
T0,minute60,0.5151826296716631,train,atr_breakout,0,bond
T0,minute60,0.5641728231558074,train,atr_breakout,0,bond
TF0,minute60,0.48072344844222714,train,atr_breakout,0,bond
T0,minute60,0.528602171711998,train,atr_breakout,0,bond
T0,minute60,0.5409035065890903,train,atr_breakout,0,bond
TF0,minute60,0.5178123064316668,train,atr_breakout,0,bond
T0,minute60,0.5371152094110769,train,atr_breakout,0,bond
T0,minute60,0.606868657768507,train,atr_breakout,0,bond
T0,minute60,0.5678540229759043,train,atr_breakout,0,bond
TF0,minute60,0.44637460627795855,train,atr_breakout,0,bond
T0,minute60,0.4997485251356508,train,atr_breakout,0,bond
T0,minute60,0.475986682851708,train,atr_breakout,0,bond
TF0,minute60,0.5745313904002924,train,atr_breakout,0,bond
TF0,minute60,0.5548446421296236,train,atr_breakout,0,bond
T0,minute60,0.5475502515947637,train,atr_breakout,0,bond
T0,minute60,0.5034794046340908,train,atr_breakout,0,bond
T0,minute60,0.4907938544581132,train,atr_breakout,0,bond
T0,minute60,0.4692131513739135,train,atr_breakout,0,bond
TF0,minute60,0.46332514224318916,train,atr_breakout,0,bond
T0,minute60,0.47393798684476485,train,atr_breakout,0,bond
TF0,minute60,0.4772915836969954,train,atr_breakout,0,bond
T0,minute60,0.4991106518960867,train,atr_breakout,0,bond
T0,minute60,0.47954726068035136,train,atr_breakout,0,bond
T0,minute60,0.47199114479472215,train,atr_breakout,0,bond
TF0,minute60,0.4774375977951105,train,atr_breakout,0,bond
T0,minute60,0.4698310345191097,train,atr_breakout,0,bond
TF0,minute60,0.4671147279383402,train,atr_breakout,0,bond
T0,minute60,0.4726177676027795,train,atr_breakout,0,bond
T0,minute60,0.4383071200729519,train,atr_breakout,0,bond
T0,minute60,0.44393564582860034,train,atr_breakout,0,bond
TF0,minute60,0.43589403862491705,train,atr_breakout,0,bond
T0,minute60,0.5611029733637529,train,atr_breakout,0,bond
TF0,minute60,0.5913964388837993,train,atr_breakout,0,bond
T0,minute60,0.5658417247665721,train,atr_breakout,0,bond
TF0,minute60,0.5680636947439606,train,atr_breakout,0,bond
TF0,minute60,0.531165117349728,train,atr_breakout,0,bond
TF0,minute60,0.4866513882989689,train,atr_breakout,0,bond
T0,minute60,0.56341805702061,train,atr_breakout,0,bond
TF0,minute60,0.4433345339839641,train,atr_breakout,0,bond
T0,minute60,0.4810387836279082,train,atr_breakout,0,bond
TF0,minute60,0.5484862354037854,train,atr_breakout,0,bond
TF0,minute60,0.5684035585583394,train,atr_breakout,0,bond
T0,minute60,0.5689282949477124,train,atr_breakout,0,bond
TF0,minute60,0.5657105661368849,train,atr_breakout,0,bond
TF0,minute60,0.4430428025829677,train,atr_breakout,0,bond
T0,minute60,0.5654292657622543,train,atr_breakout,0,bond
TF0,minute60,0.4220204956243409,train,atr_breakout,0,bond
T0,minute60,0.5346696594978764,train,atr_breakout,0,bond
T0,minute60,0.4723644418408201,train,atr_breakout,0,bond
TF0,minute60,0.43419738208933223,train,atr_breakout,0,bond
T0,minute60,0.54152778450933,train,atr_breakout,0,bond
T0,minute60,0.5683323552951242,train,atr_breakout,0,bond
TF0,minute60,0.44160748355625984,train,atr_breakout,0,bond
T0,minute60,0.4561063409490307,train,atr_breakout,0,bond
TF0,minute60,0.5374167635501315,train,atr_breakout,0,bond
T0,minute60,0.5454940128591274,train,atr_breakout,0,bond
T0,minute60,0.5603928583020975,train,atr_breakout,0,bond
TF0,minute60,0.5582127114086103,train,atr_breakout,0,bond
TF0,minute60,0.5025034008534638,train,atr_breakout,0,bond
T0,minute60,0.46578384684669405,train,atr_breakout,0,bond
T0,minute60,0.491081072429134,train,atr_breakout,0,bond
