symbol,interval,trade_filter_prob,split,signal_type,window_id,cluster_name
L0,day,0.5537588583118087,train,atr_breakout,0,chemical
V0,day,0.3750702961451762,train,atr_breakout,0,chemical
L0,day,0.6340250296310996,train,atr_breakout,0,chemical
L0,day,0.36153280179334346,train,atr_breakout,0,chemical
V0,day,0.3390154859325755,train,atr_breakout,0,chemical
TA0,day,0.29524382977323327,train,atr_breakout,0,chemical
TA0,day,0.42596171310017583,train,atr_breakout,0,chemical
V0,day,0.5674049652248727,train,atr_breakout,0,chemical
V0,day,0.6943060704216293,train,atr_breakout,0,chemical
V0,day,0.6635021174369915,train,atr_breakout,0,chemical
TA0,day,0.7418278077276479,train,atr_breakout,0,chemical
L0,day,0.433678462053697,train,atr_breakout,0,chemical
L0,day,0.5013926806455573,train,atr_breakout,0,chemical
V0,day,0.6701588999569021,train,atr_breakout,0,chemical
V0,day,0.7663593380185151,train,atr_breakout,0,chemical
L0,day,0.39682280035758477,train,atr_breakout,0,chemical
L0,day,0.27958832938263495,train,atr_breakout,0,chemical
V0,day,0.24294846865120914,train,atr_breakout,0,chemical
TA0,day,0.22376468409935743,train,atr_breakout,0,chemical
L0,day,0.21192542522044389,train,atr_breakout,0,chemical
TA0,day,0.5847468749959237,train,atr_breakout,0,chemical
TA0,day,0.6928765618516313,train,atr_breakout,0,chemical
L0,day,0.7849180449579389,train,atr_breakout,0,chemical
V0,day,0.728512787885401,train,atr_breakout,0,chemical
V0,day,0.7476131166541098,train,atr_breakout,0,chemical
TA0,day,0.7803161285228177,train,atr_breakout,0,chemical
TA0,day,0.3986114627766638,train,atr_breakout,0,chemical
V0,day,0.5093151079920293,train,atr_breakout,0,chemical
TA0,day,0.3314644790070454,train,atr_breakout,0,chemical
TA0,day,0.6943116778410455,train,atr_breakout,0,chemical
L0,day,0.4954638156648826,train,atr_breakout,0,chemical
V0,day,0.33031848914209316,train,atr_breakout,0,chemical
TA0,day,0.34805256702395215,train,atr_breakout,0,chemical
TA0,day,0.5762061694722596,train,atr_breakout,0,chemical
L0,day,0.3914579870672441,train,atr_breakout,0,chemical
V0,day,0.5542426743228303,train,atr_breakout,0,chemical
L0,day,0.5419023713127533,train,atr_breakout,0,chemical
TA0,day,0.6231518777145284,train,atr_breakout,0,chemical
TA0,day,0.6523658984943765,train,atr_breakout,0,chemical
TA0,day,0.39882216087435385,train,atr_breakout,0,chemical
TA0,day,0.4576783277280238,train,atr_breakout,0,chemical
TA0,day,0.6241063207824342,train,atr_breakout,0,chemical
TA0,day,0.3630805659101296,train,atr_breakout,0,chemical
TA0,day,0.38049264677426947,train,atr_breakout,0,chemical
TA0,day,0.31906254294353165,train,atr_breakout,0,chemical
TA0,day,0.34467819275883865,train,atr_breakout,0,chemical
TA0,day,0.267328252533377,train,atr_breakout,0,chemical
L0,day,0.3229884553439857,train,atr_breakout,0,chemical
V0,day,0.3461724428383225,train,atr_breakout,0,chemical
TA0,day,0.3444625423941621,train,atr_breakout,0,chemical
V0,day,0.3634671243532711,train,atr_breakout,0,chemical
TA0,day,0.6827332295314357,train,atr_breakout,0,chemical
L0,day,0.7182813691774361,train,atr_breakout,0,chemical
L0,day,0.6775016913206913,train,atr_breakout,0,chemical
V0,day,0.36072346333505784,train,atr_breakout,0,chemical
TA0,day,0.5728087454775671,train,atr_breakout,0,chemical
V0,day,0.5078861608611883,train,atr_breakout,0,chemical
V0,day,0.35008595507929885,train,atr_breakout,0,chemical
V0,day,0.32972394286248957,train,atr_breakout,0,chemical
L0,day,0.21969929326962223,train,atr_breakout,0,chemical
V0,day,0.30558329790535427,train,atr_breakout,0,chemical
L0,day,0.40857397368054316,train,atr_breakout,0,chemical
L0,day,0.5144008707781936,train,atr_breakout,0,chemical
L0,day,0.6768317687123158,train,atr_breakout,0,chemical
V0,day,0.636030553885605,train,atr_breakout,0,chemical
TA0,day,0.4713556097949987,train,atr_breakout,0,chemical
L0,day,0.6838180125382338,train,atr_breakout,0,chemical
L0,day,0.3023071125243886,train,atr_breakout,0,chemical
TA0,day,0.26759829531022106,train,atr_breakout,0,chemical
TA0,day,0.740428437202771,train,atr_breakout,0,chemical
TA0,day,0.7478900038941454,train,atr_breakout,0,chemical
L0,day,0.5507462938399275,train,atr_breakout,0,chemical
TA0,day,0.5074494871491828,train,atr_breakout,0,chemical
L0,day,0.35107098766142786,train,atr_breakout,0,chemical
L0,day,0.465303153083781,train,atr_breakout,0,chemical
TA0,day,0.24935962249269505,train,atr_breakout,0,chemical
L0,day,0.4718132883020168,train,atr_breakout,0,chemical
TA0,day,0.7671953875372224,train,atr_breakout,0,chemical
V0,day,0.6894076084248419,train,atr_breakout,0,chemical
TA0,day,0.7337563478297457,train,atr_breakout,0,chemical
V0,day,0.6248029506227386,train,atr_breakout,0,chemical
TA0,day,0.6274787731231615,train,atr_breakout,0,chemical
V0,day,0.5598379228018987,train,atr_breakout,0,chemical
TA0,day,0.7886158986197949,train,atr_breakout,0,chemical
V0,day,0.2951911588324364,train,atr_breakout,0,chemical
L0,day,0.24705789778811954,train,atr_breakout,0,chemical
L0,day,0.5767844296883692,train,atr_breakout,0,chemical
TA0,day,0.4777183287942991,train,atr_breakout,0,chemical
L0,day,0.3244624834882519,train,atr_breakout,0,chemical
TA0,day,0.4274938132562668,train,atr_breakout,0,chemical
V0,day,0.5003837008093959,train,atr_breakout,0,chemical
TA0,day,0.501115046635156,train,atr_breakout,0,chemical
L0,day,0.6860966378964304,train,atr_breakout,0,chemical
L0,day,0.3445784765033396,train,atr_breakout,0,chemical
L0,day,0.7992567272579665,train,atr_breakout,0,chemical
TA0,day,0.6620514120440244,train,atr_breakout,0,chemical
TA0,day,0.33923456963715204,train,atr_breakout,0,chemical
L0,day,0.3170315401442408,train,atr_breakout,0,chemical
L0,day,0.30336011746125324,train,atr_breakout,0,chemical
TA0,day,0.3767865586508682,train,atr_breakout,0,chemical
TA0,day,0.2593186309696721,train,atr_breakout,0,chemical
TA0,day,0.32429344120280695,train,atr_breakout,0,chemical
L0,day,0.7925401602020476,train,atr_breakout,0,chemical
TA0,day,0.4003191157968543,train,atr_breakout,0,chemical
TA0,day,0.45795827924520227,train,atr_breakout,0,chemical
TA0,day,0.40009040262210893,train,atr_breakout,0,chemical
V0,day,0.6342048462531457,train,atr_breakout,0,chemical
TA0,day,0.2890867545704049,train,atr_breakout,0,chemical
V0,day,0.5166713277508013,train,atr_breakout,0,chemical
L0,day,0.590330043461098,train,atr_breakout,0,chemical
V0,day,0.49278560416460837,train,atr_breakout,0,chemical
V0,day,0.36852635314375004,train,atr_breakout,0,chemical
TA0,day,0.24789155261014553,train,atr_breakout,0,chemical
L0,day,0.2604652863026774,train,atr_breakout,0,chemical
L0,day,0.4109756301178923,train,atr_breakout,0,chemical
TA0,day,0.6326804663938791,train,atr_breakout,0,chemical
V0,day,0.44232733802269697,train,atr_breakout,0,chemical
L0,day,0.747425614506382,train,atr_breakout,0,chemical
TA0,day,0.7117555264849974,train,atr_breakout,0,chemical
V0,day,0.4121406708139625,train,atr_breakout,0,chemical
V0,day,0.5357907671803379,train,atr_breakout,0,chemical
L0,day,0.6195487015130072,train,atr_breakout,0,chemical
L0,day,0.5551865342215241,train,atr_breakout,0,chemical
V0,day,0.6140566165038774,train,atr_breakout,0,chemical
TA0,day,0.4662610535201115,train,atr_breakout,0,chemical
V0,day,0.39927788352408333,train,atr_breakout,0,chemical
L0,day,0.32957247376858173,train,atr_breakout,0,chemical
L0,day,0.42337267527263833,train,atr_breakout,0,chemical
TA0,day,0.293888549663867,train,atr_breakout,0,chemical
V0,day,0.34744701738799627,train,atr_breakout,0,chemical
L0,day,0.41875928814651703,train,atr_breakout,0,chemical
TA0,day,0.24665584830711945,train,atr_breakout,0,chemical
TA0,day,0.24281367655005257,train,atr_breakout,0,chemical
L0,day,0.7142190699261234,train,atr_breakout,0,chemical
PP0,day,0.4125224630090375,train,atr_breakout,0,chemical
V0,day,0.4930593200704478,train,atr_breakout,0,chemical
V0,day,0.41576851757849015,train,atr_breakout,0,chemical
TA0,day,0.7678352565795481,train,atr_breakout,0,chemical
TA0,day,0.673026887143644,train,atr_breakout,0,chemical
L0,day,0.2688675358721548,train,atr_breakout,0,chemical
PP0,day,0.3427334524376118,train,atr_breakout,0,chemical
TA0,day,0.2427447388927752,train,atr_breakout,0,chemical
L0,day,0.4485450186789325,train,atr_breakout,0,chemical
PP0,day,0.3185733192859122,train,atr_breakout,0,chemical
TA0,day,0.315605607579164,train,atr_breakout,0,chemical
L0,day,0.2769795412830528,train,atr_breakout,0,chemical
L0,day,0.4580817091182494,train,atr_breakout,0,chemical
PP0,day,0.7185054718372078,train,atr_breakout,0,chemical
L0,day,0.257123765221115,train,atr_breakout,0,chemical
V0,day,0.29330046428966144,train,atr_breakout,0,chemical
TA0,day,0.6028163312806529,train,atr_breakout,0,chemical
TA0,day,0.3911181367949905,train,atr_breakout,0,chemical
L0,day,0.2931921981836375,train,atr_breakout,0,chemical
TA0,day,0.43394842587302346,train,atr_breakout,0,chemical
PP0,day,0.47225898232930424,train,atr_breakout,0,chemical
V0,day,0.3106153742898655,train,atr_breakout,0,chemical
TA0,day,0.24573615724037462,train,atr_breakout,0,chemical
PP0,day,0.2826609342547238,train,atr_breakout,0,chemical
V0,day,0.2767630862838023,train,atr_breakout,0,chemical
L0,day,0.24017708974135604,train,atr_breakout,0,chemical
PP0,day,0.2956560129906199,train,atr_breakout,0,chemical
PP0,day,0.3114577882981264,train,atr_breakout,0,chemical
L0,day,0.2764219474291094,train,atr_breakout,0,chemical
TA0,day,0.2867292615051575,train,atr_breakout,0,chemical
TA0,day,0.29964652113394946,train,atr_breakout,0,chemical
TA0,day,0.34469983209255584,train,atr_breakout,0,chemical
V0,day,0.3466517999919394,train,atr_breakout,0,chemical
PP0,day,0.2821233460345574,train,atr_breakout,0,chemical
V0,day,0.3222855074917605,train,atr_breakout,0,chemical
PP0,day,0.39205730778799935,train,atr_breakout,0,chemical
L0,day,0.30522777197209827,train,atr_breakout,0,chemical
MA0,day,0.4890023066511539,train,atr_breakout,0,chemical
L0,day,0.7160279928047042,train,atr_breakout,0,chemical
PP0,day,0.6341176873154885,train,atr_breakout,0,chemical
MA0,day,0.5108420378378595,train,atr_breakout,0,chemical
PP0,day,0.450040173605198,train,atr_breakout,0,chemical
V0,day,0.4637827703668078,train,atr_breakout,0,chemical
V0,day,0.2730522545332096,train,atr_breakout,0,chemical
LR0,day,0.2757406965500887,train,atr_breakout,0,chemical
V0,day,0.24134099045653074,train,atr_breakout,0,chemical
TA0,day,0.32757585099279185,train,atr_breakout,0,chemical
LR0,day,0.23720730783219446,train,atr_breakout,0,chemical
TA0,day,0.32902063757983785,train,atr_breakout,0,chemical
L0,day,0.33726242048504007,train,atr_breakout,0,chemical
LR0,day,0.27983081351809147,train,atr_breakout,0,chemical
LR0,day,0.41641648974559886,train,atr_breakout,0,chemical
PP0,day,0.46039341219962027,train,atr_breakout,0,chemical
L0,day,0.42357791948917556,train,atr_breakout,0,chemical
TA0,day,0.32711893495589417,train,atr_breakout,0,chemical
TA0,day,0.37294753996698454,train,atr_breakout,0,chemical
MA0,day,0.290899557402156,train,atr_breakout,0,chemical
PP0,day,0.7578328272595085,train,atr_breakout,0,chemical
V0,day,0.4372443461132913,train,atr_breakout,0,chemical
TA0,day,0.2780304309379877,train,atr_breakout,0,chemical
PP0,day,0.5977387894763369,train,atr_breakout,0,chemical
L0,day,0.2764270791701047,train,atr_breakout,0,chemical
MA0,day,0.29670281054635106,train,atr_breakout,0,chemical
TA0,day,0.2798586823129808,train,atr_breakout,0,chemical
L0,day,0.28483192944216235,train,atr_breakout,0,chemical
PP0,day,0.29839758036591185,train,atr_breakout,0,chemical
MA0,day,0.3205896225965972,train,atr_breakout,0,chemical
MA0,day,0.27396042247838825,train,atr_breakout,0,chemical
L0,day,0.272106253147672,train,atr_breakout,0,chemical
PP0,day,0.2769893619700455,train,atr_breakout,0,chemical
MA0,day,0.24107496345284074,train,atr_breakout,0,chemical
TA0,day,0.28159085825066066,train,atr_breakout,0,chemical
MA0,day,0.24962504512741482,train,atr_breakout,0,chemical
PP0,day,0.3881946831032713,train,atr_breakout,0,chemical
V0,day,0.5662433553117384,train,atr_breakout,0,chemical
