symbol,interval,trade_filter_prob,split,signal_type,window_id,cluster_name
AL0,minute60,0.549206975587888,train,atr_breakout,0,metal
CU0,minute60,0.39112744493962404,train,atr_breakout,0,metal
ZN0,minute60,0.4134282377178254,train,atr_breakout,0,metal
ZN0,minute60,0.384996616759112,train,atr_breakout,0,metal
ZN0,minute60,0.39908567950760604,train,atr_breakout,0,metal
AL0,minute60,0.47151047437752935,train,atr_breakout,0,metal
CU0,minute60,0.49919843728552316,train,atr_breakout,0,metal
ZN0,minute60,0.5557251397762665,train,atr_breakout,0,metal
AL0,minute60,0.3675401111441504,train,atr_breakout,0,metal
AL0,minute60,0.36098809243143537,train,atr_breakout,0,metal
ZN0,minute60,0.4543452941918288,train,atr_breakout,0,metal
AL0,minute60,0.4619063177916981,train,atr_breakout,0,metal
ZN0,minute60,0.4922991621908346,train,atr_breakout,0,metal
CU0,minute60,0.6241837520016935,train,atr_breakout,0,metal
AL0,minute60,0.37428671000878455,train,atr_breakout,0,metal
ZN0,minute60,0.3295585819860706,train,atr_breakout,0,metal
CU0,minute60,0.22640119979008794,train,atr_breakout,0,metal
AL0,minute60,0.5673638869537039,train,atr_breakout,0,metal
CU0,minute60,0.4955729944432357,train,atr_breakout,0,metal
CU0,minute60,0.2954379239854017,train,atr_breakout,0,metal
AL0,minute60,0.5160684886748355,train,atr_breakout,0,metal
ZN0,minute60,0.2827809509597695,train,atr_breakout,0,metal
AL0,minute60,0.5862007663504133,train,atr_breakout,0,metal
AL0,minute60,0.48245035975229267,train,atr_breakout,0,metal
AL0,minute60,0.4024975720308105,train,atr_breakout,0,metal
AL0,minute60,0.4858775673520822,train,atr_breakout,0,metal
AL0,minute60,0.4434930364068262,train,atr_breakout,0,metal
ZN0,minute60,0.3552332847625193,train,atr_breakout,0,metal
CU0,minute60,0.3487659792784551,train,atr_breakout,0,metal
AL0,minute60,0.4345009968361946,train,atr_breakout,0,metal
ZN0,minute60,0.29638178778877455,train,atr_breakout,0,metal
ZN0,minute60,0.5473439807110427,train,atr_breakout,0,metal
AL0,minute60,0.48536616851279457,train,atr_breakout,0,metal
CU0,minute60,0.29414620587724183,train,atr_breakout,0,metal
ZN0,minute60,0.4919623143256032,train,atr_breakout,0,metal
ZN0,minute60,0.5776289269437352,train,atr_breakout,0,metal
CU0,minute60,0.35025666398029776,train,atr_breakout,0,metal
CU0,minute60,0.37458103728968317,train,atr_breakout,0,metal
CU0,minute60,0.46539212480583836,train,atr_breakout,0,metal
ZN0,minute60,0.5266554306799748,train,atr_breakout,0,metal
CU0,minute60,0.520269589464494,train,atr_breakout,0,metal
AL0,minute60,0.4849906049168185,train,atr_breakout,0,metal
