entry_i,exit_i,side,lots,entry_price,exit_price,gross_pnl,cost,net_pnl
183,191,short,22,4481.0,4494.0,-286.0,637.45,-923.45
274,281,long,48,4509.0,4498.0,-528.0,1392.336,-1920.336
313,321,long,63,4491.0,4518.0,1701.0,1827.567,-126.56700000000001
402,414,short,49,4447.0,4455.0,-392.0,1416.198,-1808.198
641,642,short,56,4345.0,4332.0,728.0,1605.912,-877.912
930,931,long,50,4299.0,4312.0,650.0,1430.5500000000002,-780.5500000000002
993,1009,long,44,4295.0,4304.0,396.0,1258.356,-862.356
1225,1232,short,64,4116.0,4125.0,-576.0,1807.424,-2383.424
1440,1441,long,55,4330.0,4365.0,1925.0,1578.225,346.7750000000001
1566,1571,short,55,4241.0,4254.0,-715.0,1567.225,-2282.225
1659,1677,long,53,4195.0,4201.0,318.0,1504.988,-1186.988
1772,1777,short,73,4156.0,4159.0,-219.0,2066.995,-2285.995
1816,1825,short,106,4153.0,4137.0,1696.0,2998.74,-1302.7399999999998
1841,1855,short,75,4143.0,4146.0,-225.0,2121.675,-2346.675
1873,1874,long,72,4154.0,4155.0,72.0,2038.248,-1966.248
1955,1969,short,85,4190.0,4615.0,-36125.0,2448.425,-38573.425
1984,2005,long,21,4616.0,4634.0,378.0,614.25,-236.25
2011,2017,long,45,4645.0,4650.0,225.0,1318.275,-1093.275
2257,2259,long,30,4814.0,4813.0,-30.0,888.81,-918.81
2384,2394,long,49,4755.0,4755.0,0.0,1445.99,-1445.99
2434,2435,short,53,4773.0,4769.0,212.0,1565.726,-1353.726
2593,2594,long,56,4804.0,4815.0,616.0,1658.664,-1042.664
2674,2691,long,52,4809.0,4813.0,208.0,1540.344,-1332.344
2862,2869,long,78,4774.0,4768.0,-468.0,2304.276,-2772.276
2946,2961,long,61,4846.0,4840.0,-366.0,1810.846,-2176.846
2999,3020,short,88,4828.0,4810.0,1584.0,2608.1440000000002,-1024.1440000000002
3099,3110,short,63,4871.0,4870.0,63.0,1873.683,-1810.683
3133,3138,long,66,4876.0,4880.0,264.0,1963.8960000000002,-1699.8960000000002
3247,3258,short,59,4830.0,4823.0,413.0,1749.527,-1336.527
3360,3361,long,47,4770.0,4763.0,-329.0,1388.051,-1717.051
3386,3390,short,65,4761.0,4751.0,650.0,1918.2800000000002,-1268.2800000000002
3496,3498,short,93,4750.0,4744.0,558.0,2742.942,-2184.942
3578,3596,short,83,4738.0,4730.0,664.0,2445.844,-1781.844
3736,3745,short,59,4588.0,4594.0,-354.0,1721.738,-2075.7380000000003
