exit_year,trades,net_pnl,win_rate,avg_pnl,profit_factor
2010,111,-191247.841,0.04504504504504504,-1722.9535225225225,0.06196503323236675
2011,100,-204545.307,0.03,-2045.45307,0.005319230337799151
2012,211,-363840.13,0.03317535545023697,-1724.3608056872038,0.010748855317555664
2013,220,-309431.373,0.01818181818181818,-1406.506240909091,0.006193430430402633
2014,223,-374046.802,0.017937219730941704,-1677.3399192825113,0.0045613011853606
2015,421,-1038089.814,0.019002375296912115,-2465.7715296912115,0.0028234302352399114
2016,380,-506002.513,0.060526315789473685,-1331.5855605263157,0.022262344005098775
2017,229,-183452.502,0.1222707423580786,-801.1026288209607,0.0860906735836346
2018,319,-316941.099,0.05956112852664577,-993.545764890282,0.03280449135546454
2019,165,-265952.568,0.05454545454545454,-1611.8337454545456,0.02396342090240157
