entry_i,exit_i,side,lots,entry_price,exit_price,gross_pnl,cost,net_pnl
21,35,short,1,4489.0,4516.0,-27.0,29.005000000000003,-56.005
58,105,short,1,4380.0,4314.0,66.0,28.694,37.306
128,155,short,1,4201.0,4129.0,72.0,28.330000000000002,43.67
163,185,long,1,4169.0,4246.0,77.0,28.415,48.585
205,237,short,1,4181.0,4154.0,27.0,28.335,-1.3350000000000009
243,271,long,1,4195.0,4647.0,452.0,28.842,423.158
278,293,long,1,4735.0,4733.0,-2.0,29.468,-31.468
326,333,long,1,4841.0,4793.0,-48.0,29.634,-77.634
362,376,long,1,4811.0,4816.0,5.0,29.627,-24.627
385,401,long,1,4877.0,4857.0,-20.0,29.734,-49.734
407,473,short,1,4820.0,4637.0,183.0,29.457,153.543
477,491,long,1,4659.0,4639.0,-20.0,29.298,-49.298
493,544,short,1,4577.0,4237.0,340.0,28.814,311.186
595,609,short,1,4197.0,4197.0,0.0,28.394,-28.394
619,635,short,1,4056.0,4105.0,-49.0,28.161,-77.161
666,673,long,1,4130.0,4076.0,-54.0,28.206,-82.206
677,691,short,1,4076.0,4091.0,-15.0,28.167,-43.167
693,719,short,1,4046.0,3975.0,71.0,28.021,42.979
745,775,short,1,3925.0,4058.0,-133.0,27.983,-160.983
821,826,short,1,4157.0,4208.0,-51.0,28.365000000000002,-79.36500000000001
835,856,long,1,4244.0,4285.0,41.0,28.529,12.471
872,887,long,1,4371.0,4361.0,-10.0,28.732,-38.732
893,903,short,1,4301.0,4344.0,-43.0,28.645000000000003,-71.64500000000001
929,953,short,1,4310.0,4258.0,52.0,28.567999999999998,23.432000000000002
961,1009,long,1,4305.0,4442.0,137.0,28.747,108.253
1011,1021,short,1,4458.0,4510.0,-52.0,28.968,-80.968
1041,1051,short,1,4369.0,4392.0,-23.0,28.761,-51.760999999999996
1063,1085,short,1,4287.0,4261.0,26.0,28.548,-2.5479999999999983
1093,1104,long,1,4341.0,4322.0,-19.0,28.663,-47.663
1111,1131,long,1,4488.0,4469.0,-19.0,28.957,-47.957
1156,1174,long,1,4496.0,4498.0,2.0,28.994,-26.994
1195,1230,long,1,4573.0,4770.0,197.0,29.343,167.657
1239,1266,short,1,4588.0,4644.0,-56.0,29.232,-85.232
1291,1297,long,1,4718.0,4651.0,-67.0,29.369,-96.369
1330,1349,long,1,4727.0,4715.0,-12.0,29.442,-41.442
1364,1380,long,1,4775.0,4765.0,-10.0,29.54,-39.54
1447,1463,long,1,4802.0,4793.0,-9.0,29.595,-38.595
1504,1530,long,1,4897.0,4902.0,5.0,29.799,-24.799
1537,1549,long,1,4963.0,4948.0,-15.0,29.911,-44.911
1555,1567,short,1,4913.0,4985.0,-72.0,29.898,-101.898
1609,1632,short,1,5125.0,5030.0,95.0,30.155,64.845
1648,1675,short,1,4904.0,4870.0,34.0,29.774,4.225999999999999
1705,1721,short,1,4718.0,4729.0,-11.0,29.447,-40.447
1728,1743,long,1,4770.0,4781.0,11.0,29.551000000000002,-18.551000000000002
1747,1761,short,1,4716.0,4706.0,10.0,29.422,-19.422
1785,1797,long,1,4820.0,4781.0,-39.0,29.601,-68.601
1811,1831,long,1,4872.0,4893.0,21.0,29.765,-8.765
1851,1871,short,1,4833.0,4814.0,19.0,29.647,-10.646999999999998
1933,1949,short,1,4835.0,4847.0,-12.0,29.682000000000002,-41.682
2029,2046,long,1,4870.0,4856.0,-14.0,29.726,-43.726
2083,2131,short,1,4814.0,4703.0,111.0,29.517,81.483
2163,2169,long,1,4751.0,4725.0,-26.0,29.476000000000003,-55.476
2173,2227,long,1,4785.0,4862.0,77.0,29.647,47.353
2234,2263,long,1,4916.0,4918.0,2.0,29.834,-27.834
2266,2275,short,1,4889.0,4913.0,-24.0,29.802,-53.802
2293,2312,long,1,4970.0,4978.0,8.0,29.948,-21.948
2317,2336,short,1,4839.0,4792.0,47.0,29.631,17.369
2414,2420,short,1,4777.0,4813.0,-36.0,29.590000000000003,-65.59
